Indicator,Country,Gender,Year,Val
(EU) Population aged 80 years and over as % of total population,Albania,combined,2018,2.5
(EU) Population at 1.1.,Albania,male,2008,1588579.0
(EU) Population at 1.1.,Albania,male,2009,1584637.0
(EU) Population at 1.1.,Albania,male,2011,1421810.0
(EU) Population at 1.1.,Albania,male,2012,1458774.0
(EU) Population at 1.1.,Albania,male,2013,1460577.0
(EU) Population at 1.1.,Albania,male,2014,1461567.0
(EU) Population at 1.1.,Albania,male,2015,1461199.0
(EU) Population at 1.1.,Albania,male,2016,1458451.0
(EU) Population at 1.1.,Albania,male,2017,1453541.0
(EU) Population at 1.1.,Albania,male,2018,1438609.0
(EU) Population at 1.1.,Albania,female,2008,1581471.0
(EU) Population at 1.1.,Albania,female,2009,1600064.0
(EU) Population at 1.1.,Albania,female,2011,1409931.0
(EU) Population at 1.1.,Albania,female,2012,1444234.0
(EU) Population at 1.1.,Albania,female,2013,1437193.0
(EU) Population at 1.1.,Albania,female,2014,1430827.0
(EU) Population at 1.1.,Albania,female,2015,1424597.0
(EU) Population at 1.1.,Albania,female,2016,1417141.0
(EU) Population at 1.1.,Albania,female,2017,1423050.0
(EU) Population at 1.1.,Albania,female,2018,1431715.0
(EU) Population at 1.1.,Albania,combined,2008,3170050.0
(EU) Population at 1.1.,Albania,combined,2009,3184701.0
(EU) Population at 1.1.,Albania,combined,2011,2831741.0
(EU) Population at 1.1.,Albania,combined,2012,2903008.0
(EU) Population at 1.1.,Albania,combined,2013,2897770.0
(EU) Population at 1.1.,Albania,combined,2014,2892394.0
(EU) Population at 1.1.,Albania,combined,2015,2885796.0
(EU) Population at 1.1.,Albania,combined,2016,2875592.0
(EU) Population at 1.1.,Albania,combined,2017,2876591.0
(EU) Population at 1.1.,Albania,combined,2018,2870324.0
(EU) Practising physicians or doctors per 100 000 inhabitants,Albania,combined,2009,114.8
(EU) Practising physicians or doctors per 100 000 inhabitants,Albania,combined,2011,126.4
(EU) Practising physicians or doctors per 100 000 inhabitants,Albania,combined,2012,127.3
(EU) Practising physicians or doctors per 100 000 inhabitants,Albania,combined,2013,128.0
(EU) Age dependency ratio,Austria,combined,2008,48.1
(EU) Age dependency ratio,Austria,combined,2009,48.1
(EU) Age dependency ratio,Austria,combined,2010,48.3
(EU) Age dependency ratio,Austria,combined,2011,47.9
(EU) Age dependency ratio,Austria,combined,2012,47.8
(EU) Age dependency ratio,Austria,combined,2013,48.1
(EU) Age dependency ratio,Austria,combined,2014,48.4
(EU) Age dependency ratio,Austria,combined,2015,48.7
(EU) Age dependency ratio,Austria,combined,2016,48.8
(EU) Age dependency ratio,Austria,combined,2017,49.1
(EU) At-risk-of-poverty rate after social transfers,Austria,male,2008,14.2
(EU) At-risk-of-poverty rate after social transfers,Austria,male,2009,13.8
(EU) At-risk-of-poverty rate after social transfers,Austria,male,2010,13.4
(EU) At-risk-of-poverty rate after social transfers,Austria,male,2011,14.0
(EU) At-risk-of-poverty rate after social transfers,Austria,male,2012,13.5
(EU) At-risk-of-poverty rate after social transfers,Austria,male,2013,13.5
(EU) At-risk-of-poverty rate after social transfers,Austria,male,2014,13.3
(EU) At-risk-of-poverty rate after social transfers,Austria,male,2015,13.5
(EU) At-risk-of-poverty rate after social transfers,Austria,male,2016,13.5
(EU) At-risk-of-poverty rate after social transfers,Austria,male,2017,13.5
(EU) At-risk-of-poverty rate after social transfers,Austria,female,2008,16.1
(EU) At-risk-of-poverty rate after social transfers,Austria,female,2009,15.3
(EU) At-risk-of-poverty rate after social transfers,Austria,female,2010,15.8
(EU) At-risk-of-poverty rate after social transfers,Austria,female,2011,15.0
(EU) At-risk-of-poverty rate after social transfers,Austria,female,2012,15.3
(EU) At-risk-of-poverty rate after social transfers,Austria,female,2013,15.2
(EU) At-risk-of-poverty rate after social transfers,Austria,female,2014,14.9
(EU) At-risk-of-poverty rate after social transfers,Austria,female,2015,14.3
(EU) At-risk-of-poverty rate after social transfers,Austria,female,2016,14.6
(EU) At-risk-of-poverty rate after social transfers,Austria,female,2017,15.3
(EU) At-risk-of-poverty rate after social transfers,Austria,combined,2008,15.2
(EU) At-risk-of-poverty rate after social transfers,Austria,combined,2009,14.5
(EU) At-risk-of-poverty rate after social transfers,Austria,combined,2010,14.7
(EU) At-risk-of-poverty rate after social transfers,Austria,combined,2011,14.5
(EU) At-risk-of-poverty rate after social transfers,Austria,combined,2012,14.4
(EU) At-risk-of-poverty rate after social transfers,Austria,combined,2013,14.4
(EU) At-risk-of-poverty rate after social transfers,Austria,combined,2014,14.1
(EU) At-risk-of-poverty rate after social transfers,Austria,combined,2015,13.9
(EU) At-risk-of-poverty rate after social transfers,Austria,combined,2016,14.1
(EU) At-risk-of-poverty rate after social transfers,Austria,combined,2017,14.4
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Austria,combined,2008,899.4
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Austria,combined,2009,936.6
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Austria,combined,2010,1005.1
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Austria,combined,2011,1073.4
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Austria,combined,2012,1125.0
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Austria,combined,2013,1158.5
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Austria,combined,2014,1207.3
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Austria,combined,2015,1233.6
(EU) Cataract surgery (13.1-13.7) per 100 000 inhabitants,Austria,combined,2016,1260.5
"(EU) Daily smokers aged 15 years and above, %",Austria,male,2014,26.5
"(EU) Daily smokers aged 15 years and above, %",Austria,female,2014,22.1
"(EU) Daily smokers aged 15 years and above, %",Austria,combined,2014,24.3
(EU) GDP per capita in Purchasing Power Standards (PPS),Austria,combined,2008,124.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Austria,combined,2009,125.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Austria,combined,2010,125.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Austria,combined,2011,127.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Austria,combined,2012,131.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Austria,combined,2013,131.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Austria,combined,2014,129.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Austria,combined,2015,127.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Austria,combined,2016,126.0
(EU) Inequality of income distribution (income quintile share ratio),Austria,combined,2008,4.2
(EU) Inequality of income distribution (income quintile share ratio),Austria,combined,2009,4.2
(EU) Inequality of income distribution (income quintile share ratio),Austria,combined,2010,4.3
(EU) Inequality of income distribution (income quintile share ratio),Austria,combined,2011,4.1
(EU) Inequality of income distribution (income quintile share ratio),Austria,combined,2012,4.2
(EU) Inequality of income distribution (income quintile share ratio),Austria,combined,2013,4.1
(EU) Inequality of income distribution (income quintile share ratio),Austria,combined,2014,4.1
(EU) Inequality of income distribution (income quintile share ratio),Austria,combined,2015,4.0
(EU) Inequality of income distribution (income quintile share ratio),Austria,combined,2016,4.1
(EU) Inequality of income distribution (income quintile share ratio),Austria,combined,2017,4.3
(EU) Inguinal and femoral hernia (53.0-53.3) per 100 000 inhabitants (-2010),Austria,combined,2008,172.9
(EU) Inguinal and femoral hernia (53.0-53.3) per 100 000 inhabitants (-2010),Austria,combined,2009,188.6
(EU) Inguinal and femoral hernia (53.0-53.3) per 100 000 inhabitants (-2010),Austria,combined,2010,179.2
(EU) Inguinal hernia repairs per 100 000 inhabitants,Austria,combined,2008,262.1
(EU) Inguinal hernia repairs per 100 000 inhabitants,Austria,combined,2009,266.7
(EU) Inguinal hernia repairs per 100 000 inhabitants,Austria,combined,2010,265.5
(EU) Inguinal hernia repairs per 100 000 inhabitants,Austria,combined,2011,270.6
(EU) Inguinal hernia repairs per 100 000 inhabitants,Austria,combined,2012,271.2
(EU) Inguinal hernia repairs per 100 000 inhabitants,Austria,combined,2013,271.8
(EU) Inguinal hernia repairs per 100 000 inhabitants,Austria,combined,2014,268.9
(EU) Inguinal hernia repairs per 100 000 inhabitants,Austria,combined,2015,273.8
(EU) Inguinal hernia repairs per 100 000 inhabitants,Austria,combined,2016,269.4
(EU) Inguinal hernia repairs per 100 000 inhabitants,Austria,combined,2017,279.2
"(EU) Life expectancy at birth, years",Austria,male,2008,78.0
"(EU) Life expectancy at birth, years",Austria,male,2009,78.0
"(EU) Life expectancy at birth, years",Austria,male,2010,78.0
"(EU) Life expectancy at birth, years",Austria,male,2011,78.0
"(EU) Life expectancy at birth, years",Austria,male,2012,78.0
"(EU) Life expectancy at birth, years",Austria,male,2013,79.0
"(EU) Life expectancy at birth, years",Austria,male,2014,79.0
"(EU) Life expectancy at birth, years",Austria,male,2015,79.0
"(EU) Life expectancy at birth, years",Austria,male,2016,79.0
"(EU) Life expectancy at birth, years",Austria,female,2008,83.0
"(EU) Life expectancy at birth, years",Austria,female,2009,83.0
"(EU) Life expectancy at birth, years",Austria,female,2010,84.0
"(EU) Life expectancy at birth, years",Austria,female,2011,84.0
"(EU) Life expectancy at birth, years",Austria,female,2012,84.0
"(EU) Life expectancy at birth, years",Austria,female,2013,84.0
"(EU) Life expectancy at birth, years",Austria,female,2014,84.0
"(EU) Life expectancy at birth, years",Austria,female,2015,84.0
"(EU) Life expectancy at birth, years",Austria,female,2016,84.0
"(EU) Life expectancy at birth, years",Austria,combined,2008,81.0
"(EU) Life expectancy at birth, years",Austria,combined,2009,81.0
"(EU) Life expectancy at birth, years",Austria,combined,2010,81.0
"(EU) Life expectancy at birth, years",Austria,combined,2011,81.0
"(EU) Life expectancy at birth, years",Austria,combined,2012,81.0
"(EU) Life expectancy at birth, years",Austria,combined,2013,81.0
"(EU) Life expectancy at birth, years",Austria,combined,2014,82.0
"(EU) Life expectancy at birth, years",Austria,combined,2015,81.0
"(EU) Life expectancy at birth, years",Austria,combined,2016,82.0
(EU) Live births / 1000 persons,Austria,combined,2008,9.0
(EU) Live births / 1000 persons,Austria,combined,2009,9.0
(EU) Live births / 1000 persons,Austria,combined,2010,9.0
(EU) Live births / 1000 persons,Austria,combined,2011,9.0
(EU) Live births / 1000 persons,Austria,combined,2012,9.0
(EU) Live births / 1000 persons,Austria,combined,2013,9.0
(EU) Live births / 1000 persons,Austria,combined,2014,10.0
(EU) Live births / 1000 persons,Austria,combined,2015,10.0
(EU) Live births / 1000 persons,Austria,combined,2016,10.0
(EU) Live births / 1000 persons,Austria,combined,2017,10.0
(EU) Long-term unemployment rate,Austria,male,2008,1.0
(EU) Long-term unemployment rate,Austria,male,2009,1.2
(EU) Long-term unemployment rate,Austria,male,2010,1.4
(EU) Long-term unemployment rate,Austria,male,2011,1.3
(EU) Long-term unemployment rate,Austria,male,2012,1.3
(EU) Long-term unemployment rate,Austria,male,2013,1.4
(EU) Long-term unemployment rate,Austria,male,2014,1.7
(EU) Long-term unemployment rate,Austria,male,2015,1.9
(EU) Long-term unemployment rate,Austria,male,2016,2.2
(EU) Long-term unemployment rate,Austria,male,2017,2.0
(EU) Long-term unemployment rate,Austria,male,2018,1.5
(EU) Long-term unemployment rate,Austria,male,2019,1.2
(EU) Long-term unemployment rate,Austria,female,2008,1.0
(EU) Long-term unemployment rate,Austria,female,2009,1.1
(EU) Long-term unemployment rate,Austria,female,2010,1.0
(EU) Long-term unemployment rate,Austria,female,2011,1.1
(EU) Long-term unemployment rate,Austria,female,2012,1.1
(EU) Long-term unemployment rate,Austria,female,2013,1.2
(EU) Long-term unemployment rate,Austria,female,2014,1.4
(EU) Long-term unemployment rate,Austria,female,2015,1.4
(EU) Long-term unemployment rate,Austria,female,2016,1.7
(EU) Long-term unemployment rate,Austria,female,2017,1.7
(EU) Long-term unemployment rate,Austria,female,2018,1.3
(EU) Long-term unemployment rate,Austria,female,2019,1.0
(EU) Old age dependency ratio,Austria,combined,2008,25.4
(EU) Old age dependency ratio,Austria,combined,2009,25.7
(EU) Old age dependency ratio,Austria,combined,2010,26.2
(EU) Old age dependency ratio,Austria,combined,2011,26.1
(EU) Old age dependency ratio,Austria,combined,2012,26.3
(EU) Old age dependency ratio,Austria,combined,2013,26.8
(EU) Old age dependency ratio,Austria,combined,2014,27.2
(EU) Old age dependency ratio,Austria,combined,2015,27.5
(EU) Old age dependency ratio,Austria,combined,2016,27.5
(EU) Old age dependency ratio,Austria,combined,2017,27.6
(EU) Population aged 0-14 as % of total population,Austria,combined,2008,15.4
(EU) Population aged 0-14 as % of total population,Austria,combined,2009,15.1
(EU) Population aged 0-14 as % of total population,Austria,combined,2010,14.9
(EU) Population aged 0-14 as % of total population,Austria,combined,2011,14.7
(EU) Population aged 0-14 as % of total population,Austria,combined,2012,14.6
(EU) Population aged 0-14 as % of total population,Austria,combined,2013,14.4
(EU) Population aged 0-14 as % of total population,Austria,combined,2014,14.3
(EU) Population aged 0-14 as % of total population,Austria,combined,2015,14.3
(EU) Population aged 0-14 as % of total population,Austria,combined,2016,14.3
(EU) Population aged 0-14 as % of total population,Austria,combined,2017,14.4
(EU) Population aged 0-14 as % of total population,Austria,combined,2018,14.4
(EU) Population aged 15-24 as % of total population,Austria,combined,2008,12.3
(EU) Population aged 15-24 as % of total population,Austria,combined,2009,12.3
(EU) Population aged 15-24 as % of total population,Austria,combined,2010,12.2
(EU) Population aged 15-24 as % of total population,Austria,combined,2011,12.2
(EU) Population aged 15-24 as % of total population,Austria,combined,2012,12.1
(EU) Population aged 15-24 as % of total population,Austria,combined,2013,12.1
(EU) Population aged 15-24 as % of total population,Austria,combined,2014,11.9
(EU) Population aged 15-24 as % of total population,Austria,combined,2015,11.8
(EU) Population aged 15-24 as % of total population,Austria,combined,2016,11.7
(EU) Population aged 15-24 as % of total population,Austria,combined,2017,11.5
(EU) Population aged 15-24 as % of total population,Austria,combined,2018,11.2
(EU) Population aged 25-49 as % of total population,Austria,combined,2008,37.4
(EU) Population aged 25-49 as % of total population,Austria,combined,2009,37.2
(EU) Population aged 25-49 as % of total population,Austria,combined,2010,36.9
(EU) Population aged 25-49 as % of total population,Austria,combined,2011,36.5
(EU) Population aged 25-49 as % of total population,Austria,combined,2012,36.2
(EU) Population aged 25-49 as % of total population,Austria,combined,2013,35.8
(EU) Population aged 25-49 as % of total population,Austria,combined,2014,35.5
(EU) Population aged 25-49 as % of total population,Austria,combined,2015,35.2
(EU) Population aged 25-49 as % of total population,Austria,combined,2016,34.9
(EU) Population aged 25-49 as % of total population,Austria,combined,2017,34.6
(EU) Population aged 25-49 as % of total population,Austria,combined,2018,34.3
(EU) Population aged 50-64 as % of total population,Austria,combined,2008,17.8
(EU) Population aged 50-64 as % of total population,Austria,combined,2009,18.0
(EU) Population aged 50-64 as % of total population,Austria,combined,2010,18.3
(EU) Population aged 50-64 as % of total population,Austria,combined,2011,18.9
(EU) Population aged 50-64 as % of total population,Austria,combined,2012,19.4
(EU) Population aged 50-64 as % of total population,Austria,combined,2013,19.7
(EU) Population aged 50-64 as % of total population,Austria,combined,2014,20.0
(EU) Population aged 50-64 as % of total population,Austria,combined,2015,20.3
(EU) Population aged 50-64 as % of total population,Austria,combined,2016,20.6
(EU) Population aged 50-64 as % of total population,Austria,combined,2017,21.0
(EU) Population aged 50-64 as % of total population,Austria,combined,2018,21.4
(EU) Population aged 65 years and over as % of total population,Austria,combined,2008,17.1
(EU) Population aged 65 years and over as % of total population,Austria,combined,2009,17.4
(EU) Population aged 65 years and over as % of total population,Austria,combined,2010,17.6
(EU) Population aged 65 years and over as % of total population,Austria,combined,2011,17.6
(EU) Population aged 65 years and over as % of total population,Austria,combined,2012,17.8
(EU) Population aged 65 years and over as % of total population,Austria,combined,2013,18.1
(EU) Population aged 65 years and over as % of total population,Austria,combined,2014,18.3
(EU) Population aged 65 years and over as % of total population,Austria,combined,2015,18.5
(EU) Population aged 65 years and over as % of total population,Austria,combined,2016,18.4
(EU) Population aged 65 years and over as % of total population,Austria,combined,2017,18.5
(EU) Population aged 65 years and over as % of total population,Austria,combined,2018,18.7
(EU) Population aged 65-79 as % of total population,Austria,combined,2008,12.6
(EU) Population aged 65-79 as % of total population,Austria,combined,2009,12.7
(EU) Population aged 65-79 as % of total population,Austria,combined,2010,12.9
(EU) Population aged 65-79 as % of total population,Austria,combined,2011,12.8
(EU) Population aged 65-79 as % of total population,Austria,combined,2012,12.8
(EU) Population aged 65-79 as % of total population,Austria,combined,2013,13.1
(EU) Population aged 65-79 as % of total population,Austria,combined,2014,13.3
(EU) Population aged 65-79 as % of total population,Austria,combined,2015,13.4
(EU) Population aged 65-79 as % of total population,Austria,combined,2016,13.5
(EU) Population aged 65-79 as % of total population,Austria,combined,2017,13.6
(EU) Population aged 65-79 as % of total population,Austria,combined,2018,13.7
(EU) Population aged 80 years and over as % of total population,Austria,combined,2008,4.6
(EU) Population aged 80 years and over as % of total population,Austria,combined,2009,4.7
(EU) Population aged 80 years and over as % of total population,Austria,combined,2010,4.8
(EU) Population aged 80 years and over as % of total population,Austria,combined,2011,4.9
(EU) Population aged 80 years and over as % of total population,Austria,combined,2012,5.0
(EU) Population aged 80 years and over as % of total population,Austria,combined,2013,5.0
(EU) Population aged 80 years and over as % of total population,Austria,combined,2014,5.0
(EU) Population aged 80 years and over as % of total population,Austria,combined,2015,5.0
(EU) Population aged 80 years and over as % of total population,Austria,combined,2016,4.9
(EU) Population aged 80 years and over as % of total population,Austria,combined,2017,4.9
(EU) Population aged 80 years and over as % of total population,Austria,combined,2018,4.9
(EU) Population at 1.1.,Austria,male,2008,4042489.0
(EU) Population at 1.1.,Austria,male,2009,4056935.0
(EU) Population at 1.1.,Austria,male,2010,4066201.0
(EU) Population at 1.1.,Austria,male,2011,4078871.0
(EU) Population at 1.1.,Austria,male,2012,4098144.0
(EU) Population at 1.1.,Austria,male,2013,4123622.0
(EU) Population at 1.1.,Austria,male,2014,4155339.0
(EU) Population at 1.1.,Austria,male,2015,4200397.0
(EU) Population at 1.1.,Austria,male,2016,4272553.0
(EU) Population at 1.1.,Austria,male,2017,4312441.0
(EU) Population at 1.1.,Austria,male,2018,4338518.0
(EU) Population at 1.1.,Austria,female,2008,4265500.0
(EU) Population at 1.1.,Austria,female,2009,4278068.0
(EU) Population at 1.1.,Austria,female,2010,4285442.0
(EU) Population at 1.1.,Austria,female,2011,4296293.0
(EU) Population at 1.1.,Austria,female,2012,4309977.0
(EU) Population at 1.1.,Austria,female,2013,4328238.0
(EU) Population at 1.1.,Austria,female,2014,4352447.0
(EU) Population at 1.1.,Austria,female,2015,4384529.0
(EU) Population at 1.1.,Austria,female,2016,4427918.0
(EU) Population at 1.1.,Austria,female,2017,4460424.0
(EU) Population at 1.1.,Austria,female,2018,4483749.0
(EU) Population at 1.1.,Austria,combined,2008,8307989.0
(EU) Population at 1.1.,Austria,combined,2009,8335003.0
(EU) Population at 1.1.,Austria,combined,2010,8351643.0
(EU) Population at 1.1.,Austria,combined,2011,8375164.0
(EU) Population at 1.1.,Austria,combined,2012,8408121.0
(EU) Population at 1.1.,Austria,combined,2013,8451860.0
(EU) Population at 1.1.,Austria,combined,2014,8507786.0
(EU) Population at 1.1.,Austria,combined,2015,8584926.0
(EU) Population at 1.1.,Austria,combined,2016,8700471.0
(EU) Population at 1.1.,Austria,combined,2017,8772865.0
(EU) Population at 1.1.,Austria,combined,2018,8822267.0
(EU) Practising dentists per 100 000 inhabitants,Austria,combined,2008,54.7
(EU) Practising dentists per 100 000 inhabitants,Austria,combined,2009,55.4
(EU) Practising dentists per 100 000 inhabitants,Austria,combined,2010,56.1
(EU) Practising dentists per 100 000 inhabitants,Austria,combined,2011,56.6
(EU) Practising dentists per 100 000 inhabitants,Austria,combined,2012,57.1
(EU) Practising dentists per 100 000 inhabitants,Austria,combined,2013,57.4
(EU) Practising dentists per 100 000 inhabitants,Austria,combined,2014,57.5
(EU) Practising dentists per 100 000 inhabitants,Austria,combined,2015,57.1
(EU) Practising dentists per 100 000 inhabitants,Austria,combined,2016,56.9
(EU) Practising dentists per 100 000 inhabitants,Austria,combined,2017,57.1
(EU) Practising physicians or doctors per 100 000 inhabitants,Austria,combined,2008,461.2
(EU) Practising physicians or doctors per 100 000 inhabitants,Austria,combined,2009,469.4
(EU) Practising physicians or doctors per 100 000 inhabitants,Austria,combined,2010,480.2
(EU) Practising physicians or doctors per 100 000 inhabitants,Austria,combined,2011,485.2
(EU) Practising physicians or doctors per 100 000 inhabitants,Austria,combined,2012,490.8
(EU) Practising physicians or doctors per 100 000 inhabitants,Austria,combined,2013,500.5
(EU) Practising physicians or doctors per 100 000 inhabitants,Austria,combined,2014,506.9
(EU) Practising physicians or doctors per 100 000 inhabitants,Austria,combined,2015,512.5
(EU) Practising physicians or doctors per 100 000 inhabitants,Austria,combined,2016,515.1
(EU) Practising physicians or doctors per 100 000 inhabitants,Austria,combined,2017,519.7
(EU) Projected old age dependency ratio in 2030,Austria,combined,2017,35.7
(EU) Projected old age dependency ratio in 2040,Austria,combined,2017,42.2
(EU) Projected old age dependency ratio in 2060,Austria,combined,2017,51.0
"(EU) Pure alcohol consumption, litres per capita",Austria,combined,2008,12.0
"(EU) Pure alcohol consumption, litres per capita",Austria,combined,2009,11.0
"(EU) Pure alcohol consumption, litres per capita",Austria,combined,2010,12.0
"(EU) Pure alcohol consumption, litres per capita",Austria,combined,2011,12.0
"(EU) Pure alcohol consumption, litres per capita",Austria,combined,2012,12.0
"(EU) Pure alcohol consumption, litres per capita",Austria,combined,2013,12.0
"(EU) Pure alcohol consumption, litres per capita",Austria,combined,2014,12.0
"(EU) Pure alcohol consumption, litres per capita",Austria,combined,2015,11.0
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,male,2008,272.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,male,2009,282.4
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,male,2010,275.1
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,male,2011,259.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,male,2012,250.0
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,male,2013,243.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,male,2014,233.3
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,male,2015,230.2
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,female,2008,134.5
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,female,2009,137.3
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,female,2010,135.4
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,female,2011,131.7
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,female,2012,128.3
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,female,2013,125.2
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,female,2014,126.4
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,female,2015,121.2
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,combined,2008,202.6
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,combined,2009,208.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,combined,2010,204.2
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,combined,2011,194.7
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,combined,2012,188.2
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,combined,2013,183.7
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,combined,2014,179.1
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Austria,combined,2015,175.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,male,2008,1279.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,male,2009,1286.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,male,2010,1251.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,male,2011,1250.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,male,2012,1257.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,male,2013,1242.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,male,2014,1182.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,male,2015,1222.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,female,2008,847.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,female,2009,844.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,female,2010,820.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,female,2011,818.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,female,2012,845.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,female,2013,826.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,female,2014,796.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,female,2015,821.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,combined,2008,1023.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,combined,2009,1027.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,combined,2010,1000.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,combined,2011,995.0
"(EU) Standard death rates, all causes of death per 100 000",Austria,combined,2012,1014.0
