country;continent;year;lifeExp;pop;iso_alpha
Burkina Faso;Africa;1962;37,814;4919632;BFA
Burkina Faso;Africa;1967;40,697;5127935;BFA
Burkina Faso;Africa;1972;43,591;5433886;BFA
Burkina Faso;Africa;1977;46,137;5889574;BFA
Burkina Faso;Africa;1982;48,122;6634596;BFA
Burkina Faso;Africa;1987;49,557;7586551;BFA
Burkina Faso;Africa;1992;50,26;8878303;BFA
Burkina Faso;Africa;1997;50,324;10352843;BFA
Burkina Faso;Africa;2002;50,65;12251209;BFA
Burkina Faso;Africa;2007;52,295;14326203;BFA
Burundi;Africa;1952;39,031;2445618;BDI
Burundi;Africa;1957;40,533;2667518;BDI
Burundi;Africa;1962;42,045;2961915;BDI
Burundi;Africa;1967;43,548;3330989;BDI
Burundi;Africa;1972;44,057;3529983;BDI
Burundi;Africa;1977;45,91;3834415;BDI
Burundi;Africa;1982;47,471;4580410;BDI
Burundi;Africa;1987;48,211;5126023;BDI
Burundi;Africa;1992;44,736;5809236;BDI
Burundi;Africa;1997;45,326;6121610;BDI
Burundi;Africa;2002;47,36;7021078;BDI
Burundi;Africa;2007;49,58;8390505;BDI
Cambodia;Asia;1952;39,417;4693836;KHM
Cambodia;Asia;1957;41,366;5322536;KHM
Cambodia;Asia;1962;43,415;6083619;KHM
Cambodia;Asia;1967;45,415;6960067;KHM
Cambodia;Asia;1972;40,317;7450606;KHM
Cambodia;Asia;1977;31,22;6978607;KHM
Cambodia;Asia;1982;50,957;7272485;KHM
Cambodia;Asia;1987;53,914;8371791;KHM
Cambodia;Asia;1992;55,803;10150094;KHM
Cambodia;Asia;1997;56,534;11782962;KHM
Cambodia;Asia;2002;56,752;12926707;KHM
Cambodia;Asia;2007;59,723;14131858;KHM
Cameroon;Africa;1952;38,523;5009067;CMR
Cameroon;Africa;1957;40,428;5359923;CMR
Cameroon;Africa;1962;42,643;5793633;CMR
Cameroon;Africa;1967;44,799;6335506;CMR
Cameroon;Africa;1972;47,049;7021028;CMR
Cameroon;Africa;1977;49,355;7959865;CMR
Cameroon;Africa;1982;52,961;9250831;CMR
Cameroon;Africa;1987;54,985;10780667;CMR
Cameroon;Africa;1992;54,314;12467171;CMR
Cameroon;Africa;1997;52,199;14195809;CMR
Cameroon;Africa;2002;49,856;15929988;CMR
Cameroon;Africa;2007;50,43;17696293;CMR
Canada;Americas;1952;68,75;14785584;CAN
Canada;Americas;1957;69,96;17010154;CAN
Canada;Americas;1962;71,3;18985849;CAN
Canada;Americas;1967;72,13;20819767;CAN
Canada;Americas;1972;72,88;22284500;CAN
Canada;Americas;1977;74,21;23796400;CAN
Canada;Americas;1982;75,76;25201900;CAN
Canada;Americas;1987;76,86;26549700;CAN
Canada;Americas;1992;77,95;28523502;CAN
Canada;Americas;1997;78,61;30305843;CAN
Canada;Americas;2002;79,77;31902268;CAN
Canada;Americas;2007;80,653;33390141;CAN
Central African Republic;Africa;1952;35,463;1291695;CAF
Central African Republic;Africa;1957;37,464;1392284;CAF
Central African Republic;Africa;1962;39,475;1523478;CAF
Central African Republic;Africa;1967;41,478;1733638;CAF
Central African Republic;Africa;1972;43,457;1927260;CAF
Central African Republic;Africa;1977;46,775;2167533;CAF
Central African Republic;Africa;1982;48,295;2476971;CAF
Central African Republic;Africa;1987;50,485;2840009;CAF
Central African Republic;Africa;1992;49,396;3265124;CAF
Central African Republic;Africa;1997;46,066;3696513;CAF
Central African Republic;Africa;2002;43,308;4048013;CAF
Central African Republic;Africa;2007;44,741;4369038;CAF
Chad;Africa;1952;38,092;2682462;TCD
Chad;Africa;1957;39,881;2894855;TCD
Chad;Africa;1962;41,716;3150417;TCD
Chad;Africa;1967;43,601;3495967;TCD
Chad;Africa;1972;45,569;3899068;TCD
Chad;Africa;1977;47,383;4388260;TCD
Chad;Africa;1982;49,517;4875118;TCD
Chad;Africa;1987;51,051;5498955;TCD
Chad;Africa;1992;51,724;6429417;TCD
Chad;Africa;1997;51,573;7562011;TCD
Chad;Africa;2002;50,525;8835739;TCD
Chad;Africa;2007;50,651;10238807;TCD
Chile;Americas;1952;54,745;6377619;CHL
Chile;Americas;1957;56,074;7048426;CHL
Chile;Americas;1962;57,924;7961258;CHL
Chile;Americas;1967;60,523;8858908;CHL
Chile;Americas;1972;63,441;9717524;CHL
Chile;Americas;1977;67,052;10599793;CHL
Chile;Americas;1982;70,565;11487112;CHL
Chile;Americas;1987;72,492;12463354;CHL
Chile;Americas;1992;74,126;13572994;CHL
Chile;Americas;1997;75,816;14599929;CHL
Chile;Americas;2002;77,86;15497046;CHL
Chile;Americas;2007;78,553;16284741;CHL
China;Asia;1952;44;556263527;CHN
China;Asia;1957;50,54896;637408000;CHN
China;Asia;1962;44,50136;665770000;CHN
China;Asia;1967;58,38112;754550000;CHN
China;Asia;1972;63,11888;862030000;CHN
China;Asia;1977;63,96736;943455000;CHN
China;Asia;1982;65,525;1000281000;CHN
China;Asia;1987;67,274;1084035000;CHN
China;Asia;1992;68,69;1164970000;CHN
China;Asia;1997;70,426;1230075000;CHN
China;Asia;2002;72,028;1280400000;CHN
China;Asia;2007;72,961;1318683096;CHN
Colombia;Americas;1952;50,643;12350771;COL
Colombia;Americas;1957;55,118;14485993;COL
Colombia;Americas;1962;57,863;17009885;COL
Colombia;Americas;1967;59,963;19764027;COL
Colombia;Americas;1972;61,623;22542890;COL
Colombia;Americas;1977;63,837;25094412;COL
Colombia;Americas;1982;66,653;27764644;COL
Colombia;Americas;1987;67,768;30964245;COL
Colombia;Americas;1992;68,421;34202721;COL
Colombia;Americas;1997;70,313;37657830;COL
Colombia;Americas;2002;71,682;41008227;COL
Colombia;Americas;2007;72,889;44227550;COL
Comoros;Africa;1952;40,715;153936;COM
Comoros;Africa;1957;42,46;170928;COM
Comoros;Africa;1962;44,467;191689;COM
Comoros;Africa;1967;46,472;217378;COM
Comoros;Africa;1972;48,944;250027;COM
Comoros;Africa;1977;50,939;304739;COM
Comoros;Africa;1982;52,933;348643;COM
Comoros;Africa;1987;54,926;395114;COM
Comoros;Africa;1992;57,939;454429;COM
Comoros;Africa;1997;60,66;527982;COM
Comoros;Africa;2002;62,974;614382;COM
Comoros;Africa;2007;65,152;710960;COM
Congo, Dem. Rep.;Africa;1952;39,143;14100005;COD
Congo, Dem. Rep.;Africa;1957;40,652;15577932;COD
Congo, Dem. Rep.;Africa;1962;42,122;17486434;COD
Congo, Dem. Rep.;Africa;1967;44,056;19941073;COD
Congo, Dem. Rep.;Africa;1972;45,989;23007669;COD
Congo, Dem. Rep.;Africa;1977;47,804;26480870;COD
Congo, Dem. Rep.;Africa;1982;47,784;30646495;COD
Congo, Dem. Rep.;Africa;1987;47,412;35481645;COD
Congo, Dem. Rep.;Africa;1992;45,548;41672143;COD
Congo, Dem. Rep.;Africa;1997;42,587;47798986;COD
Congo, Dem. Rep.;Africa;2002;44,966;55379852;COD
Congo, Dem. Rep.;Africa;2007;46,462;64606759;COD
Congo, Rep.;Africa;1952;42,111;854885;COG
Congo, Rep.;Africa;1957;45,053;940458;COG
Congo, Rep.;Africa;1962;48,435;1047924;COG
Congo, Rep.;Africa;1967;52,04;1179760;COG
Congo, Rep.;Africa;1972;54,907;1340458;COG
Congo, Rep.;Africa;1977;55,625;1536769;COG
Congo, Rep.;Africa;1982;56,695;1774735;COG
Congo, Rep.;Africa;1987;57,47;2064095;COG
Congo, Rep.;Africa;1992;56,433;2409073;COG
Congo, Rep.;Africa;1997;52,962;2800947;COG
Congo, Rep.;Africa;2002;52,97;3328795;COG
Congo, Rep.;Africa;2007;55,322;3800610;COG
Costa Rica;Americas;1952;57,206;926317;CRI
Costa Rica;Americas;1957;60,026;1112300;CRI
Costa Rica;Americas;1962;62,842;1345187;CRI
Costa Rica;Americas;1967;65,424;1588717;CRI
Costa Rica;Americas;1972;67,849;1834796;CRI
Costa Rica;Americas;1977;70,75;2108457;CRI
Costa Rica;Americas;1982;73,45;2424367;CRI
Costa Rica;Americas;1987;74,752;2799811;CRI
Costa Rica;Americas;1992;75,713;3173216;CRI
Costa Rica;Americas;1997;77,26;3518107;CRI
Costa Rica;Americas;2002;78,123;3834934;CRI
Costa Rica;Americas;2007;78,782;4133884;CRI
Cote d'Ivoire;Africa;1952;40,477;2977019;CIV
Cote d'Ivoire;Africa;1957;42,469;3300000;CIV
Cote d'Ivoire;Africa;1962;44,93;3832408;CIV
Cote d'Ivoire;Africa;1967;47,35;4744870;CIV
Cote d'Ivoire;Africa;1972;49,801;6071696;CIV
Cote d'Ivoire;Africa;1977;52,374;7459574;CIV
Cote d'Ivoire;Africa;1982;53,983;9025951;CIV
Cote d'Ivoire;Africa;1987;54,655;10761098;CIV
Cote d'Ivoire;Africa;1992;52,044;12772596;CIV
Cote d'Ivoire;Africa;1997;47,991;14625967;CIV
Cote d'Ivoire;Africa;2002;46,832;16252726;CIV
Cote d'Ivoire;Africa;2007;48,328;18013409;CIV
Croatia;Europe;1952;61,21;3882229;HRV
Croatia;Europe;1957;64,77;3991242;HRV
Croatia;Europe;1962;67,13;4076557;HRV
Croatia;Europe;1967;68,5;4174366;HRV
Croatia;Europe;1972;69,61;4225310;HRV
Croatia;Europe;1977;70,64;4318673;HRV
Croatia;Europe;1982;70,46;4413368;HRV
Croatia;Europe;1987;71,52;4484310;HRV
Croatia;Europe;1992;72,527;4494013;HRV
Croatia;Europe;1997;73,68;4444595;HRV
Croatia;Europe;2002;74,876;4481020;HRV
Croatia;Europe;2007;75,748;4493312;HRV
Cuba;Americas;1952;59,421;6007797;CUB
Cuba;Americas;1957;62,325;6640752;CUB
Cuba;Americas;1962;65,246;7254373;CUB
Cuba;Americas;1967;68,29;8139332;CUB
Cuba;Americas;1972;70,723;8831348;CUB
Cuba;Americas;1977;72,649;9537988;CUB
Cuba;Americas;1982;73,717;9789224;CUB
Cuba;Americas;1987;74,174;10239839;CUB
Cuba;Americas;1992;74,414;10723260;CUB
Cuba;Americas;1997;76,151;10983007;CUB
Cuba;Americas;2002;77,158;11226999;CUB
Cuba;Americas;2007;78,273;11416987;CUB
Czech Republic;Europe;1952;66,87;9125183;CZE
Czech Republic;Europe;1957;69,03;9513758;CZE
Czech Republic;Europe;1962;69,9;9620282;CZE
Czech Republic;Europe;1967;70,38;9835109;CZE
Czech Republic;Europe;1972;70,29;9862158;CZE
Czech Republic;Europe;1977;70,71;10161915;CZE
Czech Republic;Europe;1982;70,96;10303704;CZE
Czech Republic;Europe;1987;71,58;10311597;CZE
Czech Republic;Europe;1992;72,4;10315702;CZE
Czech Republic;Europe;1997;74,01;10300707;CZE
Czech Republic;Europe;2002;75,51;10256295;CZE
Czech Republic;Europe;2007;76,486;10228744;CZE
Denmark;Europe;1952;70,78;4334000;DNK
Denmark;Europe;1957;71,81;4487831;DNK
Denmark;Europe;1962;72,35;4646899;DNK
Denmark;Europe;1967;72,96;4838800;DNK
Denmark;Europe;1972;73,47;4991596;DNK
Denmark;Europe;1977;74,69;5088419;DNK
Denmark;Europe;1982;74,63;5117810;DNK
Denmark;Europe;1987;74,8;5127024;DNK
Denmark;Europe;1992;75,33;5171393;DNK
Denmark;Europe;1997;76,11;5283663;DNK
Denmark;Europe;2002;77,18;5374693;DNK
Denmark;Europe;2007;78,332;5468120;DNK
Djibouti;Africa;1952;34,812;63149;DJI
Djibouti;Africa;1957;37,328;71851;DJI
Djibouti;Africa;1962;39,693;89898;DJI
Djibouti;Africa;1967;42,074;127617;DJI
Djibouti;Africa;1972;44,366;178848;DJI
Djibouti;Africa;1977;46,519;228694;DJI
Djibouti;Africa;1982;48,812;305991;DJI
Djibouti;Africa;1987;50,04;311025;DJI
Djibouti;Africa;1992;51,604;384156;DJI
Djibouti;Africa;1997;53,157;417908;DJI
Djibouti;Africa;2002;53,373;447416;DJI
Djibouti;Africa;2007;54,791;496374;DJI
Dominican Republic;Americas;1952;45,928;2491346;DOM
Dominican Republic;Americas;1957;49,828;2923186;DOM
Dominican Republic;Americas;1962;53,459;3453434;DOM
Dominican Republic;Americas;1967;56,751;4049146;DOM
Dominican Republic;Americas;1972;59,631;4671329;DOM
Dominican Republic;Americas;1977;61,788;5302800;DOM
Dominican Republic;Americas;1982;63,727;5968349;DOM
Dominican Republic;Americas;1987;66,046;6655297;DOM
Dominican Republic;Americas;1992;68,457;7351181;DOM
Dominican Republic;Americas;1997;69,957;7992357;DOM
Dominican Republic;Americas;2002;70,847;8650322;DOM
Dominican Republic;Americas;2007;72,235;9319622;DOM
Ecuador;Americas;1952;48,357;3548753;ECU
Ecuador;Americas;1957;51,356;4058385;ECU
Ecuador;Americas;1962;54,64;4681707;ECU
Ecuador;Americas;1967;56,678;5432424;ECU
Ecuador;Americas;1972;58,796;6298651;ECU
Ecuador;Americas;1977;61,31;7278866;ECU
Ecuador;Americas;1982;64,342;8365850;ECU
Ecuador;Americas;1987;67,231;9545158;ECU
Ecuador;Americas;1992;69,613;10748394;ECU
Ecuador;Americas;1997;72,312;11911819;ECU
Ecuador;Americas;2002;74,173;12921234;ECU
Ecuador;Americas;2007;74,994;13755680;ECU
Egypt;Africa;1952;41,893;22223309;EGY
Egypt;Africa;1957;44,444;25009741;EGY
Egypt;Africa;1962;46,992;28173309;EGY
Egypt;Africa;1967;49,293;31681188;EGY
Egypt;Africa;1972;51,137;34807417;EGY
Egypt;Africa;1977;53,319;38783863;EGY
Egypt;Africa;1982;56,006;45681811;EGY
Egypt;Africa;1987;59,797;52799062;EGY
Egypt;Africa;1992;63,674;59402198;EGY
Egypt;Africa;1997;67,217;66134291;EGY
Egypt;Africa;2002;69,806;73312559;EGY
Egypt;Africa;2007;71,338;80264543;EGY
El Salvador;Americas;1952;45,262;2042865;SLV
El Salvador;Americas;1957;48,57;2355805;SLV
El Salvador;Americas;1962;52,307;2747687;SLV
El Salvador;Americas;1967;55,855;3232927;SLV
El Salvador;Americas;1972;58,207;3790903;SLV
El Salvador;Americas;1977;56,696;4282586;SLV
El Salvador;Americas;1982;56,604;4474873;SLV
El Salvador;Americas;1987;63,154;4842194;SLV
El Salvador;Americas;1992;66,798;5274649;SLV
El Salvador;Americas;1997;69,535;5783439;SLV
El Salvador;Americas;2002;70,734;6353681;SLV
El Salvador;Americas;2007;71,878;6939688;SLV
Equatorial Guinea;Africa;1952;34,482;216964;GNQ
Equatorial Guinea;Africa;1957;35,983;232922;GNQ
Equatorial Guinea;Africa;1962;37,485;249220;GNQ
Equatorial Guinea;Africa;1967;38,987;259864;GNQ
Equatorial Guinea;Africa;1972;40,516;277603;GNQ
Equatorial Guinea;Africa;1977;42,024;192675;GNQ
Equatorial Guinea;Africa;1982;43,662;285483;GNQ
Equatorial Guinea;Africa;1987;45,664;341244;GNQ
Equatorial Guinea;Africa;1992;47,545;387838;GNQ
Equatorial Guinea;Africa;1997;48,245;439971;GNQ
Equatorial Guinea;Africa;2002;49,348;495627;GNQ
Equatorial Guinea;Africa;2007;51,579;551201;GNQ
Eritrea;Africa;1952;35,928;1438760;ERI
Eritrea;Africa;1957;38,047;1542611;ERI
Eritrea;Africa;1962;40,158;1666618;ERI
Eritrea;Africa;1967;42,189;1820319;ERI
Eritrea;Africa;1972;44,142;2260187;ERI
Eritrea;Africa;1977;44,535;2512642;ERI
Eritrea;Africa;1982;43,89;2637297;ERI
Eritrea;Africa;1987;46,453;2915959;ERI
Eritrea;Africa;1992;49,991;3668440;ERI
Eritrea;Africa;1997;53,378;4058319;ERI
Eritrea;Africa;2002;55,24;4414865;ERI
Eritrea;Africa;2007;58,04;4906585;ERI
Ethiopia;Africa;1952;34,078;20860941;ETH
Ethiopia;Africa;1957;36,667;22815614;ETH
Ethiopia;Africa;1962;40,059;25145372;ETH
Ethiopia;Africa;1967;42,115;27860297;ETH
Ethiopia;Africa;1972;43,515;30770372;ETH
Ethiopia;Africa;1977;44,51;34617799;ETH
Ethiopia;Africa;1982;44,916;38111756;ETH
Ethiopia;Africa;1987;46,684;42999530;ETH
Ethiopia;Africa;1992;48,091;52088559;ETH
Ethiopia;Africa;1997;49,402;59861301;ETH
Ethiopia;Africa;2002;50,725;67946797;ETH
Ethiopia;Africa;2007;52,947;76511887;ETH
Finland;Europe;1952;66,55;4090500;FIN
Finland;Europe;1957;67,49;4324000;FIN
Finland;Europe;1962;68,75;4491443;FIN
Finland;Europe;1967;69,83;4605744;FIN
Finland;Europe;1972;70,87;4639657;FIN
Finland;Europe;1977;72,52;4738902;FIN
Finland;Europe;1982;74,55;4826933;FIN
Finland;Europe;1987;74,83;4931729;FIN
Finland;Europe;1992;75,7;5041039;FIN
Finland;Europe;1997;77,13;5134406;FIN
Finland;Europe;2002;78,37;5193039;FIN
Finland;Europe;2007;79,313;5238460;FIN
France;Europe;1952;67,41;42459667;FRA
France;Europe;1957;68,93;44310863;FRA
France;Europe;1962;70,51;47124000;FRA
France;Europe;1967;71,55;49569000;FRA
France;Europe;1972;72,38;51732000;FRA
France;Europe;1977;73,83;53165019;FRA
France;Europe;1982;74,89;54433565;FRA
France;Europe;1987;76,34;55630100;FRA
France;Europe;1992;77,46;57374179;FRA
France;Europe;1997;78,64;58623428;FRA
France;Europe;2002;79,59;59925035;FRA
France;Europe;2007;80,657;61083916;FRA
Gabon;Africa;1952;37,003;420702;GAB
Gabon;Africa;1957;38,999;434904;GAB
Gabon;Africa;1962;40,489;455661;GAB
Gabon;Africa;1967;44,598;489004;GAB
Gabon;Africa;1972;48,69;537977;GAB
Gabon;Africa;1977;52,79;706367;GAB
Gabon;Africa;1982;56,564;753874;GAB
Gabon;Africa;1987;60,19;880397;GAB
Gabon;Africa;1992;61,366;985739;GAB
Gabon;Africa;1997;60,461;1126189;GAB
Gabon;Africa;2002;56,761;1299304;GAB
Gabon;Africa;2007;56,735;1454867;GAB
Gambia;Africa;1952;30;284320;GMB
Gambia;Africa;1957;32,065;323150;GMB
Gambia;Africa;1962;33,896;374020;GMB
Gambia;Africa;1967;35,857;439593;GMB
Gambia;Africa;1972;38,308;517101;GMB
Gambia;Africa;1977;41,842;608274;GMB
Gambia;Africa;1982;45,58;715523;GMB
Gambia;Africa;1987;49,265;848406;GMB
Gambia;Africa;1992;52,644;1025384;GMB
Gambia;Africa;1997;55,861;1235767;GMB
Gambia;Africa;2002;58,041;1457766;GMB
