Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
2020-03-17,1788786,32,1094949,49,83578,27,147391,53,18173,61,650444,71,4573,29
2020-03-18,1625280,29,1059502,47,74883,24,146118,53,15942,54,634853,69,4133,26
2020-03-19,1422112,26,933602,42,59538,19,144466,52,14116,47,569696,62,3452,22
2020-03-20,1309125,24,868602,39,50021,16,145160,53,12744,43,563261,61,3124,20
2020-03-21,619618,20,411491,31,12438,12,23700,17,6467,38,382992,44,1044,21
2020-03-22,408723,18,73517,7,8891,10,20830,22,4824,27,277050,34,641,20
2020-03-23,709499,13,59321,3,30564,10,139285,51,9902,33,361513,39,1639,10
2020-03-24,741587,13,60334,3,29785,10,139194,50,9133,31,395493,43,1727,11
2020-03-25,690032,12,51769,2,26143,8,138239,50,9512,32,375767,41,1572,10
2020-03-26,680360,12,49970,2,23809,8,138668,50,8795,30,390117,42,1563,10
2020-03-27,656817,12,45514,2,20355,6,138903,50,8409,28,396777,43,1495,9
2020-03-28,332393,11,19745,1,5279,5,19088,14,4491,27,240702,28,600,12
2020-03-29,263700,12,14307,1,4358,5,18152,19,3374,19,197154,24,419,13
2020-03-30,545215,10,33659,2,19741,6,137762,50,8084,27,344689,37,1140,7
2020-03-31,508106,9,32211,1,16194,5,137464,50,7672,26,337626,37,1043,7
2020-04-01,513481,9,29373,1,10548,3,9300,3,8151,28,342221,36,720,4
2020-04-02,485586,9,26788,1,10057,3,9492,3,7077,24,339734,36,882,5
2020-04-03,483357,9,24418,1,9657,3,9770,3,7794,27,340272,36,843,5
2020-04-04,282278,9,13168,1,3727,3,4451,3,4375,26,243323,27,425,8
2020-04-05,227303,9,9748,1,2969,3,3601,3,2763,15,209151,24,300,9
2020-04-06,445454,8,22418,1,10127,3,9832,3,7093,25,335768,36,819,5
2020-04-07,434986,8,21623,1,9312,3,9589,3,7041,24,335469,36,732,5
2020-04-08,427485,8,20361,1,9039,3,9292,3,6950,24,324881,35,721,4
2020-04-09,404635,7,18734,1,8413,3,8931,3,6243,22,303480,32,690,4
2020-04-10,400275,7,17135,1,8247,3,9573,3,5378,19,314099,33,672,4
2020-04-11,257061,8,9718,1,2749,2,4179,3,4235,25,254754,28,406,8
2020-04-12,198399,8,7041,1,2245,2,3281,3,2525,14,217871,25,294,9
2020-04-13,363312,7,14408,1,8192,3,8824,3,6205,21,284608,30,649,4
2020-04-14,430155,8,17937,1,8816,3,9592,3,6585,23,356104,38,791,5
2020-04-15,419059,8,16895,1,8596,3,9492,3,6928,24,340212,36,792,5
2020-04-16,420223,8,16632,1,8462,3,9528,3,6563,23,346341,37,790,5
2020-04-17,432368,8,16350,1,8271,3,9989,3,7048,24,378350,40,738,5
2020-04-18,254453,8,8115,1,2449,2,3965,3,4202,25,254734,28,339,7
2020-04-19,224411,9,6929,1,2159,2,3884,4,2742,15,276406,32,340,10
2020-04-20,437852,8,16522,1,8912,3,10063,4,7050,24,371776,40,770,5
2020-04-21,422107,8,15231,1,8264,3,9374,3,6613,23,356098,38,753,5
2020-04-22,458781,8,16487,1,8674,3,9694,3,7496,26,398703,42,793,5
2020-04-23,453520,8,15786,1,8425,3,9527,3,6969,24,386937,41,780,5
2020-04-24,443956,8,14237,1,7821,3,9722,3,7040,24,386935,41,688,4
2020-04-25,295387,9,8832,1,2869,3,4987,3,4719,28,350299,38,449,9
2020-04-26,218787,9,5498,1,1903,2,3495,3,2506,13,231540,27,309,9
2020-04-27,462888,8,15283,1,8828,3,10243,4,6922,24,384123,41,812,5
2020-04-28,489247,9,16380,1,9167,3,10531,4,7542,26,436346,46,826,5
2020-04-29,477799,9,15406,1,9100,3,10165,4,7844,27,410502,44,790,5
2020-04-30,465869,8,14062,1,9335,3,9971,3,7253,25,405168,43,764,5
2020-05-01,494549,9,14893,1,6200,2,9206,3,8332,28,445621,46,763,4
2020-05-02,325865,10,8912,1,3959,3,5908,4,5493,32,401938,42,489,10
2020-05-03,258865,11,6404,1,3314,3,4839,5,3263,19,353314,41,334,9
2020-05-04,511866,9,16315,1,11158,3,10764,4,8287,28,447424,46,897,5
2020-05-05,522085,9,16377,1,13265,4,10604,4,8445,29,462085,48,894,5
2020-05-06,508824,9,15677,1,14489,5,10107,4,8832,30,444179,46,822,5
2020-05-07,535073,9,16130,1,16139,5,11247,4,8509,29,488836,51,930,5
2020-05-08,526054,9,14571,1,15714,5,11242,4,8656,29,483830,50,811,5
2020-05-09,316883,10,7594,1,7651,6,6017,4,5055,29,371426,39,489,10
2020-05-10,271947,11,6367,1,7990,8,5878,6,3962,23,415867,49,406,12
2020-05-11,520873,9,15176,1,18349,6,11434,4,7636,26,458041,48,829,5
2020-05-12,553372,10,15989,1,19018,6,11488,4,8271,28,488406,51,914,5
2020-05-13,565377,10,16170,1,19356,6,11931,4,9437,32,509243,53,956,5
2020-05-14,567392,10,15905,1,19310,6,12131,4,8855,30,520395,54,923,5
2020-05-15,587808,10,15481,1,20092,6,12936,5,9473,32,562990,58,976,6
2020-05-16,360844,11,8742,1,11075,9,8100,5,5947,34,477097,50,485,10
2020-05-17,287418,12,6504,1,8793,9,6168,6,3577,21,391606,46,337,10
2020-05-18,595469,10,17206,1,22113,7,13141,5,8969,31,505314,53,1036,6
2020-05-19,610884,11,17296,1,21599,7,12777,4,9290,32,524482,54,1067,6
2020-05-20,623749,11,17674,1,22224,7,12753,4,10224,35,542409,56,1044,6
2020-05-21,629298,11,17565,1,22585,7,13294,5,9731,33,585552,61,1069,6
2020-05-22,633883,11,16453,1,22830,7,14711,5,9782,33,626983,65,1046,6
2020-05-23,335830,10,7186,1,10983,9,7613,5,5550,32,394091,41,420,9
2020-05-24,320015,13,6642,1,11871,12,8977,9,4117,24,461170,54,361,10
2020-05-25,393918,16,7996,1,19321,20,12982,12,5428,32,445015,52,441,13
2020-05-26,656766,11,17819,1,26691,8,14937,5,9875,34,587269,61,1173,7
2020-05-27,674465,12,17911,1,26483,8,14432,5,11088,38,601140,62,1240,7
2020-05-28,658057,12,17535,1,25175,8,14161,5,10030,34,584628,61,1191,7
2020-05-29,657259,11,16378,1,25070,8,15697,5,10185,35,598607,62,1094,6
2020-05-30,426737,13,9112,1,15557,13,11003,7,6143,35,537179,56,18,0
2020-05-31,344426,14,6724,1,13554,14,9390,9,4216,25,495487,58,2,0
2020-06-01,687162,12,17833,1,34339,10,16184,5,10760,37,595059,61,1358,8
2020-06-02,693760,12,16576,1,33769,10,16294,6,11206,38,579411,59,1516,9
2020-06-03,681714,12,17830,1,32523,10,15649,5,11962,41,582624,59,1323,8
2020-06-04,726672,13,18538,1,29771,9,17149,6,12000,41,650868,66,1346,8
2020-06-05,703576,13,16863,1,33482,10,18065,6,11698,40,643562,65,1249,8
2020-06-06,464198,14,8912,1,18090,15,12179,8,6591,38,551793,56,9,0
2020-06-07,377990,14,7579,1,16797,17,11231,10,4650,26,538418,58,95,2
2020-06-08,804542,14,25663,1,42630,13,20140,7,11957,41,644829,66,1596,10
2020-06-09,842306,15,26247,1,42274,13,19543,7,12869,44,680462,69,1662,10
2020-06-10,857015,15,26735,1,43083,13,20517,7,13616,46,680270,69,1767,11
2020-06-11,818297,15,24284,1,40961,12,19525,7,12514,43,656695,67,1576,10
2020-06-12,896658,16,24459,1,45072,14,24165,8,13224,45,765491,78,1656,10
2020-06-13,545316,17,12115,1,25355,21,16675,11,7794,45,631064,64,17,0
2020-06-14,430439,16,8731,1,20859,21,13794,13,5195,29,563725,61,7,0
2020-06-15,897112,16,27057,1,47545,14,22841,8,12953,44,674785,69,1813,11
2020-06-16,932671,17,28049,1,46876,14,22555,8,12939,44,695359,71,1874,12
2020-06-17,948461,17,27924,1,47166,14,24167,8,14595,50,709679,72,1857,11
2020-06-18,942382,17,27516,1,47851,14,24081,8,13808,47,729486,74,1936,12
2020-06-19,986929,38,25578,2,50201,51,27772,25,13868,77,797518,86,1751,45
2020-06-20,576075,18,11899,1,28959,24,18559,12,8185,47,666226,68,22,0
2020-06-21,449497,17,9072,1,27094,28,16719,15,6328,35,654913,71,0,0
2020-06-22,1000046,18,30863,1,53878,16,25367,9,13314,45,733290,75,2027,13
2020-06-23,1050786,19,32305,2,52898,16,24909,8,15069,51,744822,76,2219,14
2020-06-24,1068333,19,32504,2,52354,16,25277,9,15155,52,752749,77,2194,14
2020-06-25,1078796,19,32393,2,53444,16,25644,9,14854,51,781617,79,2210,14
2020-06-26,1102382,20,30480,1,55647,17,29700,10,15048,51,830887,85,2115,13
2020-06-27,615398,19,12942,1,26773,22,17932,11,8541,49,630730,64,686,14
2020-06-28,535898,20,10167,1,25680,26,15918,15,5748,32,623131,67,590,15
2020-06-29,1100769,20,33264,2,63309,19,28163,10,14705,50,767165,78,2317,14
2020-06-30,1113124,20,33996,2,57955,17,27077,9,15291,52,758785,77,2386,15
2020-07-01,1120537,21,32921,2,56505,18,27770,10,16451,58,779409,81,2305,17
2020-07-02,1170483,22,32730,2,64261,20,31948,11,15981,56,881471,92,2365,17
2020-07-03,851877,36,16862,2,56181,54,32049,30,10915,66,713240,81,1138,32
2020-07-04,591605,21,10769,1,38388,30,22085,14,8391,53,569212,62,690,14
2020-07-05,533692,23,9832,1,34569,33,19136,18,6280,38,659099,75,528,15
2020-07-06,1084956,21,31548,2,63862,20,30556,11,14886,53,750583,78,2222,16
2020-07-07,1157185,22,33595,2,61756,20,30507,11,16003,56,749832,78,2403,17
2020-07-08,1172279,22,34242,2,63048,20,30174,11,16980,60,758208,79,2454,18
2020-07-09,1211280,23,34762,2,65483,21,31913,11,17017,60,818034,85,2571,19
2020-07-10,1030632,20,25544,1,55929,18,29683,10,15738,56,712635,74,2117,15
2020-07-11,692977,25,12872,1,30059,24,18683,12,8453,53,625288,68,812,16
2020-07-12,628187,27,10966,1,34905,33,19859,19,7395,45,703589,80,731,20
2020-07-13,1175700,22,33302,2,66384,21,31876,11,15928,56,756122,79,2504,18
2020-07-14,1241080,24,35391,2,66321,21,31921,11,17081,60,794837,83,2669,19
2020-07-15,1248413,24,34701,2,66549,21,32603,12,18149,64,803399,84,2751,20
2020-07-16,1249128,24,34199,2,66732,21,33258,12,17230,61,819850,85,2756,20
2020-07-17,1207265,23,29696,1,64806,20,35414,13,16401,58,819471,85,2427,18
2020-07-18,778936,28,14335,1,41235,32,24071,16,9785,62,747444,81,786,15
2020-07-19,584994,25,9845,1,36429,35,18675,18,7052,43,696110,79,504,14
2020-07-20,1156735,22,30196,1,67721,21,32279,11,15957,56,770606,80,2428,18
2020-07-21,1241819,24,32482,2,67594,21,33213,12,16831,59,792954,82,2725,20
2020-07-22,1233668,23,33863,2,65348,21,32485,11,17582,62,784013,82,2716,20
2020-07-23,1233795,23,33999,2,65637,21,32975,12,17056,60,791577,82,2632,19
2020-07-24,1218138,23,29987,1,65889,21,36639,13,17311,61,826030,86,2511,18
2020-07-25,816604,29,14777,1,43340,34,25173,16,10350,65,769898,83,799,16
2020-07-26,606910,26,9711,1,36164,35,20170,19,7429,45,697533,79,542,15
2020-07-27,1203503,23,32072,2,70114,22,31568,11,16607,59,793224,83,2626,19
2020-07-28,1241770,24,33753,2,66687,21,31677,11,16892,60,782225,81,2635,19
2020-07-29,1296102,25,35257,2,69995,22,33733,12,18216,64,816959,85,2778,20
2020-07-30,1270172,24,33982,2,68958,22,34122,12,17333,61,820274,85,2746,20
2020-07-31,1258539,24,29917,1,67648,21,38040,13,17654,62,859774,89,2429,18
2020-08-01,842468,29,16087,1,44405,33,26261,17,10685,64,799744,83,904,19
2020-08-02,590060,25,9874,1,30502,29,17885,17,7431,41,648735,70,615,17
2020-08-03,1272996,25,36945,2,70779,23,32884,12,17594,63,818732,84,2955,22
2020-08-04,1027187,20,29426,1,36835,12,22286,8,14924,53,577415,59,1499,11
2020-08-05,1348202,26,38283,2,58005,19,26598,10,18299,66,847329,87,2824,21
2020-08-06,1334694,26,37059,2,66671,21,28283,10,19117,68,847497,87,3125,23
2020-08-07,1283894,25,32170,2,65969,21,32882,12,17502,63,844096,87,2741,20
2020-08-08,833287,28,15143,1,41729,31,23513,15,10613,64,730738,76,806,17
2020-08-09,662993,28,11534,1,37616,36,20503,20,8287,46,744618,81,649,18
2020-08-10,1275268,25,34883,2,73548,24,33500,12,18178,65,826000,85,2995,22
2020-08-11,1319814,26,36426,2,72436,23,33509,12,18546,66,821975,85,3164,24
2020-08-12,1298963,25,36053,2,68345,22,33736,12,19346,69,800864,82,3124,23
2020-08-13,1291277,25,34723,2,69223,22,33822,12,18608,67,819018,84,2971,22
2020-08-14,1355786,26,32713,2,72916,23,39342,14,18113,65,893657,92,3012,23
2020-08-15,860789,29,15522,1,46806,35,27677,18,11487,69,804345,84,974,21
2020-08-16,554451,23,8603,1,29858,29,18164,17,7902,44,620685,67,529,15
2020-08-17,1304485,25,34768,2,74453,24,35362,13,17377,62,806108,83,3058,23
2020-08-18,1369617,27,36646,2,74213,24,34361,13,19274,69,838007,86,2951,22
2020-08-19,1292148,25,34181,2,70104,22,34377,13,19915,71,816805,84,2783,21
2020-08-20,1410489,27,35059,2,75643,24,37078,14,19344,69,889781,92,2960,22
2020-08-21,1387463,27,31342,2,76062,24,41110,15,19035,68,909773,94,2769,21
2020-08-22,882522,30,13705,1,49095,37,27784,18,11456,69,812307,85,871,18
2020-08-23,671560,28,9698,1,37891,36,22496,22,8297,46,737096,80,633,18
2020-08-24,1307345,25,34021,2,75145,24,35904,13,17643,63,815664,84,2756,21
2020-08-25,1346490,26,34993,2,73331,23,35689,13,18682,67,821596,85,2845,21
2020-08-26,1407639,27,35975,2,76583,24,36621,13,20659,74,859624,88,3012,23
2020-08-27,1358272,26,33969,2,73060,23,35551,13,19271,69,847284,87,2856,21
2020-08-28,1388583,27,31956,2,76114,24,41222,15,18845,67,899891,93,2716,20
2020-08-29,773667,26,14035,1,37641,28,22234,15,9814,59,645955,67,798,17
2020-08-30,748061,31,16027,1,45147,43,26520,26,9752,54,805095,87,825,23
2020-08-31,1397264,27,787291,39,78122,25,37727,14,18185,65,817543,84,3184,24
2020-09-01,1469274,25,947758,41,76483,23,36035,12,18929,64,809684,85,3217,19
2020-09-02,1487969,26,972213,42,77585,24,36159,13,19990,67,810144,85,3192,19
2020-09-03,1529185,26,1022623,44,82554,25,39920,14,19992,67,869126,91,3327,19
2020-09-04,1568385,27,1030811,44,88345,27,47152,16,20223,68,936602,98,3148,18
2020-09-05,1013725,31,715922,51,50550,43,34621,23,12118,71,798822,84,21,1
2020-09-06,819409,32,559273,51,44727,45,28565,27,10160,59,753035,85,191,7
2020-09-07,870964,34,615802,56,80050,81,27326,26,9261,54,697865,79,1210,41
2020-09-08,1555816,27,1039401,45,90603,28,42963,15,19806,67,833995,88,3496,20
2020-09-09,1610076,28,1072887,46,86063,26,41954,15,21801,73,825411,87,3586,21
2020-09-10,1543662,27,997030,43,82142,25,39296,14,20181,68,801431,84,3403,20
2020-09-11,1690334,29,1070920,46,88582,27,47781,17,20809,70,895765,94,3442,20
2020-09-12,1083698,34,752875,54,44546,38,32400,21,12349,72,800189,84,29,1
2020-09-13,796740,31,557231,51,36686,37,24009,23,9315,54,703809,80,4,0
2020-09-14,1604381,28,1065601,46,89498,27,41286,14,19888,67,799572,84,3515,21
2020-09-15,1678078,29,1091806,47,87025,27,41288,14,20763,70,815699,86,3696,22
2020-09-16,1686909,29,1097389,47,87034,27,41417,14,22070,74,816708,86,3496,20
2020-09-17,1692368,29,1094592,47,86854,27,42339,15,21005,71,848024,89,3617,21
2020-09-18,1725443,30,1083295,47,90657,28,48213,17,20702,70,894931,94,3367,20
2020-09-19,1136947,35,752437,54,46777,40,34608,23,12246,71,802613,84,1001,24
2020-09-20,827605,33,558863,51,38973,39,26328,25,9269,54,705596,80,760,26
2020-09-21,1624139,28,1058256,46,89706,27,41901,15,19488,66,788504,83,3497,20
2020-09-22,1698504,29,1095678,47,87376,27,41389,14,21103,71,808350,85,3821,22
2020-09-23,1735333,30,1119904,48,88998,27,42506,15,22501,76,834468,88,3710,22
2020-09-24,1722364,30,1107707,48,89129,27,42969,15,21554,73,857578,90,3816,22
2020-09-25,1761591,31,1110956,48,92506,28,49819,17,21233,72,912599,96,3708,22
2020-09-26,1120143,35,755197,54,47169,40,35771,23,12128,71,824514,86,32,1
2020-09-27,846179,33,576684,52,39994,40,28480,27,9491,55,731090,83,5,0
2020-09-28,1489240,26,985185,42,89664,27,43237,15,17678,60,753158,79,3371,20
2020-09-29,1661264,29,1057135,46,88444,27,40515,14,20517,69,790861,83,3632,21
2020-09-30,1740820,30,1101663,47,89223,27,41967,15,21424,72,822682,86,3704,22
2020-10-01,1809958,31,1159859,51,86082,27,42390,15,22309,75,870605,94,4003,22
2020-10-02,1790612,31,1115793,49,87291,28,48883,17,21626,73,891268,96,3589,20
2020-10-03,1168040,35,777674,56,45018,40,36907,24,12759,72,810625,86,33,1
2020-10-04,852830,35,570608,57,34976,38,27667,26,10010,54,706562,84,761,20
2020-10-05,1678792,29,1102675,49,88694,28,42257,15,19971,67,783540,84,3587,20
2020-10-06,1758454,31,1137217,50,87748,28,43803,15,21475,72,802900,87,3866,22
2020-10-07,1770617,31,1123231,50,87119,28,43534,15,23027,77,814866,88,3791,21
2020-10-08,1798005,31,1126770,50,87959,28,44802,15,21964,74,845788,91,3913,22
2020-10-09,1808079,31,1117172,50,78663,25,52686,18,21274,71,896404,97,3700,21
2020-10-10,1170227,35,771088,55,44528,39,41409,27,12627,71,823775,87,1430,31
2020-10-11,848469,35,564051,56,34593,38,28784,27,9470,52,692668,82,1049,28
2020-10-12,1284655,22,767564,34,76776,24,39838,14,15722,53,685981,74,2237,13
2020-10-13,1715183,30,1063680,47,76552,24,42205,15,20909,70,765671,82,3670,21
2020-10-14,1838682,32,1162256,52,89173,28,45148,16,23169,78,824528,89,3956,22
2020-10-15,1853753,32,1152434,51,90288,29,46249,16,22834,77,866244,93,4069,23
2020-10-16,1671320,29,974110,43,83798,27,47291,16,20776,70,820105,88,3366,19
2020-10-17,1209473,36,778070,56,43768,39,37764,25,11831,67,794519,84,1588,35
2020-10-18,896812,37,583350,58,34682,38,30690,29,9998,54,752261,89,1074,28
2020-10-19,1719153,30,1105134,49,89186,28,44368,15,20812,70,782238,84,3570,20
2020-10-20,1780231,31,1119283,50,86591,28,42741,15,21936,74,790017,85,3859,22
2020-10-21,1812949,32,1140385,51,86210,27,44102,15,22959,77,806737,87,3848,22
2020-10-22,1825208,32,1140210,51,88686,28,45770,16,22391,75,845063,91,3927,22
2020-10-23,1842588,32,1123540,50,89931,29,51765,18,21766,73,881994,95,3680,21
2020-10-24,1185612,36,775122,56,43618,38,38673,25,12916,73,805453,85,0,0
2020-10-25,885001,36,572347,57,33678,37,28321,27,10074,55,725808,86,0,0
2020-10-26,1690651,29,1061566,47,86745,28,43557,15,20817,70,760603,82,3429,19
2020-10-27,1815242,32,1143906,51,87401,28,43340,15,21870,73,789371,85,3642,20
2020-10-28,1819352,32,1119450,50,86652,28,43289,15,23258,78,801965,86,3676,21
2020-10-29,1705072,30,987440,44,81794,26,41157,14,20925,70,776466,84,3539,20
2020-10-30,1768018,31,1030639,46,84254,27,47967,16,21243,71,824679,89,3270,18
2020-10-31,1174059,35,747636,54,41538,37,34077,22,12816,72,743811,79,20,0
2020-11-01,786675,31,510820,51,29495,31,22602,22,10180,54,660914,80,3,0
2020-11-02,1747908,31,1072262,49,87198,27,40609,14,21127,68,772129,82,3535,21
2020-11-03,1602912,28,1027710,47,82140,25,39749,14,20416,65,720561,76,3184,19
2020-11-04,1690489,30,1089354,50,81551,25,38818,14,22174,71,754703,80,3448,20
2020-11-05,1793796,32,1130774,52,86987,26,41550,15,22937,73,818991,87,3793,22
2020-11-06,1837314,33,1120729,51,89499,27,48138,17,22659,73,858167,91,3546,21
2020-11-07,1246321,39,752851,57,46368,40,35870,24,13409,79,790711,87,35,1
2020-11-08,927670,37,587220,59,38485,41,27961,27,10474,56,726041,88,846,28
2020-11-09,1752614,31,1111203,51,91681,28,42627,15,21444,69,773216,82,3561,21
2020-11-10,1836902,33,1151911,53,91532,28,43083,15,23138,74,800964,85,3848,23
2020-11-11,1614812,64,969123,97,83306,88,40073,38,20263,108,713639,87,3050,99
2020-11-12,1776666,32,1054132,48,86189,26,40381,14,22059,71,779141,83,3546,21
2020-11-13,1816693,32,1061680,48,86252,26,45127,16,22054,71,821059,87,3332,20
2020-11-14,1215477,38,755951,57,41422,36,31397,21,12928,76,735029,81,14,0
2020-11-15,820858,33,528421,53,30948,33,20946,20,9763,52,596389,72,697,23
2020-11-16,1741750,31,1079560,49,89463,27,41961,15,21851,70,757987,80,3532,21
2020-11-17,1788847,32,1092416,50,86965,26,40078,14,22524,72,764724,81,3584,21
2020-11-18,1787688,32,1065597,49,84069,26,39693,14,23390,75,776421,82,3495,21
2020-11-19,1757535,31,1056928,48,84662,26,40122,14,21780,70,800461,85,3529,21
2020-11-20,1800423,32,1079029,49,87402,27,44683,16,22945,73,843069,89,3473,20
2020-11-21,1157957,37,750801,57,39204,34,27716,18,13193,78,742369,82,19,1
2020-11-22,817963,32,542124,54,31019,33,20269,19,10694,57,598348,73,92,3
2020-11-23,1646525,29,1005225,46,87693,27,40668,14,21297,68,755374,80,3223,19
2020-11-24,1735702,31,1068789,49,89805,27,41772,15,22814,73,821449,87,3405,20
2020-11-25,1688227,30,1037242,47,93444,28,46209,16,21450,69,853222,90,3166,19
2020-11-26,652276,26,444391,45,72572,77,20393,20,12151,65,564192,68,847,28
2020-11-27,1263473,50,815993,82,77273,82,25009,24,12395,66,671213,81,2046,67
2020-11-28,1032823,33,689580,52,37770,33,24688,16,10808,64,649087,71,1203,35
2020-11-29,826974,33,548548,55,32628,35,21898,21,9360,50,631798,77,826,27
2020-11-30,1459131,26,849277,39,80033,24,37026,13,19751,63,652663,69,3035,18
2020-12-01,1706348,32,1068627,53,73589,23,35225,13,21693,74,752069,85,3432,22
2020-12-02,1699968,32,1026056,51,73631,23,35615,13,22712,78,746840,84,3277,21
2020-12-03,1736045,33,1070197,53,75093,24,37013,13,22941,79,767310,87,3325,21
2020-12-04,1701628,32,1024641,51,72062,23,39228,14,21960,75,775709,88,3121,20
2020-12-05,1000240,30,617332,49,33528,26,19727,13,10151,59,572557,65,996,20
2020-12-06,878393,35,547330,56,35055,33,19652,18,9904,56,590525,74,885,26
2020-12-07,1656627,31,1032813,52,77787,25,36890,13,21424,73,729674,82,3209,21
2020-12-08,1540893,29,1034410,52,75033,24,36403,13,22177,76,744112,84,3185,20
2020-12-09,1701926,32,1018247,51,74734,24,35917,13,22459,77,749886,85,3233,21
2020-12-10,1761336,33,1075970,54,76847,24,37600,13,22845,78,784406,89,3346,21
2020-12-11,1786290,33,1064457,53,79717,25,42420,15,22751,78,821871,93,3278,21
2020-12-12,1091352,33,703892,55,41791,33,24118,15,12307,71,671668,76,20,0
2020-12-13,911439,36,582389,60,39293,37,22669,21,10208,57,659446,83,80,2
2020-12-14,1584089,30,955525,48,75008,24,36057,13,21333,73,723908,82,2979,19
2020-12-15,1783388,33,1088287,54,78446,25,38322,14,23432,80,819063,92,3353,21
2020-12-16,1569079,29,853797,43,68092,22,33572,12,19296,66,625006,71,2899,19
2020-12-17,1079818,20,523854,26,21417,7,12527,4,9940,34,297298,34,1613,10
2020-12-18,1735664,33,943587,47,74908,24,41287,15,17537,60,736356,83,3063,20
2020-12-19,1112827,34,670787,53,41101,32,24217,15,11589,67,651814,74,25,1
2020-12-20,821265,32,516593,53,32597,31,18767,17,9585,54,555254,70,736,22
2020-12-21,1716035,32,1028489,51,81225,26,39814,14,21647,74,777049,88,3244,21
2020-12-22,1760948,33,1046799,52,82001,26,39579,14,22820,78,814975,92,3254,21
2020-12-23,1772537,33,1048565,52,84404,27,42100,15,23305,80,864271,98,3201,21
2020-12-24,1312480,25,822916,41,75759,24,38899,14,15928,55,760624,86,2176,14
2020-12-25,485208,19,314171,32,51348,48,14435,13,8611,48,476547,60,631,19
2020-12-26,879170,26,559111,44,36047,28,22076,14,9094,53,593895,67,1014,20
2020-12-27,760350,30,474033,48,34432,32,20470,19,9457,53,594862,75,901,27
2020-12-28,1510168,28,922336,46,81566,26,41012,15,18820,65,743305,84,3027,19
2020-12-29,1555198,29,930711,46,78904,25,39416,14,19717,68,759864,86,3097,20
2020-12-30,1582486,30,948194,47,79298,25,40962,15,20922,72,799839,90,2990,19
2020-12-31,1274984,24,792993,40,75157,24,39947,14,17167,59,704297,79,2162,14
2021-01-01,613692,29,378288,41,28977,35,14988,17,5960,44,445950,65,805,29
2021-01-02,988418,37,608686,51,28879,30,23139,18,10450,72,624765,82,1194,29
2021-01-03,653187,31,413820,45,20819,25,15546,17,9745,72,496494,73,728,27
2021-01-04,1557977,30,964597,47,71078,24,35679,13,20612,73,688045,79,3260,20
2021-01-05,1597518,31,990479,48,70424,23,35805,13,21641,76,708610,82,3392,21
2021-01-06,1613629,31,996123,49,70289,23,35857,13,22795,81,726679,84,3260,20
2021-01-07,1611099,31,989097,48,69695,23,36344,14,21571,76,736609,85,3149,19
2021-01-08,1619242,31,982175,48,68649,23,39102,15,21641,76,754548,87,3017,18
2021-01-09,990412,37,643475,54,26962,28,22332,17,12023,83,630790,83,806,20
