_ - rank,_ - code,prob,Average annual wage,education,occupation,short occupation,len,probability,numbEmployed,median_ann_wage,employed_may2016,average_ann_wage
242,13-1078,0.31,64250,Bachelor's degree,"Human Resources, Training and Labor Relations Specialists, All Other","Human Resources, Training and Labor Relations Specialists, All Other",68,0.31,79430,62310,79430,64250
65,43-1011,0.014,57890,High school diploma or equivalent,First-Line Supervisors of Office and Administrative Support Workers,First-Line Supervisors of Office and Administrative Support Workers,67,0.014,1443150,54340,1443150,57890
400,51-6063,0.73,28380,High school diploma or equivalent,"Textile Knitting and Weaving Machine Setters, Operators and Tenders","Textile Knitting and Weaving Machine Setters, Operators and Tenders",67,0.73,21550,27470,21550,28380
571,35-3021,0.92,20460,No formal educational credential,"Combined Food Preparation and Serving Workers, Including Fast Food","Combined Food Preparation and Serving Workers, Including Fast Food",66,0.92,3426090,19440,3426090,20460
347,49-9012,0.63,56180,High school diploma or equivalent,"Control and Valve Installers and Repairers, Except Mechanical Door",Control and Valve Installers and Repairers,66,0.63,45740,54520,45740,56180
419,19-4091,0.77,47930,Associate's degree,"Environmental Science and Protection Technicians, Including Health","Environmental Science and Protection Technicians, Including Health",66,0.77,32950,44190,32950,47930
189,17-2151,0.14,103010,Bachelor's degree,"Mining and Geological Engineers, Including Mining Safety Engineers","Mining and Geological Engineers, Including Mining Safety Engineers",66,0.14,6940,93720,6940,103010
587,51-4022,0.93,38710,High school diploma or equivalent,"Forging Machine Setters, Operators and Tenders, Metal and Plastic","Forging Machine Setters, Operators and Tenders, Metal and Plastic",65,0.93,19160,36930,19160,38710
471,51-4023,0.83,41900,High school diploma or equivalent,"Rolling Machine Setters, Operators and Tenders, Metal and Plastic","Rolling Machine Setters, Operators and Tenders, Metal and Plastic",65,0.83,29060,40680,29060,41900
645,51-7042,0.97,29850,High school diploma or equivalent,"Woodworking Machine Setters, Operators and Tenders, Except Sawing","Woodworking Machine Setters, Operators and Tenders",65,0.97,76130,28510,76130,29850
220,13-1011,0.24,86560,Bachelor's degree,"Agents and Business Managers of Artists, Performers and Athletes","Agents and Business Managers of Artists, Performers and Athletes",64,0.24,13470,62080,13470,86560
71,11-9031,0.015,52150,Bachelor's degree,"Education Administrators, Preschool and Childcare Center/Program","Education Administrators, Preschool and Childcare Center/Program",64,0.015,48530,45790,48530,52150
361,49-2097,0.65,39340,Postsecondary nondegree award,Electronic Home Entertainment Equipment Installers and Repairers,Electronic Home Entertainment Equipment Installers and Repairers,64,0.65,25550,37410,25550,39340
318,45-1011,0.57,48820,High school diploma or equivalent,"First-Line Supervisors of Farming, Fishing and Forestry Workers","First-Line Supervisors of Farming, Fishing and Forestry Workers",63,0.57,19550,45320,19550,48820
207,39-4831,0.2,54700,Associate's degree,"Funeral Service Managers, Directors, Morticians and Undertakers","Funeral Service Managers, Directors, Morticians and Undertakers",63,0.2,25850,50090,25850,54700
389,51-8093,0.71,67870,High school diploma or equivalent,"Petroleum Pump System Operators, Refinery Operators and Gaugers","Petroleum Pump System Operators, Refinery Operators and Gaugers",63,0.71,41630,67400,41630,67870
632,35-3022,0.96,21380,No formal educational credential,"Counter Attendants, Cafeteria, Food Concession and Coffee Shop","Counter Attendants, Cafeteria, Food Concession and Coffee Shop",62,0.96,499550,19970,499550,21380
10,33-1021,0.0036,77050,Postsecondary nondegree award,First-Line Supervisors of Fire Fighting and Prevention Workers,First-Line Supervisors of Fire Fighting and Prevention Workers,62,0.0036,57170,74540,57170,77050
349,35-1012,0.63,34700,High school diploma or equivalent,First-Line Supervisors of Food Preparation and Serving Workers,First-Line Supervisors of Food Preparation and Serving Workers,62,0.63,908550,31480,908550,34700
617,47-2073,0.95,50560,High school diploma or equivalent,Operating Engineers and Other Construction Equipment Operators,Operating Engineers and Other Construction Equipment Operators,62,0.95,356750,45890,356750,50560
338,43-4181,0.61,38050,High school diploma or equivalent,Reservation and Transportation Ticket Agents and Travel Clerks,Reservation and Transportation Ticket Agents and Travel Clerks,62,0.61,146350,35230,146350,38050
498,51-4011,0.86,39590,High school diploma or equivalent,"Computer-Controlled Machine Tool Operators, Metal and Plastic","Computer-Controlled Machine Tool Operators, Metal and Plastic",61,0.86,146190,37880,146190,39590
334,49-2096,0.61,34200,Postsecondary nondegree award,"Electronic Equipment Installers and Repairers, Motor Vehicles","Electronic Equipment Installers and Repairers, Motor Vehicles",61,0.61,11750,32220,11750,34200
490,43-6011,0.86,57910,High school diploma or equivalent,Executive Secretaries and Executive Administrative Assistants,Executive Secretaries and Executive Administrative Assistants,61,0.86,631610,55860,631610,57910
2,49-1011,0.003,66730,High school diploma or equivalent,"First-Line Supervisors of Mechanics, Installers and Repairers","First-Line Supervisors of Mechanics, Installers and Repairers",61,0.003,453330,63540,453330,66730
367,37-2011,0.66,27030,No formal educational credential,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Janitors and Cleaners,61,0.66,2161740,24190,2161740,27030
591,43-9051,0.94,30580,High school diploma or equivalent,"Mail Clerks and Mail Machine Operators, Except Postal Service",Mail Clerks and Mail Machine Operators,61,0.94,91530,29160,91530,30580
694,51-9151,0.99,31740,High school diploma or equivalent,Photographic Process Workers and Processing Machine Operators,Photographic Process Workers and Processing Machine Operators,61,0.99,26430,26470,26430,31740
423,13-1023,0.77,67420,Bachelor's degree,"Purchasing Agents, Except Wholesale, Retail and Farm Products",Purchasing Agents,61,0.77,297600,63300,"Education Administrators, Preschool and Childcare Center/Program",67420
353,23-1021,0.64,95240,Doctoral or professional degree,"Administrative Law Judges, Adjudicators and Hearing Officers","Administrative Law Judges, Adjudicators and Hearing Officers",60,0.64,14540,92110,14540,95240
436,51-2011,0.79,52530,High school diploma or equivalent,"Aircraft Structure, Surfaces, Rigging and Systems Assemblers","Aircraft Structure, Surfaces, Rigging and Systems Assemblers",60,0.79,42010,50050,42010,52530
131,27-1013,0.042,57410,Bachelor's degree,"Fine Artists, Including Painters, Sculptors and Illustrators","Fine Artists, Including Painters, Sculptors and Illustrators",60,0.042,11520,50790,11520,57410
607,37-1011,0.94,41240,High school diploma or equivalent,First-Line Supervisors of Housekeeping and JanitorialWorkers,First-Line Supervisors of Housekeeping and JanitorialWorkers,60,0.94,161140,38190,161140,41240
603,47-3014,0.94,28760,No formal educational credential,"Helpers–Painters, Paperhangers, Plasterers and Stucco Masons","Helpers–Painters, Paperhangers, Plasterers and Stucco Masons",60,0.94,10780,27310,10780,28760
597,49-9091,0.94,34860,High school diploma or equivalent,"Coin, Vending and Amusement Machine Servicers and Repairers","Coin, Vending and Amusement Machine Servicers and Repairers",59,0.94,33600,33070,33600,34860
255,51-9051,0.37,37600,High school diploma or equivalent,"Furnace, Kiln, Oven, Drier and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier and Kettle Operators and Tenders",59,0.37,19520,36040,19520,37600
74,41-3031,0.016,102260,Bachelor's degree,"Securities, Commodities and Financial Services Sales Agents","Securities, Commodities and Financial Services Sales Agents",59,0.016,353780,67310,353780,102260
496,51-9032,0.86,34000,High school diploma or equivalent,"Cutting and Slicing Machine Setters, Operators and Tenders","Cutting and Slicing Machine Setters, Operators and Tenders",58,0.86,61330,32870,61330,34000
555,35-9011,0.91,22340,No formal educational credential,Dining Room and Cafeteria Attendants and Bartender Helpers,Dining Room and Cafeteria Attendants and Bartender Helpers,58,0.91,423080,20200,423080,22340
113,19-2041,0.033,75360,Bachelor's degree,"Environmental Scientists and Specialists, Including Health","Environmental Scientists and Specialists, Including Health",58,0.033,84250,68910,84250,75360
73,51-1011,0.016,61450,High school diploma or equivalent,First-Line Supervisors of Production and Operating Workers,First-Line Supervisors of Production and Operating Workers,58,0.016,610480,57780,610480,61450
320,47-3015,0.57,30640,High school diploma or equivalent,"Helpers–Pipelayers, Plumbers, Pipefitters and Steamfitters","Helpers–Pipelayers, Plumbers, Pipefitters and Steamfitters",58,0.57,54080,29030,54080,30640
532,43-4161,0.9,40100,Associate's degree,"Human Resources Assistants, Except Payroll and Timekeeping",Human Resources Assistants,58,0.9,137150,39020,137150,40100
582,49-2021,0.93,53620,Associate's degree,"Radio, Cellular and Tower Equipment Installers and Repairs","Radio, Cellular and Tower Equipment Installers and Repairs",58,0.93,14120,52480,14120,53620
650,51-6061,0.97,28480,High school diploma or equivalent,Textile Bleaching and Dyeing Machine Operators and Tenders,Textile Bleaching and Dyeing Machine Operators and Tenders,58,0.97,10860,27270,10860,28480
22,11-9032,0.0046,95390,Master's degree,"Education Administrators, Elementary and Secondary School","Education Administrators, Elementary and Secondary School",57,0.0046,242970,92510,242970,95390
292,47-5031,0.48,54580,High school diploma or equivalent,"ExplosivesWorkers, Ordnance Handling Experts and Blasters","ExplosivesWorkers, Ordnance Handling Experts and Blasters",57,0.48,6310,52170,6310,54580
142,29-9799,0.055,57960,Postsecondary nondegree award,"Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other",57,0.055,36000,48820,36000,57960
462,51-9023,0.83,37630,High school diploma or equivalent,"Mixing and BlendingMachine Setters, Operators and Tenders","Mixing and BlendingMachine Setters, Operators and Tenders",57,0.83,130480,35680,130480,37630
224,21-1092,0.25,55380,Bachelor's degree,Probation Officers and Correctional Treatment Specialists,Probation Officers and Correctional Treatment Specialists,57,0.25,87500,50160,87500,55380
339,51-8031,0.61,47930,High school diploma or equivalent,Water and Wastewater Treatment Plant and System Operators,Water and Wastewater Treatment Plant and System Operators,57,0.61,115840,45760,115840,47930
611,43-5111,0.95,31080,High school diploma or equivalent,"Weighers, Measurers, Checkers and Samplers, Recordkeeping","Weighers, Measurers, Checkers and Samplers, Recordkeeping",57,0.95,74460,28790,74460,31080
340,19-4099,0.61,49270,Associate's degree,"Life, Physical and Social Science Technicians, All Other","Life, Physical and Social Science Technicians, All Other",56,0.61,68540,46040,68540,49270
578,49-3053,0.93,35320,High school diploma or equivalent,Outdoor Power Equipment and Other Small Engine Mechanics,Outdoor Power Equipment and Other Small Engine Mechanics,56,0.93,33020,33730,33020,35320
654,37-3012,0.97,35720,High school diploma or equivalent,"Pesticide Handlers, Sprayers and Applicators, Vegetation","Pesticide Handlers, Sprayers and Applicators, Vegetation",56,0.97,25230,33740,25230,35720
446,11-9141,0.81,70290,High school diploma or equivalent,"Property, Real Estate and Community Association Managers","Property, Real Estate and Community Association Managers",56,0.81,180290,57040,180290,70290
405,49-2011,0.74,39410,"Some college, no degree","Computer, Automated Teller and Office Machine Repairers","Computer, Automated Teller and Office Machine Repairers",55,0.74,102170,37100,102170,39410
44,21-1012,0.0085,57620,Master's degree,"Educational, Guidance, School and Vocational Counselors","Educational, Guidance, School and Vocational Counselors",55,0.0085,260670,54560,260670,57620
85,29-1199,0.02,84800,Master's degree,"Health Diagnosing and Treating Practitioners, All Other","Health Diagnosing and Treating Practitioners, All Other",55,0.02,36280,74530,36280,84800
668,35-9031,0.97,21410,No formal educational credential,"Hosts and Hostesses, Restaurant, Lounge and Coffee Shop",Hosts and Hostesses,19,0.97,404360,19980,404360,21410
300,49-9799,0.5,41810,High school diploma or equivalent,"Installation, Maintenance and Repair Workers, All Other","Installation, Maintenance and Repair Workers, All Other",55,0.5,146460,38480,146460,41810
332,27-4031,0.6,63200,Bachelor's degree,"Camera Operators, Television, Video and Motion Picture","Camera Operators, Television, Video and Motion Picture",54,0.6,21710,55080,21710,63200
540,51-9195,0.9,32590,High school diploma or equivalent,"Molders, Shapers and Casters, Except Metal and Plastic","Molders, Shapers and Casters",54,0.9,39450,30610,39450,32590
612,51-6062,0.95,27860,High school diploma or equivalent,"Textile Cutting Machine Setters, Operators and Tenders","Textile Cutting Machine Setters, Operators and Tenders",54,0.95,15040,26090,15040,27860
495,31-9096,0.86,26810,High school diploma or equivalent,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Assistants and Laboratory Animal Caretakers,54,0.86,79990,25250,79990,26810
404,49-3031,0.73,46710,High school diploma or equivalent,Bus and Truck Mechanics and Diesel Engine Specialists,Bus and Truck Mechanics and Diesel Engine Specialists,53,0.73,254280,45170,254280,46710
45,25-2032,0.0088,59480,Bachelor's degree,"Career/Technical Education Teachers, Secondary School","Career/Technical Education Teachers, Secondary School",53,0.0088,80100,57320,80100,59480
602,53-7032,0.94,45230,High school diploma or equivalent,Excavating and Loading Machine and Dragline Operators,Excavating and Loading Machine and Dragline Operators,53,0.94,48320,41030,48320,45230
615,33-9031,0.95,35280,High school diploma or equivalent,Gaming Surveillance Officers and Gaming Investigators,Gaming Surveillance Officers and Gaming Investigators,53,0.95,10460,32630,10460,35280
483,53-7062,0.85,28720,No formal educational credential,"Laborers and Freight, Stock and Material Movers, Hand","Laborers and Freight, Stock and Material Movers, Hand",53,0.85,2587900,25980,2587900,28720
528,47-4061,0.89,52810,High school diploma or equivalent,Rail-Track Laying and Maintenance Equipment Operators,Rail-Track Laying and Maintenance Equipment Operators,53,0.89,14250,53970,14250,52810
574,51-9193,0.93,32100,High school diploma or equivalent,Cooling and Freezing Equipment Operators and Tenders,Cooling and Freezing Equipment Operators and Tenders,52,0.93,8170,29190,8170,32100
20,25-2021,0.0044,59020,Bachelor's degree,"Elementary School Teachers, Except Special Education",Elementary School Teachers,52,0.0044,1392660,55800,1392660,59020
434,49-9098,0.79,29370,High school diploma or equivalent,"Helpers–Installation, Maintenance and Repair Workers","Helpers–Installation, Maintenance and Repair Workers",52,0.79,118720,27510,118720,29370
270,25-9011,0.39,50130,Bachelor's degree,Audio-Visual and Multimedia Collections Specialists,Audio-Visual and Multimedia Collections Specialists,51,0.39,10300,47840,10300,50130
286,13-1141,0.47,66490,Bachelor's degree,"Compensation, Benefits and Job Analysis Specialists","Compensation, Benefits and Job Analysis Specialists",51,0.47,79190,62080,79190,66490
221,17-3029,0.24,64050,Associate's degree,"Engineering Technicians, Except Drafters, All Other",Engineering Technicians,51,0.24,74290,62330,74290,64050
670,51-9061,0.98,40340,High school diploma or equivalent,"Inspectors, Testers, Sorters, Samplers and Weighers","Inspectors, Testers, Sorters, Samplers and Weighers",51,0.98,518950,36780,518950,40340
681,51-9111,0.98,30910,High school diploma or equivalent,Packaging and Filling Machine Operators and Tenders,Packaging and Filling Machine Operators and Tenders,51,0.98,386520,28290,386520,30910
493,51-7041,0.86,29960,High school diploma or equivalent,"Sawing Machine Setters, Operators and Tenders, Wood","Sawing Machine Setters, Operators and Tenders, Wood",51,0.86,50640,28380,50640,29960
412,53-6061,0.75,31080,High school diploma or equivalent,"Transportation Attendants, Except Flight Attendants",Transportation Attendants,51,0.75,18410,26060,18410,31080
229,25-2023,0.26,60350,Bachelor's degree,"Career/Technical Education Teachers, Middle School","Career/Technical Education Teachers, Middle School",50,0.26,12730,57560,12730,60350
474,17-3023,0.84,62950,Associate's degree,Electrical and Electronics Engineering Technicians,Electrical and Electronics Engineering Technicians,50,0.84,134870,62190,134870,62950
156,41-1012,0.075,85830,High school diploma or equivalent,First-Line Supervisors of Non-Retail Sales Workers,First-Line Supervisors of Non-Retail Sales Workers,50,0.075,252670,73150,252670,85830
157,39-1021,0.076,39830,High school diploma or equivalent,First-Line Supervisors of Personal Service Workers,First-Line Supervisors of Personal Service Workers,50,0.076,190420,36700,190420,39830
346,19-2042,0.63,106390,Bachelor's degree,"Geoscientists, Except Hydrologists and Geographers",Geoscientists,50,0.63,30420,89780,30420,106390
280,39-3093,0.43,24390,High school diploma or equivalent,"Locker Room, Coatroom and Dressing Room Attendants","Locker Room, Coatroom and Dressing Room Attendants",50,0.43,18040,21720,18040,24390
337,13-1161,0.61,70620,Bachelor's degree,Market Research Analysts and Marketing Specialists,Market Research Analysts and Marketing Specialists,50,0.61,558630,62560,558630,70620
550,29-2071,0.91,41460,Postsecondary nondegree award,Medical Records and Health Information Technicians,Medical Records and Health Information Technicians,50,0.91,200140,38040,200140,41460
369,51-9196,0.67,38570,High school diploma or equivalent,"Paper Goods Machine Setters, Operators and Tenders","Paper Goods Machine Setters, Operators and Tenders",50,0.67,93100,36990,93100,38570
553,53-4013,0.91,52320,High school diploma or equivalent,"Rail Yard Engineers, Dinkey Operators and Hostlers","Rail Yard Engineers, Dinkey Operators and Hostlers",50,0.91,4530,50470,4530,52320
451,49-9045,0.82,47000,High school diploma or equivalent,"Refractory Materials Repairers, Except Brickmasons",Refractory Materials Repairers,50,0.82,1540,45230,1540,47000
114,21-1011,0.033,44160,Bachelor's degree,Substance Abuse and Behavioral Disorder Counselors,Substance Abuse and Behavioral Disorder Counselors,50,0.033,91040,41070,91040,44160
631,43-2011,0.96,29720,High school diploma or equivalent,"Switchboard Operators, Including Answering Service","Switchboard Operators, Including Answering Service",50,0.96,90910,28030,90910,29720
137,11-9013,0.047,75790,High school diploma or equivalent,"Farmers, Ranchers and Other Agricultural Managers","Farmers, Ranchers and Other Agricultural Managers",49,0.047,4560,66360,4560,75790
138,33-2022,0.048,44300,High school diploma or equivalent,Forest Fire Inspectors and Prevention Specialists,Forest Fire Inspectors and Prevention Specialists,49,0.048,1650,36230,1650,44300
144,29-2061,0.058,44840,Postsecondary nondegree award,Licensed Practical and Licensed Vocational Nurses,Licensed Practical and Licensed Vocational Nurses,49,0.058,702400,44090,702400,44840
472,47-2071,0.83,43800,High school diploma or equivalent,"Paving, Surfacing and Tamping Equipment Operators","Paving, Surfacing and Tamping Equipment Operators",49,0.83,51880,38970,51880,43800
328,11-3071,0.59,97630,High school diploma or equivalent,"Transportation, Storage and Distribution Managers","Transportation, Storage and Distribution Managers",49,0.59,113270,89190,113270,97630
237,13-1022,0.29,60040,Bachelor's degree,"Wholesale and Retail Buyers, Except Farm Products",Wholesale and Retail Buyers,49,0.29,109440,53340,109440,60040
290,17-3021,0.48,71070,Associate's degree,Aerospace Engineering and Operations Technicians,Aerospace Engineering and Operations Technicians,48,0.48,11970,68020,11970,71070
417,49-2092,0.76,44720,Postsecondary nondegree award,"Electric Motor, Power Tool and Related Repairers","Electric Motor, Power Tool and Related Repairers",48,0.76,17050,41570,17050,44720
414,49-3041,0.75,39310,High school diploma or equivalent,Farm Equipment Mechanics and Service Technicians,Farm Equipment Mechanics and Service Technicians,48,0.75,35110,37820,35110,39310
438,47-2042,0.79,42370,No formal educational credential,"Floor Layers, Except Carpet, Wood and Hard Tiles",Floor Layers,48,0.79,10340,37840,10340,42370
549,53-7071,0.91,59620,High school diploma or equivalent,Gas Compressor and Gas Pumping Station Operators,Gas Compressor and Gas Pumping Station Operators,48,0.91,3890,60470,3890,59620
203,49-9095,0.18,31030,High school diploma or equivalent,Manufactured Building and Mobile Home Installers,Manufactured Building and Mobile Home Installers,48,0.18,3200,29810,3200,31030
4,21-1023,0.0031,47880,Bachelor's degree,Mental Health and Substance Abuse Social Workers,Mental Health and Substance Abuse Social Workers,48,0.0031,114040,42700,114040,47880
272,49-3042,0.4,50810,High school diploma or equivalent,"Mobile Heavy Equipment Mechanics, Except Engines",Mobile Heavy Equipment Mechanics,48,0.4,123570,49370,123570,50810
448,51-6021,0.81,22270,No formal educational credential,"Pressers, Textile, Garment and Related Materials","Pressers, Textile, Garment and Related Materials",48,0.81,45150,21300,45150,22270
