country,continent,year,lifeExp,pop,gdpPercap
Austria,Europe,1968,70.29,7415403,13335.55703
Austria,Europe,1969,70.06,7441055,14125.31596
Austria,Europe,1970,70.11,7467086,15078.76996
Austria,Europe,1971,70.31,7500482,15779.07374
Austria,Europe,1972,70.63,7544201,16661.6256
Austria,Europe,1973,71.21,7586115,17379.3273
Austria,Europe,1974,71.2,7599038,18033.975
Austria,Europe,1975,71.33,7578903,18016.36617
Austria,Europe,1976,71.82,7565525,18874.29543
Austria,Europe,1977,72.17,7568430,19749.4223
Austria,Europe,1978,72.25,7562305,19693.61751
Austria,Europe,1979,72.56,7549425,20803.39934
Austria,Europe,1980,72.7,7549433,21284.70833
Austria,Europe,1981,73.02,7564629,21220.8879
Austria,Europe,1982,73.18,7574613,21597.08362
Austria,Europe,1983,73.25,7552896,22266.66334
Austria,Europe,1984,73.79,7554132,22336.9462
Austria,Europe,1985,74.01,7559776,22821.20054
Austria,Europe,1986,74.49,7568242,23329.15536
Austria,Europe,1987,74.94,7578903,23687.82607
Austria,Europe,1988,75.41,7599791,24371.17769
Austria,Europe,1989,75.5,7627861,25307.87479
Austria,Europe,1990,75.77,7722953,26134.99521
Austria,Europe,1991,75.83,7818423,26744.39669
Austria,Europe,1992,76.04,7914969,27042.01868
Austria,Europe,1993,76.27,7988599,26882.04406
Austria,Europe,1994,76.6,8027540,27463.47863
Austria,Europe,1995,76.84,8047433,27918.81948
Austria,Europe,1996,77.1,8060852,28602.35254
Austria,Europe,1997,77.51,8069876,29095.92066
Austria,Europe,1998,77.88,8078622,30107.97838
Austria,Europe,1999,78.06,8094156,31039.61877
Austria,Europe,2000,78.35,8113413,32008.50466
Austria,Europe,2001,78.85,8131690,32196.42488
Austria,Europe,2002,78.98,8148312,32417.60769
Austria,Europe,2003,78.98,8162656,32741.18737
Austria,Europe,2004,79.49,8174762,33455.69403
Austria,Europe,2005,79.66,8184691,34108
Austria,Europe,2007,79.829,8199783,36126.4927
Azerbaijan,Asia,1992,65.623,7413618,3455.542969
Azerbaijan,Asia,1997,66.328,7695123,1943.285094
Azerbaijan,Asia,2002,66.844,7798497,3059.179927
Azerbaijan,Asia,2007,67.487,8017309,7708.61119
Bahamas,Americas,1962,64.209,122902,15117.51505
Bahamas,Americas,1967,65.795,151120,19318.1061
Bahamas,Americas,1972,66.515,178332,18152.43763
Bahamas,Americas,1977,67.199,197499,14380.66603
Bahamas,Americas,1982,67.874,219682,20433.0368
Bahamas,Americas,1987,69.524,244042,22438.01353
Bahamas,Americas,1992,69.171,264085,19432.56931
Bahamas,Americas,1997,68.472,281577,20990.83247
Bahamas,Americas,2002,71.068,295131,22810.96126
Bahamas,Americas,2007,73.495,305655,23948.63751
Bahrain,Asia,1952,50.939,120447,9867.084765
Bahrain,Asia,1957,53.832,138655,11635.79945
Bahrain,Asia,1962,56.923,171863,12753.27514
Bahrain,Asia,1967,59.923,202182,14804.6727
Bahrain,Asia,1972,63.3,230800,18268.65839
Bahrain,Asia,1977,65.593,297410,19340.10196
Bahrain,Asia,1982,69.052,377967,19211.14731
Bahrain,Asia,1987,70.75,454612,18524.02406
Bahrain,Asia,1992,72.601,529491,19035.57917
Bahrain,Asia,1997,73.925,598561,20292.01679
Bahrain,Asia,2002,74.795,656397,23403.55927
Bahrain,Asia,2007,75.635,708573,29796.04834
Bangladesh,Asia,1952,37.484,46886859,684.2441716
Bangladesh,Asia,1957,39.348,51365468,661.6374577
Bangladesh,Asia,1962,41.216,56839289,686.3415538
Bangladesh,Asia,1967,43.453,62821884,721.1860862
Bangladesh,Asia,1972,45.252,70759295,630.2336265
Bangladesh,Asia,1977,46.923,80428306,659.8772322
Bangladesh,Asia,1982,50.009,93074406,676.9818656
Bangladesh,Asia,1987,52.819,103764241,751.9794035
Bangladesh,Asia,1992,56.018,113704579,837.8101643
Bangladesh,Asia,1997,59.412,123315288,972.7700352
Bangladesh,Asia,2002,62.013,135656790,1136.39043
Bangladesh,Asia,2007,64.062,150448339,1391.253792
Barbados,Americas,1962,65.87,228747,6204.489468
Barbados,Americas,1967,67.62,238224,7788.544085
Barbados,Americas,1972,69.42,242445,9853.806374
Barbados,Americas,1977,71.27,249169,11817.35591
Barbados,Americas,1982,72.695,253522,12736.47247
Barbados,Americas,1987,74.027,259428,13783.20898
Barbados,Americas,1992,74.894,264925,12263.45331
Barbados,Americas,1997,74.912,270096,13901.90893
Barbados,Americas,2002,75.97,275673,14544.49305
Barbados,Americas,2007,77.296,280946,17023.10239
Belarus,FSU,1973,72.71,9236465,4958.608124
Belarus,FSU,1990,71.15,10215208,6807.781057
Belarus,FSU,1991,70.58,10244639,6693.1884
Belarus,FSU,1992,70.17,10306362,6014.406075
Belarus,FSU,1993,69.05,10360516,5528.263371
Belarus,FSU,1994,68.82,10387841,4868.615987
Belarus,FSU,1995,68.43,10403989,4355.509243
Belarus,FSU,1996,68.56,10408773,4475.405604
Belarus,FSU,1997,68.37,10404210,4987.788391
Belarus,FSU,1998,68.38,10394407,5411.861751
Belarus,FSU,1999,67.97,10382370,5602.352725
Belarus,FSU,2000,69,10366719,5936.237819
Belarus,FSU,2001,68.6,10350194,6225.164179
Belarus,FSU,2002,68.16,10335382,6545.789965
Belarus,FSU,2003,68.7,10322151,6999.864668
Belarus,FSU,2004,69.1,10310520,7806.724446
Belarus,FSU,2005,68.87,10300483,8541
Belarus,FSU,2007,69.027,10289007,10273.77418
Belgium,Europe,1950,66.35,8639369,7990.46584
Belgium,Europe,1951,66.8,8678386,8393.415992
Belgium,Europe,1952,68,8730405,8343.105127
Belgium,Europe,1953,68.37,8777873,8645.372292
Belgium,Europe,1954,68.63,8819380,8950.306725
Belgium,Europe,1955,68.58,8868475,9244.72546
Belgium,Europe,1956,68.87,8923845,9529.403593
Belgium,Europe,1957,69.24,8989111,9714.960623
Belgium,Europe,1958,69.93,9052707,9477.273558
Belgium,Europe,1959,70.33,9103729,9675.467689
Belgium,Europe,1960,69.65,9118700,10076.60249
Belgium,Europe,1961,70.52,9165800,10512.5111
Belgium,Europe,1962,70.25,9218400,10991.20676
Belgium,Europe,1963,70.06,9283100,11396.12839
Belgium,Europe,1964,70.73,9367000,12089.40942
Belgium,Europe,1965,70.58,9448100,12406.28806
Belgium,Europe,1966,70.65,9507800,12720.17707
Belgium,Europe,1967,70.94,9556500,13149.04119
Belgium,Europe,1968,70.63,9589800,13647.19609
Belgium,Europe,1969,70.71,9612700,14520.74226
Belgium,Europe,1970,70.97,9637800,15379.70523
Belgium,Europe,1971,71.1,9672500,15899.65951
Belgium,Europe,1972,71.44,9709100,16672.14356
Belgium,Europe,1973,71.65,9738400,17639.58142
Belgium,Europe,1974,72.01,9767800,18325.1694
Belgium,Europe,1975,72,9794800,18032.1155
Belgium,Europe,1976,72.15,9811000,19019.94462
Belgium,Europe,1977,72.8,9821800,19117.97448
Belgium,Europe,1978,72.75,9829700,19645.53784
Belgium,Europe,1979,73.24,9837200,20090.12043
Belgium,Europe,1980,73.29,9846800,20969.62311
Belgium,Europe,1981,73.7,9852400,20696.13378
Belgium,Europe,1982,73.93,9856303,20979.84589
Belgium,Europe,1983,73.93,9855520,20979.01253
Belgium,Europe,1984,74.43,9855300,21498.93801
Belgium,Europe,1985,74.54,9858200,21708.74541
Belgium,Europe,1986,74.74,9861800,22024.75308
Belgium,Europe,1987,75.35,9870200,22525.56308
Belgium,Europe,1988,75.66,9884000,23555.8201
Belgium,Europe,1989,75.73,9937697,24269.23182
Belgium,Europe,1990,76.14,9969310,24925.91
Belgium,Europe,1991,76.3,10004487,25293.57135
Belgium,Europe,1992,76.46,10045622,25575.57069
Belgium,Europe,1993,76.48,10085426,25229.59834
Belgium,Europe,1994,76.82,10122914,25947.30294
Belgium,Europe,1995,76.97,10155459,26480.94732
Belgium,Europe,1996,77.31,10178934,26725.49837
Belgium,Europe,1997,77.53,10199787,27561.19663
Belgium,Europe,1998,77.62,10217030,28030.61314
Belgium,Europe,1999,77.8,10235655,28937.1514
Belgium,Europe,2000,77.91,10263618,29940.2047
Belgium,Europe,2001,78.22,10291679,30092.07613
Belgium,Europe,2002,78.32,10311970,30485.88375
Belgium,Europe,2003,78.47,10330824,30736.5256
Belgium,Europe,2004,79.11,10348276,31600.01699
Belgium,Europe,2005,79.2,10364388,32077
Belgium,Europe,2007,79.441,10392226,33692.60508
Belize,Americas,1950,57.673,65797,1731.132728
Belize,Americas,1962,62.678,97594,1916.319613
Belize,Americas,1967,65.184,113265,2099.158522
Belize,Americas,1972,67.589,127661,2616.696579
Belize,Americas,1977,69.747,140578,3158.688003
Belize,Americas,1982,71.031,153277,3732.094919
Belize,Americas,1987,71.879,176347,3844.931896
Belize,Americas,1992,72.522,200798,5780.689094
Belize,Americas,1997,74.405,228884,5631.50107
Belize,Americas,2002,75.586,261138,6799.541995
Belize,Americas,2007,76.121,294385,7550.225543
Benin,Africa,1952,38.223,1738315,1062.7522
Benin,Africa,1957,40.358,1925173,959.6010805
Benin,Africa,1962,42.618,2151895,949.4990641
Benin,Africa,1967,44.885,2427334,1035.831411
Benin,Africa,1972,47.014,2761407,1085.796879
Benin,Africa,1977,49.19,3168267,1029.161251
Benin,Africa,1982,50.904,3641603,1277.897616
Benin,Africa,1987,52.337,4243788,1225.85601
Benin,Africa,1992,53.919,4981671,1191.207681
Benin,Africa,1997,54.777,6066080,1232.975292
Benin,Africa,2002,54.406,7026113,1372.877931
Benin,Africa,2007,56.728,8078314,1441.284873
Bhutan,Asia,1972,41.837,1087991,807.6225858
Bhutan,Asia,1977,44.708,1205659,816.3101525
Bhutan,Asia,1982,47.872,1333704,946.8129965
Bhutan,Asia,1987,50.717,1490857,1494.290085
Bhutan,Asia,1992,54.471,1673428,1904.17945
Bhutan,Asia,1997,58.929,1876236,2561.507659
Bhutan,Asia,2002,63.458,2094176,3256.019293
Bhutan,Asia,2007,65.625,2327849,4744.640019
Bolivia,Americas,1952,40.414,2883315,2677.326347
Bolivia,Americas,1957,41.89,3211738,2127.686326
Bolivia,Americas,1962,43.428,3593918,2180.972546
Bolivia,Americas,1967,45.032,4040665,2586.886053
Bolivia,Americas,1972,46.714,4565872,2980.331339
Bolivia,Americas,1977,50.023,5079716,3548.097832
Bolivia,Americas,1982,53.859,5642224,3156.510452
Bolivia,Americas,1987,57.251,6156369,2753.69149
Bolivia,Americas,1992,59.957,6893451,2961.699694
Bolivia,Americas,1997,62.05,7693188,3326.143191
Bolivia,Americas,2002,63.883,8445134,3413.26269
Bolivia,Americas,2007,65.554,9119152,3822.137084
Bosnia and Herzegovina,Europe,1952,53.82,2791000,973.5331948
Bosnia and Herzegovina,Europe,1957,58.45,3076000,1353.989176
Bosnia and Herzegovina,Europe,1962,61.93,3349000,1709.683679
Bosnia and Herzegovina,Europe,1967,64.79,3585000,2172.352423
Bosnia and Herzegovina,Europe,1972,67.45,3819000,2860.16975
Bosnia and Herzegovina,Europe,1977,69.86,4086000,3528.481305
Bosnia and Herzegovina,Europe,1982,70.69,4172693,4126.613157
Bosnia and Herzegovina,Europe,1987,71.14,4338977,4314.114757
Bosnia and Herzegovina,Europe,1992,72.178,4256013,2546.781445
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239
Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803
Botswana,Africa,1952,47.622,442308,851.2411407
Botswana,Africa,1957,49.618,474639,918.2325349
Botswana,Africa,1962,51.52,512764,983.6539764
Botswana,Africa,1967,53.298,553541,1214.709294
Botswana,Africa,1972,56.024,619351,2263.611114
Botswana,Africa,1977,59.319,781472,3214.857818
Botswana,Africa,1982,61.484,970347,4551.14215
Botswana,Africa,1987,63.622,1151184,6205.88385
Botswana,Africa,1992,62.745,1342614,7954.111645
Botswana,Africa,1997,52.556,1536536,8647.142313
Botswana,Africa,2002,46.634,1630347,11003.60508
Botswana,Africa,2007,50.728,1639131,12569.85177
Brazil,Americas,1952,50.917,56602560,2108.944355
Brazil,Americas,1957,53.285,65551171,2487.365989
Brazil,Americas,1962,55.665,76039390,3336.585802
Brazil,Americas,1967,57.632,88049823,3429.864357
Brazil,Americas,1972,59.504,100840058,4985.711467
Brazil,Americas,1977,61.489,114313951,6660.118654
Brazil,Americas,1982,63.336,128962939,7030.835878
Brazil,Americas,1987,65.205,142938076,7807.095818
Brazil,Americas,1992,67.057,155975974,6950.283021
Brazil,Americas,1997,69.388,168546719,7957.980824
Brazil,Americas,2002,71.006,179914212,8131.212843
Brazil,Americas,2007,72.39,190010647,9065.800825
Brunei,Asia,1972,68.34,141500,54117.15906
Brunei,Asia,1977,69.66,167216,72555.22854
Brunei,Asia,1982,71.62,199468,62407.21057
Brunei,Asia,1987,73.2,235357,53585.90355
Brunei,Asia,1992,74.471,273701,49174.40543
Brunei,Asia,1997,75.465,313563,48967.3126
Brunei,Asia,2002,76.315,350898,48906.34894
Brunei,Asia,2007,77.118,386511,48014.58767
Bulgaria,Europe,1950,61.39,7250500,2131.563149
Bulgaria,Europe,1951,60.63,7258200,2567.424534
Bulgaria,Europe,1952,59.6,7274900,2444.286648
Bulgaria,Europe,1953,64.14,7346100,2691.935068
Bulgaria,Europe,1954,64.4,7423300,2613.983108
Bulgaria,Europe,1955,64.81,7499400,2772.894304
Bulgaria,Europe,1956,65.21,7575800,2747.377929
Bulgaria,Europe,1957,66.61,7651254,3008.670727
Bulgaria,Europe,1958,68.71,7727553,3238.108918
Bulgaria,Europe,1959,66.57,7797777,3464.569652
Bulgaria,Europe,1960,69.18,7867374,3759.16551
Bulgaria,Europe,1961,70.22,7943118,3966.093248
Bulgaria,Europe,1962,69.51,8012946,4254.337839
Bulgaria,Europe,1963,70.34,8078145,4412.810322
Bulgaria,Europe,1964,71.14,8144339,4721.863908
Bulgaria,Europe,1965,71.3,8201400,4970.48803
Bulgaria,Europe,1966,71.23,8258057,5325.953431
Bulgaria,Europe,1967,70.42,8310226,5577.0028
Bulgaria,Europe,1968,71.25,8369603,5639.346751
Bulgaria,Europe,1969,70.43,8434172,5868.78268
Bulgaria,Europe,1970,71.27,8489574,6162.468503
Bulgaria,Europe,1971,70.87,8536395,6328.504247
Bulgaria,Europe,1972,70.9,8576200,6597.494398
Bulgaria,Europe,1973,71.34,8620997,6822.385269
Bulgaria,Europe,1974,71.2,8678745,6989.571515
Bulgaria,Europe,1975,71.05,8720742,7527.863173
Bulgaria,Europe,1976,71.38,8755037,7722.871137
Bulgaria,Europe,1977,70.81,8797022,7612.240438
Bulgaria,Europe,1978,71.17,8803281,7771.118048
Bulgaria,Europe,1979,71.27,8811589,8062.600739
Bulgaria,Europe,1980,71.1,8843528,7802.845798
Bulgaria,Europe,1981,71.49,8869441,7987.015204
Bulgaria,Europe,1982,71.08,8892098,8224.191647
Bulgaria,Europe,1983,71.25,8910284,8052.372566
Bulgaria,Europe,1984,71.35,8928271,8301.979654
Bulgaria,Europe,1985,71.07,8943573,8037.950013
Bulgaria,Europe,1986,71.55,8958770,8236.461605
Bulgaria,Europe,1987,71.34,8971958,8239.854824
Bulgaria,Europe,1988,71.4,8982025,8179.010541
Bulgaria,Europe,1989,71.46,8990055,8025.266041
Bulgaria,Europe,1990,71.31,8894028,7225.877958
Bulgaria,Europe,1991,71.18,8772368,6710.698795
Bulgaria,Europe,1992,71.19,8658506,6302.623438
Bulgaria,Europe,1993,71.18,8441872,6367.39497
Bulgaria,Europe,1994,70.85,8353335,6550.710885
Bulgaria,Europe,1995,70.95,8255811,6820.307624
Bulgaria,Europe,1996,70.85,8161026,6250.966075
Bulgaria,Europe,1997,70.32,8066057,5970.38876
Bulgaria,Europe,1998,70.91,7971774,6282.641215
Bulgaria,Europe,1999,71.57,7893227,6491.099672
Bulgaria,Europe,2000,71.59,7818495,6907.013722
Bulgaria,Europe,2001,71.9,7738416,7264.607226
Bulgaria,Europe,2002,72.14,7661799,7696.777725
Bulgaria,Europe,2003,72.35,7588399,8105.388755
Bulgaria,Europe,2004,72.54,7517973,8721.228028
Bulgaria,Europe,2005,72.52,7450349,9353
Bulgaria,Europe,2007,73.005,7322858,10680.79282
Burkina Faso,Africa,1952,31.975,4469979,543.2552413
Burkina Faso,Africa,1957,34.906,4713416,617.1834648
Burkina Faso,Africa,1962,37.814,4919632,722.5120206
Burkina Faso,Africa,1967,40.697,5127935,794.8265597
Burkina Faso,Africa,1972,43.591,5433886,854.7359763
Burkina Faso,Africa,1977,46.137,5889574,743.3870368
Burkina Faso,Africa,1982,48.122,6634596,807.1985855
Burkina Faso,Africa,1987,49.557,7586551,912.0631417
Burkina Faso,Africa,1992,50.26,8878303,931.7527731
Burkina Faso,Africa,1997,50.324,10352843,946.2949618
Burkina Faso,Africa,2002,50.65,12251209,1037.645221
Burkina Faso,Africa,2007,52.295,14326203,1217.032994
Burundi,Africa,1952,39.031,2445618,339.2964587
Burundi,Africa,1957,40.533,2667518,379.5646281
Burundi,Africa,1962,42.045,2961915,355.2032273
Burundi,Africa,1967,43.548,3330989,412.9775136
Burundi,Africa,1972,44.057,3529983,464.0995039
Burundi,Africa,1977,45.91,3834415,556.1032651
Burundi,Africa,1982,47.471,4580410,559.603231
Burundi,Africa,1987,48.211,5126023,621.8188189
Burundi,Africa,1992,44.736,5809236,631.6998778
Burundi,Africa,1997,45.326,6121610,463.1151478
Burundi,Africa,2002,47.36,7021078,446.4035126
Burundi,Africa,2007,49.58,8390505,430.0706916
Cambodia,Asia,1952,39.417,4693836,368.4692856
Cambodia,Asia,1957,41.366,5322536,434.0383364
Cambodia,Asia,1962,43.415,6083619,496.9136476
Cambodia,Asia,1967,45.415,6960067,523.4323142
Cambodia,Asia,1972,40.317,7450606,421.6240257
Cambodia,Asia,1977,31.22,6978607,524.9721832
Cambodia,Asia,1982,50.957,7272485,624.4754784
Cambodia,Asia,1987,53.914,8371791,683.8955732
Cambodia,Asia,1992,55.803,10150094,682.3031755
Cambodia,Asia,1997,56.534,11782962,734.28517
Cambodia,Asia,2002,56.752,12926707,896.2260153
Cambodia,Asia,2007,59.723,14131858,1713.778686
Cameroon,Africa,1952,38.523,5009067,1172.667655
Cameroon,Africa,1957,40.428,5359923,1313.048099
Cameroon,Africa,1962,42.643,5793633,1399.607441
Cameroon,Africa,1967,44.799,6335506,1508.453148
Cameroon,Africa,1972,47.049,7021028,1684.146528
Cameroon,Africa,1977,49.355,7959865,1783.432873
Cameroon,Africa,1982,52.961,9250831,2367.983282
Cameroon,Africa,1987,54.985,10780667,2602.664206
Cameroon,Africa,1992,54.314,12467171,1793.163278
Cameroon,Africa,1997,52.199,14195809,1694.337469
Cameroon,Africa,2002,49.856,15929988,1934.011449
Cameroon,Africa,2007,50.43,17696293,2042.09524
Canada,Americas,1950,68.28,14011422,10581.26552
Canada,Americas,1951,68.55,14330675,10932.46678
Canada,Americas,1952,68.75,14785584,11367.16112
Canada,Americas,1953,69.13,15183375,11586.61455
Canada,Americas,1954,69.99,15636245,11173.2595
Canada,Americas,1955,70.05,16050356,11901.50949
Canada,Americas,1956,70.04,16445087,12555.54947
Canada,Americas,1957,69.96,17010154,12489.95006
Canada,Americas,1958,70.62,17462004,12384.41018
Canada,Americas,1959,70.66,17872034,12590.80033
Canada,Americas,1960,71.04,18266765,12701.48312
Canada,Americas,1961,71.27,18634977,12817.92217
Canada,Americas,1962,71.3,18985849,13462.48555
Canada,Americas,1963,71.31,19342841,13882.56266
Canada,Americas,1964,71.69,19711053,14510.89933
Canada,Americas,1965,71.79,20071104,15198.11009
Canada,Americas,1966,71.92,20448496,15884.83624
Canada,Americas,1967,72.13,20819767,16076.58803
Canada,Americas,1968,72.29,21143100,16658.21328
Canada,Americas,1969,72.45,21448073,17286.99329
Canada,Americas,1970,72.65,21749986,17487.45713
Canada,Americas,1971,72.98,22026400,18229.64274
Canada,Americas,1972,72.88,22284500,18970.57086
Canada,Americas,1973,73.11,22559500,20081.30717
Canada,Americas,1974,73.19,22874700,20613.59162
Canada,Americas,1975,73.49,23209200,20775.50508
Canada,Americas,1976,73.92,23517500,21626.08551
Canada,Americas,1977,74.21,23796400,22090.88306
Canada,Americas,1978,74.54,24036300,22754.82739
Canada,Americas,1979,74.9,24276900,23465.82672
Canada,Americas,1980,75.14,24593300,23473.89691
