 LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%)
CN0107900000000,01,079,"Lawrence County, AL",2016,"13,729     ","12,763     ",966     ,7.0     
CN0108100000000,01,081,"Lee County, AL",2016,"72,893     ","69,066     ","3,827     ",5.3     
CN0108300000000,01,083,"Limestone County, AL",2016,"40,575     ","38,424     ","2,151     ",5.3     
CN0108500000000,01,085,"Lowndes County, AL",2016,"3,803     ","3,394     ",409     ,10.8     
CN0108700000000,01,087,"Macon County, AL",2016,"7,981     ","7,364     ",617     ,7.7     
CN0108900000000,01,089,"Madison County, AL",2016,"173,295     ","164,279     ","9,016     ",5.2     
CN0109100000000,01,091,"Marengo County, AL",2016,"7,640     ","7,072     ",568     ,7.4     
CN0109300000000,01,093,"Marion County, AL",2016,"12,586     ","11,741     ",845     ,6.7     
CN0109500000000,01,095,"Marshall County, AL",2016,"41,255     ","38,994     ","2,261     ",5.5     
CN0109700000000,01,097,"Mobile County, AL",2016,"185,092     ","172,376     ","12,716     ",6.9     
CN0109900000000,01,099,"Monroe County, AL",2016,"7,281     ","6,600     ",681     ,9.4     
CN0110100000000,01,101,"Montgomery County, AL",2016,"104,822     ","98,688     ","6,134     ",5.9     
CN0110300000000,01,103,"Morgan County, AL",2016,"55,331     ","52,235     ","3,096     ",5.6     
CN0110500000000,01,105,"Perry County, AL",2016,"3,467     ","3,100     ",367     ,10.6     
CN0110700000000,01,107,"Pickens County, AL",2016,"7,994     ","7,439     ",555     ,6.9     
CN0110900000000,01,109,"Pike County, AL",2016,"15,157     ","14,188     ",969     ,6.4     
CN0111100000000,01,111,"Randolph County, AL",2016,"9,491     ","8,952     ",539     ,5.7     
CN0111300000000,01,113,"Russell County, AL",2016,"24,007     ","22,653     ","1,354     ",5.6     
CN0111500000000,01,115,"St. Clair County, AL",2016,"38,588     ","36,533     ","2,055     ",5.3     
CN0111700000000,01,117,"Shelby County, AL",2016,"108,320     ","103,555     ","4,765     ",4.4     
CN0111900000000,01,119,"Sumter County, AL",2016,"5,143     ","4,741     ",402     ,7.8     
CN0112100000000,01,121,"Talladega County, AL",2016,"34,781     ","32,429     ","2,352     ",6.8     
CN0112300000000,01,123,"Tallapoosa County, AL",2016,"18,906     ","17,847     ","1,059     ",5.6     
CN0112500000000,01,125,"Tuscaloosa County, AL",2016,"98,533     ","92,848     ","5,685     ",5.8     
CN0112700000000,01,127,"Walker County, AL",2016,"25,658     ","23,706     ","1,952     ",7.6     
CN0112900000000,01,129,"Washington County, AL",2016,"6,776     ","6,184     ",592     ,8.7     
CN0113100000000,01,131,"Wilcox County, AL",2016,"2,809     ","2,396     ",413     ,14.7     
CN0113300000000,01,133,"Winston County, AL",2016,"9,403     ","8,714     ",689     ,7.3     
CN0201300000000,02,013,"Aleutians East Borough, AK",2016,"2,498     ","2,430     ",68     ,2.7     
CN0201600000000,02,016,"Aleutians West Census Area, AK",2016,"3,907     ","3,780     ",127     ,3.3     
CN0202000000000,02,020,"Anchorage Borough/municipality, AK",2016,"156,112     ","147,886     ","8,226     ",5.3     
CN0205000000000,02,050,"Bethel Census Area, AK",2016,"7,018     ","6,029     ",989     ,14.1     
CN0206000000000,02,060,"Bristol Bay Borough, AK",2016,403     ,375     ,28     ,6.9     
CN0206800000000,02,068,"Denali Borough, AK",2016,"1,107     ","1,012     ",95     ,8.6     
CN0207000000000,02,070,"Dillingham Census Area, AK",2016,"1,983     ","1,791     ",192     ,9.7     
CN0209000000000,02,090,"Fairbanks North Star Borough, AK",2016,"46,098     ","43,491     ","2,607     ",5.7     
CN0210000000000,02,100,"Haines Borough, AK",2016,"1,077     ",971     ,106     ,9.8     
CN0210500000000,02,105,"Hoonah-Angoon Census Area, AK",2016,"1,202     ","1,064     ",138     ,11.5     
CN0211000000000,02,110,"Juneau Borough/city, AK",2016,"17,162     ","16,412     ",750     ,4.4     
CN0212200000000,02,122,"Kenai Peninsula Borough, AK",2016,"27,189     ","24,972     ","2,217     ",8.2     
CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",2016,"7,028     ","6,589     ",439     ,6.2     
CN0215000000000,02,150,"Kodiak Island Borough, AK",2016,"6,417     ","6,098     ",319     ,5.0     
CN0215800000000,02,158,"Kusilvak Census Area, AK",2016,"2,660     ","2,094     ",566     ,21.3     
CN0216400000000,02,164,"Lake and Peninsula Borough, AK",2016,633     ,555     ,78     ,12.3     
CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",2016,"46,065     ","42,356     ","3,709     ",8.1     
CN0218000000000,02,180,"Nome Census Area, AK",2016,"3,987     ","3,488     ",499     ,12.5     
CN0218500000000,02,185,"North Slope Borough, AK",2016,"3,968     ","3,711     ",257     ,6.5     
CN0218800000000,02,188,"Northwest Arctic Borough, AK",2016,"2,889     ","2,434     ",455     ,15.7     
CN0219500000000,02,195,"Petersburg Borough, AK",2016,"1,450     ","1,325     ",125     ,8.6     
CN0219800000000,02,198,"Prince of Wales-Hyder Census Area, AK",2016,"2,780     ","2,456     ",324     ,11.7     
CN0222000000000,02,220,"Sitka Borough/city, AK",2016,"4,425     ","4,233     ",192     ,4.3     
CN0223000000000,02,230,"Skagway Municipality, AK",2016,801     ,716     ,85     ,10.6     
CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",2016,"3,019     ","2,711     ",308     ,10.2     
CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",2016,"4,851     ","4,453     ",398     ,8.2     
CN0227500000000,02,275,"Wrangell Borough/city, AK",2016,"1,047     ",971     ,76     ,7.3     
CN0228200000000,02,282,"Yakutat Borough/city, AK",2016,247     ,227     ,20     ,8.1     
CN0229000000000,02,290,"Yukon-Koyukuk Census Area, AK",2016,"2,405     ","1,991     ",414     ,17.2     
CN0400100000000,04,001,"Apache County, AZ",2016,"20,064     ","17,791     ","2,273     ",11.3     
CN0400300000000,04,003,"Cochise County, AZ",2016,"50,187     ","47,116     ","3,071     ",6.1     
CN0400500000000,04,005,"Coconino County, AZ",2016,"74,287     ","69,890     ","4,397     ",5.9     
CN0400700000000,04,007,"Gila County, AZ",2016,"20,976     ","19,472     ","1,504     ",7.2     
CN0400900000000,04,009,"Graham County, AZ",2016,"14,307     ","13,352     ",955     ,6.7     
CN0401100000000,04,011,"Greenlee County, AZ",2016,"3,898     ","3,602     ",296     ,7.6     
CN0401200000000,04,012,"La Paz County, AZ",2016,"8,493     ","7,985     ",508     ,6.0     
CN0401300000000,04,013,"Maricopa County, AZ",2016,"2,076,894     ","1,983,156     ","93,738     ",4.5     
CN0401500000000,04,015,"Mohave County, AZ",2016,"80,432     ","75,138     ","5,294     ",6.6     
CN0401700000000,04,017,"Navajo County, AZ",2016,"41,331     ","37,967     ","3,364     ",8.1     
CN0401900000000,04,019,"Pima County, AZ",2016,"472,015     ","448,937     ","23,078     ",4.9     
CN0402100000000,04,021,"Pinal County, AZ",2016,"161,850     ","152,976     ","8,874     ",5.5     
CN0402300000000,04,023,"Santa Cruz County, AZ",2016,"19,288     ","17,377     ","1,911     ",9.9     
CN0402500000000,04,025,"Yavapai County, AZ",2016,"99,838     ","94,987     ","4,851     ",4.9     
CN0402700000000,04,027,"Yuma County, AZ",2016,"94,005     ","76,519     ","17,486     ",18.6     
CN0500100000000,05,001,"Arkansas County, AR",2016,"9,309     ","8,987     ",322     ,3.5     
CN0500300000000,05,003,"Ashley County, AR",2016,"7,833     ","7,338     ",495     ,6.3     
CN0500500000000,05,005,"Baxter County, AR",2016,"16,102     ","15,404     ",698     ,4.3     
CN0500700000000,05,007,"Benton County, AR",2016,"126,311     ","122,628     ","3,683     ",2.9     
CN0500900000000,05,009,"Boone County, AR",2016,"16,013     ","15,421     ",592     ,3.7     
CN0501100000000,05,011,"Bradley County, AR",2016,"4,387     ","4,158     ",229     ,5.2     
CN0501300000000,05,013,"Calhoun County, AR",2016,"2,401     ","2,288     ",113     ,4.7     
CN0501500000000,05,015,"Carroll County, AR",2016,"12,966     ","12,505     ",461     ,3.6     
CN0501700000000,05,017,"Chicot County, AR",2016,"3,587     ","3,349     ",238     ,6.6     
CN0501900000000,05,019,"Clark County, AR",2016,"9,460     ","9,039     ",421     ,4.5     
CN0502100000000,05,021,"Clay County, AR",2016,"6,070     ","5,725     ",345     ,5.7     
CN0502300000000,05,023,"Cleburne County, AR",2016,"9,534     ","8,965     ",569     ,6.0     
CN0502500000000,05,025,"Cleveland County, AR",2016,"3,335     ","3,183     ",152     ,4.6     
CN0502700000000,05,027,"Columbia County, AR",2016,"9,289     ","8,750     ",539     ,5.8     
CN0502900000000,05,029,"Conway County, AR",2016,"8,462     ","7,973     ",489     ,5.8     
CN0503100000000,05,031,"Craighead County, AR",2016,"52,140     ","50,438     ","1,702     ",3.3     
CN0503300000000,05,033,"Crawford County, AR",2016,"26,876     ","25,817     ","1,059     ",3.9     
CN0503500000000,05,035,"Crittenden County, AR",2016,"21,535     ","20,547     ",988     ,4.6     
CN0503700000000,05,037,"Cross County, AR",2016,"7,961     ","7,606     ",355     ,4.5     
CN0503900000000,05,039,"Dallas County, AR",2016,"2,917     ","2,770     ",147     ,5.0     
CN0504100000000,05,041,"Desha County, AR",2016,"5,477     ","5,176     ",301     ,5.5     
CN0504300000000,05,043,"Drew County, AR",2016,"7,891     ","7,433     ",458     ,5.8     
CN0504500000000,05,045,"Faulkner County, AR",2016,"60,491     ","58,175     ","2,316     ",3.8     
CN0504700000000,05,047,"Franklin County, AR",2016,"7,363     ","7,061     ",302     ,4.1     
CN0504900000000,05,049,"Fulton County, AR",2016,"4,692     ","4,487     ",205     ,4.4     
CN0505100000000,05,051,"Garland County, AR",2016,"40,148     ","38,406     ","1,742     ",4.3     
CN0505300000000,05,053,"Grant County, AR",2016,"8,320     ","8,018     ",302     ,3.6     
CN0505500000000,05,055,"Greene County, AR",2016,"19,877     ","19,020     ",857     ,4.3     
CN0505700000000,05,057,"Hempstead County, AR",2016,"9,945     ","9,565     ",380     ,3.8     
CN0505900000000,05,059,"Hot Spring County, AR",2016,"14,132     ","13,570     ",562     ,4.0     
CN0506100000000,05,061,"Howard County, AR",2016,"5,942     ","5,744     ",198     ,3.3     
CN0506300000000,05,063,"Independence County, AR",2016,"16,008     ","15,210     ",798     ,5.0     
CN0506500000000,05,065,"Izard County, AR",2016,"4,989     ","4,708     ",281     ,5.6     
CN0506700000000,05,067,"Jackson County, AR",2016,"6,099     ","5,718     ",381     ,6.2     
CN0506900000000,05,069,"Jefferson County, AR",2016,"28,590     ","26,983     ","1,607     ",5.6     
CN0507100000000,05,071,"Johnson County, AR",2016,"10,518     ","10,013     ",505     ,4.8     
CN0507300000000,05,073,"Lafayette County, AR",2016,"2,576     ","2,424     ",152     ,5.9     
CN0507500000000,05,075,"Lawrence County, AR",2016,"6,942     ","6,639     ",303     ,4.4     
CN0507700000000,05,077,"Lee County, AR",2016,"3,130     ","2,979     ",151     ,4.8     
CN0507900000000,05,079,"Lincoln County, AR",2016,"4,088     ","3,887     ",201     ,4.9     
CN0508100000000,05,081,"Little River County, AR",2016,"5,655     ","5,390     ",265     ,4.7     
CN0508300000000,05,083,"Logan County, AR",2016,"9,164     ","8,741     ",423     ,4.6     
CN0508500000000,05,085,"Lonoke County, AR",2016,"33,267     ","32,147     ","1,120     ",3.4     
CN0508700000000,05,087,"Madison County, AR",2016,"7,283     ","7,051     ",232     ,3.2     
CN0508900000000,05,089,"Marion County, AR",2016,"6,556     ","6,293     ",263     ,4.0     
CN0509100000000,05,091,"Miller County, AR",2016,"20,104     ","19,264     ",840     ,4.2     
CN0509300000000,05,093,"Mississippi County, AR",2016,"18,216     ","16,974     ","1,242     ",6.8     
CN0509500000000,05,095,"Monroe County, AR",2016,"2,888     ","2,746     ",142     ,4.9     
CN0509700000000,05,097,"Montgomery County, AR",2016,"3,068     ","2,904     ",164     ,5.3     
CN0509900000000,05,099,"Nevada County, AR",2016,"3,669     ","3,533     ",136     ,3.7     
CN0510100000000,05,101,"Newton County, AR",2016,"3,424     ","3,291     ",133     ,3.9     
CN0510300000000,05,103,"Ouachita County, AR",2016,"9,843     ","9,342     ",501     ,5.1     
CN0510500000000,05,105,"Perry County, AR",2016,"4,208     ","4,006     ",202     ,4.8     
CN0510700000000,05,107,"Phillips County, AR",2016,"6,715     ","6,316     ",399     ,5.9     
CN0510900000000,05,109,"Pike County, AR",2016,"4,184     ","4,003     ",181     ,4.3     
CN0511100000000,05,111,"Poinsett County, AR",2016,"10,214     ","9,778     ",436     ,4.3     
CN0511300000000,05,113,"Polk County, AR",2016,"8,197     ","7,795     ",402     ,4.9     
CN0511500000000,05,115,"Pope County, AR",2016,"29,303     ","27,945     ","1,358     ",4.6     
CN0511700000000,05,117,"Prairie County, AR",2016,"3,647     ","3,504     ",143     ,3.9     
CN0511900000000,05,119,"Pulaski County, AR",2016,"187,667     ","180,958     ","6,709     ",3.6     
CN0512100000000,05,121,"Randolph County, AR",2016,"6,459     ","6,155     ",304     ,4.7     
CN0512300000000,05,123,"St. Francis County, AR",2016,"8,890     ","8,425     ",465     ,5.2     
CN0512500000000,05,125,"Saline County, AR",2016,"56,518     ","54,736     ","1,782     ",3.2     
CN0512700000000,05,127,"Scott County, AR",2016,"4,463     ","4,295     ",168     ,3.8     
CN0512900000000,05,129,"Searcy County, AR",2016,"3,033     ","2,896     ",137     ,4.5     
CN0513100000000,05,131,"Sebastian County, AR",2016,"57,943     ","55,782     ","2,161     ",3.7     
CN0513300000000,05,133,"Sevier County, AR",2016,"5,676     ","5,394     ",282     ,5.0     
CN0513500000000,05,135,"Sharp County, AR",2016,"6,049     ","5,718     ",331     ,5.5     
CN0513700000000,05,137,"Stone County, AR",2016,"4,723     ","4,477     ",246     ,5.2     
CN0513900000000,05,139,"Union County, AR",2016,"16,407     ","15,501     ",906     ,5.5     
CN0514100000000,05,141,"Van Buren County, AR",2016,"6,076     ","5,652     ",424     ,7.0     
CN0514300000000,05,143,"Washington County, AR",2016,"119,518     ","116,259     ","3,259     ",2.7     
CN0514500000000,05,145,"White County, AR",2016,"34,158     ","32,373     ","1,785     ",5.2     
CN0514700000000,05,147,"Woodruff County, AR",2016,"3,000     ","2,835     ",165     ,5.5     
CN0514900000000,05,149,"Yell County, AR",2016,"8,804     ","8,411     ",393     ,4.5     
CN0600100000000,06,001,"Alameda County, CA",2016,"837,917     ","802,387     ","35,530     ",4.2     
CN0600300000000,06,003,"Alpine County, CA",2016,556     ,520     ,36     ,6.5     
CN0600500000000,06,005,"Amador County, CA",2016,"14,646     ","13,784     ",862     ,5.9     
CN0600700000000,06,007,"Butte County, CA",2016,"102,319     ","95,626     ","6,693     ",6.5     
CN0600900000000,06,009,"Calaveras County, CA",2016,"20,914     ","19,737     ","1,177     ",5.6     
CN0601100000000,06,011,"Colusa County, CA",2016,"10,887     ","9,196     ","1,691     ",15.5     
CN0601300000000,06,013,"Contra Costa County, CA",2016,"556,454     ","531,815     ","24,639     ",4.4     
CN0601500000000,06,015,"Del Norte County, CA",2016,"9,806     ","9,075     ",731     ,7.5     
CN0601700000000,06,017,"El Dorado County, CA",2016,"89,737     ","85,190     ","4,547     ",5.1     
CN0601900000000,06,019,"Fresno County, CA",2016,"446,228     ","404,134     ","42,094     ",9.4     
CN0602100000000,06,021,"Glenn County, CA",2016,"13,091     ","12,016     ","1,075     ",8.2     
CN0602300000000,06,023,"Humboldt County, CA",2016,"62,674     ","59,614     ","3,060     ",4.9     
CN0602500000000,06,025,"Imperial County, CA",2016,"76,863     ","58,784     ","18,079     ",23.5     
CN0602700000000,06,027,"Inyo County, CA",2016,"8,984     ","8,514     ",470     ,5.2     
CN0602900000000,06,029,"Kern County, CA",2016,"389,091     ","348,922     ","40,169     ",10.3     
CN0603100000000,06,031,"Kings County, CA",2016,"57,183     ","51,484     ","5,699     ",10.0     
CN0603300000000,06,033,"Lake County, CA",2016,"29,378     ","27,427     ","1,951     ",6.6     
CN0603500000000,06,035,"Lassen County, CA",2016,"10,517     ","9,793     ",724     ,6.9     
CN0603700000000,06,037,"Los Angeles County, CA",2016,"5,043,254     ","4,778,759     ","264,495     ",5.2     
CN0603900000000,06,039,"Madera County, CA",2016,"61,468     ","55,836     ","5,632     ",9.2     
CN0604100000000,06,041,"Marin County, CA",2016,"141,059     ","136,492     ","4,567     ",3.2     
CN0604300000000,06,043,"Mariposa County, CA",2016,"7,552     ","7,031     ",521     ,6.9     
CN0604500000000,06,045,"Mendocino County, CA",2016,"39,865     ","37,782     ","2,083     ",5.2     
CN0604700000000,06,047,"Merced County, CA",2016,"115,037     ","102,981     ","12,056     ",10.5     
CN0604900000000,06,049,"Modoc County, CA",2016,"3,327     ","3,067     ",260     ,7.8     
CN0605100000000,06,051,"Mono County, CA",2016,"8,406     ","7,958     ",448     ,5.3     
CN0605300000000,06,053,"Monterey County, CA",2016,"220,414     ","203,752     ","16,662     ",7.6     
CN0605500000000,06,055,"Napa County, CA",2016,"73,426     ","70,299     ","3,127     ",4.3     
CN0605700000000,06,057,"Nevada County, CA",2016,"48,419     ","46,120     ","2,299     ",4.7     
CN0605900000000,06,059,"Orange County, CA",2016,"1,602,371     ","1,538,026     ","64,345     ",4.0     
CN0606100000000,06,061,"Placer County, CA",2016,"179,819     ","171,836     ","7,983     ",4.4     
CN0606300000000,06,063,"Plumas County, CA",2016,"7,873     ","7,114     ",759     ,9.6     
CN0606500000000,06,065,"Riverside County, CA",2016,"1,051,815     ","988,033     ","63,782     ",6.1     
CN0606700000000,06,067,"Sacramento County, CA",2016,"697,427     ","660,109     ","37,318     ",5.4     
CN0606900000000,06,069,"San Benito County, CA",2016,"29,790     ","27,774     ","2,016     ",6.8     
CN0607100000000,06,071,"San Bernardino County, CA",2016,"935,579     ","882,181     ","53,398     ",5.7     
CN0607300000000,06,073,"San Diego County, CA",2016,"1,570,422     ","1,496,954     ","73,468     ",4.7     
CN0607500000000,06,075,"San Francisco County/city, CA",2016,"559,788     ","541,582     ","18,206     ",3.3     
CN0607700000000,06,077,"San Joaquin County, CA",2016,"319,187     ","293,458     ","25,729     ",8.1     
CN0607900000000,06,079,"San Luis Obispo County, CA",2016,"140,365     ","134,383     ","5,982     ",4.3     
CN0608100000000,06,081,"San Mateo County, CA",2016,"448,587     ","435,151     ","13,436     ",3.0     
CN0608300000000,06,083,"Santa Barbara County, CA",2016,"216,625     ","205,779     ","10,846     ",5.0     
CN0608500000000,06,085,"Santa Clara County, CA",2016,"1,026,525     ","987,905     ","38,620     ",3.8     
CN0608700000000,06,087,"Santa Cruz County, CA",2016,"144,525     ","134,554     ","9,971     ",6.9     
CN0608900000000,06,089,"Shasta County, CA",2016,"74,700     ","69,533     ","5,167     ",6.9     
CN0609100000000,06,091,"Sierra County, CA",2016,"1,349     ","1,247     ",102     ,7.6     
CN0609300000000,06,093,"Siskiyou County, CA",2016,"17,917     ","16,402     ","1,515     ",8.5     
CN0609500000000,06,095,"Solano County, CA",2016,"207,882     ","196,527     ","11,355     ",5.5     
CN0609700000000,06,097,"Sonoma County, CA",2016,"260,479     ","250,183     ","10,296     ",4.0     
CN0609900000000,06,099,"Stanislaus County, CA",2016,"244,500     ","223,655     ","20,845     ",8.5     
CN0610100000000,06,101,"Sutter County, CA",2016,"45,327     ","40,980     ","4,347     ",9.6     
CN0610300000000,06,103,"Tehama County, CA",2016,"25,201     ","23,413     ","1,788     ",7.1     
CN0610500000000,06,105,"Trinity County, CA",2016,"5,067     ","4,709     ",358     ,7.1     
CN0610700000000,06,107,"Tulare County, CA",2016,"205,909     ","183,282     ","22,627     ",11.0     
CN0610900000000,06,109,"Tuolumne County, CA",2016,"21,858     ","20,513     ","1,345     ",6.2     
CN0611100000000,06,111,"Ventura County, CA",2016,"427,785     ","405,636     ","22,149     ",5.2     
CN0611300000000,06,113,"Yolo County, CA",2016,"106,271     ","100,125     ","6,146     ",5.8     
CN0611500000000,06,115,"Yuba County, CA",2016,"28,319     ","25,908     ","2,411     ",8.5     
CN0800100000000,08,001,"Adams County, CO",2016,"253,515     ","244,325     ","9,190     ",3.6     
CN0800300000000,08,003,"Alamosa County, CO",2016,"7,906     ","7,580     ",326     ,4.1     
CN0800500000000,08,005,"Arapahoe County, CO",2016,"341,904     ","331,217     ","10,687     ",3.1     
CN0800700000000,08,007,"Archuleta County, CO",2016,"6,313     ","6,102     ",211     ,3.3     
CN0800900000000,08,009,"Baca County, CO",2016,"2,119     ","2,082     ",37     ,1.7     
CN0801100000000,08,011,"Bent County, CO",2016,"1,852     ","1,794     ",58     ,3.1     
CN0801300000000,08,013,"Boulder County, CO",2016,"180,909     ","176,017     ","4,892     ",2.7     
CN0801400000000,08,014,"Broomfield County/city, CO",2016,"36,455     ","35,384     ","1,071     ",2.9     
CN0801500000000,08,015,"Chaffee County, CO",2016,"8,779     ","8,542     ",237     ,2.7     
CN0801700000000,08,017,"Cheyenne County, CO",2016,"1,068     ","1,043     ",25     ,2.3     
CN0801900000000,08,019,"Clear Creek County, CO",2016,"5,681     ","5,499     ",182     ,3.2     
CN0802100000000,08,021,"Conejos County, CO",2016,"3,783     ","3,597     ",186     ,4.9     
CN0802300000000,08,023,"Costilla County, CO",2016,"1,707     ","1,623     ",84     ,4.9     
CN0802500000000,08,025,"Crowley County, CO",2016,"1,385     ","1,335     ",50     ,3.6     
CN0802700000000,08,027,"Custer County, CO",2016,"1,993     ","1,930     ",63     ,3.2     
CN0802900000000,08,029,"Delta County, CO",2016,"13,868     ","13,172     ",696     ,5.0     
CN0803100000000,08,031,"Denver County/city, CO",2016,"384,331     ","372,228     ","12,103     ",3.1     
CN0803300000000,08,033,"Dolores County, CO",2016,"1,055     ","1,013     ",42     ,4.0     
CN0803500000000,08,035,"Douglas County, CO",2016,"176,472     ","171,714     ","4,758     ",2.7     
CN0803700000000,08,037,"Eagle County, CO",2016,"33,651     ","32,716     ",935     ,2.8     
CN0803900000000,08,039,"Elbert County, CO",2016,"13,714     ","13,350     ",364     ,2.7     
CN0804100000000,08,041,"El Paso County, CO",2016,"314,872     ","302,948     ","11,924     ",3.8     
CN0804300000000,08,043,"Fremont County, CO",2016,"14,595     ","13,827     ",768     ,5.3     
CN0804500000000,08,045,"Garfield County, CO",2016,"30,819     ","29,722     ","1,097     ",3.6     
CN0804700000000,08,047,"Gilpin County, CO",2016,"3,471     ","3,386     ",85     ,2.4     
CN0804900000000,08,049,"Grand County, CO",2016,"9,105     ","8,857     ",248     ,2.7     
CN0805100000000,08,051,"Gunnison County, CO",2016,"10,088     ","9,855     ",233     ,2.3     
CN0805300000000,08,053,"Hinsdale County, CO",2016,442     ,432     ,10     ,2.3     
CN0805500000000,08,055,"Huerfano County, CO",2016,"2,489     ","2,329     ",160     ,6.4     
CN0805700000000,08,057,"Jackson County, CO",2016,885     ,861     ,24     ,2.7     
CN0805900000000,08,059,"Jefferson County, CO",2016,"316,062     ","306,619     ","9,443     ",3.0     
CN0806100000000,08,061,"Kiowa County, CO",2016,858     ,840     ,18     ,2.1     
CN0806300000000,08,063,"Kit Carson County, CO",2016,"4,471     ","4,375     ",96     ,2.1     
CN0806500000000,08,065,"Lake County, CO",2016,"4,572     ","4,440     ",132     ,2.9     
CN0806700000000,08,067,"La Plata County, CO",2016,"30,743     ","29,842     ",901     ,2.9     
CN0806900000000,08,069,"Larimer County, CO",2016,"187,235     ","181,929     ","5,306     ",2.8     
CN0807100000000,08,071,"Las Animas County, CO",2016,"6,155     ","5,838     ",317     ,5.2     
CN0807300000000,08,073,"Lincoln County, CO",2016,"2,268     ","2,209     ",59     ,2.6     
CN0807500000000,08,075,"Logan County, CO",2016,"10,992     ","10,658     ",334     ,3.0     
CN0807700000000,08,077,"Mesa County, CO",2016,"71,959     ","68,077     ","3,882     ",5.4     
CN0807900000000,08,079,"Mineral County, CO",2016,463     ,453     ,10     ,2.2     
CN0808100000000,08,081,"Moffat County, CO",2016,"7,156     ","6,867     ",289     ,4.0     
