"storenum","OPENDATE","date_super","conversion","st","county","STREETADDR","STRCITY","STRSTATE","ZIPCODE","type_store"
1,7/1/1962 ,3/1/1997 ,1,"05","007","2110 WEST WALNUT","Rogers","AR","72756","Supercenter"
2,8/1/1964 ,3/1/1996 ,1,"05","009","1417 HWY 62/65 N","Harrison","AR","72601","Supercenter"
3,4/12/1988 ,3/1/2000 ,1,"13","011","30983 HWY 441 SOUTH","Commerce","GA","30529","Supercenter"
4,8/1/1965 ,3/1/2002 ,1,"05","007","2901 HWY 412 EAST","Siloam Springs","AR","72761","Supercenter"
5,5/1/1972 ,3/1/1994 ,1,"05","045","1155 HWY 65 NORTH","Conway","AR","72032","Supercenter"
7,10/1/1967 ,,,"05","119","3801 CAMP ROBINSON RD.","North Little Rock","AR","72118","Wal-Mart"
8,10/1/1967 ,3/1/1993 ,1,"05","029","1621 NORTH BUSINESS 9","Morrilton","AR","72110","Supercenter"
9,3/1/1968 ,3/1/2000 ,1,"29","143","1303 SOUTH MAIN","Sikeston","MO","63801","Supercenter"
10,7/1/1968 ,3/1/1998 ,1,"40","021","2020 SOUTH MUSKOGEE","Tahlequah","OK","74464","Supercenter"
11,3/1/1968 ,2/20/2002 ,1,"05","005","65 WAL-MART DRIVE","Mountain Home","AR","72653","Supercenter"
12,7/1/1968 ,3/1/1994 ,1,"40","131","1500 LYNN RIGGS BLVD","Claremore","OK","74017","Supercenter"
13,11/1/1968 ,3/1/1996 ,1,"29","097","2705 GRAND AVE","Carthage","MO","64836","Supercenter"
14,4/1/1969 ,3/1/1999 ,1,"29","105","1800 S JEFFERSON","Lebanon","MO","65536","Supercenter"
15,5/1/1969 ,3/1/1995 ,1,"29","091","1310 PREACHER RD/HGWY 160","West Plains","MO","65775","Supercenter"
16,4/1/1969 ,3/1/2000 ,1,"05","033","2214 FAYETTEVILLE RD","Van Buren","AR","72956","Supercenter"
17,5/1/1969 ,3/1/1993 ,1,"29","145","3200 LUSK DRIVE","Neosho","MO","64850","Supercenter"
18,11/1/1969 ,,,"05","067","2500 MALCOLM ST/HWY 67 NORTH","Newport","AR","72112","Wal-Mart"
19,4/3/1990 ,4/3/1990 ,0,"29","023","333 S WESTWOOD","Poplar Bluff","MO","63901","Supercenter"
20,10/1/1970 ,3/1/1999 ,1,"29","083","1712 EAST OHIO","Clinton","MO","64735","Supercenter"
21,3/1/1970 ,8/22/2001 ,1,"29","169","185 ST ROBERT BLVD","St. Robert","MO","65584","Supercenter"
22,10/1/1970 ,5/18/2005 ,1,"40","097","4901 SO. MILL ROAD","Pryor","OK","74361","Supercenter"
23,11/1/1970 ,3/1/1994 ,1,"22","061","1201 N SERVICE ROAD EAST","Ruston","LA","71270","Supercenter"
24,4/1/1971 ,3/1/1999 ,1,"05","119","2000 JOHN HARDEN DR","Jacksonville","AR","72076","Supercenter"
25,2/1/1971 ,5/18/2005 ,1,"29","007","4820 SO. CLARK ST","Mexico","MO","65265","Supercenter"
26,11/1/1970 ,,,"20","103","3450 S. 4TH TRAFFICWAY","Leavenworth","KS","66048","Wal-Mart"
27,2/1/1971 ,3/1/1999 ,1,"29","065","1101 HWY 32 WEST","Salem","MO","65560","Supercenter"
28,5/1/1971 ,3/1/2002 ,1,"40","115","2415 N.W. MAIN ST","Miami","OK","74354","Supercenter"
29,8/1/1971 ,3/1/1989 ,1,"29","051","724 STADIUM WEST BLVD","Jefferson City","MO","65109","Supercenter"
30,11/1/1971 ,5/18/2005 ,1,"29","207","2025 BUS. HWY 60 WEST","Dexter","MO","63841","Supercenter"
31,6/1/1971 ,3/1/1995 ,1,"40","079","3108 N BROADWAY","Poteau","OK","74953","Supercenter"
32,6/1/1971 ,,,"29","213","2050 WEST HWY 76","Branson","MO","65616","Wal-Mart"
33,6/1/1971 ,9/17/2003 ,1,"05","061","1710 SO. 4TH ST","Nashville","AR","71852","Supercenter"
34,11/1/1971 ,5/21/2003 ,1,"29","217","2250 LINCOLN AVENUE","Nevada","MO","64772","Supercenter"
35,10/1/1971 ,3/17/2004 ,1,"20","161","101 EAST BLUEMONT AVENUE","Manhattan","KS","66502","Supercenter"
36,11/1/1971 ,3/1/1996 ,1,"05","055","2802 WEST KINGS HIGHWAY","Paragould","AR","72450","Supercenter"
37,9/1/1971 ,3/1/1989 ,1,"29","187","701 WALTON DRIVE","Farmington","MO","63640","Supercenter"
38,12/9/1971 ,3/17/2004 ,1,"40","089","1907 SE WASHINGTON ST.","Idabel","OK","74745","Supercenter"
39,3/1/1972 ,,,"20","011","2400 SOUTH MAIN","Fort Scott","KS","66701","Wal-Mart"
40,11/1/1971 ,3/1/1995 ,1,"29","175","1301 HWY 24 EAST","Moberly","MO","65270","Supercenter"
41,5/1/1972 ,3/1/1994 ,1,"40","147","4000 GREEN COUNTRY RD","Bartlesville","OK","74006","Supercenter"
42,2/1/1973 ,,,"20","125","1705 WEST 11TH STREET","Coffeyville","KS","67337","Wal-Mart"
43,5/1/1972 ,3/1/2000 ,1,"20","061","521 EAST CHESTNUT ST","Junction City","KS","66441","Supercenter"
44,2/1/1972 ,,,"29","131","1802 SOUTH BUSINESS HWY 54","Eldon","MO","65026","Wal-Mart"
45,8/1/1972 ,3/1/1994 ,1,"05","031","1815 EAST HIGHLAND DRIVE","Jonesboro","AR","72401","Supercenter"
46,8/1/1972 ,3/1/1999 ,1,"29","167","2451 S. SPRINGFIELD","Bolivar","MO","65613","Supercenter"
47,7/1/1972 ,3/14/2001 ,1,"40","135","1101 WEST RUTH AVE","Sallisaw","OK","74955","Supercenter"
48,11/1/1972 ,3/1/1999 ,1,"29","009","885 HIGHWAY 60","Monett","MO","65708","Supercenter"
49,10/1/1972 ,3/1/2002 ,1,"40","023","1911 E.JACKSON ST.","Hugo","OK","74743","Supercenter"
50,9/1/1973 ,1/22/2003 ,1,"40","035","268 SO. 7TH ST.","Vinita","OK","74301","Supercenter"
51,5/1/1973 ,3/1/1998 ,1,"29","027","1701 NORTH BLUFF STREET","Fulton","MO","65251","Supercenter"
52,7/1/1972 ,3/1/2000 ,1,"05","051","1601 ALBERT PIKE BLV","Hot Springs","AR","71913","Supercenter"
54,6/1/1972 ,3/1/1992 ,1,"05","143","2004 SOUTH PLEASANT","Springdale","AR","72764","Supercenter"
55,10/1/1972 ,,,"05","083","1555 EAST MAIN","Booneville","AR","72927","Wal-Mart"
56,8/1/1973 ,3/17/2004 ,1,"29","067","1309 NW 12TH AVE","Ava","MO","65608","Supercenter"
57,10/1/1972 ,,,"05","075","1600 WEST MAIN","Walnut Ridge","AR","72476","Wal-Mart"
58,5/1/1973 ,10/26/2005 ,1,"05","115","2409 EAST MAIN STREET","Russellville","AR","72802","Supercenter"
59,5/1/1972 ,3/1/1996 ,1,"29","097","1501 SOUTH RANGELINE ROAD","Joplin","MO","64804","Supercenter"
60,3/1/1975 ,3/1/1996 ,1,"29","113","101 HWY 47 EAST","Troy","MO","63379","Supercenter"
61,11/1/1972 ,3/1/1993 ,1,"29","101","301 E. COOPER AVENUE","Warrensburg","MO","64093","Supercenter"
62,11/1/1972 ,3/1/1999 ,1,"05","093","3700 EAST HWY 18","Blytheville","AR","72315","Supercenter"
63,9/1/1973 ,3/1/1988 ,1,"40","145","410 SOUTH DEWEY","Wagoner","OK","74467","Supercenter"
64,2/1/1973 ,,,"47","075","100 SOUTH DUPREE","Brownsville","TN","38012","Wal-Mart"
65,7/3/1973 ,3/1/1994 ,1,"29","071","350 PARKRIDGE ROAD","Sullivan","MO","63080","Supercenter"
66,8/1/1973 ,7/17/2002 ,1,"05","071","1230 MARKET STREET","Clarksville","AR","72830","Supercenter"
67,7/1/1973 ,3/1/1995 ,1,"05","113","600 HWY 71 NORTH","Mena","AR","71953","Supercenter"
68,8/1/1973 ,8/20/2003 ,1,"05","037","800 HWY 64 EAST","Wynne","AR","72396","Supercenter"
69,12/1/1973 ,3/1/1993 ,1,"29","099","650 SOUTH TRUMAN BLVD","Festus","MO","63028","Supercenter"
70,7/1/1974 ,3/1/1997 ,1,"05","035","798 WEST SERVICE ROAD","West Memphis","AR","72301","Supercenter"
71,11/1/1973 ,3/1/1994 ,1,"05","121","1415 HWY 67 SOUTH","Pocahontas","AR","72455","Supercenter"
72,1/1/1974 ,3/1/1994 ,1,"20","037","2710 N BROADWAY","Pittsburg","KS","66762","Supercenter"
73,10/1/1974 ,3/1/1999 ,1,"40","037","1002 WEST TAFT","Sapulpa","OK","74066","Supercenter"
74,11/1/1973 ,,,"05","093","1051 WEST KEISER AVENUE","Osceola","AR","72370","Wal-Mart"
75,11/13/1984 ,3/1/1998 ,1,"22","079","3636 MONROE HIGHWAY","Pineville","LA","71360","Supercenter"
76,11/1/1973 ,3/1/1993 ,1,"05","015","1000 WEST TRIMBLE","Berryville","AR","72616","Supercenter"
77,10/30/1979 ,7/21/2004 ,1,"48","491","3701 NORTH MAIN ST.","Taylor","TX","76574","Supercenter"
78,9/1/1973 ,,,"29","225","1331 SPUR DR/ BUS. RT US HWY66","Marshfield","MO","65706","Wal-Mart"
79,4/1/1974 ,3/1/1999 ,1,"29","097","2623 WEST 7TH STREET","Joplin","MO","64801","Supercenter"
80,6/1/1973 ,,,"29","019","401 N STADIUM BL/BISCAYNE MALL","Columbia","MO","65201","Wal-Mart"
81,6/1/1973 ,10/26/2005 ,1,"40","001","ROUTE 6 BOX 1895","Stilwell","OK","74960","Supercenter"
82,4/1/1974 ,3/1/1998 ,1,"29","157","1750 S. PERRYVILLE","Perryville","MO","63775","Supercenter"
83,8/1/1974 ,8/20/2003 ,1,"05","027","60 79-BYPASS NORTH","Magnolia","AR","71753","Supercenter"
84,5/1/1974 ,,,"05","095","PINECREST PLAZA SHOPPING CTR","Brinkley","AR","72021","Wal-Mart"
85,4/1/1974 ,3/1/1996 ,1,"05","125","17309 I-30","Benton","AR","72015","Supercenter"
86,12/1/1973 ,3/1/1994 ,1,"29","077","2825 N KANSAS EXPRESSWAY","Springfield","MO","65803","Supercenter"
87,7/1/1974 ,3/1/1999 ,1,"22","119","1379 HOMER ROAD","Minden","LA","71055","Supercenter"
88,2/1/1974 ,3/1/1994 ,1,"29","229","2100 NORTH MAIN","Mt. Grove","MO","65711","Supercenter"
89,2/1/1974 ,4/13/2005 ,1,"29","029","94 CECIL STREET","Camdenton","MO","65020","Supercenter"
90,4/1/1974 ,3/1/1995 ,1,"40","041","2115 S MAIN ST","Grove","OK","74344","Supercenter"
91,9/1/1974 ,3/1/1994 ,1,"05","123","205 DEADRICK ROAD","Forrest City","AR","72335","Supercenter"
92,4/1/1974 ,,,"29","109","3020 SOUTH ELLIOTT","Aurora","MO","65605","Wal-Mart"
93,10/1/1974 ,,,"47","167","975 US HIGHWAY 51 NORTH","Covington","TN","38019","Wal-Mart"
94,7/1/1974 ,3/1/1997 ,1,"47","157","8445 HWY 51 NORTH","Millington","TN","38053","Supercenter"
95,10/1/1974 ,5/21/2003 ,1,"29","187","407 NO. STATE ST","Desloge","MO","63601","Supercenter"
96,10/1/1974 ,3/1/1994 ,1,"29","037","1700 NORTH 291 HIGHWAY","Harrisonville","MO","64701","Supercenter"
97,11/1/1974 ,3/1/1994 ,1,"47","097","628 HWY 51 BYPASS","Ripley","TN","38063","Supercenter"
98,2/1/1975 ,,,"22","067","2030 EAST MADISON","Bastrop","LA","71220","Wal-Mart"
99,2/1/1976 ,3/1/1995 ,1,"29","071","1445 E CENTRAL","Union","MO","63084","Supercenter"
100,10/1/1974 ,3/1/1992 ,1,"05","007","406 SOUTH WALTON BLVD","Bentonville","AR","72712","Supercenter"
101,2/1/1976 ,3/1/1994 ,1,"29","161","500 SOUTH BISHOP","Rolla","MO","65401","Supercenter"
102,9/1/1974 ,3/1/1995 ,1,"05","001","406 E 22ND STREET","Stuttgart","AR","72160","Supercenter"
103,8/1/1975 ,8/25/2004 ,1,"40","125","196 SHAWNEE MALL DRIVE","Shawnee","OK","74804","Supercenter"
104,7/1/1974 ,,,"47","053","15427 SO. FIRST STREET","Milan","TN","38358","Wal-Mart"
105,8/1/1974 ,3/1/1994 ,1,"28","003","2301 HARPER ROAD","Corinth","MS","38834","Supercenter"
106,8/1/1974 ,10/20/2004 ,1,"21","075","1405 MIDDLE ROAD","Fulton","KY","42041","Supercenter"
107,10/1/1974 ,,,"47","183","850 WAL-MART DRIVE","Martin","TN","38237","Wal-Mart"
108,2/1/1975 ,,,"40","083","1618 SOUTH DIVISION","Guthrie","OK","73044","Wal-Mart"
109,2/1/1975 ,3/1/1995 ,1,"29","063","2000 NORTH WALNUT","Cameron","MO","64429","Supercenter"
111,11/1/1975 ,6/25/2003 ,1,"20","133","2700 SOUTH SANTA FE","Chanute","KS","66720","Supercenter"
112,4/1/1975 ,3/1/2002 ,1,"28","105","1010 HWY 12 WEST","Starkville","MS","39759","Supercenter"
113,7/1/1975 ,1/27/2006 ,1,"40","051","2001 SO. 1ST ST.","Chickasha","OK","73018","Supercenter"
114,4/1/1975 ,,,"28","117","200 WALMART CIRCLE","Booneville","MS","38829","Wal-Mart"
115,9/1/1976 ,,,"28","025","1445 HWY 45 NORTH","West Point","MS","39773","Wal-Mart"
116,8/1/1975 ,,,"22","017","929 SOUTH PINE STREET","Vivian","LA","71082","Wal-Mart"
117,6/1/1975 ,,,"40","089","501 SOUTH PARK DRIVE","Broken Bow","OK","74728","Wal-Mart"
118,4/1/1976 ,3/1/1993 ,1,"28","095","1515 US HWY 278 EAST","Amory","MS","38821","Supercenter"
119,3/1/1976 ,3/1/1994 ,1,"05","063","3150 HARRISON STREET","Batesville","AR","72501","Supercenter"
120,3/1/1976 ,,,"47","053","2716 NORTH CENTRAL AVENUE","Humboldt","TN","38343","Wal-Mart"
121,9/1/1975 ,3/1/1994 ,1,"40","111","1800 SOUTH WOOD DRIVE","Okmulgee","OK","74447","Supercenter"
122,11/1/1975 ,3/1/1999 ,1,"29","031","3051 EAST JACKSON BLVD.","Jackson","MO","63755","Supercenter"
123,6/1/1975 ,10/29/2003 ,1,"40","133","1500 E. WRANGLER BLVD","Seminole","OK","74868","Supercenter"
124,3/1/1975 ,3/1/1999 ,1,"05","119","8801 BASELINE ROAD","Little Rock","AR","72209","Supercenter"
125,4/1/1975 ,3/1/1999 ,1,"05","131","2425 SOUTH ZERO ST","Fort Smith","AR","72901","Supercenter"
126,3/1/1976 ,,,"05","119","700 SOUTH BOWMAN BLV","Little Rock","AR","72211","Wal-Mart"
127,2/1/1976 ,4/13/2005 ,1,"05","059","1910 MARTIN LUTHER KING BLVD","Malvern","AR","72104","Supercenter"
128,8/1/1978 ,3/1/1998 ,1,"05","031","1911 WEST PARKER RD","Jonesboro","AR","72404","Supercenter"
129,7/1/1975 ,3/1/1994 ,1,"40","019","1715 NORTH COMMERCE STREET","Ardmore","OK","73401","Supercenter"
130,7/1/1975 ,8/25/2004 ,1,"40","101","1000 WEST SHAWNEE ST","Muskogee","OK","74403","Supercenter"
131,11/1/1975 ,3/1/1990 ,1,"48","449","2311 SOUTH JEFFERSON","Mt. Pleasant","TX","75455","Supercenter"
132,2/1/1976 ,,,"40","073","1213 SOUTH MAIN STREET","Kingfisher","OK","73750","Wal-Mart"
133,5/1/1976 ,,,"05","081","1040 S CONSTITUTION","Ashdown","AR","71822","Wal-Mart"
134,8/1/1976 ,,,"40","009","3105 WEST 3RD","Elk City","OK","73644","Wal-Mart"
135,4/1/1976 ,10/27/2004 ,1,"29","117","1000 GRAVES ST.","Chillicothe","MO","64601","Supercenter"
136,4/1/1976 ,,,"40","071","1219 WEST DOOLIN","Blackwell","OK","74631","Wal-Mart"
137,10/1/1976 ,3/1/1994 ,1,"40","119","111 NORTH PERKINS ROAD","Stillwater","OK","74075","Supercenter"
138,11/1/1977 ,,,"29","077","1923 EAST KEARNEY","Springfield","MO","65803","Wal-Mart"
139,7/1/1976 ,,,"40","087","1620 NORTH GREEN AVENUE","Purcell","OK","73080","Wal-Mart"
140,9/1/1976 ,7/17/2002 ,1,"48","005","2500 DANIEL MCCALL DRIVE","Lufkin","TX","75901","Supercenter"
141,5/1/1976 ,3/1/1997 ,1,"05","131","8301 ROGERS AVENUE","Fort Smith","AR","72903","Supercenter"
142,5/1/1976 ,,,"48","387","2204 HWY 82 WEST","Clarksville","TX","75426","Wal-Mart"
143,6/1/1976 ,3/1/2000 ,1,"21","157","310 WEST 5TH STREET","Benton","KY","42025","Supercenter"
144,9/1/1976 ,3/1/1994 ,1,"05","143","2875 WEST 6TH STREET","Fayetteville","AR","72704","Supercenter"
145,10/1/1976 ,,,"29","163","3310 W GEORGIA STREET","Louisiana","MO","63353","Wal-Mart"
146,3/1/1976 ,3/1/1997 ,1,"48","459","1923 NORTH WOOD","Gilmer","TX","75644","Supercenter"
147,7/1/1976 ,3/1/1995 ,1,"48","181","401 NORTH US HWY 75","Denison","TX","75020","Supercenter"
148,6/1/1976 ,3/1/1996 ,1,"48","277","3855 LAMAR AVENUE","Paris","TX","75460","Supercenter"
149,3/1/1977 ,3/1/2000 ,1,"22","049","184 OLD WINFIELD RD","Jonesboro","LA","71251","Supercenter"
150,10/1/1976 ,3/1/1998 ,1,"40","153","3215 WILLIAMS AVENUE","Woodward","OK","73801","Supercenter"
151,3/1/1977 ,3/1/1994 ,1,"40","121","432 SOUTH GEORGE NIGH EXWY","McAlester","OK","74501","Supercenter"
152,12/1/1976 ,10/27/2004 ,1,"29","099","12862 STATE ROAD 21","De Soto","MO","63020","Supercenter"
153,10/1/1976 ,3/1/1994 ,1,"28","145","202 PARK PLAZA","New Albany","MS","38652","Supercenter"
155,8/1/1977 ,3/1/1994 ,1,"28","137","5219 HWY 51 NORTH","Senatobia","MS","38668","Supercenter"
156,1/1/1977 ,,,"29","155","STATE HWY 84 WEST","Caruthersville","MO","63830","Wal-Mart"
157,1/1/1977 ,3/1/1994 ,1,"05","145","3509 EAST RACE AVENUE","Searcy","AR","72143","Supercenter"
158,5/1/1977 ,3/1/1997 ,1,"48","147","2021 NORTH HWY 121","Bonham","TX","75418","Supercenter"
159,3/1/1977 ,3/1/1998 ,1,"29","019","415 CONLEY ROAD","Columbia","MO","65201","Supercenter"
160,1/1/1977 ,3/1/1994 ,1,"05","135","219 HIGHWAY 412","Ashflat","AR","72513","Supercenter"
161,5/1/1977 ,2/20/2002 ,1,"47","017","180 VETERANS DRIVE N","Huntingdon","TN","38344","Supercenter"
162,6/1/1977 ,3/1/1997 ,1,"40","015","1201 WEST PETREE RD","Anadarko","OK","73005","Supercenter"
163,2/1/1977 ,3/1/1993 ,1,"48","347","4810 NORTH STREET","Nacogdoches","TX","75965","Supercenter"
164,2/1/1977 ,,,"28","115","350 WAL-MART CIRCLE","Pontotoc","MS","38863","Wal-Mart"
165,5/1/1977 ,3/1/1996 ,1,"48","401","2121 HWY 79 SOUTH","Henderson","TX","75654","Supercenter"
166,3/1/1977 ,10/30/2002 ,1,"29","215","1433 SO. SAM HOUSTON BLVD","Houston","MO","65483","Supercenter"
167,4/1/1977 ,1/26/2005 ,1,"05","003","910 UNITY ROAD","Crossett","AR","71635","Supercenter"
168,2/7/1978 ,3/1/2000 ,1,"40","143","12101 E 96TH ST. N","Owasso","OK","74055","Supercenter"
169,9/1/1977 ,,,"05","085","1400 NORTH CENTER","Lonoke","AR","72086","Wal-Mart"
170,10/1/1977 ,3/1/1995 ,1,"22","069","925 KEYSER AVE","Natchitoches","LA","71457","Supercenter"
171,11/1/1977 ,,,"05","103","1270 STATE HWY 4 BYPASS SW","Camden","AR","71701","Wal-Mart"
172,7/1/1977 ,3/1/1988 ,1,"29","071","5886 HWY 100","Washington","MO","63090","Supercenter"
173,10/1/1977 ,5/21/2003 ,1,"29","221","#1 MEMORIAL DRIVE","Potosi","MO","63664","Supercenter"
174,10/15/1985 ,1/26/2005 ,1,"12","009","2700 CLEARLAKE ROAD","Rockledge","FL","32922","Supercenter"
175,11/1/1977 ,3/1/1996 ,1,"47","157","560 WEST POPLAR AVE","Collierville","TN","38017","Supercenter"
176,7/1/1977 ,,,"28","139","822 CITY AVENUE SOUTH","Ripley","MS","38663","Wal-Mart"
177,11/1/1977 ,3/1/1997 ,1,"47","079","1210 MINERAL WELL AV","Paris","TN","38242","Supercenter"
178,11/1/1977 ,3/1/1997 ,1,"40","151","914 E OKLAHOMA BLVD","Alva","OK","73717","Supercenter"
179,2/1/1977 ,3/14/2001 ,1,"29","077","3520 W SUNSHINE ST.","Springfield","MO","65807","Supercenter"
180,3/14/1978 ,3/1/1994 ,1,"48","073","1311 SOUTH JACKSON","Jacksonville","TX","75766","Supercenter"
181,8/8/1978 ,5/18/2005 ,1,"48","037","800 JAMES BOWIE DRIVE","New Boston","TX","75570","Supercenter"
182,6/1/1979 ,7/18/2001 ,1,"28","151","1831 S DR MARTIN L. KING BLVD","Greenville","MS","38701","Supercenter"
183,10/1/1977 ,8/25/2004 ,1,"28","159","159 HIGHWAY 15 SOUTH","Louisville","MS","39339","Supercenter"
184,2/1/1978 ,5/25/2005 ,1,"29","095","600 N.E. CORONADO DRIVE","Blue Springs","MO","64014","Supercenter"
185,7/21/1993 ,3/1/2002 ,1,"48","097","1800 LAWRENCE ST.","Gainesville","TX","76240","Supercenter"
186,11/1/1977 ,10/27/2004 ,1,"20","015","301 SO. VILLAGE ROAD","El Dorado","KS","67042","Supercenter"
188,7/1/1977 ,3/1/1994 ,1,"29","031","3439 WILLIAMS STREET","Cape Girardeau","MO","63701","Supercenter"
189,7/1/1977 ,3/1/1993 ,1,"29","001","2206 NORTH BALTIMORE","Kirksville","MO","63501","Supercenter"
190,7/1/1977 ,3/1/1995 ,1,"29","069","1500 EAST FIRST ST","Kennett","MO","63857","Supercenter"
192,9/15/1981 ,3/20/2002 ,1,"47","119","2200 BROOKMEAD DRIVE","Columbia","TN","38401","Supercenter"
194,1/22/1985 ,7/18/2001 ,1,"48","201","4900 GARTH ROAD","Baytown","TX","77520","Supercenter"
195,7/1/1977 ,,,"29","047","2203 PATSY LANE","Excelsior Springs","MO","64024","Wal-Mart"
196,7/1/1977 ,3/1/1993 ,1,"17","077","1450 EAST MAIN","Carbondale","IL","62901","Supercenter"
197,7/1/1977 ,8/27/2003 ,1,"17","109","1730 E JACKSON ROAD","Macomb","IL","61455","Supercenter"
198,7/1/1977 ,4/16/2003 ,1,"17","121","1870 WEST MAIN ST.","Salem","IL","62881","Supercenter"
199,7/1/1977 ,,,"17","107","1501 WOODLAWN ROAD","Lincoln","IL","62656","Wal-Mart"
200,7/1/1977 ,,,"17","137","1205 W MORTON ROAD","Jacksonville","IL","62650","Wal-Mart"
201,7/1/1977 ,,,"17","163","120 CARLYLE PLAZA DRIVE","Belleville","IL","62221","Wal-Mart"
203,8/29/1978 ,3/1/1998 ,1,"29","115","937 PARK CIRCLE DR","Brookfield","MO","64628","Supercenter"
204,2/14/1978 ,,,"21","033","500 US HWY 62 WEST","Princeton","KY","42445","Wal-Mart"
205,3/28/1978 ,3/1/1994 ,1,"28","099","1002 BEACON STREET","Philadelphia","MS","39350","Supercenter"
206,3/28/1978 ,7/20/2005 ,1,"48","085","2041 REDBUD BLVD","McKinney","TX","75069","Supercenter"
207,3/21/1978 ,,,"40","117","1004 NORTH BROADWAY","Cleveland","OK","74020","Wal-Mart"
208,4/4/1978 ,,,"20","021","2970 MILITARY AVENUE","Baxter Springs","KS","66713","Wal-Mart"
209,6/1/1978 ,,,"05","047","1516 NORTH 18TH STREET","Ozark","AR","72949","Wal-Mart"
210,7/18/1978 ,,,"40","063","500 EAST HIGHWAY 270","Holdenville","OK","74848","Wal-Mart"
211,9/12/1978 ,3/1/1998 ,1,"48","217","401 COKE STREET","Hillsboro","TX","76645","Supercenter"
212,11/1/1977 ,3/1/1999 ,1,"40","027","333 INTERSTATE DRIVE","Norman","OK","73069","Supercenter"
213,5/16/1978 ,3/1/1999 ,1,"17","135","1205 WEST FERDON ST","Litchfield","IL","62056","Supercenter"
214,10/10/1978 ,3/1/1994 ,1,"48","241","800 WEST GIBSON","Jasper","TX","75951","Supercenter"
215,5/15/1979 ,,,"28","097","620 SOUTH APPLEGATE ST","Winona","MS","38967","Wal-Mart"
216,3/27/1979 ,,,"17","199","2705 WALTON WAY","Marion","IL","62959","Wal-Mart"
217,9/5/1978 ,3/1/1999 ,1,"48","121","801 WEST MAIN","Lewisville","TX","75067","Supercenter"
218,4/10/1979 ,3/1/1998 ,1,"47","109","1017 MULBERRY AVENUE","Selmer","TN","38375","Supercenter"
219,10/3/1978 ,3/1/1993 ,1,"29","159","3201 WEST BROADWAY","Sedalia","MO","65301","Supercenter"
220,10/17/1978 ,3/1/1995 ,1,"48","251","951 SW WILSHIRE BLVD","Burleson","TX","76028","Supercenter"
221,10/31/1978 ,3/1/1994 ,1,"40","017","1200 GARTH BROOKS BLVD","Yukon","OK","73099","Supercenter"
222,12/5/1978 ,3/1/1996 ,1,"17","157","1410 N MARKET ST","Sparta","IL","62286","Supercenter"
224,6/13/1978 ,3/1/1997 ,1,"17","081","110 DAVIDSON AVENUE","Mount Vernon","IL","62864","Supercenter"
225,10/24/1978 ,,,"40","099","2108 WEST BROADWAY","Sulphur","OK","73086","Wal-Mart"
226,10/17/1978 ,3/1/1997 ,1,"48","067","201 US HWY 59 LOOP","Atlanta","TX","75551","Supercenter"
227,10/10/1978 ,3/1/1995 ,1,"40","017","2400 SOUTH COUNTRY CLUB ROAD","El Reno","OK","73036","Supercenter"
228,9/19/1978 ,3/1/1995 ,1,"48","251","1616 WEST HENDERSON","Cleburne","TX","76031","Supercenter"
229,10/31/1978 ,9/15/2004 ,1,"05","111","512 INDUSTRIAL DRIVE","Trumann","AR","72472","Supercenter"
230,12/5/1978 ,,,"05","083","1501 EAST WALNUT STREET","Paris","AR","72855","Wal-Mart"
231,9/19/1978 ,3/1/1995 ,1,"40","123","1419 N. COUNTRY CLUB RD.","Ada","OK","74820","Supercenter"
232,9/19/1978 ,,,"40","005","1901 SOUTH MISSISSIPPI","Atoka","OK","74525","Wal-Mart"
233,11/21/1978 ,3/1/1998 ,1,"17","181","300 LEIGH AVE","Anna","IL","62906","Supercenter"
234,12/5/1978 ,3/1/2004 ,1,"29","047","8301 NO. CHURCH ROAD","Liberty","MO","64158","Supercenter"
235,11/28/1978 ,,,"05","021","1900 WEST MAIN","Corning","AR","72422","Wal-Mart"
236,2/1/1979 ,3/1/1998 ,1,"48","225","1225 E LOOP 304","Crockett","TX","75835","Supercenter"
237,11/14/1978 ,,,"17","165","16 ARROWHEAD POINT SHPCNTR","Harrisburg","IL","62946","Wal-Mart"
238,2/13/1979 ,3/1/1999 ,1,"47","055","1655 WEST COLLEGE STREET","Pulaski","TN","38478","Supercenter"
239,7/31/1979 ,3/1/1998 ,1,"28","007","220 VETERAN MEM DR","Kosciusko","MS","39090","Supercenter"
240,6/19/1979 ,3/1/2000 ,1,"48","231","2701 HWY 50","Commerce","TX","75428","Supercenter"
242,9/18/1979 ,3/1/1998 ,1,"20","121","310 HEDGE LANE","Paola","KS","66071","Supercenter"
243,10/15/1980 ,,,"29","183","1971 WENTZVILLE PKWY","Wentzville","MO","63385","Wal-Mart"
244,7/31/1979 ,3/1/1999 ,1,"22","127","5940 HWY 167 NORTH","Winnfield","LA","71483","Supercenter"
246,9/18/1979 ,8/24/2005 ,1,"40","113","823 WEST ROGERS BLVD","Skiatook","OK","74070","Supercenter"
247,3/13/1979 ,,,"40","111","605 EAST MAIN","Henryetta","OK","74437","Wal-Mart"
248,8/28/1979 ,3/1/2000 ,1,"48","293","1406 EAST MILAM","Mexia","TX","76667","Supercenter"
249,3/6/1979 ,3/1/2000 ,1,"48","291","831 HWY 59 SOUTH","Cleveland","TX","77327","Supercenter"
250,3/27/1979 ,10/29/2003 ,1,"29","015","103 WEST POLK ST","Warsaw","MO","65355","Supercenter"
