Number,Volcano Name,Country,Region,Latitude,Longitude,Elev,Type,Status,Last Known
0303-011,Ambre-Bobaomby,Madagascar,Madagascar,-12.48,49.1,1475,Volcanic field,Holocene,U
0507-04=,Ambrym,Vanuatu,Vanuatu-SW Pacific,-16.25,168.12,1334,Pyroclastic shield,Historical,D1
0703-085,Amorong,Philippines,Luzon-Philippines,15.828,120.805,376,Unknown,Fumarolic,U
0304-001,Amsterdam Island,Indian Ocean,Indian O-S,-37.83,77.52,881,Stratovolcano,Holocene,U
1101-19-,Amukta,United States,Aleutian Is,52.5,-171.25,1066,Stratovolcano,Historical,D1
0804-20=,Anatahan,United States,Mariana Is-C Pacific,16.35,145.67,788,Stratovolcano,Holocene,U
1000-39-,Anaun,Russia,Kamchatka,56.32,158.83,1828,Stratovolcano,Holocene,U
1504-002,Andahua Valley,Peru,Peru,-15.42,-72.33,4713,Cinder cone,Holocene,U
1900-023,Andrus,Antarctica,Antarctica,-75.8,-132.33,2978,Shield volcano,Holocene,Unknown
0507-11-,Aneityum,Vanuatu,Vanuatu-SW Pacific,-20.2,169.83,852,Stratovolcano,Holocene,Unknown
1102-09-,Aniakchak,United States,Alaska Peninsula,56.88,-158.17,1341,Caldera,Historical,D2
0303-013,Ankaizina Field,Madagascar,Madagascar,-14.3,48.67,2878,Cinder cone,Holocene,U
0303-015,Ankaratra Field,Madagascar,Madagascar,-19.4,47.2,2644,Cinder cone,Holocene,U
1507-153,Antillanca Group,Chile,Chile-C,-40.771,-72.153,1990,Stratovolcano,Holocene,U
1305-01-,Antipodes Island,New Zealand,Pacific-S,-49.683,178.767,402,Pyroclastic cones,Holocene?,?
1502-03=,Antisana,Ecuador,Ecuador,-0.481,-78.141,5753,Stratovolcano,Historical,D3
1505-124,Antofagasta de la Sierra,Argentina,Argentina,-26.08,-67.5,4000,Scoria cone,Holocene,U
1505-18-,Antofagasta de la Sierra,Argentina,Argentina,-26.083,-67.5,4000,Scoria cones,Holocene,U
1505-123,Antofalla,Argentina,Argentina,-25.53,-68,6100,Stratovolcano,Holocene,U
1507-08=,Antuco,Chile,Chile-C,-37.406,-71.349,2979,Stratovolcano,Historical,D3
0507-03=,Aoba,Vanuatu,Vanuatu-SW Pacific,-15.4,167.83,1496,Shield volcano,Historical,D1
0804-06=,Aoga-shima,Japan,Izu Is-Japan,32.45,139.77,423,Stratovolcano,Historical,D4
1403-01=,Apaneca Range,El Salvador,El Salvador,13.891,-89.786,2036,Stratovolcano,Holocene,U
1403-071,Apastepeque Field,El Salvador,El Salvador,13.72,-88.77,700,Volcanic field,Holocene,U
0701-03=,Apo,Philippines,Mindanao-Philippines,6.987,125.273,2954,Stratovolcano,Fumarolic,U
1404-091,Apoyeque,Nicaragua,Nicaragua,12.242,-86.342,518,Pyroclastic shield,Radiocarbon,D7
1505-107,Aracar,Argentina,Argentina,-24.27,-67.77,6082,Stratovolcano,Historical,D1
1505-16-,Aracar,Argentina,Argentina,-24.25,-67.767,6082,Stratovolcano,Uncertain,?
0104-06-,Aragats,Armenia,Armenia,40.55,44.12,4090,Stratovolcano,Holocene,U
1403-101,"Aramuaca, Laguna",El Salvador,El Salvador,13.428,-88.105,180,Maar,Holocene,U
0103-04-,Ararat,Turkey,Turkey,39.7,44.28,5165,Stratovolcano,Holocene,U
0703-084,Arayat,Philippines,Luzon-Philippines,15.2,120.742,1026,Stratovolcano,Holocene,U
0201-126,Ardoukoba,Djibouti,Africa-NE,11.58,42.47,298,Fissure vent,Historical,D1
1405-033,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1657,Stratovolcano,Historical,D1
1508-059,Arenales,Chile,Chile-S,-47.2,-73.483,3437,Stratovolcano,Historical,D2
0301-09-,"Arhab, Harra of",Yemen,Arabia-S,15.63,44.08,3100,Volcanic field,Historical,D6
0603-29=,Arjuno-Welirang,Indonesia,Java,-7.725,112.58,3339,Stratovolcano,Historical,D2
1005-011,Arshan,China,China-E,47.5,120.7,,Cinder cones,Radiocarbon,D
0803-11=,Asama,Japan,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical,D1
0201-104,Asavyo,Ethiopia,Africa-NE,13.07,41.6,1200,Shield volcano,Holocene,U
1805-05-,Ascension,Atlantic Ocean,Atlantic-S,-7.95,-14.37,858,Stratovolcano,Holocene,U
1703-06=,Askja,Iceland,Iceland-NE,65.03,-16.75,1516,Stratovolcano,Historical,D2
0802-11=,Aso,Japan,Kyushu-Japan,32.88,131.1,1592,Caldera,Historical,D1
0201-125,Assab Volc Field,Eritrea,Africa-NE,12.95,42.43,987,Volcanic field,Holocene,U
0804-15=,Asuncion,United States,Mariana Is-C Pacific,19.67,145.4,857,Stratovolcano,Historical,D2
1502-021,Atacazo,Ecuador,Ecuador,-0.353,-78.617,4463,Stratovolcano,Radiocarbon,D7
0205-005,Atakor Volc Field,Algeria,Africa-N,23.333,5.833,2918,Scoria cones,Holocene,U
1402-06=,Atitlan,Guatemala,Guatemala,14.583,-91.186,3535,Stratovolcano,Historical,D3
1101-16-,Atka,United States,Aleutian Is,52.38,-174.15,1533,Stratovolcano,Historical,D1
1000-65-,Atlasova,Russia,Kamchatka,57.97,160.65,1764,Shield volcano,Holocene,U
1401-094,"Atlixcos, Cerro Los",Mexico,Mexico,19.809,-96.526,800,Shield volcano,Holocene,U
0900-05=,Atsonupuri,Russia,Kuril Is,44.804,147.13,1205,Stratovolcano,Historical,D2
1507-023,"Atuel, Caldera del",Argentina,Argentina,-34.65,-70.05,5189,Caldera,Holocene,U
0401-02=,Auckland Field,New Zealand,New Zealand,-36.9,174.87,260,Volcanic field,Radiocarbon,D6
1103-01-,Augustine,United States,Alaska-SW,59.37,-153.42,1252,Lava dome,Historical,D1
1000-10=,Avachinsky,Russia,Kamchatka,53.255,158.83,2741,Stratovolcano,Historical,D1
0607-04=,Awu,Indonesia,Sangihe Is-Indonesia,3.67,125.5,1320,Stratovolcano,Historical,D1
1301-011,Axial Seamount,Pacific Ocean,Pacific-NE,45.95,-130,-1500,Submarine volcano,Historical,D1
0201-16=,Ayelu,Ethiopia,Africa-NE,10.082,40.702,2145,Stratovolcano,Holocene,U
1501-09=,"Azufral, Volcan",Colombia,Colombia,1.08,-77.68,4070,Stratovolcano,Radiocarbon,D7
1503-06=,"Azul, Cerro",Ecuador,Galapagos,-0.9,-91.42,1690,Shield volcano,Historical,D1
1507-06=,"Azul, Cerro [Quizapu]",Chile,Chile-C,-35.653,-70.761,3788,Stratovolcano,Historical,D1
1404-14-,"Azul, Volcan",Nicaragua,Nicaragua,12.53,-83.87,201,Cinder cone,Holocene,U
0803-18=,Azuma,Japan,Honshu-Japan,37.73,140.25,2024,Stratovolcano,Historical,D1
0704-03=,Babuyan Claro,Philippines,Luzon-N of,19.523,121.94,1180,Stratovolcano,Historical,D2
1202-09-,Bachelor,United States,US-Oregon,43.979,-121.688,2763,Stratovolcano,Tephrochronology,D7
0505-02=,Bagana,Papua New Guinea,Bougainville-SW Paci,-6.14,155.195,1750,Lava cone,Historical,D1
1000-122,Bakenin,Russia,Kamchatka,53.905,158.07,2278,Stratovolcano,Tephrochronology,D7
1201-01=,Baker,United States,US-Washington,48.786,-121.82,3285,Stratovolcano,Historical,D3
0301-17-,"Bal Haf, Harra of",Yemen,Arabia-S,14.05,48.33,233,Volcanic field,Holocene,U
0701-072,Balatocan,Philippines,Mindanao-Philippines,8.8,124.92,2450,Compound volcano,Fumarolic,U
0505-01=,Balbi,Papua New Guinea,Bougainville-SW Paci,-5.83,154.98,2715,Stratovolcano,Holocene,U
1207-03-,Bald Knoll,United States,US-Utah,37.328,-112.408,2135,Cinder cone,Holocene,Unknown
0500-02-,Baluan,United States,Admiralty Is-SW Paci,-2.57,147.28,254,Stratovolcano,Holocene,U
0603-351,Baluran,Indonesia,Java,-7.85,114.37,1247,Stratovolcano,Holocene,Unknown
0701-01=,Balut,Philippines,Mindanao-Philippines,5.4,125.375,852,Stratovolcano,Holocene,U
0501-01=,Bam,Papua New Guinea,New Guinea-NE of,-3.6,144.85,685,Stratovolcano,Historical,D2
0502-11=,Bamus,Papua New Guinea,New Britain-SW Pac,-5.2,151.23,2248,Stratovolcano,Anthropology,D3
0703-05=,Banahao,Philippines,Luzon-Philippines,14.07,121.48,2158,Complex volcano,Holocene,U
0605-09=,Banda Api,Pacific Ocean,Banda Sea,-4.525,129.871,640,Caldera,Historical,D1
0803-16=,Bandai,Japan,Honshu-Japan,37.6,140.08,1819,Stratovolcano,Historical,D3
0607-03=,Banua Wuhu,Indonesia,Sangihe Is-Indonesia,3.138,125.491,-5,Submarine volcano,Historical,D2
0900-08=,Baransky,Russia,Kuril Is,45.1,148.02,1132,Stratovolcano,Historical,D2
1401-02=,Barcena,Mexico,Mexico-Is,19.3,-110.82,332,Cinder cone,Historical,D2
1703-03=,Bardarbunga,Iceland,Iceland-NE,64.63,-17.53,2000,Stratovolcano,Historical,D2
1000-084,Barkhatnaya Sopka,Russia,Kamchatka,52.823,158.27,870,Lava dome,Tephrochronology,D7
0600-01=,Barren Island,India,Andaman Is-Indian O,12.292,93.875,354,Stratovolcano,Historical,D1
0202-03=,"Barrier, The",Kenya,Africa-E,2.32,36.57,1032,Shield volcano,Historical,D2
1406-01-,Baru,Panama,Panama,8.8,-82.558,3477,Complex volcano,Historical,D5
1405-05=,Barva,Costa Rica,Costa Rica,10.135,-84.1,2906,Complex volcano,Tephrochronology,D7
0705-05-,Bas Dong Nai,Vietnam,SE Asia,10.8,107.2,392,Volcanic field,Holocene,Unknown
0604-01=,Batur,Indonesia,Lesser Sunda Is,-8.242,115.375,1717,Caldera,Historical,D1
1505-122,"Bayo, Cerro",Argentina,Chile-N,-25.42,-68.58,5401,Complex volcano,Holocene,U
0804-07=,Bayonnaise Rocks,Japan,Izu Is-Japan,31.92,139.92,10,Submarine volcano,Historical,D1
0205-06-,Bayuda Volc Field,Sudan,Africa-N,18.33,32.75,0,Cinder cone,Radiocarbon,D6
0302-03-,Bazman,Iran,Iran,28.07,60,3490,Stratovolcano,Fumarolic,U
1105-07-,Behm Canal-Rudyerd Bay,United States,Alaska-SE,55.32,-131.05,500,Cinder cone,Holocene,Unknown
1000-042,Belenkaya,Russia,Kamchatka,51.75,157.27,892,Stratovolcano,Holocene,U
0601-20=,Belirang-Beriti,Indonesia,Sumatra,-2.82,102.18,1958,Compound volcano,Fumarolic,U
1202-06-,Belknap,United States,US-Oregon,44.285,-121.841,2095,Shield volcano,Radiocarbon,D6
1000-64-,Bely,Russia,Kamchatka,57.88,160.53,2080,Shield volcano,Holocene,U
1900-022,Berlin,Antarctica,Antarctica,-76.05,-136,3478,Shield volcano,Fumarolic,U
0201-191,Beru,Ethiopia,Africa-NE,8.95,39.75,1100,Volcanic field,Holocene,U
0900-04=,Berutarube,Russia,Kuril Is,44.47,146.93,1220,Stratovolcano,Holocene,U
0601-25=,Besar,Indonesia,Sumatra,-4.43,103.67,1899,Stratovolcano,Historical,D2
1000-25=,Bezymianny,Russia,Kamchatka,55.978,160.587,2882,Stratovolcano,Historical,D1
0608-073,Bibinoi,Indonesia,Halmahera-Indonesia,-0.78,127.72,900,Stratovolcano,Holocene,U
1203-04-,Big Cave,United States,US-California,40.955,-121.365,1259,Shield volcano,Holocene,Unknown
0201-291,Bilate River Field,Ethiopia,Africa-NE,7.07,38.1,1700,Maar,Holocene,U
0702-08=,Biliran,Philippines,Philippines-C,11.523,124.534,1187,Compound volcano,Historical,D2
0505-011,Billy Mitchell,Papua New Guinea,Bougainville-SW Paci,-6.092,155.225,1544,Pyroclastic shield,Radiocarbon,D5
0301-18-,Bir Borhut,Yemen,Arabia-S,15.55,50.63,0,Volcanic field,Holocene,Unknown
0301-072,"Birk, Harrat al",Saudi Arabia,Arabia-W,18.367,41.633,381,Volcanic field,Holocene,U
0201-22-,Bishoftu Volc Field,Ethiopia,Africa-NE,8.78,38.98,1850,Fissure vent,Holocene,U
0204-05-,Biu Plateau,Nigeria,Africa-W,10.75,12,0,Volcanic field,Holocene,Unknown
1102-08-,Black Peak,United States,Alaska Peninsula,56.53,-158.8,1032,Stratovolcano,Radiocarbon,D7
1207-05-,Black Rock Desert,United States,US-Utah,38.97,-112.5,1800,Volcanic field,Radiocarbon,D6
1507-064,"Blanca, Loma",Chile,Chile-C,-36.286,-71.009,2268,Stratovolcano,Holocene,U
1000-49-,Bliznets,Russia,Kamchatka,56.97,159.78,1244,Stratovolcano,Holocene,U
1000-552,Bliznetsy,Russia,Kamchatka,57.35,161.367,265,Lava cone,Radiocarbon,D7
1202-03-,Blue Lake Crater,United States,US-Oregon,44.42,-121.77,1230,Maar,Radiocarbon,D7
0501-001,Blup Blup,Papua New Guinea,New Guinea-NE of,-3.508,144.62,402,Stratovolcano,Holocene,U
1101-10-,Bobrof,United States,Aleutian Is,51.9,-177.43,738,Stratovolcano,Holocene,Unknown
0900-06-,Bogatyr Ridge,Russia,Kuril Is,44.83,147.37,1634,Stratovolcano,Holocene,U
1101-30-,Bogoslof,United States,Aleutian Is,53.93,-168.03,101,Submarine volcano,Historical,D1
0501-011,Boisa,Papua New Guinea,New Guinea-NE of,-3.994,144.963,240,Stratovolcano,Holocene,U
0502-05=,Bola,Papua New Guinea,New Britain-SW Pac,-5.15,150.03,1155,Stratovolcano,Holocene,U
1000-087,Bolshe-Bannaya,Russia,Kamchatka,52.9,157.78,1200,Lava dome,Holocene,U
1000-30-,Bolshoi Payalpan,Russia,Kamchatka,55.88,157.78,1906,Shield volcano,Holocene,U
1000-15=,Bolshoi Semiachik,Russia,Kamchatka,54.32,160.02,1720,Stratovolcano,Radiocarbon,D7
1000-36-,Bolshoi-Kekuknaysky,Russia,Kamchatka,56.47,157.8,1401,Shield volcano,Holocene,U
0610-01-,Bombalai,Malaysia,Borneo,4.4,117.88,531,Pyroclastic cone,Holocene,Unknown
1105-03-,Bona-Churchill,United States,Alaska-E,61.38,-141.75,5005,Stratovolcano,Radiocarbon,D6
0304-00-,Boomerang Seamount,Antarctica,Indian O.-S,-37.721,77.825,-650,Submarine volcano,Historical,D2
0201-24-,Bora-Bericcio Complex,Ethiopia,Africa-NE,8.27,39.03,2285,Pumice cone,Holocene,U
0201-071,Borale Ale,Ethiopia,Africa-NE,13.725,40.6,668,Stratovolcano,Holocene,U
0201-107,Borawli,Ethiopia,Africa-NE,13.3,40.98,812,Stratovolcano,Holocene,U
0201-121,Borawli Complex,Ethiopia,Africa-NE,11.63,41.45,875,Lava dome,Holocene,U
0201-21-,Boset-Bericha,Ethiopia,Africa-NE,8.558,39.475,2447,Stratovolcano,Holocene,U
1806-02-,Bouvet,Bouvet I.,Atlantic-S,-54.42,3.35,780,Shield volcano,Magnetism,D7
0604-001,Bratan,Indonesia,Lesser Sunda Is,-8.28,115.13,2276,Caldera,Holocene,U
1804-02-,Brava,Cape Verde,Cape Verde Is,14.85,-24.72,900,Stratovolcano,Holocene,U
1501-011,"Bravo, Cerro",Colombia,Colombia,5.092,-75.3,4000,Stratovolcano,Radiocarbon,D4
1501-012,"Bravo, Cerro",Colombia,Colombia,5.092,-75.3,4000,Stratovolcano,Radiocarbon,D4
1701-04=,Brennisteinsfjoll,Iceland,Iceland-SW,63.92,-21.83,626,Crater rows,Historical,D6
1200-17-,Bridge River Cones,Canada,Canada,50.8,-123.4,2500,Volcanic field,Holocene,U
1900-04=,Bridgeman Island,Antarctica,Antarctica,-62.05,-56.75,240,Stratovolcano,Uncertain,Unknown
0402-02=,Brimstone Island,New Zealand,Kermadec Is,-30.23,-178.92,-2000,Submarine volcano,Uncertain,Unknown
1900-08=,Bristol Island,Antarctica,Antarctica,-59.03,-26.58,1100,Stratovolcano,Historical,D2
0401-15-,Brothers,New Zealand,New Zealand,-34.875,179.075,-1350,Submarine volcano,Fumarolic,U
1203-03-,Brushy Butte,United States,US-California,41.178,-121.443,1174,Shield volcano,Holocene,Unknown
1900-01=,Buckle Island,Antarctica,Antarctica,-66.8,163.25,1239,Stratovolcano,Historical,D3
0700-01=,Bud Dajo,Philippines,Sulu Is-Philippines,5.95,121.07,440,Pyroclastic cone,Historical,D3
0203-07-,Bufumbira,Uganda,Africa-C,-1.23,29.72,2440,Cinder cone,Holocene,Unknown
1101-01-,Buldir,United States,Aleutian Is,52.37,175.98,656,Stratovolcano,Holocene,U
0703-01=,Bulusan,Philippines,Luzon-Philippines,12.77,124.05,1565,Stratovolcano,Historical,D1
0203-004,Bunyaruguru Field,Uganda,Africa-C,-0.2,30.08,1554,Explosion crater,Holocene,U
1508-07=,"Burney, Monte",Chile,Chile-S,-52.33,-73.4,1758,Stratovolcano,Historical,D2
1003-03-,Bus-Obo,Mongolia,Mongolia,47.12,109.08,1162,Cinder cone,Holocene,Unknown
0201-26-,Butajiri-Silti Field,Ethiopia,Africa-NE,8.05,38.35,2281,Fissure vent,Holocene,U
1105-001,Buzzard Creek,United States,Alaska-E,64.07,-148.42,830,Tuff rings,Radiocarbon,D7
0702-05=,Cabalian,Philippines,Philippines-C,10.287,125.22,945,Stratovolcano,Holocene,U
1507-112,Caburga,Chile,Chile-C,-39.2,-71.83,995,Cinder cone,Tephrochronology,D7
0703-09=,Cagua,Philippines,Luzon-Philippines,18.222,122.123,1133,Stratovolcano,Holocene,U
1507-042,Calabozos,Chile,Chile-C,-35.558,-70.496,3508,Caldera,Holocene,U
0100-04-,Calatrava Volc Field,Spain,Spain,38.867,-4.017,1117,Pyroclastic cones,Radiocarbon,D7
0701-07=,Calayo,Philippines,Mindanao-Philippines,7.877,125.068,646,Tuff cone,Historical,D3
1508-02=,Calbuco,Chile,Chile-S,-41.326,-72.614,2003,Stratovolcano,Historical,D2
1507-091,Callaqui,Chile,Chile-C,-37.92,-71.45,3164,Stratovolcano,Historical,D1
0204-01=,"Cameroon, Mt.",Cameroon,Africa-W,4.203,9.17,4095,Stratovolcano,Historical,D1
0701-08=,Camiguin,Philippines,Mindanao-Philippines,9.203,124.673,1332,Stratovolcano,Historical,D2
0704-01=,Camiguin de Babuyanes,Philippines,Luzon-N of,18.83,121.86,712,Stratovolcano,Historical,D3
0101-01=,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,Historical,D5
0101-07=,Campi Flegrei Mar Sicilia,Italy,Italy,37.1,12.7,-8,Submarine volcanoes,Historical,D3
1900-10=,Candlemas Island,Antarctica,Antarctica,-57.08,-26.67,550,Stratovolcano,Historical,D2
1101-23-,Carlisle,United States,Aleutian Is,52.9,-170.05,1620,Stratovolcano,Historical,D3
1507-14=,Carran-Los Venados,Chile,Chile-C,-40.35,-72.07,1114,Pyroclastic cone,Historical,D1
1210-01-,Carrizozo,United States,US-New Mexico,33.78,-105.93,1731,Cinder cone,Holocene,U
1504-06-,"Casiri, Nevados",Peru,Peru,-17.47,-69.82,5650,Stratovolcano,Holocene,U
1502-004,Cayambe,Ecuador,Ecuador,0.029,-77.986,5790,Compound volcano,Historical,D4
1502-006,Cayambe,Ecuador,Ecuador,0.029,-77.986,5790,Compound volcano,Historical,D4
1508-021,Cayute-La Vigueria,Chile,Chile-S,-41.25,-72.27,506,Pyroclastic cone,Holocene,U
1508-012,Cayutué-La Viguería,Chile,Chile-S,-41.25,-72.267,506,Pyroclastic cones,Tephrochronology,D7
1401-03=,Ceboruco,Mexico,Mexico,21.125,-104.508,2280,Stratovolcano,Historical,D3
0705-06-,"Cendres, Ile des",Vietnam,SE Asia,10.158,109.014,-20,Submarine volcanoes,Historical,D2
0202-01=,Central Island,Kenya,Africa-E,3.5,36.042,550,Stratovolcano,Holocene,U
0603-17=,Cereme,Indonesia,Java,-6.892,108.4,3078,Stratovolcano,Historical,D2
1006-02-,Ch'uga-ryong,North Korea,Korea,38.33,127.33,452,Shield volcano,Holocene,Unknown
1502-022,Chacana,Ecuador,Ecuador,-0.375,-78.25,4643,Caldera,Historical,D4
1504-005,"Chachani, Nevado",Peru,Peru,-16.191,-71.53,6057,Stratovolcano,Holocene,U
1504-007,"Chachani, Nevado",Peru,Peru,-16.191,-71.53,6057,Stratovolcano,Holocene?,?
1101-20-,Chagulak,United States,Aleutian Is,52.57,-171.13,1142,Stratovolcano,Holocene,U
0100-02-,Chaine des Puys,France,France,45.775,2.967,1464,Cinder cone,Radiocarbon,D7
1508-041,Chaiten,Chile,Chile-S,-42.833,-72.646,962,Caldera,Holocene,D1
1005-06-,Changbaishan,North Korea,China-E,41.98,128.08,2744,Stratovolcano,Historical,D4
1507-101,"Chapulul, Cerro",Chile,Chile-C,-38.37,-71.08,2143,Cinder cone,Holocene,U
1000-46-,Cherny,Russia,Kamchatka,56.82,159.67,1778,Stratovolcano,Holocene,U
1000-273,Cherpuk Group,Russia,Kamchatka,55.55,157.467,1868,Pyroclastic cones,Radiocarbon,D7
1401-08=,Chichinautzin,Mexico,Mexico,19.08,-99.13,3930,Volcanic field,Radiocarbon,D6
1401-12=,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150,Tuff cone,Historical,D1
1102-11-,Chiginagak,United States,Alaska Peninsula,57.13,-157,2075,Stratovolcano,Historical,D1
0900-36=,Chikurachki,Russia,Kuril Is,50.325,155.458,1816,Stratovolcano,Historical,D1
1505-101,Chiliques,Chile,Chile-N,-23.58,-67.7,5778,Stratovolcano,Holocene,U
1505-098,Chiliques,Chile,Chile-N,-23.583,-67.7,5778,Stratovolcano,Holocene?,?
1507-07=,"Chillan, Nevados de",Chile,Chile-C,-36.863,-71.377,3212,Stratovolcano,Historical,D1
1502-071,Chimborazo,Ecuador,Ecuador,-1.464,-78.815,6310,Stratovolcano,Radiocarbon,D6
1403-09=,Chinameca,El Salvador,El Salvador,13.475,-88.32,1228,Stratovolcano,Holocene,U
1402-15-,Chingo Volc Field,Guatemala,Guatemala,14.12,-89.73,1775,Stratovolcano,Holocene,U
1402-20-,Chiquimula Volc Field,Guatemala,Guatemala,14.83,-89.55,1192,Cinder cone,Holocene,U
0201-30-,Chiracha,Ethiopia,Africa-NE,6.65,38.12,1650,Stratovolcano,Holocene,Unknown
0900-26=,Chirinkotan,Russia,Kuril Is,48.98,153.48,724,Stratovolcano,Historical,D1
0900-09=,Chirip,Russia,Kuril Is,45.38,147.92,1589,Stratovolcano,Historical,D3
0900-15=,Chirpoi,Russia,Kuril Is,46.525,150.875,742,Caldera,Historical,D1
0803-22=,Chokai,Japan,Honshu-Japan,39.08,140.03,2237,Stratovolcano,Historical,D1
0202-13=,Chyulu Hills,Kenya,Africa-E,-2.68,37.88,2188,Volcanic field,Anthropology,D3
1404-132,"Ciguatepe, Cerro El",Nicaragua,Nicaragua,12.53,-86.142,603,Stratovolcano,Holocene,Unknown
1202-15-,Cinnamon Butte,United States,US-Oregon,43.241,-122.108,1956,Cinder cone,Holocene,Unknown
1403-051,"Cinotepec, Cerro",El Salvador,El Salvador,14.02,-89.25,665,Volcanic field,Holocene,U
0401-101,Clark,New Zealand,New Zealand,-36.446,177.839,-860,Submarine volcano,Fumarolic,U
1203-10-,Clear Lake,United States,US-California,38.97,-122.77,1439,Volcanic field,Holocene,U
1301-02-,Cleft Segment,Pacific Ocean,Pacific-NE,44.83,-130.3,-2140,Submarine volcano,Historical,D1
