"","name","province","region","English","French","both","either","neither","total","engperc","frenperc"
"194","Appleton","pr10","Atlantic",615,15,15,615,0,615,100,2.4390243902439
"195","Glenwood","pr10","Atlantic",790,15,15,790,0,790,100,1.89873417721519
"196","Division No.  6, Subd. C","pr10","Atlantic",450,10,10,450,0,450,100,2.22222222222222
"197","Northern Arm","pr10","Atlantic",400,5,5,400,0,400,100,1.25
"198","Grand Falls-Windsor","pr10","Atlantic",13645,540,540,13645,20,13665,99.8536406878888,3.95170142700329
"199","Bishop's Falls","pr10","Atlantic",3330,50,50,3330,0,3330,100,1.5015015015015
"200","Peterview","pr10","Atlantic",805,0,0,805,0,805,100,0
"201","Botwood","pr10","Atlantic",2930,25,25,2930,0,2930,100,0.853242320819113
"202","Badger","pr10","Atlantic",790,5,5,790,5,795,99.3710691823899,0.628930817610063
"203","Millertown","pr10","Atlantic",100,0,0,100,0,100,100,0
"204","Division No.  6, Subd. A","pr10","Atlantic",95,0,0,95,0,95,100,0
"205","Buchans","pr10","Atlantic",695,15,15,695,5,700,99.2857142857143,2.14285714285714
"206","Division No.  7, Subd. M","pr10","Atlantic",2060,30,30,2060,0,2060,100,1.45631067961165
"207","Division No.  7, Subd. L","pr10","Atlantic",1265,20,20,1265,0,1265,100,1.58102766798419
"208","Division No.  7, Subd. K","pr10","Atlantic",1220,15,15,1220,0,1220,100,1.22950819672131
"209","Clarenville","pr10","Atlantic",5900,250,250,5900,5,5905,99.9153259949196,4.23370025402201
"210","Division No.  7, Subd. J","pr10","Atlantic",500,10,10,500,0,500,100,2
"211","Trinity (Trinity Bay)","pr10","Atlantic",140,5,5,140,0,140,100,3.57142857142857
"212","Port Rexton","pr10","Atlantic",340,5,5,340,0,340,100,1.47058823529412
"213","Division No.  7, Subd. I","pr10","Atlantic",105,5,5,105,0,105,100,4.76190476190476
"214","Elliston","pr10","Atlantic",335,5,5,335,0,335,100,1.49253731343284
"215","Trinity Bay North","pr10","Atlantic",1825,15,15,1825,0,1825,100,0.821917808219178
"216","Bonavista","pr10","Atlantic",3510,65,65,3510,5,3515,99.8577524893314,1.84921763869132
"217","Division No.  7, Subd. G","pr10","Atlantic",395,5,5,395,0,395,100,1.26582278481013
"218","Keels","pr10","Atlantic",65,0,0,65,0,65,100,0
"219","Duntara","pr10","Atlantic",50,5,5,50,0,50,100,10
"220","King's Cove","pr10","Atlantic",115,0,0,115,0,115,100,0
"221","Division No.  7, Subd. F","pr10","Atlantic",970,10,10,970,0,970,100,1.03092783505155
"222","Division No.  7, Subd. E","pr10","Atlantic",2705,20,20,2705,5,2710,99.8154981549816,0.738007380073801
"223","Musgravetown","pr10","Atlantic",560,20,20,560,0,560,100,3.57142857142857
"224","Port Blandford","pr10","Atlantic",485,5,5,485,0,485,100,1.03092783505155
"225","Traytown","pr10","Atlantic",275,5,5,275,0,275,100,1.81818181818182
"226","Division No.  7, Subd. D","pr10","Atlantic",230,0,0,230,0,230,100,0
"227","Savage Cove-Sandy Cove","pr10","Atlantic",130,0,0,130,0,130,100,0
"228","Terra Nova","pr10","Atlantic",80,0,0,80,0,80,100,0
"229","Happy Adventure","pr10","Atlantic",220,5,5,220,0,220,100,2.27272727272727
"230","Eastport","pr10","Atlantic",480,10,10,480,0,480,100,2.08333333333333
"231","Sandringham","pr10","Atlantic",280,5,5,280,0,280,100,1.78571428571429
"232","Glovertown","pr10","Atlantic",2050,35,35,2050,0,2050,100,1.70731707317073
"233","Salvage","pr10","Atlantic",135,5,5,135,0,135,100,3.7037037037037
"234","Gambo","pr10","Atlantic",1985,25,25,1985,0,1985,100,1.25944584382872
"235","St. Brendan's","pr10","Atlantic",150,5,5,150,0,150,100,3.33333333333333
"236","Hare Bay","pr10","Atlantic",1030,0,0,1030,0,1030,100,0
"237","Centreville-Wareham-Trinity","pr10","Atlantic",1165,15,15,1165,0,1165,100,1.28755364806867
"238","Greenspond","pr10","Atlantic",300,0,0,300,0,300,100,0
"239","Division No.  7, Subd. A","pr10","Atlantic",145,0,0,145,0,145,100,0
"240","Dover","pr10","Atlantic",675,5,5,675,0,675,100,0.740740740740741
"241","New-Wes-Valley","pr10","Atlantic",2220,10,10,2220,5,2225,99.7752808988764,0.449438202247191
"242","Indian Bay","pr10","Atlantic",175,0,0,175,0,175,100,0
"243","Division No.  8, Subd. M","pr10","Atlantic",165,0,0,165,0,165,100,0
"244","Lumsden","pr10","Atlantic",545,5,5,545,0,545,100,0.917431192660551
"245","Musgrave Harbour","pr10","Atlantic",1020,5,5,1020,0,1020,100,0.490196078431373
"246","Division No.  8, Subd. L","pr10","Atlantic",3090,30,30,3090,0,3090,100,0.970873786407767
"247","Carmanville","pr10","Atlantic",725,5,5,725,0,725,100,0.689655172413793
"248","Fogo Island Region","pr10","Atlantic",415,0,0,415,0,415,100,0
"249","Fogo","pr10","Atlantic",665,10,10,665,0,665,100,1.50375939849624
"250","Joe Batt's Arm-Barr'd Islands-Shoal Bay","pr10","Atlantic",685,5,5,685,0,685,100,0.72992700729927
"251","Tilting","pr10","Atlantic",200,5,5,200,0,200,100,2.5
"252","Change Islands","pr10","Atlantic",255,5,5,255,0,255,100,1.96078431372549
"253","Seldom-Little Seldom","pr10","Atlantic",435,10,10,435,0,435,100,2.29885057471264
"254","Division No.  8, Subd. I","pr10","Atlantic",210,5,5,210,0,210,100,2.38095238095238
"255","Crow Head","pr10","Atlantic",200,0,0,200,0,200,100,0
"256","Division No.  8, Subd. H","pr10","Atlantic",2040,15,15,2040,0,2040,100,0.735294117647059
"257","Cottlesville","pr10","Atlantic",270,5,5,270,0,270,100,1.85185185185185
"258","Summerford","pr10","Atlantic",855,5,5,855,0,855,100,0.584795321637427
"259","Twillingate","pr10","Atlantic",2230,25,25,2230,5,2235,99.7762863534676,1.11856823266219
"260","Division No.  8, Subd. G","pr10","Atlantic",450,10,10,450,0,450,100,2.22222222222222
"261","Campbellton","pr10","Atlantic",520,10,10,520,0,520,100,1.92307692307692
"262","Birchy Bay","pr10","Atlantic",560,5,5,560,0,560,100,0.892857142857143
"263","Comfort Cove-Newstead","pr10","Atlantic",455,5,5,455,0,455,100,1.0989010989011
"264","Baytona","pr10","Atlantic",260,0,0,260,0,260,100,0
"265","Division No.  8, Subd. F","pr10","Atlantic",865,10,10,865,0,865,100,1.15606936416185
"266","Embree","pr10","Atlantic",675,10,10,675,0,675,100,1.48148148148148
"267","Lewisporte","pr10","Atlantic",3395,65,65,3395,0,3395,100,1.91458026509573
"268","Little Burnt Bay","pr10","Atlantic",295,0,0,295,0,295,100,0
"269","Division No.  8, Subd. E","pr10","Atlantic",540,15,10,545,0,545,99.0825688073395,2.75229357798165
"270","Point of Bay","pr10","Atlantic",155,0,0,155,0,155,100,0
"271","Leading Tickles","pr10","Atlantic",325,0,0,325,0,325,100,0
"272","Point Leamington","pr10","Atlantic",620,5,5,620,0,620,100,0.806451612903226
"273","Pilley's Island","pr10","Atlantic",300,0,0,300,0,300,100,0
"274","Triton","pr10","Atlantic",1000,15,15,1000,0,1000,100,1.5
"275","Brighton","pr10","Atlantic",175,0,0,175,0,175,100,0
"276","Lushes Bight-Beaumont-Beaumont North","pr10","Atlantic",220,5,5,220,0,220,100,2.27272727272727
"277","Division No.  8, Subd. C","pr10","Atlantic",530,5,5,530,0,530,100,0.943396226415094
"278","South Brook","pr10","Atlantic",485,5,5,485,0,485,100,1.03092783505155
"279","Robert's Arm","pr10","Atlantic",805,5,5,805,0,805,100,0.62111801242236
"280","Springdale","pr10","Atlantic",2745,40,40,2745,10,2755,99.6370235934664,1.4519056261343
"281","Port Anson","pr10","Atlantic",165,0,0,165,0,165,100,0
"282","Little Bay","pr10","Atlantic",110,0,0,110,0,110,100,0
"283","Little Bay Islands","pr10","Atlantic",95,0,0,95,0,95,100,0
"284","Division No.  8, Subd. P","pr10","Atlantic",340,0,0,340,0,340,100,0
"285","Beachside","pr10","Atlantic",150,0,0,150,0,150,100,0
"286","Division No.  8, Subd. O","pr10","Atlantic",330,5,5,330,0,330,100,1.51515151515152
"287","King's Point","pr10","Atlantic",670,5,5,670,0,670,100,0.746268656716418
"288","Nippers Harbour","pr10","Atlantic",125,0,0,125,0,125,100,0
"289","Burlington","pr10","Atlantic",355,5,5,355,0,355,100,1.40845070422535
"290","Middle Arm","pr10","Atlantic",480,5,5,480,0,480,100,1.04166666666667
"291","Division No.  8, Subd. A","pr10","Atlantic",350,0,0,350,0,350,100,0
"292","Fleur de Lys","pr10","Atlantic",260,0,0,260,0,260,100,0
"293","LaScie","pr10","Atlantic",895,5,5,895,0,895,100,0.558659217877095
"294","Brent's Cove","pr10","Atlantic",185,5,5,185,0,185,100,2.7027027027027
"295","Pacquet","pr10","Atlantic",185,0,0,185,0,185,100,0
"296","Baie Verte","pr10","Atlantic",1305,20,20,1305,5,1310,99.618320610687,1.52671755725191
"297","Seal Cove (White Bay)","pr10","Atlantic",305,0,0,305,0,305,100,0
"298","Coachman's Cove","pr10","Atlantic",90,0,0,90,0,90,100,0
"299","Westport","pr10","Atlantic",220,0,0,220,0,220,100,0
"300","Ming's Bight","pr10","Atlantic",335,0,0,335,0,335,100,0
"301","Woodstock","pr10","Atlantic",190,0,0,190,0,190,100,0
"302","Miles Cove","pr10","Atlantic",135,0,0,135,0,135,100,0
"303","Division No.  9, Subd. F","pr10","Atlantic",75,0,0,75,0,75,100,0
"304","Englee","pr10","Atlantic",585,5,5,585,0,585,100,0.854700854700855
"305","Roddickton-Bide Arm","pr10","Atlantic",1035,5,5,1035,0,1035,100,0.483091787439614
"306","Conche","pr10","Atlantic",180,0,0,180,0,180,100,0
"307","Division No.  9, Subd. A","pr10","Atlantic",115,0,0,115,0,115,100,0
"308","Trout River","pr10","Atlantic",580,10,10,580,0,580,100,1.72413793103448
"309","Woody Point, Bonne Bay","pr10","Atlantic",285,10,10,285,0,285,100,3.50877192982456
"310","Norris Point","pr10","Atlantic",675,30,30,675,0,675,100,4.44444444444444
"311","Rocky Harbour","pr10","Atlantic",985,40,40,985,0,985,100,4.06091370558376
"312","Daniel's Harbour","pr10","Atlantic",265,0,0,265,0,265,100,0
"313","Cow Head","pr10","Atlantic",475,5,5,475,0,475,100,1.05263157894737
"314","Parson's Pond","pr10","Atlantic",480,5,5,480,0,480,100,1.04166666666667
"315","Hawke's Bay","pr10","Atlantic",340,5,5,340,0,340,100,1.47058823529412
"316","Port Saunders","pr10","Atlantic",675,5,5,675,5,680,99.2647058823529,0.735294117647059
"317","St. Pauls","pr10","Atlantic",255,0,0,255,0,255,100,0
"318","Division No.  9, Subd. C","pr10","Atlantic",2730,15,15,2730,0,2730,100,0.549450549450549
"319","Port au Choix","pr10","Atlantic",840,15,15,840,0,840,100,1.78571428571429
