Indicator,Unit,Subgroup,Time Period,Data Value
Coverage of people receiving ART,Percent,Children (0-14) upper estimate,2010,23.0027
Coverage of people receiving ART,Percent,Children (0-14) upper estimate,2011,29.2058
Coverage of people receiving ART,Percent,Children (0-14) upper estimate,2012,35.0047
Coverage of people receiving ART,Percent,Children (0-14) upper estimate,2013,41.972
Coverage of people receiving ART,Percent,Children (0-14) upper estimate,2014,48.5997
Coverage of people receiving ART,Percent,Children (0-14) upper estimate,2015,54.9578
Coverage of people receiving ART,Percent,Females Adults (15+) estimate,2010,23.5664
Coverage of people receiving ART,Percent,Females Adults (15+) estimate,2011,28.8246
Coverage of people receiving ART,Percent,Females Adults (15+) estimate,2012,34.9673
Coverage of people receiving ART,Percent,Females Adults (15+) estimate,2013,41.0544
Coverage of people receiving ART,Percent,Females Adults (15+) estimate,2014,47.0707
Coverage of people receiving ART,Percent,Females Adults (15+) estimate,2015,52.0199
Coverage of people receiving ART,Percent,Females Adults (15+) lower estimate,2010,21.6597
Coverage of people receiving ART,Percent,Females Adults (15+) lower estimate,2011,26.4865
Coverage of people receiving ART,Percent,Females Adults (15+) lower estimate,2012,32.1847
Coverage of people receiving ART,Percent,Females Adults (15+) lower estimate,2013,37.8299
Coverage of people receiving ART,Percent,Females Adults (15+) lower estimate,2014,43.4191
Coverage of people receiving ART,Percent,Females Adults (15+) lower estimate,2015,48.0273
Coverage of people receiving ART,Percent,Females Adults (15+) upper estimate,2010,25.8028
Coverage of people receiving ART,Percent,Females Adults (15+) upper estimate,2011,31.4995
Coverage of people receiving ART,Percent,Females Adults (15+) upper estimate,2012,38.1667
Coverage of people receiving ART,Percent,Females Adults (15+) upper estimate,2013,44.849
Coverage of people receiving ART,Percent,Females Adults (15+) upper estimate,2014,51.4526
Coverage of people receiving ART,Percent,Females Adults (15+) upper estimate,2015,56.8467
Coverage of people receiving ART,Percent,Total estimate,2010,22.5205
Coverage of people receiving ART,Percent,Total estimate,2011,26.9527
Coverage of people receiving ART,Percent,Total estimate,2012,31.6941
Coverage of people receiving ART,Percent,Total estimate,2013,36.7686
Coverage of people receiving ART,Percent,Total estimate,2014,41.6814
Coverage of people receiving ART,Percent,Total estimate,2015,46.3713
Coverage of people receiving ART,Percent,Total lower estimate,2010,20.8501
Coverage of people receiving ART,Percent,Total lower estimate,2011,24.962
Coverage of people receiving ART,Percent,Total lower estimate,2012,29.3342
Coverage of people receiving ART,Percent,Total lower estimate,2013,34.0692
Coverage of people receiving ART,Percent,Total lower estimate,2014,38.6241
Coverage of people receiving ART,Percent,Total lower estimate,2015,42.9414
Coverage of people receiving ART,Percent,Total upper estimate,2010,24.396
Coverage of people receiving ART,Percent,Total upper estimate,2011,29.1676
Coverage of people receiving ART,Percent,Total upper estimate,2012,34.3179
Coverage of people receiving ART,Percent,Total upper estimate,2013,39.7905
Coverage of people receiving ART,Percent,Total upper estimate,2014,45.1325
Coverage of people receiving ART,Percent,Total upper estimate,2015,50.2332
Coverage of people receiving ART,Percent,Males Adults (15+) estimate,2010,21.7305
Coverage of people receiving ART,Percent,Males Adults (15+) estimate,2011,25.1741
Coverage of people receiving ART,Percent,Males Adults (15+) estimate,2012,28.4297
Coverage of people receiving ART,Percent,Males Adults (15+) estimate,2013,32.3052
Coverage of people receiving ART,Percent,Males Adults (15+) estimate,2014,35.9791
Coverage of people receiving ART,Percent,Males Adults (15+) estimate,2015,40.2913
Coverage of people receiving ART,Percent,Males Adults (15+) lower estimate,2010,20.1054
Coverage of people receiving ART,Percent,Males Adults (15+) lower estimate,2011,23.2824
Coverage of people receiving ART,Percent,Males Adults (15+) lower estimate,2012,26.3061
Coverage of people receiving ART,Percent,Males Adults (15+) lower estimate,2013,29.8952
Coverage of people receiving ART,Percent,Males Adults (15+) lower estimate,2014,33.3232
Coverage of people receiving ART,Percent,Males Adults (15+) lower estimate,2015,37.3566
Coverage of people receiving ART,Percent,Males Adults (15+) upper estimate,2010,23.5892
Coverage of people receiving ART,Percent,Males Adults (15+) upper estimate,2011,27.2875
Coverage of people receiving ART,Percent,Males Adults (15+) upper estimate,2012,30.8253
Coverage of people receiving ART,Percent,Males Adults (15+) upper estimate,2013,35.0268
Coverage of people receiving ART,Percent,Males Adults (15+) upper estimate,2014,38.9979
Coverage of people receiving ART,Percent,Males Adults (15+) upper estimate,2015,43.6768
AIDS-related deaths,Number,Adults (15+) estimate,1990,244378
New HIV Infections,Number,Females 10-19 estimate,1990,155428
New HIV Infections,Number,Females 10-19 estimate,1991,186954
New HIV Infections,Number,Females 10-19 estimate,1992,219038
New HIV Infections,Number,Females 10-19 estimate,1993,248357
New HIV Infections,Number,Females 10-19 estimate,1994,277832
New HIV Infections,Number,Females 10-19 estimate,1995,299730
New HIV Infections,Number,Females 10-19 estimate,1996,315046
New HIV Infections,Number,Females 10-19 estimate,1997,320156
New HIV Infections,Number,Females 10-19 estimate,1998,313724
New HIV Infections,Number,Females 10-19 estimate,1999,302644
New HIV Infections,Number,Females 10-19 estimate,2000,284323
New HIV Infections,Number,Females 10-19 estimate,2001,265575
New HIV Infections,Number,Females 10-19 estimate,2002,246566
New HIV Infections,Number,Females 10-19 estimate,2003,229549
New HIV Infections,Number,Females 10-19 estimate,2004,214739
New HIV Infections,Number,Females 10-19 estimate,2005,202920
New HIV Infections,Number,Females 10-19 estimate,2006,192852
New HIV Infections,Number,Females 10-19 estimate,2007,188059
New HIV Infections,Number,Females 10-19 estimate,2008,182012
New HIV Infections,Number,Females 10-19 estimate,2009,177902
New HIV Infections,Number,Females 10-19 estimate,2010,175515
New HIV Infections,Number,Females 10-19 estimate,2011,174249
New HIV Infections,Number,Females 10-19 estimate,2012,172367
New HIV Infections,Number,Females 10-19 estimate,2013,170357
New HIV Infections,Number,Females 10-19 estimate,2014,168254
New HIV Infections,Number,Females 10-19 estimate,2015,164482
New HIV Infections,Number,Females 10-19 lower estimate,1990,109053
New HIV Infections,Number,Females 10-19 lower estimate,1991,132135
New HIV Infections,Number,Females 10-19 lower estimate,1992,156084
New HIV Infections,Number,Females 10-19 lower estimate,1993,176635
New HIV Infections,Number,Females 10-19 lower estimate,1994,199222
New HIV Infections,Number,Females 10-19 lower estimate,1995,215444
New HIV Infections,Number,Females 10-19 lower estimate,1996,226620
New HIV Infections,Number,Females 10-19 lower estimate,1997,229493
New HIV Infections,Number,Females 10-19 lower estimate,1998,225339
New HIV Infections,Number,Females 10-19 lower estimate,1999,217285
New HIV Infections,Number,Females 10-19 lower estimate,2000,204541
New HIV Infections,Number,Females 10-19 lower estimate,2001,191811
New HIV Infections,Number,Females 10-19 lower estimate,2002,177512
New HIV Infections,Number,Females 10-19 lower estimate,2003,165409
New HIV Infections,Number,Females 10-19 lower estimate,2004,155210
New HIV Infections,Number,Females 10-19 lower estimate,2005,147150
New HIV Infections,Number,Females 10-19 lower estimate,2006,138771
New HIV Infections,Number,Females 10-19 lower estimate,2007,135091
New HIV Infections,Number,Females 10-19 lower estimate,2008,131098
New HIV Infections,Number,Females 10-19 lower estimate,2009,127193
New HIV Infections,Number,Females 10-19 lower estimate,2010,126112
New HIV Infections,Number,Females 10-19 lower estimate,2011,125107
New HIV Infections,Number,Females 10-19 lower estimate,2012,123128
New HIV Infections,Number,Females 10-19 lower estimate,2013,122035
New HIV Infections,Number,Females 10-19 lower estimate,2014,121436
New HIV Infections,Number,Females 10-19 lower estimate,2015,117797
New HIV Infections,Number,Females 10-19 upper estimate,1990,209832
New HIV Infections,Number,Females 10-19 upper estimate,1991,251591
New HIV Infections,Number,Females 10-19 upper estimate,1992,294014
New HIV Infections,Number,Females 10-19 upper estimate,1993,333600
New HIV Infections,Number,Females 10-19 upper estimate,1994,369939
New HIV Infections,Number,Females 10-19 upper estimate,1995,396818
New HIV Infections,Number,Females 10-19 upper estimate,1996,417761
New HIV Infections,Number,Females 10-19 upper estimate,1997,420628
New HIV Infections,Number,Females 10-19 upper estimate,1998,408096
New HIV Infections,Number,Females 10-19 upper estimate,1999,395071
New HIV Infections,Number,Females 10-19 upper estimate,2000,372013
New HIV Infections,Number,Females 10-19 upper estimate,2001,346813
New HIV Infections,Number,Females 10-19 upper estimate,2002,323758
New HIV Infections,Number,Females 10-19 upper estimate,2003,301554
New HIV Infections,Number,Females 10-19 upper estimate,2004,282371
New HIV Infections,Number,Females 10-19 upper estimate,2005,265561
New HIV Infections,Number,Females 10-19 upper estimate,2006,253184
New HIV Infections,Number,Females 10-19 upper estimate,2007,246652
New HIV Infections,Number,Females 10-19 upper estimate,2008,239965
New HIV Infections,Number,Females 10-19 upper estimate,2009,236059
New HIV Infections,Number,Females 10-19 upper estimate,2010,234739
New HIV Infections,Number,Females 10-19 upper estimate,2011,234033
New HIV Infections,Number,Females 10-19 upper estimate,2012,231378
New HIV Infections,Number,Females 10-19 upper estimate,2013,229931
New HIV Infections,Number,Females 10-19 upper estimate,2014,227437
New HIV Infections,Number,Females 10-19 upper estimate,2015,224146
New HIV Infections,Number,Males 10-19 estimate,1990,109570
New HIV Infections,Number,Males 10-19 estimate,1991,128163
New HIV Infections,Number,Males 10-19 estimate,1992,140549
New HIV Infections,Number,Males 10-19 estimate,1993,145424
New HIV Infections,Number,Males 10-19 estimate,1994,152776
New HIV Infections,Number,Males 10-19 estimate,1995,156929
New HIV Infections,Number,Males 10-19 estimate,1996,159719
New HIV Infections,Number,Males 10-19 estimate,1997,159344
New HIV Infections,Number,Males 10-19 estimate,1998,154422
New HIV Infections,Number,Males 10-19 estimate,1999,148352
New HIV Infections,Number,Males 10-19 estimate,2000,140311
New HIV Infections,Number,Males 10-19 estimate,2001,132371
New HIV Infections,Number,Males 10-19 estimate,2002,125508
New HIV Infections,Number,Males 10-19 estimate,2003,118938
New HIV Infections,Number,Males 10-19 estimate,2004,112531
New HIV Infections,Number,Males 10-19 estimate,2005,107645
New HIV Infections,Number,Males 10-19 estimate,2006,103656
New HIV Infections,Number,Males 10-19 estimate,2007,100891
New HIV Infections,Number,Males 10-19 estimate,2008,97374
New HIV Infections,Number,Males 10-19 estimate,2009,95185
New HIV Infections,Number,Males 10-19 estimate,2010,93432
New HIV Infections,Number,Males 10-19 estimate,2011,92157
New HIV Infections,Number,Males 10-19 estimate,2012,90871
New HIV Infections,Number,Males 10-19 estimate,2013,89714
New HIV Infections,Number,Males 10-19 estimate,2014,88606
New HIV Infections,Number,Males 10-19 estimate,2015,86843
New HIV Infections,Number,Males 10-19 lower estimate,1990,76878
New HIV Infections,Number,Males 10-19 lower estimate,1991,90582
New HIV Infections,Number,Males 10-19 lower estimate,1992,100153
New HIV Infections,Number,Males 10-19 lower estimate,1993,103428
New HIV Infections,Number,Males 10-19 lower estimate,1994,109550
New HIV Infections,Number,Males 10-19 lower estimate,1995,112800
New HIV Infections,Number,Males 10-19 lower estimate,1996,114890
New HIV Infections,Number,Males 10-19 lower estimate,1997,114220
New HIV Infections,Number,Males 10-19 lower estimate,1998,110917
New HIV Infections,Number,Males 10-19 lower estimate,1999,106510
New HIV Infections,Number,Males 10-19 lower estimate,2000,100940
New HIV Infections,Number,Males 10-19 lower estimate,2001,95604
New HIV Infections,Number,Males 10-19 lower estimate,2002,90358
New HIV Infections,Number,Males 10-19 lower estimate,2003,85705
New HIV Infections,Number,Males 10-19 lower estimate,2004,81335
New HIV Infections,Number,Males 10-19 lower estimate,2005,78060
New HIV Infections,Number,Males 10-19 lower estimate,2006,74588
New HIV Infections,Number,Males 10-19 lower estimate,2007,72475
New HIV Infections,Number,Males 10-19 lower estimate,2008,70135
New HIV Infections,Number,Males 10-19 lower estimate,2009,68054
New HIV Infections,Number,Males 10-19 lower estimate,2010,67133
New HIV Infections,Number,Males 10-19 lower estimate,2011,66167
New HIV Infections,Number,Males 10-19 lower estimate,2012,64913
New HIV Infections,Number,Males 10-19 lower estimate,2013,64266
New HIV Infections,Number,Males 10-19 lower estimate,2014,63951
New HIV Infections,Number,Males 10-19 lower estimate,2015,62194
New HIV Infections,Number,Males 10-19 upper estimate,1990,147923
New HIV Infections,Number,Males 10-19 upper estimate,1991,172473
New HIV Infections,Number,Males 10-19 upper estimate,1992,188658
New HIV Infections,Number,Males 10-19 upper estimate,1993,195337
New HIV Infections,Number,Males 10-19 upper estimate,1994,203424
New HIV Infections,Number,Males 10-19 upper estimate,1995,207761
New HIV Infections,Number,Males 10-19 upper estimate,1996,211792
New HIV Infections,Number,Males 10-19 upper estimate,1997,209350
New HIV Infections,Number,Males 10-19 upper estimate,1998,200874
New HIV Infections,Number,Males 10-19 upper estimate,1999,193659
New HIV Infections,Number,Males 10-19 upper estimate,2000,183585
New HIV Infections,Number,Males 10-19 upper estimate,2001,172863
New HIV Infections,Number,Males 10-19 upper estimate,2002,164801
New HIV Infections,Number,Males 10-19 upper estimate,2003,156246
New HIV Infections,Number,Males 10-19 upper estimate,2004,147972
New HIV Infections,Number,Males 10-19 upper estimate,2005,140875
New HIV Infections,Number,Males 10-19 upper estimate,2006,136084
New HIV Infections,Number,Males 10-19 upper estimate,2007,132326
New HIV Infections,Number,Males 10-19 upper estimate,2008,128377
New HIV Infections,Number,Males 10-19 upper estimate,2009,126302
New HIV Infections,Number,Males 10-19 upper estimate,2010,124959
New HIV Infections,Number,Males 10-19 upper estimate,2011,123776
New HIV Infections,Number,Males 10-19 upper estimate,2012,121981
New HIV Infections,Number,Males 10-19 upper estimate,2013,121087
New HIV Infections,Number,Males 10-19 upper estimate,2014,119772
New HIV Infections,Number,Males 10-19 upper estimate,2015,118344
New HIV Infections,Number,All sexes 10-19 estimate,1990,264998
New HIV Infections,Number,All sexes 10-19 estimate,1991,315117
New HIV Infections,Number,All sexes 10-19 estimate,1992,359587
New HIV Infections,Number,All sexes 10-19 estimate,1993,393781
New HIV Infections,Number,All sexes 10-19 estimate,1994,430608
New HIV Infections,Number,All sexes 10-19 estimate,1995,456659
New HIV Infections,Number,All sexes 10-19 estimate,1996,474765
New HIV Infections,Number,All sexes 10-19 estimate,1997,479500
New HIV Infections,Number,All sexes 10-19 estimate,1998,468146
New HIV Infections,Number,All sexes 10-19 estimate,1999,450996
New HIV Infections,Number,All sexes 10-19 estimate,2000,424634
New HIV Infections,Number,All sexes 10-19 estimate,2001,397946
New HIV Infections,Number,All sexes 10-19 estimate,2002,372074
New HIV Infections,Number,All sexes 10-19 estimate,2003,348487
New HIV Infections,Number,All sexes 10-19 estimate,2004,327270
New HIV Infections,Number,All sexes 10-19 estimate,2005,310565
New HIV Infections,Number,All sexes 10-19 estimate,2006,296508
New HIV Infections,Number,All sexes 10-19 estimate,2007,288950
New HIV Infections,Number,All sexes 10-19 estimate,2008,279386
New HIV Infections,Number,All sexes 10-19 estimate,2009,273087
New HIV Infections,Number,All sexes 10-19 estimate,2010,268947
New HIV Infections,Number,All sexes 10-19 estimate,2011,266406
New HIV Infections,Number,All sexes 10-19 estimate,2012,263238
New HIV Infections,Number,All sexes 10-19 estimate,2013,260071
New HIV Infections,Number,All sexes 10-19 estimate,2014,256860
New HIV Infections,Number,All sexes 10-19 estimate,2015,251325
New HIV Infections,Number,All sexes 10-19 lower estimate,1990,185931
New HIV Infections,Number,All sexes 10-19 lower estimate,1991,222717
New HIV Infections,Number,All sexes 10-19 lower estimate,1992,256237
New HIV Infections,Number,All sexes 10-19 lower estimate,1993,280063
New HIV Infections,Number,All sexes 10-19 lower estimate,1994,308772
New HIV Infections,Number,All sexes 10-19 lower estimate,1995,328244
New HIV Infections,Number,All sexes 10-19 lower estimate,1996,341510
New HIV Infections,Number,All sexes 10-19 lower estimate,1997,343713
New HIV Infections,Number,All sexes 10-19 lower estimate,1998,336256
New HIV Infections,Number,All sexes 10-19 lower estimate,1999,323795
New HIV Infections,Number,All sexes 10-19 lower estimate,2000,305481
New HIV Infections,Number,All sexes 10-19 lower estimate,2001,287415
New HIV Infections,Number,All sexes 10-19 lower estimate,2002,267870
New HIV Infections,Number,All sexes 10-19 lower estimate,2003,251114
New HIV Infections,Number,All sexes 10-19 lower estimate,2004,236545
New HIV Infections,Number,All sexes 10-19 lower estimate,2005,225210
New HIV Infections,Number,All sexes 10-19 lower estimate,2006,213359
New HIV Infections,Number,All sexes 10-19 lower estimate,2007,207566
New HIV Infections,Number,All sexes 10-19 lower estimate,2008,201233
New HIV Infections,Number,All sexes 10-19 lower estimate,2009,195247
New HIV Infections,Number,All sexes 10-19 lower estimate,2010,193245
New HIV Infections,Number,All sexes 10-19 lower estimate,2011,191274
New HIV Infections,Number,All sexes 10-19 lower estimate,2012,188041
New HIV Infections,Number,All sexes 10-19 lower estimate,2013,186301
New HIV Infections,Number,All sexes 10-19 lower estimate,2014,185387
New HIV Infections,Number,All sexes 10-19 lower estimate,2015,179991
New HIV Infections,Number,All sexes 10-19 upper estimate,1990,357755
New HIV Infections,Number,All sexes 10-19 upper estimate,1991,424064
New HIV Infections,Number,All sexes 10-19 upper estimate,1992,482672
New HIV Infections,Number,All sexes 10-19 upper estimate,1993,528937
New HIV Infections,Number,All sexes 10-19 upper estimate,1994,573363
New HIV Infections,Number,All sexes 10-19 upper estimate,1995,604579
New HIV Infections,Number,All sexes 10-19 upper estimate,1996,629553
New HIV Infections,Number,All sexes 10-19 upper estimate,1997,629978
New HIV Infections,Number,All sexes 10-19 upper estimate,1998,608970
New HIV Infections,Number,All sexes 10-19 upper estimate,1999,588730
New HIV Infections,Number,All sexes 10-19 upper estimate,2000,555598
New HIV Infections,Number,All sexes 10-19 upper estimate,2001,519676
New HIV Infections,Number,All sexes 10-19 upper estimate,2002,488559
New HIV Infections,Number,All sexes 10-19 upper estimate,2003,457800
New HIV Infections,Number,All sexes 10-19 upper estimate,2004,430343
New HIV Infections,Number,All sexes 10-19 upper estimate,2005,406436
New HIV Infections,Number,All sexes 10-19 upper estimate,2006,389268
New HIV Infections,Number,All sexes 10-19 upper estimate,2007,378978
New HIV Infections,Number,All sexes 10-19 upper estimate,2008,368342
New HIV Infections,Number,All sexes 10-19 upper estimate,2009,362361
New HIV Infections,Number,All sexes 10-19 upper estimate,2010,359698
New HIV Infections,Number,All sexes 10-19 upper estimate,2011,357809
New HIV Infections,Number,All sexes 10-19 upper estimate,2012,353359
New HIV Infections,Number,All sexes 10-19 upper estimate,2013,351018
New HIV Infections,Number,All sexes 10-19 upper estimate,2014,347209
New HIV Infections,Number,All sexes 10-19 upper estimate,2015,342490
AIDS-related deaths,Number,Females 10-19 estimate,1990,1796
AIDS-related deaths,Number,Females 10-19 estimate,1991,2274
AIDS-related deaths,Number,Females 10-19 estimate,1992,2882
AIDS-related deaths,Number,Females 10-19 estimate,1993,3607
AIDS-related deaths,Number,Females 10-19 estimate,1994,4427
AIDS-related deaths,Number,Females 10-19 estimate,1995,5344
AIDS-related deaths,Number,Females 10-19 estimate,1996,6310
AIDS-related deaths,Number,Females 10-19 estimate,1997,7330
AIDS-related deaths,Number,Females 10-19 estimate,1998,8383
AIDS-related deaths,Number,Females 10-19 estimate,1999,9432
AIDS-related deaths,Number,Females 10-19 estimate,2000,10559
AIDS-related deaths,Number,Females 10-19 estimate,2001,11734
AIDS-related deaths,Number,Females 10-19 estimate,2002,12941
AIDS-related deaths,Number,Females 10-19 estimate,2003,14234
AIDS-related deaths,Number,Females 10-19 estimate,2004,15632
AIDS-related deaths,Number,Females 10-19 estimate,2005,16932
AIDS-related deaths,Number,Females 10-19 estimate,2006,18207
AIDS-related deaths,Number,Females 10-19 estimate,2007,19389
AIDS-related deaths,Number,Females 10-19 estimate,2008,20106
AIDS-related deaths,Number,Females 10-19 estimate,2009,20823
AIDS-related deaths,Number,Females 10-19 estimate,2010,21275
AIDS-related deaths,Number,Females 10-19 estimate,2011,21561
AIDS-related deaths,Number,Females 10-19 estimate,2012,21508
AIDS-related deaths,Number,Females 10-19 estimate,2013,21078
AIDS-related deaths,Number,Females 10-19 estimate,2014,20423
AIDS-related deaths,Number,Females 10-19 estimate,2015,20038
AIDS-related deaths,Number,Females 10-19 lower estimate,1990,895
AIDS-related deaths,Number,Females 10-19 lower estimate,1991,1168
AIDS-related deaths,Number,Females 10-19 lower estimate,1992,1554
AIDS-related deaths,Number,Females 10-19 lower estimate,1993,2025
AIDS-related deaths,Number,Females 10-19 lower estimate,1994,2629
AIDS-related deaths,Number,Females 10-19 lower estimate,1995,3318
AIDS-related deaths,Number,Females 10-19 lower estimate,1996,4083
AIDS-related deaths,Number,Females 10-19 lower estimate,1997,4937
AIDS-related deaths,Number,Females 10-19 lower estimate,1998,5860
AIDS-related deaths,Number,Females 10-19 lower estimate,1999,6785
AIDS-related deaths,Number,Females 10-19 lower estimate,2000,7830
AIDS-related deaths,Number,Females 10-19 lower estimate,2001,8888
AIDS-related deaths,Number,Females 10-19 lower estimate,2002,9949
AIDS-related deaths,Number,Females 10-19 lower estimate,2003,11103
AIDS-related deaths,Number,Females 10-19 lower estimate,2004,12338
AIDS-related deaths,Number,Females 10-19 lower estimate,2005,13459
AIDS-related deaths,Number,Females 10-19 lower estimate,2006,14616
AIDS-related deaths,Number,Females 10-19 lower estimate,2007,15602
AIDS-related deaths,Number,Females 10-19 lower estimate,2008,16204
AIDS-related deaths,Number,Females 10-19 lower estimate,2009,16884
AIDS-related deaths,Number,Females 10-19 lower estimate,2010,17168
AIDS-related deaths,Number,Females 10-19 lower estimate,2011,17426
AIDS-related deaths,Number,Females 10-19 lower estimate,2012,17325
AIDS-related deaths,Number,Females 10-19 lower estimate,2013,16918
AIDS-related deaths,Number,Females 10-19 lower estimate,2014,16395
AIDS-related deaths,Number,Females 10-19 lower estimate,2015,16169
AIDS-related deaths,Number,Females 10-19 upper estimate,1990,4305
AIDS-related deaths,Number,Females 10-19 upper estimate,1991,5227
AIDS-related deaths,Number,Females 10-19 upper estimate,1992,6331
AIDS-related deaths,Number,Females 10-19 upper estimate,1993,7587
AIDS-related deaths,Number,Females 10-19 upper estimate,1994,8848
AIDS-related deaths,Number,Females 10-19 upper estimate,1995,10187
AIDS-related deaths,Number,Females 10-19 upper estimate,1996,11461
AIDS-related deaths,Number,Females 10-19 upper estimate,1997,12656
AIDS-related deaths,Number,Females 10-19 upper estimate,1998,13844
AIDS-related deaths,Number,Females 10-19 upper estimate,1999,14770
AIDS-related deaths,Number,Females 10-19 upper estimate,2000,15748
AIDS-related deaths,Number,Females 10-19 upper estimate,2001,16811
AIDS-related deaths,Number,Females 10-19 upper estimate,2002,17875
AIDS-related deaths,Number,Females 10-19 upper estimate,2003,19079
AIDS-related deaths,Number,Females 10-19 upper estimate,2004,20539
AIDS-related deaths,Number,Females 10-19 upper estimate,2005,21740
AIDS-related deaths,Number,Females 10-19 upper estimate,2006,23046
AIDS-related deaths,Number,Females 10-19 upper estimate,2007,24251
AIDS-related deaths,Number,Females 10-19 upper estimate,2008,25196
AIDS-related deaths,Number,Females 10-19 upper estimate,2009,25892
AIDS-related deaths,Number,Females 10-19 upper estimate,2010,26604
AIDS-related deaths,Number,Females 10-19 upper estimate,2011,27109
AIDS-related deaths,Number,Females 10-19 upper estimate,2012,27130
AIDS-related deaths,Number,Females 10-19 upper estimate,2013,26715
AIDS-related deaths,Number,Females 10-19 upper estimate,2014,25732
AIDS-related deaths,Number,Females 10-19 upper estimate,2015,25131
AIDS-related deaths,Number,Males 10-19 estimate,2012,21856
AIDS-related deaths,Number,Males 10-19 estimate,2013,22077
AIDS-related deaths,Number,Males 10-19 estimate,2014,21875
AIDS-related deaths,Number,Males 10-19 estimate,2015,21423
AIDS-related deaths,Number,Males 10-19 estimate,1990,1219
AIDS-related deaths,Number,Males 10-19 estimate,1991,1553
AIDS-related deaths,Number,Males 10-19 estimate,1992,2001
AIDS-related deaths,Number,Males 10-19 estimate,1993,2518
AIDS-related deaths,Number,Males 10-19 estimate,1994,3010
AIDS-related deaths,Number,Males 10-19 estimate,1995,3530
AIDS-related deaths,Number,Males 10-19 estimate,1996,4085
AIDS-related deaths,Number,Males 10-19 estimate,1997,4762
AIDS-related deaths,Number,Males 10-19 estimate,1998,5579
AIDS-related deaths,Number,Males 10-19 estimate,1999,6505
AIDS-related deaths,Number,Males 10-19 estimate,2000,7605
AIDS-related deaths,Number,Males 10-19 estimate,2001,8864
AIDS-related deaths,Number,Males 10-19 estimate,2002,10230
AIDS-related deaths,Number,Males 10-19 estimate,2003,11780
AIDS-related deaths,Number,Males 10-19 estimate,2004,13433
AIDS-related deaths,Number,Males 10-19 estimate,2005,15015
AIDS-related deaths,Number,Males 10-19 estimate,2006,16561
AIDS-related deaths,Number,Males 10-19 estimate,2007,17981
