Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Latitude,Longitude,Location
64343129,3/13/2025 19:02,,DPR,Department of Parks and Recreation,Animal in a Park,Dead Animal,Park,11694,BEACH CHANNEL PARK,BEACH CHANNEL PARK,BEACH  119 STREET,BEACH  120 STREET,BEACH  119 STREET,BEACH  120 STREET,UNRECOGNIZED,FAR ROCKAWAY,BEACH CHANNEL PARK,,In Progress,,3/13/2025 20:02,14 QUEENS,QUEENS,1028159,151237,Unspecified,QUEENS,40.58167796,-73.84192476,POINT (-73.84192476310344 40.58167795543402)
64341574,3/13/2025 18:38,,DSNY,Department of Sanitation,Dead Animal,Rat or Mouse,Sidewalk,11238,85 EASTERN PARKWAY,EASTERN PARKWAY,UNDERHILL AVENUE,WASHINGTON AVENUE,UNDERHILL AVENUE,WASHINGTON AVENUE,ADDRESS,BROOKLYN,EASTERN PARKWAY,,In Progress,,,08 BROOKLYN,BROOKLYN,993681,184352,Unspecified,BROOKLYN,40.67267538,-73.96600148,POINT (-73.9660014849301 40.67267537962093)
64349828,3/13/2025 18:24,,DSNY,Department of Sanitation,Dead Animal,Bird,Sidewalk,11373,44-01 JUDGE STREET,JUDGE STREET,WHITNEY AVENUE,43 AVENUE,WHITNEY AVENUE,43 AVENUE,ADDRESS,ELMHURST,JUDGE STREET,,In Progress,,,04 QUEENS,QUEENS,1018184,209997,Unspecified,QUEENS,40.74300475,-73.87753962,POINT (-73.87753962292442 40.74300475456746)
64348615,3/13/2025 18:18,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,10314,92 PARKVIEW LOOP,PARKVIEW LOOP,MORANI STREET,DEBBIE STREET,MORANI STREET,DEBBIE STREET,ADDRESS,STATEN ISLAND,PARKVIEW LOOP,,In Progress,,,02 STATEN ISLAND,STATEN ISLAND,940962,161521,Unspecified,STATEN ISLAND,40.60990847,-74.1559055,POINT (-74.15590549508491 40.60990847240052)
64345663,3/13/2025 17:59,,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,10308,HYLAN BOULEVARD,HYLAN BOULEVARD,HYLAN BOULEVARD,WIMAN AVENUE,HYLAN BOULEVARD,WIMAN AVENUE,INTERSECTION,,,,In Progress,,3/14/2025 1:09,03 STATEN ISLAND,STATEN ISLAND,943364,136416,Unspecified,STATEN ISLAND,40.54101169,-74.14710266,POINT (-74.14710266084691 40.541011685024344)
64349399,3/13/2025 17:54,3/13/2025 21:55,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,10307,AMBOY ROAD,AMBOY ROAD,AMBOY ROAD,CRAIG AVENUE,AMBOY ROAD,CRAIG AVENUE,INTERSECTION,,,,Closed,,3/13/2025 21:55,03 STATEN ISLAND,STATEN ISLAND,914151,124304,Unspecified,STATEN ISLAND,40.50758386,-74.25208148,POINT (-74.25208147940663 40.507583860975856)
64346541,3/13/2025 17:49,3/13/2025 18:59,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11205,100 WASHINGTON PARK,WASHINGTON PARK,MYRTLE AVENUE,WILLOUGHBY AVENUE,MYRTLE AVENUE,WILLOUGHBY AVENUE,ADDRESS,BROOKLYN,WASHINGTON PARK,,Closed,,3/13/2025 18:59,02 BROOKLYN,BROOKLYN,991541,191573,Unspecified,BROOKLYN,40.6924974,-73.97370832,POINT (-73.9737083167811 40.692497400764616)
64341181,3/13/2025 17:30,3/13/2025 18:42,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11211,350 MASPETH AVENUE,MASPETH AVENUE,VANDERVOORT AVENUE,DEAD END,VANDERVOORT AVENUE,DEAD END,ADDRESS,BROOKLYN,MASPETH AVENUE,,Closed,,3/13/2025 18:42,01 BROOKLYN,BROOKLYN,1003716,201052,Unspecified,BROOKLYN,40.71849661,-73.92977731,POINT (-73.92977731468619 40.71849660931797)
64347834,3/13/2025 17:28,3/13/2025 18:42,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11211,350 MASPETH AVENUE,MASPETH AVENUE,VANDERVOORT AVENUE,DEAD END,VANDERVOORT AVENUE,DEAD END,ADDRESS,BROOKLYN,MASPETH AVENUE,,Closed,,3/13/2025 18:42,01 BROOKLYN,BROOKLYN,1003716,201052,Unspecified,BROOKLYN,40.71849661,-73.92977731,POINT (-73.92977731468619 40.71849660931797)
64349037,3/13/2025 16:58,3/13/2025 18:17,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11211,60 KINGSLAND AVENUE,KINGSLAND AVENUE,WITHERS STREET,FROST STREET,WITHERS STREET,FROST STREET,ADDRESS,BROOKLYN,KINGSLAND AVENUE,,Closed,,3/13/2025 18:17,01 BROOKLYN,BROOKLYN,1000792,200805,Unspecified,BROOKLYN,40.7178246,-73.94032611,POINT (-73.94032611149376 40.71782460440937)
64340218,3/13/2025 16:47,3/13/2025 21:10,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11377,51-22 ROOSEVELT AVENUE,ROOSEVELT AVENUE,51 STREET,43 AVENUE,51 STREET,43 AVENUE,ADDRESS,WOODSIDE,ROOSEVELT AVENUE,,Closed,,3/13/2025 21:10,02 QUEENS,QUEENS,1008244,210306,Unspecified,QUEENS,40.74388544,-73.91340978,POINT (-73.91340977633116 40.74388543699201)
64340203,3/13/2025 16:38,3/13/2025 17:44,NYPD,New York City Police Department,Animal-Abuse,Chained,Residential Building/House,11001,84-30 260 STREET,260 STREET,HILLSIDE AVENUE,EAST WILLISTON AVENUE,HILLSIDE AVENUE,EAST WILLISTON AVENUE,ADDRESS,FLORAL PARK,260 STREET,,Closed,,3/13/2025 17:44,13 QUEENS,QUEENS,1065179,207693,Unspecified,QUEENS,40.73637569,-73.70797357,POINT (-73.70797356672908 40.73637568927725)
64341662,3/13/2025 16:38,,DPR,Department of Parks and Recreation,Animal in a Park,Dead Animal,Park,10025,RIVERSIDE PARK,RIVERSIDE PARK,HENRY HUDSON PY SB EN W   96 ST,HENRY HUDSON PARKWAY ET   12 NB,HENRY HUDSON PY SB EN W   96 ST,HENRY HUDSON PARKWAY ET   12 NB,UNRECOGNIZED,NEW YORK,RIVERSIDE PARK,,In Progress,,,07 MANHATTAN,MANHATTAN,991626,230829,Unspecified,MANHATTAN,40.80024518,-73.97335875,POINT (-73.97335875005403 40.800245180318555)
64344833,3/13/2025 16:20,3/13/2025 17:10,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,10309,170 DARNELL LANE,DARNELL LANE,ROBIN COURT,,ROBIN COURT,,ADDRESS,STATEN ISLAND,DARNELL LANE,,Closed,,3/13/2025 17:10,03 STATEN ISLAND,STATEN ISLAND,922367,134887,Unspecified,STATEN ISLAND,40.53669325,-74.22263296,POINT (-74.22263296168202 40.536693246085086)
64340435,3/13/2025 15:43,,DSNY,Department of Sanitation,Dead Animal,Other,Street,11204,1815 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,18 AVENUE,19 AVENUE,18 AVENUE,19 AVENUE,ADDRESS,BROOKLYN,BAY RIDGE PARKWAY,,In Progress,,,11 BROOKLYN,BROOKLYN,985507,162642,Unspecified,BROOKLYN,40.61309103,-73.99547259,POINT (-73.99547259178142 40.613091032499916)
64343130,3/13/2025 15:39,3/13/2025 16:39,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11428,214-35 93 AVENUE,93 AVENUE,214 PLACE,VANDERVEER STREET,214 PLACE,VANDERVEER STREET,ADDRESS,QUEENS VILLAGE,93 AVENUE,,Closed,,3/13/2025 16:39,13 QUEENS,QUEENS,1055126,201622,Unspecified,QUEENS,40.71979862,-73.74431281,POINT (-73.74431281156686 40.71979862053153)
64341520,3/13/2025 15:30,,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,10467,3315 CRUGER AVENUE,CRUGER AVENUE,NORTH OAK DRIVE,BARTHOLDI STREET,NORTH OAK DRIVE,BARTHOLDI STREET,ADDRESS,BRONX,CRUGER AVENUE,,In Progress,,,12 BRONX,BRONX,1021266,257600,Unspecified,BRONX,40.87364927,-73.86615489,POINT (-73.86615488989199 40.87364927387362)
64344820,3/13/2025 15:26,,DSNY,Department of Sanitation,Dead Animal,Other,Street,11378,FLUSHING AVENUE,FLUSHING AVENUE,FLUSHING AVENUE,RUST STREET,FLUSHING AVENUE,RUST STREET,INTERSECTION,,,,In Progress,,,05 QUEENS,QUEENS,1009293,200801,Unspecified,QUEENS,40.71779365,-73.90965949,POINT (-73.90965949431525 40.71779364576859)
64340450,3/13/2025 15:24,,DSNY,Department of Sanitation,Dead Animal,Rat or Mouse,Street,11215,354 10 STREET,10 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,10 STREET,,In Progress,,,06 BROOKLYN,BROOKLYN,987710,182983,Unspecified,BROOKLYN,40.66892213,-73.98752749,POINT (-73.98752749018108 40.668922128294064)
64345948,3/13/2025 14:53,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,11230,1319 NEWKIRK AVENUE,NEWKIRK AVENUE,ARGYLE ROAD,RUGBY ROAD,ARGYLE ROAD,RUGBY ROAD,ADDRESS,BROOKLYN,NEWKIRK AVENUE,,In Progress,,,14 BROOKLYN,BROOKLYN,994006,170556,Unspecified,BROOKLYN,40.63480802,-73.96484983,POINT (-73.96484982519448 40.63480802247546)
64346799,3/13/2025 14:47,3/13/2025 14:56,NYPD,New York City Police Department,Animal-Abuse,Other (complaint details),Residential Building/House,11693,85-10 ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH BOULEVARD,BEACH   84 STREET,BEACH   86 STREET,BEACH   84 STREET,BEACH   86 STREET,ADDRESS,FAR ROCKAWAY,ROCKAWAY BEACH BOULEVARD,,Closed,,3/13/2025 14:56,14 QUEENS,QUEENS,1036753,153415,Unspecified,QUEENS,40.58760939,-73.81096898,POINT (-73.81096897565536 40.58760938562654)
64349799,3/13/2025 14:36,,DSNY,Department of Sanitation,Dead Animal,Bird,Sidewalk,11228,1571 BAYRIDGE PARKWAY,BAYRIDGE PARKWAY,15 AVENUE,16 AVENUE,15 AVENUE,16 AVENUE,ADDRESS,BROOKLYN,BAY RIDGE PARKWAY,,In Progress,,,11 BROOKLYN,BROOKLYN,983809,163988,Unspecified,BROOKLYN,40.6167856,-74.00158846,POINT (-74.0015884626339 40.616785602422624)
64348998,3/13/2025 14:11,3/13/2025 15:42,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10025,RIVERSIDE PARK,RIVERSIDE PARK,HENRY HUDSON PY SB EN W   96 ST,HENRY HUDSON PARKWAY ET   12 NB,HENRY HUDSON PY SB EN W   96 ST,HENRY HUDSON PARKWAY ET   12 NB,UNRECOGNIZED,NEW YORK,RIVERSIDE PARK,,Closed,,3/13/2025 15:42,07 MANHATTAN,MANHATTAN,991626,230829,Unspecified,MANHATTAN,40.80024518,-73.97335875,POINT (-73.97335875005403 40.800245180318555)
64344731,3/13/2025 14:03,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,10454,637 EAST  138 STREET,EAST  138 STREET,ST ANNS AVENUE,CYPRESS AVENUE,ST ANNS AVENUE,CYPRESS AVENUE,ADDRESS,BRONX,EAST  138 STREET,,In Progress,,,01 BRONX,BRONX,1007746,232873,Unspecified,BRONX,40.80582724,-73.91512806,POINT (-73.91512806498142 40.805827236246174)
64349707,3/13/2025 14:03,,DSNY,Department of Sanitation,Dead Animal,Rat or Mouse,Street,11226,EAST   21 STREET,EAST   21 STREET,EAST   21 STREET,WOODRUFF AVENUE,EAST   21 STREET,WOODRUFF AVENUE,INTERSECTION,,,,In Progress,,,14 BROOKLYN,BROOKLYN,995132,177715,Unspecified,BROOKLYN,40.65445662,-73.96078138,POINT (-73.96078137962932 40.654456621243554)
64341208,3/13/2025 13:51,3/13/2025 16:14,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10038,89 SOUTH STREET,SOUTH STREET,FULTON STREET,BEEKMAN STREET,FULTON STREET,BEEKMAN STREET,ADDRESS,NEW YORK,SOUTH STREET,,Closed,,3/13/2025 16:14,01 MANHATTAN,MANHATTAN,983491,196660,Unspecified,MANHATTAN,40.706463,-74.00273756,POINT (-74.002737562466 40.7064629986641)
64344670,3/13/2025 13:44,,DSNY,Department of Sanitation,Dead Animal,Other,Street,10305,490 STEUBEN STREET,STEUBEN STREET,HYLAN BOULEVARD,WINDERMERE ROAD,HYLAN BOULEVARD,WINDERMERE ROAD,ADDRESS,STATEN ISLAND,STEUBEN STREET,,In Progress,,3/13/2025 20:23,02 STATEN ISLAND,STATEN ISLAND,962810,159030,Unspecified,STATEN ISLAND,40.60315099,-74.07721018,POINT (-74.07721017760775 40.60315098637636)
64347835,3/13/2025 13:22,3/13/2025 16:17,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11102,24-02 19 STREET,19 STREET,24 AVENUE,24 ROAD,24 AVENUE,24 ROAD,ADDRESS,ASTORIA,19 STREET,,Closed,,3/13/2025 16:17,01 QUEENS,QUEENS,1005632,222482,Unspecified,QUEENS,40.77731212,-73.9227973,POINT (-73.92279730348663 40.777312121014575)
64349706,3/13/2025 13:21,,DSNY,Department of Sanitation,Dead Animal,Opossum,Street,10304,24 WARD AVENUE,WARD AVENUE,FIEDLER AVENUE,AVON PLACE,FIEDLER AVENUE,AVON PLACE,ADDRESS,STATEN ISLAND,WARD AVENUE,,In Progress,,3/13/2025 19:59,01 STATEN ISLAND,STATEN ISLAND,961716,170566,Unspecified,STATEN ISLAND,40.63481218,-74.08118842,POINT (-74.08118841539164 40.63481218004868)
64341198,3/13/2025 13:16,3/13/2025 14:12,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10027,500 WEST  129 STREET,WEST  129 STREET,AMSTERDAM AVENUE,OLD BROADWAY,AMSTERDAM AVENUE,OLD BROADWAY,ADDRESS,NEW YORK,WEST  129 STREET,,Closed,,3/13/2025 14:12,09 MANHATTAN,MANHATTAN,996638,236281,Unspecified,MANHATTAN,40.81520381,-73.95524593,POINT (-73.95524593355366 40.81520380586783)
64346227,3/13/2025 13:15,3/13/2025 13:32,NYPD,New York City Police Department,Animal-Abuse,Neglected,Store/Commercial,11233,85 ROCKAWAY AVENUE,ROCKAWAY AVENUE,MAC DOUGAL STREET,HULL STREET,MAC DOUGAL STREET,HULL STREET,ADDRESS,BROOKLYN,ROCKAWAY AVENUE,,Closed,,3/13/2025 13:32,16 BROOKLYN,BROOKLYN,1008888,187039,Unspecified,BROOKLYN,40.68002132,-73.91117084,POINT (-73.91117083999528 40.68002132355603)
64340449,3/13/2025 13:13,,DSNY,Department of Sanitation,Dead Animal,Opossum,Sidewalk,10304,18 WARD AVENUE,WARD AVENUE,FIEDLER AVENUE,AVON PLACE,FIEDLER AVENUE,AVON PLACE,ADDRESS,STATEN ISLAND,WARD AVENUE,,In Progress,,3/13/2025 19:59,01 STATEN ISLAND,STATEN ISLAND,961756,170616,Unspecified,STATEN ISLAND,40.63494952,-74.08104446,POINT (-74.0810444649608 40.63494952103312)
64349939,3/13/2025 12:54,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,10306,615B LINCOLN AVENUE,LINCOLN AVENUE,BADEN PLACE,PATTERSON AVENUE,BADEN PLACE,PATTERSON AVENUE,ADDRESS,STATEN ISLAND,LINCOLN AVENUE,,In Progress,,,02 STATEN ISLAND,STATEN ISLAND,958528,147235,Unspecified,STATEN ISLAND,40.57076469,-74.0925857,POINT (-74.09258569994748 40.57076468525414)
64342502,3/13/2025 12:24,3/13/2025 13:13,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10003,69 EAST   17 STREET,EAST   17 STREET,BROADWAY,PARK AVENUE SOUTH,BROADWAY,PARK AVENUE SOUTH,ADDRESS,NEW YORK,EAST   17 STREET,,Closed,,3/13/2025 13:13,05 MANHATTAN,MANHATTAN,987125,207726,Unspecified,MANHATTAN,40.73683606,-73.98962572,POINT (-73.98962571830423 40.736836061247594)
64340219,3/13/2025 11:37,,NYPD,New York City Police Department,Animal-Abuse,Other (complaint details),Residential Building/House,10451,445 GERARD AVENUE,GERARD AVENUE,EAST  144 STREET,EAST  146 STREET,EAST  144 STREET,EAST  146 STREET,ADDRESS,BRONX,GERARD AVENUE,,In Progress,,,01 BRONX,BRONX,1003661,237085,Unspecified,BRONX,40.81739792,-73.92987166,POINT (-73.92987165964107 40.81739791988769)
64344689,3/13/2025 11:34,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Mixed Use Building,11207,759 WARWICK STREET,WARWICK STREET,NEW LOTS AVENUE,HEGEMAN AVENUE,NEW LOTS AVENUE,HEGEMAN AVENUE,ADDRESS,BROOKLYN,WARWICK STREET,,In Progress,,,05 BROOKLYN,BROOKLYN,1016707,181311,Unspecified,BROOKLYN,40.66427405,-73.88300805,POINT (-73.88300804587539 40.66427404521998)
64348191,3/13/2025 11:24,,DSNY,Department of Sanitation,Dead Animal,Rat or Mouse,Sidewalk,11238,589 FRANKLIN AVENUE,FRANKLIN AVENUE,PACIFIC STREET,DEAN STREET,PACIFIC STREET,DEAN STREET,ADDRESS,BROOKLYN,FRANKLIN AVENUE,,In Progress,,,08 BROOKLYN,BROOKLYN,996668,186375,Unspecified,BROOKLYN,40.67822437,-73.9552297,POINT (-73.95522970024207 40.67822437215682)
64345567,3/13/2025 11:12,,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11231,15 WOLCOTT STREET,WOLCOTT STREET,DWIGHT STREET,RICHARDS STREET,DWIGHT STREET,RICHARDS STREET,ADDRESS,BROOKLYN,WOLCOTT STREET,,In Progress,,3/13/2025 23:46,06 BROOKLYN,BROOKLYN,981358,185428,Unspecified,BROOKLYN,40.67563331,-74.01042605,POINT (-74.0104260485831 40.67563330876257)
64342997,3/13/2025 10:55,,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11231,7 WOLCOTT STREET,WOLCOTT STREET,DWIGHT STREET,RICHARDS STREET,DWIGHT STREET,RICHARDS STREET,ADDRESS,BROOKLYN,WOLCOTT STREET,,In Progress,,3/13/2025 23:47,06 BROOKLYN,BROOKLYN,981407,185384,Unspecified,BROOKLYN,40.67551255,-74.01024938,POINT (-74.01024937844072 40.675512554549634)
64345976,3/13/2025 10:38,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Cat,1-2 Family Dwelling,11434,175-22 138 AVENUE,138 AVENUE,175 STREET,182 STREET,175 STREET,182 STREET,ADDRESS,JAMAICA,138 AVENUE,,In Progress,,,12 QUEENS,QUEENS,1049451,184445,Unspecified,QUEENS,40.67269556,-73.76495171,POINT (-73.7649517064602 40.67269556394538)
64342503,3/13/2025 10:26,3/13/2025 13:41,DPR,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,11215,95 PROSPECT PARK WEST,PROSPECT PARK WEST,4 STREET,5 STREET,4 STREET,5 STREET,ADDRESS,BROOKLYN,PROSPECT PARK WEST,,Closed,,3/13/2025 13:41,55 BROOKLYN,BROOKLYN,991322,182426,Unspecified,BROOKLYN,40.66739114,-73.97450764,POINT (-73.97450763994523 40.66739113906443)
64344237,3/13/2025 10:15,3/13/2025 11:08,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11224,3405 NEPTUNE AVENUE,NEPTUNE AVENUE,WEST   35 STREET,WEST   36 STREET,WEST   35 STREET,WEST   36 STREET,ADDRESS,BROOKLYN,NEPTUNE AVENUE,,Closed,,3/13/2025 11:08,13 BROOKLYN,BROOKLYN,983824,149523,Unspecified,BROOKLYN,40.5770821,-74.00153352,POINT (-74.00153352116364 40.577082098043554)
64345803,3/13/2025 9:33,,DSNY,Department of Sanitation,Dead Animal,Opossum,Street,11204,1815 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,18 AVENUE,19 AVENUE,18 AVENUE,19 AVENUE,ADDRESS,BROOKLYN,BAY RIDGE PARKWAY,,In Progress,,3/13/2025 13:31,11 BROOKLYN,BROOKLYN,985507,162642,Unspecified,BROOKLYN,40.61309103,-73.99547259,POINT (-73.99547259178142 40.613091032499916)
64342555,3/13/2025 9:10,3/13/2025 10:26,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10002,57 ESSEX STREET,ESSEX STREET,GRAND STREET,BROOME STREET,GRAND STREET,BROOME STREET,ADDRESS,NEW YORK,ESSEX STREET,,Closed,,3/13/2025 10:26,03 MANHATTAN,MANHATTAN,987285,200474,Unspecified,MANHATTAN,40.71693103,-73.98905164,POINT (-73.98905163765124 40.7169310334668)
