"","cd_code","cluster","region","dem_perc","gop_perc","dem_margin","clinton_margin","swing"
"81","CO-07","Dense suburban","West",60.4,35.4,25,12.1,12.9
"82","CT-01","Sparse suburban","Northeast",63.9,35,28.8,23.1,5.7
"83","CT-02","Rural-suburban mix","Northeast",62.2,35.4,26.7,2.9,23.8
"84","CT-03","Sparse suburban","Northeast",64.6,35.4,29.2,15.5,13.7
"85","CT-04","Sparse suburban","Northeast",61.2,38.8,22.4,23,-0.6
"86","CT-05","Sparse suburban","Northeast",55.9,44.1,11.7,4.1,7.6
"87","DE-AL","Sparse suburban","South",64.5,35.5,28.9,11.4,17.5
"88","FL-01","Rural-suburban mix","South",32.9,67.1,-34.1,-39.3,5.2
"89","FL-02","Rural-suburban mix","South",32.6,67.4,-34.9,-35.6,0.7
"90","FL-03","Pure rural","South",42.4,57.6,-15.2,-16,0.8
"91","FL-04","Sparse suburban","South",32.4,65.2,-32.8,-28,-4.8
"92","FL-05","Sparse suburban","South",66.8,33.2,33.6,25.4,8.2
"93","FL-06","Sparse suburban","South",43.7,56.3,-12.6,-17,4.4
"94","FL-07","Sparse suburban","South",57.7,42.3,15.4,7.3,8.1
"95","FL-08","Sparse suburban","South",39.5,60.5,-21,-20.7,-0.3
"96","FL-09","Sparse suburban","South",58,42,16,12.9,3.1
"97","FL-10","Sparse suburban","South",100,0,100,26.9,NA
"98","FL-11","Rural-suburban mix","South",34.8,65.1,-30.3,-32.3,2
"99","FL-12","Sparse suburban","South",39.7,58.1,-18.4,-18.6,0.2
"100","FL-13","Dense suburban","South",57.6,42.4,15.3,3.2,12.1
"101","FL-14","Dense suburban","South",100,0,100,18.2,NA
"102","FL-15","Sparse suburban","South",47,53,-6,-10,4
"103","FL-16","Sparse suburban","South",45.4,54.6,-9.1,-10.8,1.7
"104","FL-17","Rural-suburban mix","South",37.7,62.3,-24.5,-27.2,2.7
"105","FL-18","Sparse suburban","South",45.7,54.3,-8.6,-9.2,0.6
"106","FL-19","Sparse suburban","South",37.7,62.3,-24.5,-22.1,-2.4
"107","FL-20","Urban-suburban mix","South",100,0,100,62.1,NA
"108","FL-21","Dense suburban","South",100,0,100,19.5,NA
"109","FL-22","Dense suburban","South",62,38,24,15.7,8.3
"110","FL-23","Urban-suburban mix","South",58.5,36,22.5,26.1,-3.6
"111","FL-24","Urban-suburban mix","South",100,0,100,67.2,NA
"112","FL-25","Urban-suburban mix","South",39.5,60.5,-20.9,-1.9,-19
"113","FL-26","Urban-suburban mix","South",50.9,49.1,1.7,16.3,-14.6
"114","FL-27","Urban-suburban mix","South",51.8,45.8,6,19.7,-13.7
"115","GA-01","Rural-suburban mix","South",42.3,57.7,-15.5,-15.5,0
"116","GA-02","Rural-suburban mix","South",59.6,40.4,19.3,11.7,7.6
"117","GA-03","Rural-suburban mix","South",34.5,65.5,-31.1,-31.6,0.5
"118","GA-04","Sparse suburban","South",78.8,21.2,57.7,53.1,4.6
"119","GA-05","Dense suburban","South",100,0,100,73.1,NA
"120","GA-06","Dense suburban","South",50.5,49.5,1,-1.5,2.5
"121","GA-07","Sparse suburban","South",49.9,50.1,-0.2,-6.4,6.2
"122","GA-08","Pure rural","South",0,99.7,-99.7,-28.9,NA
"123","GA-09","Pure rural","South",20.5,79.5,-59,-58.5,-0.5
"124","GA-10","Pure rural","South",37.1,62.9,-25.8,-25.5,-0.3
"125","GA-11","Sparse suburban","South",38.2,61.8,-23.6,-25.1,1.5
"126","GA-12","Pure rural","South",40.5,59.5,-19,-16.2,-2.8
"127","GA-13","Sparse suburban","South",76.2,23.8,52.4,44.5,7.9
"128","GA-14","Rural-suburban mix","South",23.5,76.5,-53,-52.9,-0.1
"129","HI-01","Urban-suburban mix","West",73.1,23.1,50,32.5,17.5
"130","HI-02","Rural-suburban mix","West",77.4,22.6,54.7,31.8,22.9
"131","ID-01","Rural-suburban mix","West",30.8,62.8,-32,-38.3,6.3
"132","ID-02","Rural-suburban mix","West",39.3,60.7,-21.3,-24.7,3.4
"133","IL-01","Urban-suburban mix","Midwest",73.5,19.8,53.7,53.2,0.5
"134","IL-02","Dense suburban","Midwest",81.1,18.9,62.1,58.6,3.5
"135","IL-03","Urban-suburban mix","Midwest",73,25.9,47.1,15.4,31.7
"136","IL-04","Pure urban","Midwest",86.6,13.4,73.2,68.3,4.9
"137","IL-05","Pure urban","Midwest",76.7,23.3,53.3,46,7.3
"138","IL-06","Sparse suburban","Midwest",53.6,46.4,7.2,6.8,0.4
"139","IL-07","Pure urban","Midwest",87.6,12.4,75.2,77.3,-2.1
"140","IL-08","Dense suburban","Midwest",66,34,31.9,21.6,10.3
"141","IL-09","Urban-suburban mix","Midwest",73.5,26.5,47,44.5,2.5
"142","IL-10","Sparse suburban","Midwest",65.6,34.4,31.2,28.9,2.3
"143","IL-11","Dense suburban","Midwest",63.8,36.2,27.7,23.3,4.4
"144","IL-12","Rural-suburban mix","Midwest",45.4,51.6,-6.2,-14.8,8.6
"145","IL-13","Rural-suburban mix","Midwest",49.6,50.4,-0.8,-5.3,4.5
"146","IL-14","Sparse suburban","Midwest",52.5,47.5,5,-4,9
"147","IL-15","Pure rural","Midwest",29.1,70.9,-41.9,-46.2,4.3
"148","IL-16","Rural-suburban mix","Midwest",40.9,59.1,-18.2,-17.1,-1.1
"149","IL-17","Rural-suburban mix","Midwest",62.1,37.9,24.2,-0.7,24.9
"150","IL-18","Rural-suburban mix","Midwest",32.8,67.2,-34.5,-27.3,-7.2
"151","IN-01","Sparse suburban","Midwest",65.1,34.9,30.2,12.5,17.7
"152","IN-02","Rural-suburban mix","Midwest",45.2,54.8,-9.7,-23,13.3
"153","IN-03","Rural-suburban mix","Midwest",35.3,64.7,-29.5,-34.8,5.3
"154","IN-04","Rural-suburban mix","Midwest",35.9,64.1,-28.1,-33.9,5.8
"155","IN-05","Sparse suburban","Midwest",43.2,56.8,-13.5,-11.7,-1.8
"156","IN-06","Pure rural","Midwest",32.9,63.8,-31,-40.2,9.2
"157","IN-07","Dense suburban","Midwest",64.8,35.1,29.7,22.5,7.2
"158","IN-08","Rural-suburban mix","Midwest",35.6,64.4,-28.9,-33.6,4.7
"159","IN-09","Rural-suburban mix","Midwest",43.5,56.5,-13,-26.8,13.8
"160","IA-01","Rural-suburban mix","Midwest",51,45.9,5.1,-3.5,8.6
"161","IA-02","Rural-suburban mix","Midwest",54.8,42.6,12.2,-4.1,16.3
"162","IA-03","Sparse suburban","Midwest",49.3,47.1,2.2,-3.5,5.7
"163","IA-04","Pure rural","Midwest",47,50.3,-3.3,-27.1,23.8
"164","KS-01","Pure rural","Midwest",31.9,68.1,-36.3,-44.8,8.5
"165","KS-02","Pure rural","Midwest",46.8,47.6,-0.8,-18.3,17.5
"166","KS-03","Dense suburban","Midwest",53.6,43.9,9.7,1.2,8.5
"167","KS-04","Sparse suburban","Midwest",40.6,59.4,-18.9,-27,8.1
"168","KY-01","Pure rural","South",31.4,68.6,-37.2,-48.5,11.3
"169","KY-02","Pure rural","South",31.1,66.7,-35.6,-39.9,4.3
"170","KY-03","Dense suburban","South",62.1,36.6,25.5,14.9,10.6
"171","KY-04","Rural-suburban mix","South",34.6,62.2,-27.7,-35.9,8.2
"172","KY-05","Pure rural","South",21,78.9,-57.9,-62.1,4.2
"173","KY-06","Rural-suburban mix","South",47.8,51,-3.2,-15.3,12.1
"174","LA-01","Rural-suburban mix","South",26.6,71.5,-44.9,-42.2,-2.7
"175","LA-02","Dense suburban","South",80.6,0,80.6,52.7,NA
"176","LA-03","Rural-suburban mix","South",30.4,68.4,-38,-38.1,0.1
"177","LA-04","Pure rural","South",33.6,64.2,-30.6,-24,-6.6
"178","LA-05","Pure rural","South",30,66.5,-36.6,-29.4,-7.2
"179","LA-06","Rural-suburban mix","South",28.6,69.5,-40.9,-34.1,-6.8
"180","ME-01","Rural-suburban mix","Northeast",58.8,32.5,26.3,14.8,11.5
"181","ME-02","Pure rural","Northeast",50.6,49.4,1.2,-10.3,11.5
"182","MD-01","Rural-suburban mix","South",38.1,60,-21.9,-25.1,3.2
"183","MD-02","Dense suburban","South",66,30.7,35.3,21,14.3
"184","MD-03","Dense suburban","South",69.1,28.3,40.8,30.9,9.9
"185","MD-04","Dense suburban","South",78.1,19.9,58.2,57.1,1.1
"186","MD-05","Sparse suburban","South",70.3,27.1,43.2,33.8,9.4
"187","MD-06","Sparse suburban","South",59,38,21,15.4,5.6
"188","MD-07","Urban-suburban mix","South",76.4,21.3,55.2,52.5,2.7
"189","MD-08","Dense suburban","South",68.2,30.2,37.9,33.3,4.6
"190","MA-01","Sparse suburban","Northeast",97.6,0,97.6,20.3,NA
"191","MA-02","Rural-suburban mix","Northeast",67.2,32.8,34.4,19,15.4
"192","MA-03","Sparse suburban","Northeast",62,33.5,28.5,22.5,6
"193","MA-04","Sparse suburban","Northeast",97.7,0,97.7,23.7,NA
"194","MA-05","Urban-suburban mix","Northeast",75.9,24,51.8,42.9,8.9
"195","MA-06","Sparse suburban","Northeast",65.2,31.4,33.8,17.6,16.2
"196","MA-07","Pure urban","Northeast",98.3,0,98.3,71.2,NA
"197","MA-08","Dense suburban","Northeast",98.4,0,98.4,25.6,NA
"198","MA-09","Sparse suburban","Northeast",59.4,40.6,18.8,10.6,8.2
"199","MI-01","Pure rural","Midwest",43.7,56.3,-12.6,-21.3,8.7
"200","MI-02","Rural-suburban mix","Midwest",43,55.3,-12.3,-17.3,5
"201","MI-03","Rural-suburban mix","Midwest",43.2,54.4,-11.2,-9.4,-1.8
"202","MI-04","Pure rural","Midwest",37.4,62.6,-25.2,-24.8,-0.4
"203","MI-05","Sparse suburban","Midwest",59.5,35.9,23.6,4.3,19.3
"204","MI-06","Rural-suburban mix","Midwest",45.7,50.2,-4.6,-8.4,3.8
"205","MI-07","Pure rural","Midwest",46.2,53.8,-7.6,-17,9.4
"206","MI-08","Sparse suburban","Midwest",50.6,46.8,3.8,-6.7,10.5
"207","MI-09","Dense suburban","Midwest",59.7,36.8,22.9,7.7,15.2
"208","MI-10","Rural-suburban mix","Midwest",35,60.3,-25.3,-32.2,6.9
"209","MI-11","Sparse suburban","Midwest",51.8,45.2,6.7,-4.4,11.1
"210","MI-12","Dense suburban","Midwest",68.1,28.9,39.2,26.2,13
"211","MI-13","Dense suburban","Midwest",84.2,0,84.2,60.6,NA
"212","MI-14","Dense suburban","Midwest",80.9,17.3,63.6,60.9,2.7
"213","MN-01","Rural-suburban mix","Midwest",49.7,50.1,-0.5,-14.8,14.3
"214","MN-02","Sparse suburban","Midwest",52.7,47.1,5.5,-1.2,6.7
"215","MN-03","Sparse suburban","Midwest",55.6,44.2,11.4,9.4,2
"216","MN-04","Dense suburban","Midwest",66,29.7,36.2,30.6,5.6
"217","MN-05","Urban-suburban mix","Midwest",78,21.7,56.3,54.7,1.6
"218","MN-06","Rural-suburban mix","Midwest",38.7,61.1,-22.4,-25.5,3.1
"219","MN-07","Pure rural","Midwest",52.1,47.8,4.3,-30.5,34.8
"220","MN-08","Pure rural","Midwest",45.2,50.7,-5.5,-15.5,10
"221","MS-01","Pure rural","South",32.4,66.9,-34.5,-33,-1.5
"222","MS-02","Pure rural","South",71.8,0,71.8,28.4,NA
"223","MS-03","Pure rural","South",36.7,62.3,-25.6,-24.5,-1.1
"224","MS-04","Rural-suburban mix","South",30.7,68.2,-37.5,-41.1,3.6
"225","MO-01","Dense suburban","Midwest",80.1,16.7,63.4,58,5.4
"226","MO-02","Dense suburban","Midwest",47.2,51.2,-4,-10.3,6.3
"227","MO-03","Rural-suburban mix","Midwest",32.8,65.1,-32.2,-39,6.8
"228","MO-04","Pure rural","Midwest",32.7,64.8,-32.1,-35.8,3.7
"229","MO-05","Dense suburban","Midwest",61.7,35.6,26.1,14.8,11.3
"230","MO-06","Rural-suburban mix","Midwest",32,65.4,-33.4,-32.3,-1.1
"231","MO-07","Rural-suburban mix","Midwest",30.1,66.2,-36.1,-45.5,9.4
"232","MO-08","Pure rural","Midwest",25,73.4,-48.4,-54.2,5.8
"233","MT-AL","Pure rural","West",46.2,50.9,-4.6,-20.4,15.8
"234","NE-01","Rural-suburban mix","Midwest",39.6,60.4,-20.7,-20.7,0
"235","NE-02","Dense suburban","Midwest",49,51,-2,-2.2,0.2
"236","NE-03","Pure rural","Midwest",23.3,76.7,-53.4,-54.2,0.8
"237","NV-01","Urban-suburban mix","West",66.2,30.9,35.3,29,6.3
"238","NV-02","Rural-suburban mix","West",41.8,58.2,-16.5,-12.4,-4.1
"239","NV-03","Urban-suburban mix","West",51.9,42.8,9.1,-1,10.1
"240","NV-04","Urban-suburban mix","West",51.9,43.7,8.2,4.9,3.3
"241","NH-01","Rural-suburban mix","Northeast",53.6,45,8.5,-1.6,10.1
"242","NH-02","Pure rural","Northeast",55.3,42.5,12.8,2.4,10.4
"243","NJ-01","Dense suburban","Northeast",64.4,33.3,31.1,24.5,6.6
"244","NJ-02","Rural-suburban mix","Northeast",52.9,45.2,7.7,-4.6,12.3
"245","NJ-03","Sparse suburban","Northeast",50,48.7,1.3,-6.2,7.5
"246","NJ-04","Sparse suburban","Northeast",43.1,55.4,-12.3,-14.8,2.5
"247","NJ-05","Dense suburban","Northeast",56.2,42.5,13.7,-1.1,14.8
"248","NJ-06","Dense suburban","Northeast",63.6,36.4,27.3,15.6,11.7
"249","NJ-07","Sparse suburban","Northeast",51.7,46.7,5,1.1,3.9
"250","NJ-08","Pure urban","Northeast",78.1,18.7,59.4,54.2,5.2
"251","NJ-09","Pure urban","Northeast",70.3,28.9,41.4,31.2,10.2
"252","NJ-10","Pure urban","Northeast",87.6,10.1,77.5,72.4,5.1
"253","NJ-11","Sparse suburban","Northeast",56.8,42.1,14.6,-0.9,15.5
"254","NJ-12","Dense suburban","Northeast",68.7,31.3,37.4,33.2,4.2
"255","NM-01","Dense suburban","West",59.1,36.3,22.8,16.5,6.3
"256","NM-02","Rural-suburban mix","West",50.9,49.1,1.9,-10.2,12.1
"257","NM-03","Pure rural","West",63.4,31.2,32.2,15.2,17
"258","NY-01","Sparse suburban","Northeast",47.4,51.5,-4.1,-12.2,8.1
"259","NY-02","Dense suburban","Northeast",46.9,53.1,-6.2,-8.9,2.7
"260","NY-03","Dense suburban","Northeast",59,41,18,6.1,11.9
"261","NY-04","Urban-suburban mix","Northeast",61.3,38.7,22.7,9.5,13.2
"262","NY-05","Pure urban","Northeast",100,0,100,72.8,NA
"263","NY-06","Pure urban","Northeast",90.9,0,90.9,32.8,NA
"264","NY-07","Pure urban","Northeast",93.4,0,93.4,76.1,NA
"265","NY-08","Pure urban","Northeast",94.2,0,94.2,70.8,NA
"266","NY-09","Pure urban","Northeast",89.3,10.3,79,68.6,10.4
"267","NY-10","Pure urban","Northeast",82.1,17.9,64.3,58.9,5.4
"268","NY-11","Pure urban","Northeast",53,46.6,6.4,-9.8,16.2
"269","NY-12","Pure urban","Northeast",86.4,12.1,74.3,69,5.3
"270","NY-13","Pure urban","Northeast",94.6,5.4,89.2,86.4,2.8
"271","NY-14","Pure urban","Northeast",78.2,13.6,64.6,57.6,7
"272","NY-15","Pure urban","Northeast",96,4,92,88.6,3.4
"273","NY-16","Pure urban","Northeast",100,0,100,52.2,NA
"274","NY-17","Sparse suburban","Northeast",88,0,88,20,NA
"275","NY-18","Rural-suburban mix","Northeast",55.5,44.5,10.9,-2,12.9
"276","NY-19","Pure rural","Northeast",51.4,46.2,5.2,-6.8,12
"277","NY-20","Sparse suburban","Northeast",66.5,33.5,33,13.3,19.7
"278","NY-21","Pure rural","Northeast",42.4,56.1,-13.7,-13.7,0
"279","NY-22","Rural-suburban mix","Northeast",50.9,49.1,1.8,-15.3,17.1
"280","NY-23","Pure rural","Northeast",45.8,54.2,-8.5,-14.7,6.2
"281","NY-24","Rural-suburban mix","Northeast",47.4,52.6,-5.3,3.6,-8.9
"282","NY-25","Sparse suburban","Northeast",59,41,18,16.2,1.8
"283","NY-26","Urban-suburban mix","Northeast",73.3,26.7,46.7,19.6,27.1
"284","NY-27","Pure rural","Northeast",48.8,49.1,-0.4,-24.3,23.9
"285","NC-01","Rural-suburban mix","South",69.8,30.2,39.7,37.4,2.3
"286","NC-02","Rural-suburban mix","South",45.8,51.3,-5.5,-11.5,6
"287","NC-03","Pure rural","South",0,100,-100,-24,NA
"288","NC-04","Sparse suburban","South",72.4,24,48.3,40.3,8
"289","NC-05","Rural-suburban mix","South",43,57,-14.1,-17.3,3.2
"290","NC-06","Rural-suburban mix","South",43.5,56.5,-13,-14.6,1.6
"291","NC-07","Pure rural","South",42.8,55.5,-12.7,-17.7,5
"292","NC-08","Pure rural","South",44.7,55.3,-10.7,-14.8,4.1
"293","NC-09","Sparse suburban","South",48.9,49.3,-0.3,-12,11.7
"294","NC-10","Rural-suburban mix","South",40.7,59.3,-18.6,-24,5.4
"295","NC-11","Pure rural","South",38.7,59.2,-20.5,-29.1,8.6
"296","NC-12","Sparse suburban","South",73.1,26.9,46.1,39.8,6.3
"297","NC-13","Rural-suburban mix","South",45.5,51.5,-6,-9.2,3.2
"298","ND-AL","Rural-suburban mix","Midwest",35.6,60.2,-24.6,-35.7,11.1
"299","OH-01","Sparse suburban","Midwest",46.9,51.3,-4.4,-6.6,2.2
"300","OH-02","Rural-suburban mix","Midwest",41.2,57.6,-16.4,-16,-0.4
"301","OH-03","Dense suburban","Midwest",73.6,26.4,47.2,38.9,8.3
"302","OH-04","Rural-suburban mix","Midwest",34.7,65.3,-30.5,-33.4,2.9
"303","OH-05","Rural-suburban mix","Midwest",35.1,62.3,-27.1,-24.9,-2.2
"304","OH-06","Pure rural","Midwest",30.7,69.3,-38.5,-42.3,3.8
"305","OH-07","Rural-suburban mix","Midwest",41.3,58.7,-17.5,-29.6,12.1
"306","OH-08","Rural-suburban mix","Midwest",33.4,66.6,-33.2,-34.3,1.1
"307","OH-09","Dense suburban","Midwest",67.8,32.2,35.6,22.2,13.4
"308","OH-10","Sparse suburban","Midwest",42.2,55.9,-13.8,-7.2,-6.6
"309","OH-11","Urban-suburban mix","Midwest",82.2,17.7,64.5,63.5,1
"310","OH-12","Sparse suburban","Midwest",47.2,51.4,-4.2,-11.4,7.2
"311","OH-13","Sparse suburban","Midwest",61,39,22,6.5,15.5
"312","OH-14","Sparse suburban","Midwest",44.8,55.2,-10.5,-11.4,0.9
"313","OH-15","Rural-suburban mix","Midwest",39.7,58.3,-18.6,-15.6,-3
"314","OH-16","Sparse suburban","Midwest",43.3,56.7,-13.5,-16.6,3.1
"315","OK-01","Sparse suburban","South",40.7,59.3,-18.6,-28.8,10.2
"316","OK-02","Pure rural","South",30.1,65,-34.9,-50.1,15.2
"317","OK-03","Pure rural","South",26.1,73.9,-47.7,-52.8,5.1
"318","OK-04","Rural-suburban mix","South",33,63.1,-30.1,-37.2,7.1
"319","OK-05","Dense suburban","South",50.7,49.3,1.4,-13.7,15.1
"320","OR-01","Dense suburban","West",63.6,32.1,31.6,21.9,9.7
"321","OR-02","Rural-suburban mix","West",39.4,56.3,-16.9,-19.4,2.5
"322","OR-03","Urban-suburban mix","West",72.6,19.8,52.8,46.7,6.1
"323","OR-04","Rural-suburban mix","West",56,40.9,15.1,0.1,15
"324","OR-05","Dense suburban","West",55,41.8,13.2,4.1,9.1
"325","PA-01","Sparse suburban","Northeast",48.7,51.3,-2.5,2,-4.5
"326","PA-02","Pure urban","Northeast",79,21,58,48,10
"327","PA-03","Pure urban","Northeast",93.4,6.6,86.8,83.9,2.9
"328","PA-04","Sparse suburban","Northeast",63.5,36.5,27,19.4,7.6
"329","PA-05","Urban-suburban mix","Northeast",65.2,34.8,30.4,28.2,2.2
"330","PA-06","Sparse suburban","Northeast",58.9,41.1,17.8,9.3,8.5
"331","PA-07","Sparse suburban","Northeast",53.5,43.5,10,1.1,8.9
"332","PA-08","Rural-suburban mix","Northeast",54.6,45.4,9.3,-9.5,18.8
"333","PA-09","Pure rural","Northeast",40.3,59.7,-19.5,-34,14.5
"334","PA-10","Sparse suburban","Northeast",48.7,51.3,-2.6,-8.9,6.3
"335","PA-11","Sparse suburban","Northeast",41,59,-18,-25.8,7.8
"336","PA-12","Pure rural","Northeast",34,66,-32.1,-36.5,4.4
"337","PA-13","Pure rural","Northeast",29.5,70.5,-41,-45.5,4.5
"338","PA-14","Rural-suburban mix","Northeast",42.1,57.9,-15.8,-29,13.2
"339","PA-15","Pure rural","Northeast",32.2,67.8,-35.7,-43.4,7.7
"340","PA-16","Rural-suburban mix","Northeast",47.3,51.6,-4.3,-19.9,15.6
"341","PA-17","Sparse suburban","Northeast",56.3,43.7,12.5,-2.5,15
"342","PA-18","Urban-suburban mix","Northeast",100,0,100,26.8,NA
"343","RI-01","Urban-suburban mix","Northeast",66.7,33.1,33.6,24.9,8.7
"344","RI-02","Sparse suburban","Northeast",63.5,36.3,27.2,6.8,20.4
"345","SC-01","Sparse suburban","South",50.6,49.2,1.4,-12.7,14.1
"346","SC-02","Rural-suburban mix","South",42.5,56.3,-13.8,-18.6,4.8
"347","SC-03","Pure rural","South",31,67.8,-36.8,-38,1.2
"348","SC-04","Sparse suburban","South",36.6,59.6,-23,-25.6,2.6
"349","SC-05","Pure rural","South",41.5,57,-15.5,-18.5,3
"350","SC-06","Pure rural","South",70.1,28.2,41.9,37.4,4.5
"351","SC-07","Rural-suburban mix","South",40.3,59.6,-19.3,-18.7,-0.6
"352","SD-AL","Pure rural","Midwest",36,60.3,-24.3,-29.8,5.5
"353","TN-01","Rural-suburban mix","South",21,77.1,-56,-56.8,0.8
"354","TN-02","Rural-suburban mix","South",33.1,65.9,-32.9,-35.2,2.3
"355","TN-03","Rural-suburban mix","South",34.5,63.7,-29.2,-35,5.8
