"","pm_name","country_name","party_name_english","left_right","stint_start","stint_end","median_x","vert_min","vert_max","median_y","size"
"66","Valls","France","Socialist Party","3",2014-03-31,2016-12-06,2015-08-03,665,746.8,705,80245
"67","Cazeneuve","France","Socialist Party","3",2016-12-06,2017-06-14,2017-03-11,665,746.8,705,15541
"68","Philippe","France","Union for a Popular Movement | The Republicans","7",2017-06-14,2019-07-19,2018-07-01,665,746.8,705,62576
"69","Schroeder","Germany","Social Democratic Party of Germany","3",2000-01-01,2005-11-22,2002-12-12,574.1,665,619.1,195616
"70","Merkel","Germany","Christian Democratic Union / Christian Social Union","6",2005-11-22,2019-07-19,2012-09-19,574.1,665,619.1,453318
"71","Simitis","Greece","Panhellenic Socialist Movement","4",2000-01-01,2004-03-10,2002-02-04,481.6,514.4,497.6,50184
"72","Karamanlis Kos","Greece","New Democracy","6",2004-03-10,2009-10-06,2006-12-23,481.6,514.4,497.6,66780
"73","Papandreou G","Greece","Panhellenic Socialist Movement","4",2009-10-06,2011-11-11,2010-10-24,481.6,514.4,497.6,25124
"74","Papademos","Greece","no party affiliation",NA,2011-11-11,2012-05-16,2012-02-12,481.6,514.4,497.6,6133
"75","Pikramenos","Greece","no party affiliation",NA,2012-05-16,2012-06-20,2012-06-02,481.6,514.4,497.6,1148
"76","Samaras","Greece","New Democracy","6",2012-06-20,2015-01-27,2013-10-08,481.6,514.4,497.6,31192
"77","Tsipras","Greece","Coalition of the Radical Left","2",2015-01-27,2019-07-19,2017-04-23,481.6,514.4,497.6,53595
"78","Orban","Hungary","Fidesz -- Hungarian Civic Union","6",2000-01-01,2002-05-27,2001-03-14,174.6,205.9,189.6,27450
"79","Medgyessy","Hungary","Hungarian Socialist Party","2",2002-05-27,2004-09-29,2003-07-29,174.6,205.9,189.6,26792
"80","Gyurcsany","Hungary","Hungarian Socialist Party","2",2004-09-29,2009-04-14,2007-01-06,174.6,205.9,189.6,51895
"81","Bajnai","Hungary","no party affiliation",NA,2009-04-14,2010-05-29,2009-11-05,174.6,205.9,189.6,12833
"82","Orban","Hungary","Fidesz -- Hungarian Civic Union","6",2010-05-29,2019-07-19,2014-12-23,174.6,205.9,189.6,104479
"83","Ahern","Ireland","Fianna Fail","6",2000-01-01,2008-05-07,2004-03-04,969.9,991.7,979.9,66468
"84","Cowen","Ireland","Fianna Fail","6",2008-05-07,2011-03-09,2009-10-07,969.9,991.7,979.9,22584
"85","Kenny","Ireland","Fine Gael (Familiy of the Irish)","6",2011-03-09,2017-06-14,2014-04-26,969.9,991.7,979.9,49900
"86","Varadkar","Ireland","Fine Gael (Familiy of the Irish)","6",2017-06-14,2019-07-19,2018-07-01,969.9,991.7,979.9,16677
"87","D'Alema","Italy","Democrats of the Left","2",2000-01-01,2000-04-28,2000-02-29,403.8,481.6,441.8,9180
"88","Amato","Italy","Prime minister",NA,2000-04-28,2001-06-11,2000-11-18,403.8,481.6,441.8,31820
"89","Berlusconi","Italy","Go Italy -- The People of Freedom","7",2001-06-11,2006-05-17,2003-11-28,403.8,481.6,441.8,140117
"90","Prodi","Italy","Centre Left","3",2006-05-17,2008-05-08,2007-05-13,403.8,481.6,441.8,56171
"91","Berlusconi","Italy","Go Italy -- The People of Freedom","7",2008-05-08,2011-11-16,2010-02-10,403.8,481.6,441.8,100128
"92","Monti","Italy","Prime minister",NA,2011-11-16,2013-04-27,2012-08-06,403.8,481.6,441.8,41078
"93","Letta","Italy","Democratic Party","2",2013-04-27,2014-02-22,2013-09-24,403.8,481.6,441.8,23417
"94","Renzi","Italy","Democratic Party","2",2014-02-22,2016-12-12,2015-07-19,403.8,481.6,441.8,79667
"95","Gentiloni","Italy","Democratic Party","2",2016-12-12,2018-06-01,2017-09-06,403.8,481.6,441.8,41700
"96","Conte","Italy","no party affiliation",NA,2018-06-01,2019-07-19,2018-12-24,403.8,481.6,441.8,32131
"97","Skele","Latvia","People's Party","7",2000-01-01,2000-05-04,2000-03-03,160.6,174.6,167.6,1736
"98","Berzins","Latvia","Latvian Way","6",2000-05-04,2002-11-07,2001-08-05,160.6,174.6,167.6,12838
"99","Repse","Latvia","New Era","7",2002-11-07,2004-03-09,2003-07-09,160.6,174.6,167.6,6832
"100","Emsis","Latvia","Green and Farmers' Union","5",2004-03-09,2004-12-02,2004-07-21,160.6,174.6,167.6,3752
"101","Kalvitis","Latvia","People's Party","7",2004-12-02,2007-12-20,2006-06-11,160.6,174.6,167.6,15582
"102","Godmanis","Latvia","Latvian First Party / Latvian Way Party","7",2007-12-20,2009-02-26,2008-07-24,160.6,174.6,167.6,6076
"103","Dombrovskis","Latvia","New Era","7",2009-02-26,2014-01-22,2011-08-10,160.6,174.6,167.6,25074
"104","Straujuma","Latvia","Unity","7",2014-01-22,2016-02-11,2015-02-01,160.6,174.6,167.6,10500
"105","Kucinskis","Latvia","Green and Farmers' Union","5",2016-02-11,2019-01-23,2017-08-02,160.6,174.6,167.6,15078
"106","Karins","Latvia","Unity","7",2019-01-23,2019-07-19,2019-04-21,160.6,174.6,167.6,2478
"107","Kubilius","Lithuania","Homeland Union","7",2000-01-01,2000-10-26,2000-05-29,143.7,160.6,151.7,5053
"108","Paksas","Lithuania","Liberal Union of Lithuania","6",2000-10-26,2001-07-03,2001-02-28,143.7,160.6,151.7,4224
"109","Brazauskas","Lithuania","Lithuanian Social Democratic Party","3",2001-07-03,2006-07-04,2004-01-02,143.7,160.6,151.7,30876
"110","Kirkilas","Lithuania","Lithuanian Social Democratic Party","3",2006-07-04,2008-11-27,2007-09-15,143.7,160.6,151.7,14821
"111","Kubilius","Lithuania","Homeland Union","7",2008-11-27,2012-11-22,2010-11-25,143.7,160.6,151.7,24606
"112","Butkevicius","Lithuania","Lithuanian Social Democratic Party","3",2012-11-22,2016-11-22,2014-11-22,143.7,160.6,151.7,24690
"113","Skvernelis","Lithuania","Lithuanian Peasant Union","3",2016-11-22,2019-07-19,2018-03-21,143.7,160.6,151.7,16376
"114","Juncker","Luxembourg","Christian Social People's Party","6",2000-01-01,2013-12-04,2006-12-18,566.5,574.1,569.5,38653
"115","Bettel","Luxembourg","Democratic Party","6",2013-12-04,2019-07-19,2016-09-25,566.5,574.1,569.5,15602
"116","Fenech Adami","Malta","Nationalist Party","5",2000-01-01,2004-03-23,2002-02-10,397.2,403.8,400.2,10183
"117","Gonzi","Malta","Nationalist Party","5",2004-03-23,2013-03-11,2008-09-15,397.2,403.8,400.2,21615
"118","Muscat","Malta","Malta Labour Party","4",2013-03-11,2019-07-19,2016-05-14,397.2,403.8,400.2,15318
"119","Kok","Netherlands","Labour Party","3",2000-01-01,2002-07-22,2001-04-11,525.2,566.5,545.2,38532
"120","Balkenende","Netherlands","Christian Democratic Appeal","5",2002-07-22,2010-10-14,2006-09-02,525.2,566.5,545.2,124147
"121","Rutte","Netherlands","People's Party for Freedom and Democracy","7",2010-10-14,2019-07-19,2015-03-02,525.2,566.5,545.2,132160
"122","Buzek","Poland","Solidarity Electoral Action","7",2000-01-01,2001-10-19,2000-11-24,82.1,143.7,112.1,40471
"123","Miller","Poland","Democratic Left Alliance","2",2001-10-19,2004-05-02,2003-01-25,82.1,143.7,112.1,57041
"124","Belka","Poland","Democratic Left Alliance","2",2004-05-02,2005-10-31,2005-01-30,82.1,143.7,112.1,33695
"125","Marcinkiewicz","Poland","Law and Justice","7",2005-10-31,2006-07-14,2006-03-08,82.1,143.7,112.1,15769
"126","Kaczynski","Poland","Law and Justice","7",2006-07-14,2007-11-16,2007-03-16,82.1,143.7,112.1,30184
"127","Tusk","Poland","Civic Platform","6",2007-11-16,2014-09-22,2011-04-20,82.1,143.7,112.1,154123
"128","Kopacz","Poland","Civic Platform","6",2014-09-22,2015-11-16,2015-04-20,82.1,143.7,112.1,25872
"129","Szydlo","Poland","Law and Justice","7",2015-11-16,2017-12-11,2016-11-28,82.1,143.7,112.1,46569
"130","Morawiecki","Poland","Law and Justice","7",2017-12-11,2019-07-19,2018-09-29,82.1,143.7,112.1,36036
"131","Guterres","Portugal","Socialist Party","4",2000-01-01,2002-04-06,2001-02-17,365.1,397.2,381.1,26514
"132","Barroso","Portugal","Social Democratic Party","6",2002-04-06,2004-07-23,2003-05-30,365.1,397.2,381.1,26931
"133","Santana Lopes","Portugal","Social Democratic Party","6",2004-07-23,2005-03-12,2004-11-16,365.1,397.2,381.1,7447
"134","Socrates","Portugal","Socialist Party","4",2005-03-12,2011-06-15,2008-04-28,365.1,397.2,381.1,73380
"135","Passos Coelho","Portugal","Social Democratic Party","6",2011-06-15,2015-11-26,2013-09-04,365.1,397.2,381.1,52162
"136","Costa","Portugal","Socialist Party","4",2015-11-26,2019-07-19,2017-09-21,365.1,397.2,381.1,42725
"137","Isarescu","Romania","no party affiliation",NA,2000-01-01,2000-12-20,2000-06-26,37.7,82.1,59.7,15717
"138","Nastase","Romania","Social Democratic Party","3",2000-12-20,2004-12-29,2002-12-25,37.7,82.1,59.7,65267
"139","Popescu-Tariceanu","Romania","National Liberal Party","6",2004-12-29,2008-12-22,2006-12-26,37.7,82.1,59.7,64557
"140","Boc","Romania","Democratic Liberal Party","5",2008-12-22,2012-02-09,2010-07-17,37.7,82.1,59.7,50793
"141","Ungureanu","Romania","Democratic Liberal Party","5",2012-02-09,2012-05-07,2012-03-24,37.7,82.1,59.7,3907
"142","Ponta","Romania","Social Democratic Party","3",2012-05-07,2015-11-10,2014-02-07,37.7,82.1,59.7,56920
"143","Ciolos","Romania","no party affiliation",NA,2015-11-10,2017-01-04,2016-06-07,37.7,82.1,59.7,18692
"144","Grindeanu","Romania","Social Democratic Party","3",2017-01-04,2017-06-29,2017-04-02,37.7,82.1,59.7,7814
"145","Tudose","Romania","Social Democratic Party","3",2017-06-29,2018-01-29,2017-10-14,37.7,82.1,59.7,9501
"146","Dancila","Romania","Social Democratic Party","3",2018-01-29,2019-07-19,2018-10-24,37.7,82.1,59.7,23798
"147","Dzurinda","Slovakia","Slovak Democratic Coalition","7",2000-01-01,2006-07-04,2003-04-03,14.4000000000001,37.7,25.4000000000001,55360
"148","Fico","Slovakia","Direction -- Social Democracy","3",2006-07-04,2010-07-08,2008-07-05,14.4000000000001,37.7,25.4000000000001,34134
"149","Radicova","Slovakia","Slovak Democratic and Christian Union -- Democratic Party","7",2010-07-08,2012-04-04,2011-05-22,14.4000000000001,37.7,25.4000000000001,14818
"150","Fico","Slovakia","Direction -- Social Democracy","3",2012-04-04,2018-03-22,2015-03-29,14.4000000000001,37.7,25.4000000000001,50747
"151","Pellegrini","Slovakia","Direction -- Social Democracy","3",2018-03-22,2019-07-19,2018-11-19,14.4000000000001,37.7,25.4000000000001,11277
"152","Drnovsek","Slovenia","Liberal Democracy of Slovenia","3",2000-01-01,2000-06-07,2000-03-20,0,14.4000000000001,7,2275
"153","Bajuk","Slovenia","Slovenian People's Party","6",2000-06-07,2000-11-30,2000-09-03,0,14.4000000000001,7,2534
"154","Drnovsek","Slovenia","Liberal Democracy of Slovenia","3",2000-11-30,2002-12-19,2001-12-09,0,14.4000000000001,7,10785
"155","Rop","Slovenia","Liberal Democracy of Slovenia","3",2002-12-19,2004-12-03,2003-12-11,0,14.4000000000001,7,10296
"156","Jansa","Slovenia","Slovenian Democratic Party","6",2004-12-03,2008-11-21,2006-11-27,0,14.4000000000001,7,20865
"157","Pahor","Slovenia","United List -- Social Democrats","3",2008-11-21,2012-01-28,2010-06-25,0,14.4000000000001,7,16747
"158","Jansa","Slovenia","Slovenian Democratic Party","6",2012-01-28,2013-03-20,2012-08-23,0,14.4000000000001,7,6004
"159","Bratusek","Slovenia","Zoran Jankovic's List -- Positive Slovenia","3",2013-03-20,2014-08-25,2013-12-06,0,14.4000000000001,7,7531
"160","Cerar","Slovenia","Party of Miro Cerar","3",2014-08-25,2018-08-17,2016-08-20,0,14.4000000000001,7,20923
"161","Sarec","Slovenia","List of Marjan Sarec","3",2018-08-17,2019-07-19,2019-02-01,0,14.4000000000001,7,4838
"162","Aznar","Spain","People's Alliance-Party","7",2000-01-01,2004-04-17,2002-02-23,297,365.1,331,106780
"163","Zapatero","Spain","Spanish Socialist Workers Party","3",2004-04-17,2011-12-21,2008-02-18,297,365.1,331,190952
"164","Rajoy","Spain","People's Alliance-Party","7",2011-12-21,2018-06-02,2015-03-12,297,365.1,331,160375
"165","Sanchez","Spain","Spanish Socialist Workers Party","3",2018-06-02,2019-07-19,2018-12-25,297,365.1,331,28057
"166","Persson","Sweden","Social Democrats","3",2000-01-01,2006-10-05,2003-05-19,810.1,841.6,825.1,77773
"167","Reinfeldt","Sweden","Moderate Party","7",2006-10-05,2014-10-02,2010-10-03,810.1,841.6,825.1,91948
"168","Lofven","Sweden","Social Democrats","3",2014-10-02,2019-07-19,2017-02-23,810.1,841.6,825.1,55156
"169","Blair","United Kingdom","Labour","4",2000-01-01,2007-06-27,2003-09-29,888.9,969.9,928.9,221454
"170","Brown","United Kingdom","Labour","4",2007-06-27,2010-05-11,2008-12-02,888.9,969.9,928.9,84969
"171","Cameron","United Kingdom","Conservatives","7",2010-05-11,2016-07-13,2013-06-11,888.9,969.9,928.9,182655
"172","May","United Kingdom","Conservatives","7",2016-07-13,2019-07-19,2018-01-14,888.9,969.9,928.9,89181
