colorVal,blockHeight,blockWidth,cycMaterial,blockMaterial,totalWeight,assemblyPW,HstW,minHW,minWD,rfBlock
-1135,182600,521500,2,0,1039,612,338900,130450,423289,34781
-888,160300,456700,2,0,829,401,296400,114629,358489,25859
-1019,218100,333800,2,0,911,546,115700,184720,235589,23121
-223,66500,343200,2,0,282,52,276700,32180,244989,7331
-2067,95800,394000,0,3,925,4208,298200,56400,223823,19298
-729,164800,328200,2,0,681,307,163400,131980,229989,17056
-579,107200,487700,2,0,581,194,380500,58430,389489,18788
-659,101600,383600,3,0,506,257,282000,63240,262681,12009
-334,91100,317700,2,0,368,91,226600,59330,219489,8997
-340,91100,324600,2,0,373,93,233500,58640,226389,9280
-554,78100,482900,0,0,628,178,404799,29810,312723,10990
-455,63300,515100,0,0,538,133,451800,11790,344923,9825
-377,75700,500100,2,0,418,99,424400,25690,401889,13690
-375,69600,562700,2,0,419,98,493100,13330,464489,14547
-453,88500,486000,2,0,478,131,397500,39900,387789,15443
-834,115800,453400,0,0,884,345,337600,70460,283223,14758
-934,195700,352900,2,0,847,461,157200,160410,254689,22429
-334,88900,331300,2,0,369,90,242399,55770,233089,9324
-369,74800,496200,2,0,410,96,421400,25179,397989,13396
-290,65400,469099,2,0,344,69,403700,18490,370889,10915
-354,74900,472500,2,0,396,91,397600,27650,374289,12615
-497,115300,354700,2,0,501,160,239400,79830,256489,13307
-490,91400,507700,2,0,510,148,416300,40630,409489,16842
-329,67800,509000,2,0,379,81,441200,16900,410789,12533
-729,85300,439300,1,0,733,274,354000,41369,294711,11312
-1794,171300,525300,1,0,1649,1332,354000,118770,380711,29347
-151,32000,347600,1,0,239,31,315599,-2760,203011,2923
-1162,227900,379000,2,0,1035,667,151100,190000,280789,28796
-3935,163200,432800,1,3,1839,11733,269600,119920,288211,42332
-1013,122899,378800,1,0,967,502,255900,85020,234211,12953
-509,112300,383200,2,0,514,163,270900,73980,284989,14401
-825,101500,523800,0,0,875,354,422299,49120,353623,16151
-997,111199,6.00E+05,3,0,794,480,488800,51200,479081,23973
-320,73300,313600,0,0,414,67,240300,41940,143423,4730
-680,120800,497700,2,0,664,252,376900,71030,399489,21716
-422,93100,411300,2,0,447,120,318200,51970,313089,13116
-785,117200,420000,0,0,839,303,302800,75200,249823,13175
-542,118500,381100,2,0,540,181,262600,80390,282889,15085
-563,104800,342800,0,0,636,162,238000,70520,172623,8140
-489,108500,385900,2,0,499,153,277400,69910,287689,14046
-1283,146500,268630,2,1,1059,1142,122130,119636,170419,15629
-680,90300,495800,0,0,743,251,405500,40720,325623,13231
-78,32000,488000,2,0,173,17,455999,-16800,389789,5612
-450,93000,446400,2,0,473,131,353400,48360,348189,14571
-514,110700,397900,2,0,519,165,287200,70910,299689,14929
-449,103500,373300,2,0,465,135,269800,66170,275089,12812
-548,93300,385700,0,0,623,162,292400,54730,215523,9048
-661,106300,396500,0,0,726,222,290200,66650,226323,10826
-641,118500,475700,2,0,631,230,357200,70930,377489,20129
-503,93000,510600,2,0,521,154,417600,41940,412389,17258
-570,67600,586800,0,0,643,198,519200,8919,416623,12673
-257,51400,596000,2,0,323,58,544600,-8201,497789,11513
-394,89000,407600,2,0,424,109,318600,48240,309389,12391
-450,94000,439200,2,0,472,132,345200,50080,340989,14423
-586,88200,440800,0,0,657,189,352600,44120,270623,10741
-503,109600,393100,2,0,510,159,283500,70290,294889,14543
-437,102100,274600,0,0,521,102,172500,74640,104423,4797
-590,123600,291900,0,0,661,167,168299,94410,121723,6770
-622,81900,509799,0,0,690,218,427900,30920,339623,12516
-482,1.00E+05,432800,2,0,497,147,332800,56720,334589,15056
-3687,218100,303000,0,3,1664,11969,84900,187800,132823,26071
-2394,223200,530600,1,0,2162,2288,307400,170140,386011,38770
-773,97300,515900,0,0,828,316,418600,45710,345723,15137
-1029,162100,376800,0,0,1062,467,214700,124420,206623,15072
-619,97400,377400,3,0,479,234,280000,59660,256481,11241
-1561,145800,553500,1,0,1452,1025,407700,90450,408911,26828
-543,67400,433600,1,0,574,169,366200,24040,289011,8765
-894,156500,270800,3,0,604,497,114300,129420,149881,10555
-1037,201900,288000,0,0,1069,435,86100,173100,117823,10704
-705,94300,488000,0,0,766,265,393700,45500,317823,13486
-208,67800,306800,2,0,268,49,239000,37120,208589,6364
-325,76100,418000,2,0,369,82,341900,34300,319789,10951
-693,98300,456900,0,0,755,252,358600,52610,286723,12683
-652,112400,526300,2,0,644,234,413900,59770,428089,21652
-855,141800,524500,2,0,811,372,382700,89350,426289,27201
-642,111400,524000,2,0,636,229,412600,59000,425789,21344
-317,74700,418800,2,0,363,79,344099,32820,320589,10776
-435,67300,442800,3,0,375,127,375500,23020,321881,9748
-310,71100,443200,2,0,359,76,372100,26780,344989,11037
-329,68900,497200,2,0,378,82,428300,19180,398989,12370
-380,62100,427500,3,0,336,105,365400,19350,306581,8567
-371,73800,510300,2,0,413,97,436500,22770,412089,13685
-610,85500,476000,0,0,680,207,390500,37900,305823,11766
-406,94400,382700,2,0,431,115,288300,56130,284489,12085
-310,68300,472200,2,0,361,75,403900,21080,373989,11494
-1034,79400,380400,2,3,493,1014,301000,41360,282189,20165
-700,96300,472900,0,0,761,259,376599,49010,302723,13118
-367,70400,541100,2,0,412,95,470700,16290,442889,14030
-337,67300,528200,2,0,386,84,460900,14480,429989,13022
-286,67300,441599,2,0,339,68,374300,23140,343389,10399
-856,128400,374600,3,0,628,404,246200,90940,253681,14657
-350,80800,414099,2,0,390,91,333300,39390,315889,11485
-576,87600,437299,0,0,648,183,349700,43869,267123,10530
-653,165900,272500,2,0,611,273,106600,138650,174289,13011
-219,35900,550000,0,0,323,49,514099,-19100,379823,6136
-325,76200,417299,2,0,369,82,341100,34470,319089,10941
-1200,79000,443700,2,3,555,1378,364700,34630,345489,24564
-49,38900,268630,2,0,142,14,229730,12036,170419,2983
-2664,157200,545800,2,1,2133,5405,388600,102620,447589,44046
-856,64400,403400,2,2,653,769,339000,24060,305189,27024
-344,67700,534400,2,0,392,86,466700,14260,436189,13288
-520,65700,557200,0,0,597,168,491500,9980,387023,11442
-766,125800,545200,2,0,740,308,419400,71280,446989,25304
-286,59300,537400,2,0,345,67,478100,5559,439189,11719
-291,66100,464300,2,0,345,69,398200,19670,366089,10889
-1334,198700,571200,2,0,1211,818,372500,141580,472989,42292
-591,96100,589400,2,0,600,200,493300,37160,491189,21241
-346,65600,564000,2,0,396,87,498400,9199,465789,13750
-320,70300,466500,2,0,369,79,396200,23650,368289,11650
-342,69200,514500,2,0,390,86,445300,17750,416289,12963
-393,65500,433200,0,0,481,100,367700,22180,263023,7752
-503,129300,293600,2,0,498,174,164300,99940,195389,11368
-316,62600,550100,2,0,371,77,487500,7589,451889,12729
-280,64200,466599,2,0,337,66,402400,17540,368389,10642
-256,61800,450100,2,0,316,58,388300,16790,351889,9786
-307,60800,557200,2,0,363,74,496400,5080,458989,12557
-606,83100,489000,0,0,676,206,405900,34200,318823,11922
-269,58800,512200,2,0,330,62,453400,7580,413989,10954
-302,69600,445600,2,0,353,73,376000,25040,347389,10880
-443,60400,531000,0,0,527,129,470600,7300,360823,9807
-297,63500,504400,2,0,352,71,440900,13060,406189,11606
-272,63500,459799,2,0,329,63,396300,17520,361589,10332
-281,59300,528800,2,0,341,65,469500,6419,430589,11490
-288,56600,579800,2,0,349,67,523200,-1381,481589,12266
-287,77200,352900,2,0,334,71,275700,41910,254689,8847
-302,62900,520700,2,0,357,72,457800,10830,422489,11958
-414,57300,532000,0,0,501,116,474700,4100,361823,9329
-312,68000,477900,2,0,363,76,409900,20210,379689,11618
-1196,227900,395600,2,0,1066,696,167700,188340,297389,30498
-214,53099,478900,2,0,284,46,425800,5209,380689,9096
-245,59100,461300,2,0,307,55,402200,12970,363089,9656
-282,63099,481400,2,0,338,66,418300,14960,383189,10880
-315,65900,507500,2,0,367,77,441599,15149,409289,12137
-268,60500,487200,2,0,327,61,426700,11780,388989,10590
-966,158100,522299,2,0,901,460,364200,105870,424089,30171
-270,60199,496000,2,0,330,62,435800,10600,397789,10776
-315,66600,499600,2,0,367,77,433000,16640,401389,12029
-248,57699,485200,2,0,311,55,427500,9179,386989,10048
-502,58900,491500,1,0,543,146,432600,9750,346911,9194
-316,62699,548300,2,0,370,77,485600,7869,450089,12699
-299,62000,526000,2,0,355,71,464000,9400,427789,11935
-256,58600,489600,2,0,318,58,431000,9640,391389,10320
-358,78700,444000,2,0,398,93,365300,34300,345789,12246
-276,60700,500900,2,0,335,64,440200,10610,402689,10999
-288,60400,527600,2,0,346,68,467200,7640,429389,11670
-331,66000,533200,2,0,382,82,467200,12680,434989,12919
-282,66000,450000,2,0,337,66,384000,21000,351789,10448
-845,133300,566500,2,0,807,364,433200,76650,468289,28090
-409,60800,486300,3,0,365,113,425500,12170,365381,9996
-293,63200,500700,2,0,349,69,437500,13130,402489,11446
-292,60400,534900,2,0,350,69,474500,6909,436689,11869
-481,68400,493000,3,0,415,145,424600,19100,372081,11452
-291,64600,481100,2,0,346,69,416500,16490,382889,11130
-271,61400,482500,2,0,330,62,421100,13150,384289,10617
-279,61900,490900,2,0,337,65,429000,12810,392689,10938
-270,59000,510200,2,0,330,62,451200,7980,411989,10938
-4948,155600,584700,1,3,2201,19984,429099,97129,440111,61633
-402,53500,560700,0,0,489,113,507200,-2571,390523,9401
-280,62000,492000,2,0,338,65,430000,12800,393789,10986
-261,60599,474600,2,0,322,60,414000,13140,376389,10264
-293,63700,495300,2,0,349,69,431599,14170,397089,11382
-765,118500,594100,2,0,744,307,475600,59090,495889,26443
-162,48000,433700,2,0,239,33,385700,4630,335489,7246
-265,57400,522500,2,0,327,60,465100,5150,424289,10959
-266,58200,513100,2,0,327,60,454900,6889,414889,10865
-253,56800,507500,2,0,317,57,450700,6050,409289,10461
-869,62300,488100,2,1,763,676,425800,13490,389889,15205
-237,54500,506400,2,0,303,52,451900,3860,408189,10010
-285,61300,510400,2,0,343,67,449099,10260,412189,11370
-276,62200,482700,2,0,334,64,420500,13930,384489,10761
-225,53200,500400,2,0,293,49,447200,3160,402189,9628
-229,51600,532000,2,0,298,50,480400,-1600,433789,10072
-446,88500,477700,2,0,472,129,389200,40730,379489,15113
-567,125100,369600,2,0,558,196,244500,88140,271389,15277
-272,60800,491200,2,0,331,63,430400,11680,392989,10752
-876,61500,499400,2,1,769,690,437900,11560,401189,15445
-260,59200,489200,2,0,321,59,430000,10280,390989,10415
-251,56300,509099,2,0,315,56,452800,5390,410889,10409
-284,60800,513600,2,0,342,66,452800,9440,415389,11365
-2709,179300,479600,2,1,2161,5409,300300,131340,381389,42807
-263,58300,507299,2,0,325,60,449000,7570,409089,10732
-3948,199500,547600,2,3,1667,13549,348100,144740,449389,80687
-479,102100,415300,2,0,493,146,313200,60570,317089,14568
-269,60800,485900,2,0,328,62,425100,12210,387689,10607
-959,183200,410400,2,0,878,466,227200,142160,312189,25736
-267,58800,507700,2,0,328,61,448900,8029,409489,10835
-762,125000,546700,2,0,737,305,421700,70330,448489,25227
-252,56900,503300,2,0,315,56,446400,6570,405089,10372
-263,58600,503600,2,0,325,60,445000,8240,405389,10690
-251,53700,547700,2,0,317,56,494000,-1070,449489,10861
-485,56100,509200,1,0,529,138,453100,5180,364611,9204
-753,127600,522400,2,0,727,299,394799,75360,424189,24356
-362,96100,319700,2,0,390,102,223600,64130,221489,9578
-257,56700,517200,2,0,320,58,460500,4979,418989,10690
-910,120500,473000,0,0,953,406,352500,73200,302823,16420
-972,58600,506800,2,2,729,1019,448200,7920,408589,32922
-233,53600,511400,2,0,300,51,457800,2460,413189,9966
-455,59000,559200,0,0,538,137,500200,3080,389023,10328
-673,113800,537900,2,0,663,247,424099,60010,439689,22516
-272,59000,515300,2,0,333,63,456300,7470,417089,11073
-259,59200,487500,2,0,320,59,428300,10450,389289,10370
-243,54500,519000,2,0,309,54,464500,2600,420789,10319
-616,135700,361100,2,0,596,226,225400,99590,262889,16053
-628,161200,270800,2,0,591,257,109600,134120,172589,12519
-262,57300,519000,2,0,325,59,461700,5400,420789,10850
-232,53000,518200,2,0,300,51,465200,1179,419989,10016
-733,127000,508200,2,0,709,286,381200,76180,409989,23430
-236,54600,503900,2,0,303,52,449300,4209,405689,9967
-247,55300,516500,2,0,312,55,461200,3650,418289,10409
-479,89700,508600,2,0,501,143,418900,38840,410389,16565
-983,59400,504900,2,2,737,1039,445500,8910,406689,33216
-240,54900,506500,2,0,306,53,451599,4250,408289,10086
-306,64700,505300,2,0,360,73,440600,14170,407089,11852
-256,56200,522000,2,0,320,58,465800,3999,423789,10717
-2269,127100,507500,2,2,1585,4807,380400,76350,409289,71528
-262,57000,521400,2,0,324,59,464400,4860,423189,10854
-106,35400,504600,2,0,196,22,469200,-15060,406389,6473
-225,51800,521400,2,0,294,49,469600,-341,423189,9864
-893,170100,418700,2,0,827,411,248600,128230,320489,24531
-238,54000,516700,2,0,305,52,462700,2330,418489,10169
-253,56700,508400,2,0,316,57,451700,5859,410189,10465
-373,73600,515400,2,0,415,98,441800,22060,417189,13817
-476,83200,387000,0,0,557,129,303800,44500,216823,8117
-234,53000,522299,2,0,302,51,469300,770,424089,10114
-469,60500,557300,0,0,550,143,496800,4769,387123,10539
-354,52699,516599,3,0,332,90,463900,1039,395681,9383
-219,51600,510600,2,0,289,47,459000,539,412389,9575
-731,92100,383600,1,0,730,284,291500,53740,239011,9905
-255,56600,514700,2,0,319,57,458100,5130,416489,10607
-262,57400,516700,2,0,324,59,459300,5729,418489,10809
-317,65500,515600,2,0,369,77,450100,13939,417389,12302
-275,58400,528200,2,0,335,63,469799,5580,429989,11300
-518,97600,491500,2,0,532,162,393900,48450,393289,17273
-894,52900,517900,2,3,422,849,465000,1110,419689,19981
-251,56700,505000,2,0,315,56,448300,6199,406789,10379
-3278,207600,430300,2,3,1423,8935,222700,164570,332089,62047
-1219,221900,425300,2,0,1091,711,203400,179370,327089,32661
-256,56500,517800,2,0,320,58,461300,4720,419589,10668
-261,57600,512600,2,0,323,59,455000,6339,414389,10740
-304,63900,511599,2,0,358,73,447700,12740,413389,11887
-241,54700,511300,2,0,307,53,456599,3569,413089,10168
-251,56900,501599,2,0,314,56,444700,6740,403389,10328
-253,56000,519099,2,0,317,57,463100,4089,420889,10606
-140,49700,359700,2,0,218,30,310000,13730,261489,5848
-877,51600,522400,2,3,414,822,470800,-641,424189,19699
-231,53400,510400,2,0,299,50,457000,2360,412189,9904
-261,58500,501100,2,0,323,59,442600,8390,402889,10606
-319,65000,524600,2,0,371,78,459600,12540,426389,12471
-259,57100,516000,2,0,322,59,458900,5500,417789,10735
-250,55900,513800,2,0,314,56,457900,4519,415589,10454
-246,56100,503100,2,0,311,55,447000,5790,404889,10221
-279,59800,517000,2,0,338,65,457200,8100,418789,11269
-245,55300,511400,2,0,310,54,456100,4159,413189,10282
-262,57699,513700,2,0,324,60,456000,6329,415489,10788
-257,57600,504000,2,0,319,58,446400,7200,405789,10518
-752,53200,506900,2,1,674,532,453700,2510,408689,13610
-238,53900,517000,2,0,305,52,463100,2199,418789,10157
-311,63000,535700,2,0,366,75,472700,9430,437489,12402
-298,58400,572700,2,0,356,71,514300,1130,474489,12469
-253,57500,497900,2,0,316,57,440400,7710,399689,10341
-280,61200,501900,2,0,338,65,440700,11010,403689,11117
-296,62699,512600,2,0,352,70,449900,11439,414389,11692
-285,61000,513800,2,0,343,67,452800,9619,415589,11407
-280,60199,515000,2,0,339,65,454799,8699,416789,11290
-265,57600,520700,2,0,327,60,463100,5529,422489,10950
-503,128800,295100,2,0,497,173,166300,99290,196889,11411
-260,57699,509700,2,0,323,59,452000,6729,411489,10684
-890,59900,522299,2,1,780,717,462400,7670,424089,15902
-555,94200,338800,3,0,427,203,244600,60320,217881,9235
-289,60900,521300,2,0,346,68,460400,8769,423089,11594
-246,55100,517200,2,0,311,55,462100,3379,418989,10388
-256,56300,519500,2,0,319,57,463200,4350,421289,10673
-241,54100,520800,2,0,307,53,466700,2020,422589,10287
-286,61400,509300,2,0,343,67,447900,10470,411089,11358
-247,55000,520700,2,0,312,55,465700,2929,422489,10456
-1881,223100,356000,1,0,1695,1579,132900,187500,211411,21224
-267,57699,523000,2,0,329,61,465300,5399,424789,11029
-225,52200,513600,2,0,293,49,461400,839,415389,9757
-252,55300,525100,2,0,316,56,469799,2790,426889,10623
-911,54000,515700,2,3,429,877,461700,2430,417489,20290
-283,61000,510000,2,0,341,66,449000,9999,411789,11303
-250,54800,528300,2,0,315,56,473500,1970,430089,10606
-466,59500,565200,0,0,548,142,505700,2979,395023,10576
-269,59000,509300,2,0,330,62,450300,8070,411089,10914
-241,54400,515500,2,0,307,53,461100,2849,417289,10215
-270,57800,526900,2,0,331,62,469099,5110,428689,11150
-259,57100,514200,2,0,321,58,457100,5679,415989,10688
-908,53200,522200,2,3,427,873,469000,979,423989,20300
-255,56300,518500,2,0,319,57,462200,4449,420289,10648
-447,58300,557400,0,0,530,132,499099,2559,387223,10158
-432,56100,565100,0,0,516,126,509000,-410,394923,9969
-244,53900,530700,2,0,310,54,476800,829,432489,10490
-373,55100,511100,3,0,344,98,456000,3989,390181,9674
-816,54100,538200,2,1,724,622,484099,279,439989,14900
-391,59500,483700,0,0,479,103,424200,11130,313523,8394
-3466,188900,588800,2,1,2748,9106,399900,130020,490589,58012
-1384,92300,285200,0,3,667,1860,192900,63780,115023,9555
-937,105500,569100,0,0,977,454,463600,48590,398923,18938
-490,67100,520800,3,0,426,148,453700,15020,399881,12074
-629,1.00E+05,406300,0,0,696,206,306300,59370,236123,10625
-837,202500,278300,2,0,755,412,75800,174670,180089,16410
-900,101800,569500,0,0,944,423,467700,44850,399323,18293
-385,55900,513900,0,0,474,103,458000,4510,343723,8646
-290,86800,289000,2,0,331,77,202200,57900,190789,7452
-249,55300,519600,2,0,314,55,464300,3340,421389,10486
-256,56700,513600,2,0,319,57,456900,5340,415389,10598
-422,59400,526900,3,0,381,118,467500,6710,405981,10851
-224,51400,525500,2,0,294,49,474099,-1150,427289,9883
-210,49000,530300,2,0,282,45,481300,-4031,432089,9527
-235,54600,502000,2,0,302,52,447400,4400,403789,9921
-191,49400,480000,2,0,264,40,430600,1400,381789,8487
-318,65300,518500,2,0,370,77,453200,13450,420289,12350
-960,56800,513000,2,3,449,960,456200,5500,414789,21204
-250,55599,516900,2,0,314,56,461300,3909,418689,10475
-1124,184500,507000,2,0,1029,603,322500,133800,408789,33939
-254,55000,534300,2,0,318,57,479300,1570,436089,10793
-247,55000,520400,2,0,312,55,465400,2959,422189,10449
-639,86900,488500,0,0,706,225,401599,38050,318323,12448
-291,60100,536000,2,0,349,68,475900,6499,437789,11840
-487,89700,518900,2,0,508,146,429200,37810,420689,16981
-229,52500,519000,2,0,297,50,466500,599,420789,9941
-225,52500,509400,2,0,293,49,456900,1560,411189,9714
-258,55500,535500,2,0,322,58,480000,1949,437289,10921
-513,91700,533600,2,0,531,159,441900,38340,435389,17966
-466,104600,384900,2,0,480,142,280300,66110,286689,13494
-347,67500,542700,2,0,396,88,475200,13230,444489,13501
-216,50700,517200,2,0,286,46,466500,-1020,418989,9559
-313,63300,535700,2,0,367,76,472400,9730,437489,12461
-250,55400,520500,2,0,315,56,465100,3350,422289,10527
-242,54500,517100,2,0,308,54,462600,2790,418889,10273
-310,62600,538700,2,0,365,75,476100,8729,440489,12408
-234,52699,525900,2,0,302,51,473200,109,427689,10142
-377,54100,524200,0,0,467,100,470100,1679,354023,8618
-234,53400,517100,2,0,302,51,463700,1690,418889,10065
-247,54800,523600,2,0,313,55,468800,2440,425389,10490
-891,53200,512900,2,3,421,842,459700,1910,414689,19855
-293,59900,542400,2,0,351,69,482500,5659,444189,11973
-242,74500,306800,2,0,295,59,232300,43820,208589,6992
-830,134800,544600,2,0,792,353,409799,80340,446389,27078
-227,52400,516599,2,0,296,49,464200,739,418389,9865
-654,105300,582200,2,0,651,236,476900,47080,483989,22933
-238,53700,519900,2,0,305,52,466200,1709,421689,10190
-1341,215200,510900,2,0,1207,829,295700,164110,412689,39964
-487,101700,427200,2,0,501,150,325500,58980,328989,15056
-263,57200,521300,2,0,325,60,464099,5069,423089,10890
-246,54400,525900,2,0,311,54,471500,1810,427689,10469
-240,60300,438200,2,0,302,54,377900,16480,339989,9225
-219,50800,523500,2,0,290,47,472700,-1550,425289,9722
-717,129400,480000,2,0,693,277,350600,81400,381789,22231
-247,55100,519600,2,0,312,55,464500,3139,421389,10448
-730,165700,325400,2,0,681,309,159700,133160,227189,16940
-385,55000,523300,0,0,474,104,468300,2669,353123,8739
-226,51700,525200,2,0,296,49,473500,-821,426989,9933
-257,56000,526500,2,0,321,58,470500,3349,428289,10792
-238,54000,516400,2,0,305,52,462400,2360,418189,10162
-259,56500,523800,2,0,322,59,467299,4120,425589,10820
-246,54500,525400,2,0,312,55,470900,1960,427189,10476
-253,56000,518700,2,0,317,57,462700,4129,420489,10596
-418,78600,530800,2,0,453,116,452200,25520,432589,15300
-259,56300,526400,2,0,322,58,470100,3660,428189,10848
-247,54700,524400,2,0,312,55,469700,2260,426189,10490
-468,59600,566400,0,0,550,143,506800,2959,396223,10626
-270,58300,519500,2,0,331,62,461200,6350,421289,11052
-273,58800,519700,2,0,334,63,460900,6830,421489,11152
-228,52400,518400,2,0,297,50,466000,559,420189,9908
-518,54500,580400,1,0,560,151,525900,-3540,435811,10688
-262,57100,520600,2,0,324,59,463500,5040,422389,10853
-1035,119100,567600,3,0,812,515,448500,62340,446681,23939
-242,50100,585000,2,0,311,53,534900,-8401,486789,10974
-257,56500,519300,2,0,320,58,462800,4570,421089,10706
-276,58900,524300,2,0,336,64,465400,6469,426089,11293
-1165,66500,520800,2,3,533,1357,454300,14420,422589,25292
-252,55599,520900,2,0,316,56,465300,3509,422689,10575
-1456,225400,533400,2,0,1305,961,308000,172060,435189,44141
-416,57699,529500,0,0,502,117,471800,4749,359323,9329
-1974,97200,583500,2,3,857,3664,486300,38850,485289,42453
-267,57000,531400,2,0,329,61,474400,3860,433189,11111
-1211,212900,450000,2,0,1089,696,237100,167900,351789,33703
-437,57300,557600,0,0,521,128,500300,1540,387423,9989
-481,101600,420700,2,0,495,147,319100,59530,322489,14744
-1143,216500,402900,2,0,1025,639,186400,176210,304689,29684
-252,55400,524500,2,0,316,56,469099,2949,426289,10627
-321,65800,518700,2,0,373,79,452900,13930,420489,12450
-234,53000,521800,2,0,301,51,468800,819,423589,10102
-891,164200,316400,0,0,935,342,152200,132560,146223,10804
-705,124600,497100,2,0,685,268,372500,74890,398889,22365
-667,86300,518900,3,0,547,245,432600,34410,397981,15455
-246,56000,504400,2,0,311,55,448400,5559,406189,10235
-771,95200,539400,3,0,622,311,444200,41260,418481,17927
-907,152700,507000,2,0,851,413,354300,102000,408789,28090
-978,208299,339700,2,0,880,505,131400,174330,241489,22636
-80,32000,493800,2,0,175,17,461799,-17380,395589,5696
-272,60400,496700,2,0,331,63,436300,10730,398489,10830
-285,60700,517500,2,0,343,67,456800,8950,419289,11452
-1236,196600,523400,2,0,1122,713,326800,144260,425189,37616
-249,55000,524400,2,0,314,55,469400,2560,426189,10548
-589,77200,526200,3,0,494,199,449000,24580,405281,14079
-96,37500,311300,0,0,211,17,273800,6370,141123,2381
-349,52000,519200,3,0,329,89,467200,80,398281,9319
-155,55300,327600,2,0,228,34,272300,22540,229389,5708
-241,54100,520400,2,0,307,53,466300,2060,422189,10278
-239,53500,524800,2,0,306,53,471300,1019,426589,10270
-235,52800,526400,2,0,302,51,473600,160,428189,10173
-247,55100,519200,2,0,312,55,464099,3180,420989,10438
-264,60100,485200,2,0,324,60,425100,11580,386989,10466
-557,125000,361000,2,0,549,192,236000,88900,262789,14781
-298,62400,519300,2,0,354,71,456900,10470,421089,11824
-338,63700,574400,2,0,390,84,510700,6260,476189,13649
-428,106900,330400,2,0,443,130,223500,73860,232189,11169
-238,54300,511800,2,0,305,52,457500,3119,413589,10106
-236,54100,511200,2,0,303,52,457100,2980,412989,10054
-1515,217500,592800,2,0,1364,1033,375300,158220,494589,48407
-257,56400,520900,2,0,320,58,464500,4309,422689,10727
-415,69700,390400,3,0,352,122,320700,30660,269481,8452
-389,101000,322200,2,0,412,113,221200,68780,223989,10180
-267,57500,524600,2,0,328,61,467100,5040,426389,11032
-477,55100,513300,1,0,522,134,458200,3770,368711,9142
-1628,153500,542400,1,0,1509,1110,388900,99260,397811,27478
-237,53700,517200,2,0,303,52,463500,1980,418989,10124
-248,54700,527300,2,0,314,55,472600,1970,429089,10562
-265,58099,512700,2,0,326,60,454600,6829,414489,10836
-237,53900,516100,2,0,304,52,462200,2289,417889,10135
-304,37000,570800,1,0,376,68,533800,-20080,426211,7096
-229,53200,508900,2,0,297,50,455700,2310,410689,9831
-297,62000,523500,2,0,354,71,461500,9650,425289,11865
