"","person","dept","eow","cause","cause_short","date","year","canine","dept_name","state","description","latitude","longitude","state_name"
"11","Sergeant David W. Campbell","Andalusia Police Department, AL","EOW: Friday, July 27, 1984","Cause of Death: Automobile accident","Automobile accident","1984-07-27",1984,"False","Andalusia Police Department","AL","Montgomery",32.377716,-86.300568,"Alabama"
"12","Sergeant Arthur W. Koch","Fairfield Police Department, CA","EOW: Sunday, July 29, 1984","Cause of Death: Gunfire","Gunfire","1984-07-29",1984,"False","Fairfield Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"13","Detective Sergeant Donald E. Davey","Lincoln County Sheriff's Department, ME","EOW: Monday, July 30, 1984","Cause of Death: Automobile accident","Automobile accident","1984-07-30",1984,"False","Lincoln County Sheriff's Department","ME","Augusta",44.307167,-69.781693,"Maine"
"14","Deputy Sheriff James L. Reynolds","Wyandotte County Sheriff's Office, KS","EOW: Saturday, August 4, 1984","Cause of Death: Vehicle pursuit","Vehicle pursuit","1984-08-04",1984,"False","Wyandotte County Sheriff's Office","KS","Topeka",39.048191,-95.677956,"Kansas"
"15","Patrolman David M. Smith","New Mexico State Police, NM","EOW: Monday, August 6, 1984","Cause of Death: Aircraft accident","Aircraft accident","1984-08-06",1984,"False","New Mexico State Police","NM","Santa Fe",35.68224,-105.939728,"New Mexico"
"16","Patrolman Lowell D. Howard","New Mexico State Police, NM","EOW: Monday, August 6, 1984","Cause of Death: Aircraft accident","Aircraft accident","1984-08-06",1984,"False","New Mexico State Police","NM","Santa Fe",35.68224,-105.939728,"New Mexico"
"17","Patrolman Anthony J. Garaffa","Irvington Police Department, NJ","EOW: Thursday, August 9, 1984","Cause of Death: Gunfire","Gunfire","1984-08-09",1984,"False","Irvington Police Department","NJ","Trenton",40.220596,-74.769913,"New Jersey"
"18","Trooper Johnny Rush Bowman","Virginia State Police, VA","EOW: Sunday, August 19, 1984","Cause of Death: Stabbed","Stabbed","1984-08-19",1984,"False","Virginia State Police","VA","Richmond",37.538857,-77.43364,"Virginia"
"19","Police Officer Ronald J. Siver","Rochester Police Department, NY","EOW: Sunday, August 19, 1984","Cause of Death: Drowned","Drowned","1984-08-19",1984,"False","Rochester Police Department","NY","Albany",42.652843,-73.757874,"New York"
"20","Lieutenant Jerry E. Dragosin","Cambridge Police Department, OH","EOW: Tuesday, August 21, 1984","Cause of Death: Gunfire","Gunfire","1984-08-21",1984,"False","Cambridge Police Department","OH","Columbus",39.961346,-82.999069,"Ohio"
"21","K9 Sonny","Ventura Police Department, CA","EOW: Sunday, August 26, 1984","Cause of Death: Gunfire","Gunfire","1984-08-26",1984,"True","Ventura Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"22","Police Officer Martin P. Clarke","Chicago Police Department, IL","EOW: Sunday, August 26, 1984","Cause of Death: Automobile accident","Automobile accident","1984-08-26",1984,"False","Chicago Police Department","IL","Springfield",39.798363,-89.654961,"Illinois"
"23","Reserve Captain Lloyd Beauford Brooks","Los Angeles County Sheriff's Department, CA","EOW: Saturday, September 1, 1984","Cause of Death: Struck by vehicle","Struck by vehicle","1984-09-01",1984,"False","Los Angeles County Sheriff's Department","CA","Sacramento",38.576668,-121.493629,"California"
"24","Public Safety Officer Bruce A. Richard","Alamogordo Department of Public Safety, NM","EOW: Sunday, September 2, 1984","Cause of Death: Struck by vehicle","Struck by vehicle","1984-09-02",1984,"False","Alamogordo Department of Public Safety","NM","Santa Fe",35.68224,-105.939728,"New Mexico"
"25","Patrolman Mark O. Harris","Oklahoma Lake Patrol, OK","EOW: Sunday, September 2, 1984","Cause of Death: Vehicular assault","Vehicular assault","1984-09-02",1984,"False","Oklahoma Lake Patrol","OK","Oklahoma City",35.492207,-97.503342,"Oklahoma"
"26","Deputy Sheriff Lonnie Lewis Freeman","Richmond Sheriff's Office, VA","EOW: Sunday, September 2, 1984","Cause of Death: Assault","Assault","1984-09-02",1984,"False","Richmond Sheriff's Office","VA","Richmond",37.538857,-77.43364,"Virginia"
"27","Deputy Sheriff David Lance Holguin","Los Angeles County Sheriff's Department, CA","EOW: Wednesday, September 5, 1984","Cause of Death: Gunfire","Gunfire","1984-09-05",1984,"False","Los Angeles County Sheriff's Department","CA","Sacramento",38.576668,-121.493629,"California"
"28","Police Officer Kevin W. Forsythe","Phoenix Police Department, AZ","EOW: Friday, September 7, 1984","Cause of Death: Struck by vehicle","Struck by vehicle","1984-09-07",1984,"False","Phoenix Police Department","AZ","Phoenix",33.448143,-112.096962,"Arizona"
"29","Trooper Robert J. Mihalik","Michigan State Police, MI","EOW: Sunday, September 9, 1984","Cause of Death: Gunfire","Gunfire","1984-09-09",1984,"False","Michigan State Police","MI","Lansing",42.733635,-84.555328,"Michigan"
"30","Deputy Sheriff Carnie F. Hopkins","Livingston County Sheriff's Department, KY","EOW: Sunday, September 9, 1984","Cause of Death: Gunfire","Gunfire","1984-09-09",1984,"False","Livingston County Sheriff's Department","KY","Frankfort",38.186722,-84.875374,"Kentucky"
"31","Patrol Officer Victor Pablo Serna","Laredo Police Department, TX","EOW: Wednesday, September 12, 1984","Cause of Death: Gunfire","Gunfire","1984-09-12",1984,"False","Laredo Police Department","TX","Austin",30.27467,-97.740349,"Texas"
"32","Trooper Harry G. Lucas, Jr.","West Virginia State Police, WV","EOW: Wednesday, September 12, 1984","Cause of Death: Aircraft accident","Aircraft accident","1984-09-12",1984,"False","West Virginia State Police","WV","Charleston",38.336246,-81.612328,"West Virginia"
"33","Patrolman Martin S. Murrin","Joliet Police Department, IL","EOW: Wednesday, September 12, 1984","Cause of Death: Gunfire","Gunfire","1984-09-12",1984,"False","Joliet Police Department","IL","Springfield",39.798363,-89.654961,"Illinois"
"34","Patrolman Kimberly Sue Tonahill","San Diego Police Department, CA","EOW: Friday, September 14, 1984","Cause of Death: Gunfire","Gunfire","1984-09-14",1984,"False","San Diego Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"35","Patrolman Timothy J. Ruopp","San Diego Police Department, CA","EOW: Sunday, September 16, 1984","Cause of Death: Gunfire","Gunfire","1984-09-16",1984,"False","San Diego Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"36","Patrolman Daniel J. Smith","Essex County Police Department, NJ","EOW: Monday, September 17, 1984","Cause of Death: Gunfire","Gunfire","1984-09-17",1984,"False","Essex County Police Department","NJ","Trenton",40.220596,-74.769913,"New Jersey"
"37","Trooper Frederick J. Groves, Jr.","Florida Highway Patrol, FL","EOW: Tuesday, September 18, 1984","Cause of Death: Gunfire","Gunfire","1984-09-18",1984,"False","Florida Highway Patrol","FL","Tallahassee",30.438118,-84.281296,"Florida"
"38","Investigator Richard Benjamin Snyder","New York State Police, NY","EOW: Thursday, September 20, 1984","Cause of Death: Gunfire","Gunfire","1984-09-20",1984,"False","New York State Police","NY","Albany",42.652843,-73.757874,"New York"
"39","Police Officer Irma Lozada","New York City Transit Police Department, NY","EOW: Friday, September 21, 1984","Cause of Death: Gunfire","Gunfire","1984-09-21",1984,"False","New York City Transit Police Department","NY","Albany",42.652843,-73.757874,"New York"
"40","Corporal Mark C. Caperton","Collier County Sheriff's Office, FL","EOW: Sunday, September 23, 1984","Cause of Death: Vehicular assault","Vehicular assault","1984-09-23",1984,"False","Collier County Sheriff's Office","FL","Tallahassee",30.438118,-84.281296,"Florida"
"41","Patrolman Larry J. Safreed","Riverside Police Department, OH","EOW: Tuesday, October 2, 1984","Cause of Death: Vehicular assault","Vehicular assault","1984-10-02",1984,"False","Riverside Police Department","OH","Columbus",39.961346,-82.999069,"Ohio"
"42","Patrolman Robert S. Heacock","North Brunswick Police Department, NJ","EOW: Tuesday, October 2, 1984","Cause of Death: Automobile accident","Automobile accident","1984-10-02",1984,"False","North Brunswick Police Department","NJ","Trenton",40.220596,-74.769913,"New Jersey"
"43","Officer Herman Lester Toulson, Jr.","Maryland Division of Correction, MD","EOW: Saturday, October 6, 1984","Cause of Death: Stabbed","Stabbed","1984-10-06",1984,"False","Maryland Division of Correction","MD","Annapolis",38.978764,-76.490936,"Maryland"
"44","Corporal Robert Whittington Klein","Arkansas State Police, AR","EOW: Monday, October 15, 1984","Cause of Death: Gunfire","Gunfire","1984-10-15",1984,"False","Arkansas State Police","AR","Little Rock",34.746613,-92.288986,"Arkansas"
"45","Deputy Tony Yanniello","Broward County Sheriff's Office, FL","EOW: Thursday, October 18, 1984","Cause of Death: Gunfire","Gunfire","1984-10-18",1984,"False","Broward County Sheriff's Office","FL","Tallahassee",30.438118,-84.281296,"Florida"
"46","Conservation Officer James S. Wood","Mississippi Department of Wildlife, Fisheries and Parks, MS","EOW: Sunday, October 21, 1984","Cause of Death: Gunfire","Gunfire","1984-10-21",1984,"False","Mississippi Department of Wildlife, Fisheries and Parks","MS","Jackson",32.303848,-90.182106,"Mississippi"
"47","Corporal James Kenneth Bounds","Mississippi Department of Public Safety - Highway Patrol, MS","EOW: Sunday, October 21, 1984","Cause of Death: Heart attack","Heart attack","1984-10-21",1984,"False","Mississippi Department of Public Safety - Highway Patrol","MS","Jackson",32.303848,-90.182106,"Mississippi"
"48","Patrolman James Spencer Johnson","East Lansing Police Department, MI","EOW: Thursday, October 25, 1984","Cause of Death: Gunfire","Gunfire","1984-10-25",1984,"False","East Lansing Police Department","MI","Lansing",42.733635,-84.555328,"Michigan"
"49","Captain Joel Van Broome","Gadsden County Sheriff's Office, FL","EOW: Thursday, October 25, 1984","Cause of Death: Automobile accident","Automobile accident","1984-10-25",1984,"False","Gadsden County Sheriff's Office","FL","Tallahassee",30.438118,-84.281296,"Florida"
"50","Police Officer Kenneth A. Koch","St. Louis County Police Department, MO","EOW: Friday, October 26, 1984","Cause of Death: Heart attack","Heart attack","1984-10-26",1984,"False","St. Louis County Police Department","MO","Jefferson City",38.579201,-92.172935,"Missouri"
"51","K9 Rebel","Prince George's County Police Department, MD","EOW: Friday, October 26, 1984","Cause of Death: Stabbed","Stabbed","1984-10-26",1984,"True","Prince George's County Police Department","MD","Annapolis",38.978764,-76.490936,"Maryland"
"52","Trooper Guy David Nalley","Oklahoma Highway Patrol, OK","EOW: Saturday, October 27, 1984","Cause of Death: Gunfire","Gunfire","1984-10-27",1984,"False","Oklahoma Highway Patrol","OK","Oklahoma City",35.492207,-97.503342,"Oklahoma"
"53","Officer Bryan Keeney","Fairmont City Police Department, IL","EOW: Sunday, November 4, 1984","Cause of Death: Gunfire","Gunfire","1984-11-04",1984,"False","Fairmont City Police Department","IL","Springfield",39.798363,-89.654961,"Illinois"
"54","Detective Lieutenant Sherman Ray Walker","St. John the Baptist Parish Sheriff's Office, LA","EOW: Tuesday, November 6, 1984","Cause of Death: Gunfire","Gunfire","1984-11-06",1984,"False","St. John the Baptist Parish Sheriff's Office","LA","Baton Rouge",30.457069,-91.187393,"Louisiana"
"55","Patrolman Donald A. Stillman","Henrico County Police Department, VA","EOW: Thursday, November 8, 1984","Cause of Death: Gunfire","Gunfire","1984-11-08",1984,"False","Henrico County Police Department","VA","Richmond",37.538857,-77.43364,"Virginia"
"56","Sergeant Delbert Ray Flowers, Jr.","Manheim Borough Police Department, PA","EOW: Friday, November 9, 1984","Cause of Death: Automobile accident","Automobile accident","1984-11-09",1984,"False","Manheim Borough Police Department","PA","Harrisburg",40.264378,-76.883598,"Pennsylvania"
"57","Wildlife Agent Terry L. Hoffer","Washington Department of Wildlife, WA","EOW: Saturday, November 10, 1984","Cause of Death: Gunfire","Gunfire","1984-11-10",1984,"False","Washington Department of Wildlife","WA","Olympia",47.035805,-122.905014,"Washington"
"58","Police Officer Chesley A. Stephens","Oakland Police Department, CA","EOW: Tuesday, November 13, 1984","Cause of Death: Gunfire","Gunfire","1984-11-13",1984,"False","Oakland Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"59","Corporal Stacy Milton Fuller","Smyrna Police Department, GA","EOW: Friday, November 16, 1984","Cause of Death: Automobile accident","Automobile accident","1984-11-16",1984,"False","Smyrna Police Department","GA","Atlanta",33.749027,-84.388229,"Georgia"
"60","Officer John A. Robertson","Phoenix Police Department, AZ","EOW: Monday, November 19, 1984","Cause of Death: Gunfire","Gunfire","1984-11-19",1984,"False","Phoenix Police Department","AZ","Phoenix",33.448143,-112.096962,"Arizona"
"61","Deputy Sheriff Winfield Scott Edie","Chelan County Sheriff's Office, WA","EOW: Saturday, November 24, 1984","Cause of Death: Drowned","Drowned","1984-11-24",1984,"False","Chelan County Sheriff's Office","WA","Olympia",47.035805,-122.905014,"Washington"
"62","Correctional Officer Wilson Morris Cartwright","Georgia Department of Corrections, GA","EOW: Monday, November 26, 1984","Cause of Death: Assault","Assault","1984-11-26",1984,"False","Georgia Department of Corrections","GA","Atlanta",33.749027,-84.388229,"Georgia"
"63","Correctional Officer Cecil H. Harbison","Illinois Department of Corrections, IL","EOW: Friday, November 30, 1984","Cause of Death: Stabbed","Stabbed","1984-11-30",1984,"False","Illinois Department of Corrections","IL","Springfield",39.798363,-89.654961,"Illinois"
"64","Constable Hamilton Ferguson, Sr.","Nelson County Constable's Office, KY","EOW: Sunday, December 2, 1984","Cause of Death: Struck by vehicle","Struck by vehicle","1984-12-02",1984,"False","Nelson County Constable's Office","KY","Frankfort",38.186722,-84.875374,"Kentucky"
"65","Detective Marcellus Ward","Baltimore City Police Department, MD","EOW: Monday, December 3, 1984","Cause of Death: Gunfire","Gunfire","1984-12-03",1984,"False","Baltimore City Police Department","MD","Annapolis",38.978764,-76.490936,"Maryland"
"66","Deputy Sheriff Bobby Dean Woodward","San Patricio County Sheriff's Office, TX","EOW: Wednesday, December 5, 1984","Cause of Death: Heart attack","Heart attack","1984-12-05",1984,"False","San Patricio County Sheriff's Office","TX","Austin",30.27467,-97.740349,"Texas"
"67","Sergeant Allen Leslie Kimery","Missoula County Sheriff's Department, MT","EOW: Thursday, December 6, 1984","Cause of Death: Gunfire","Gunfire","1984-12-06",1984,"False","Missoula County Sheriff's Department","MT","Helena",46.585709,-112.018417,"Montana"
"68","Wildlife Officer Margaret E. ""Peggy"" Park","Florida Game and Fresh Water Fish Commission, FL","EOW: Thursday, December 13, 1984","Cause of Death: Gunfire","Gunfire","1984-12-13",1984,"False","Florida Game and Fresh Water Fish Commission","FL","Tallahassee",30.438118,-84.281296,"Florida"
"69","Deputy Sheriff Robert L. Talburt","Washington County Sheriff's Office, OR","EOW: Friday, December 14, 1984","Cause of Death: Automobile accident","Automobile accident","1984-12-14",1984,"False","Washington County Sheriff's Office","OR","Salem",44.938461,-123.030403,"Oregon"
"70","Deputy Sheriff David Eugene Foster","Curry County Sheriff's Office, OR","EOW: Monday, December 17, 1984","Cause of Death: Gunfire","Gunfire","1984-12-17",1984,"False","Curry County Sheriff's Office","OR","Salem",44.938461,-123.030403,"Oregon"
"71","Police Officer Edward James Burch","Los Angeles Community College District Police Department, CA","EOW: Tuesday, December 18, 1984","Cause of Death: Struck by vehicle","Struck by vehicle","1984-12-18",1984,"False","Los Angeles Community College District Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"72","Police Officer Nicholas Norman Davis","Seattle Police Department, WA","EOW: Tuesday, December 18, 1984","Cause of Death: Gunfire","Gunfire","1984-12-18",1984,"False","Seattle Police Department","WA","Olympia",47.035805,-122.905014,"Washington"
"73","Police Officer Duane Curtis Johnson","Los Angeles Police Department, CA","EOW: Wednesday, December 19, 1984","Cause of Death: Gunfire","Gunfire","1984-12-19",1984,"False","Los Angeles Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"74","Sergeant James Leroy Biggs","Virginia State Police, VA","EOW: Wednesday, December 19, 1984","Cause of Death: Gunfire","Gunfire","1984-12-19",1984,"False","Virginia State Police","VA","Richmond",37.538857,-77.43364,"Virginia"
"75","Trooper Simmie L. Jeffries","Alabama Department of Public Safety, AL","EOW: Friday, December 21, 1984","Cause of Death: Automobile accident","Automobile accident","1984-12-21",1984,"False","Alabama Department of Public Safety","AL","Montgomery",32.377716,-86.300568,"Alabama"
"76","Police Officer Jose Raimundo DeLeon","Miami Police Department, FL","EOW: Friday, December 21, 1984","Cause of Death: Motorcycle accident","Motorcycle accident","1984-12-21",1984,"False","Miami Police Department","FL","Tallahassee",30.438118,-84.281296,"Florida"
"77","Deputy Sheriff William Kress Horne","Anson County Sheriff's Office, NC","EOW: Sunday, December 23, 1984","Cause of Death: Gunfire","Gunfire","1984-12-23",1984,"False","Anson County Sheriff's Office","NC","Raleigh",35.78043,-78.639099,"North Carolina"
"78","Officer John Koppin","Miami Beach Police Department, FL","EOW: Wednesday, December 26, 1984","Cause of Death: Gunfire (Accidental)","Gunfire (Accidental)","1984-12-26",1984,"False","Miami Beach Police Department","FL","Tallahassee",30.438118,-84.281296,"Florida"
"79","Sergeant Ernest J. Malatinka","Hammond Police Department, IN","EOW: Saturday, December 29, 1984","Cause of Death: Gunfire (Accidental)","Gunfire (Accidental)","1984-12-29",1984,"False","Hammond Police Department","IN","Indianapolis",39.768623,-86.162643,"Indiana"
"80","Police Officer Anthony E. Jansen","Newport Police Department, KY","EOW: Sunday, December 30, 1984","Cause of Death: Gunfire (Accidental)","Gunfire (Accidental)","1984-12-30",1984,"False","Newport Police Department","KY","Frankfort",38.186722,-84.875374,"Kentucky"
"81","Chief of Police James R. Wulf","Sabinal Police Department, TX","EOW: Monday, December 31, 1984","Cause of Death: Drowned","Drowned","1984-12-31",1984,"False","Sabinal Police Department","TX","Austin",30.27467,-97.740349,"Texas"
"82","Sergeant Jacquelyn Kay ""Jackie"" Sherrill","Hattiesburg Police Department, MS","EOW: Monday, December 31, 1984","Cause of Death: Gunfire","Gunfire","1984-12-31",1984,"False","Hattiesburg Police Department","MS","Jackson",32.303848,-90.182106,"Mississippi"
"83","Patrolman Eugene E. DeBerry","Lakeland Police Department, FL","EOW: Monday, January 14, 1985","Cause of Death: Motorcycle accident","Motorcycle accident","1985-01-14",1985,"False","Lakeland Police Department","FL","Tallahassee",30.438118,-84.281296,"Florida"
"84","Corporal Thomas Earl Bowles","Athens Police Department, GA","EOW: Wednesday, January 16, 1985","Cause of Death: Assault","Assault","1985-01-16",1985,"False","Athens Police Department","GA","Atlanta",33.749027,-84.388229,"Georgia"
"85","Corporal Robert E. Armstrong","Dothan Police Department, AL","EOW: Saturday, January 19, 1985","Cause of Death: Vehicular assault","Vehicular assault","1985-01-19",1985,"False","Dothan Police Department","AL","Montgomery",32.377716,-86.300568,"Alabama"
"86","Police Officer John F. Clonan","New York City Police Department, NY","EOW: Saturday, January 19, 1985","Cause of Death: Automobile accident","Automobile accident","1985-01-19",1985,"False","New York City Police Department","NY","Albany",42.652843,-73.757874,"New York"
"87","Patrol Officer Craig Alan Nollmeyer","Tacoma Police Department, WA","EOW: Thursday, January 24, 1985","Cause of Death: Gunfire","Gunfire","1985-01-24",1985,"False","Tacoma Police Department","WA","Olympia",47.035805,-122.905014,"Washington"
"88","Police Officer Deanna Hummel Rose","Overland Park Police Department, KS","EOW: Saturday, January 26, 1985","Cause of Death: Vehicular assault","Vehicular assault","1985-01-26",1985,"False","Overland Park Police Department","KS","Topeka",39.048191,-95.677956,"Kansas"
"89","Deputy Game Warden James C. Vines","Alabama Department of Conservation and Natural Resources - Wildlife and Freshwater Fisheries, AL","EOW: Saturday, January 26, 1985","Cause of Death: Gunfire","Gunfire","1985-01-26",1985,"False","Alabama Department of Conservation and Natural Resources - Wildlife and Freshwater Fisheries","AL","Montgomery",32.377716,-86.300568,"Alabama"
"90","Officer Robert A. ""Bob"" White","San Jose Police Department, CA","EOW: Sunday, January 27, 1985","Cause of Death: Electrocuted","Electrocuted","1985-01-27",1985,"False","San Jose Police Department","CA","Sacramento",38.576668,-121.493629,"California"
"91","Patrolman Manuel Olivas","New Mexico State Police, NM","EOW: Friday, February 1, 1985","Cause of Death: Vehicular assault","Vehicular assault","1985-02-01",1985,"False","New Mexico State Police","NM","Santa Fe",35.68224,-105.939728,"New Mexico"
"92","Patrolman Jeffery G. Casner","Berlin Police Department, CT","EOW: Saturday, February 2, 1985","Cause of Death: Assault","Assault","1985-02-02",1985,"False","Berlin Police Department","CT","Hartford",41.764046,-72.682198,"Connecticut"
"93","Detective Gary Lee Ward","Oklahoma City Police Department, OK","EOW: Saturday, February 2, 1985","Cause of Death: Gunfire","Gunfire","1985-02-02",1985,"False","Oklahoma City Police Department","OK","Oklahoma City",35.492207,-97.503342,"Oklahoma"
"94","Trooper Gary William Fisher","Pennsylvania State Police, PA","EOW: Sunday, February 3, 1985","Cause of Death: Gunfire","Gunfire","1985-02-03",1985,"False","Pennsylvania State Police","PA","Harrisburg",40.264378,-76.883598,"Pennsylvania"
"95","Sheriff Joseph Ray Steenbergen","Collin County Sheriff's Office, TX","EOW: Tuesday, February 5, 1985","Cause of Death: Automobile accident","Automobile accident","1985-02-05",1985,"False","Collin County Sheriff's Office","TX","Austin",30.27467,-97.740349,"Texas"
"96","Police Specialist David H. Massel","Woodlawn Police Department, OH","EOW: Saturday, February 9, 1985","Cause of Death: Vehicular assault","Vehicular assault","1985-02-09",1985,"False","Woodlawn Police Department","OH","Columbus",39.961346,-82.999069,"Ohio"
"97","Lieutenant Timothy J. Sullivan","Anaconda Police Department, MT","EOW: Sunday, February 10, 1985","Cause of Death: Gunfire","Gunfire","1985-02-10",1985,"False","Anaconda Police Department","MT","Helena",46.585709,-112.018417,"Montana"
"98","Deputy Sheriff Raymond Henry Topolewski","Will County Sheriff's Office, IL","EOW: Sunday, February 10, 1985","Cause of Death: Vehicular assault","Vehicular assault","1985-02-10",1985,"False","Will County Sheriff's Office","IL","Springfield",39.798363,-89.654961,"Illinois"
"99","Trooper John James Brown","Pennsylvania State Police, PA","EOW: Thursday, February 14, 1985","Cause of Death: Struck by vehicle","Struck by vehicle","1985-02-14",1985,"False","Pennsylvania State Police","PA","Harrisburg",40.264378,-76.883598,"Pennsylvania"
"100","Police Officer John Thomas Scanlon","Robbinsdale Police Department, MN","EOW: Thursday, February 14, 1985","Cause of Death: Gunfire","Gunfire","1985-02-14",1985,"False","Robbinsdale Police Department","MN","St. Paul",44.955097,-93.102211,"Minnesota"
"101","Patrolman Robert Anthony Way","North Charleston Police Department, SC","EOW: Monday, February 18, 1985","Cause of Death: Gunfire","Gunfire","1985-02-18",1985,"False","North Charleston Police Department","SC","Columbia",34.000343,-81.033211,"South Carolina"
"102","Police Officer Gary R. Stymiloski","Westchester County Department of Public Safety, NY","EOW: Sunday, February 24, 1985","Cause of Death: Gunfire","Gunfire","1985-02-24",1985,"False","Westchester County Department of Public Safety","NY","Albany",42.652843,-73.757874,"New York"
"103","Corporal Barry Lee Pendrey","Roanoke City Sheriff's Office, VA","EOW: Tuesday, February 26, 1985","Cause of Death: Assault","Assault","1985-02-26",1985,"False","Roanoke City Sheriff's Office","VA","Richmond",37.538857,-77.43364,"Virginia"
"104","Sergeant Raymond P. Cimino","Chelsea Police Department, MA","EOW: Thursday, February 28, 1985","Cause of Death: Heart attack","Heart attack","1985-02-28",1985,"False","Chelsea Police Department","MA","Boston",42.358162,-71.063698,"Massachusetts"
"105","Officer David W. Parker","Honolulu Police Department, HI","EOW: Friday, March 1, 1985","Cause of Death: Motorcycle accident","Motorcycle accident","1985-03-01",1985,"False","Honolulu Police Department","HI","Honolulu",21.307442,-157.857376,"Hawaii"
"106","Police Officer Peter Vincent McDonald","Brookside Village Police Department, TX","EOW: Friday, March 1, 1985","Cause of Death: Duty related illness","Duty related illness","1985-03-01",1985,"False","Brookside Village Police Department","TX","Austin",30.27467,-97.740349,"Texas"
"107","Trooper James M. Froemsdorf","Missouri State Highway Patrol, MO","EOW: Saturday, March 2, 1985","Cause of Death: Gunfire","Gunfire","1985-03-02",1985,"False","Missouri State Highway Patrol","MO","Jefferson City",38.579201,-92.172935,"Missouri"
"108","Patrolman John R. Fallis","Pine Bluff Police Department, AR","EOW: Monday, March 4, 1985","Cause of Death: Gunfire","Gunfire","1985-03-04",1985,"False","Pine Bluff Police Department","AR","Little Rock",34.746613,-92.288986,"Arkansas"
"109","K9 Blitz","Montgomery County Police Department, MD","EOW: Friday, March 8, 1985","Cause of Death: Gunfire","Gunfire","1985-03-08",1985,"True","Montgomery County Police Department","MD","Annapolis",38.978764,-76.490936,"Maryland"
"110","Deputy Sheriff Richard D. Glass","Mason County Sheriff's Office, WA","EOW: Saturday, March 9, 1985","Cause of Death: Vehicle pursuit","Vehicle pursuit","1985-03-09",1985,"False","Mason County Sheriff's Office","WA","Olympia",47.035805,-122.905014,"Washington"
"111","Patrolman Kevin Jolyon Williams","Huntsville Police Department, TX","EOW: Sunday, March 10, 1985","Cause of Death: Gunfire","Gunfire","1985-03-10",1985,"False","Huntsville Police Department","TX","Austin",30.27467,-97.740349,"Texas"
"112","Police Officer Harvey Glenn Lawson, Jr.","Clarksville Police Department, VA","EOW: Tuesday, March 12, 1985","Cause of Death: Gunfire","Gunfire","1985-03-12",1985,"False","Clarksville Police Department","VA","Richmond",37.538857,-77.43364,"Virginia"
"113","Officer Abigail J. Powlett","Plainfield Police Department, NJ","EOW: Friday, March 15, 1985","Cause of Death: Gunfire","Gunfire","1985-03-15",1985,"False","Plainfield Police Department","NJ","Trenton",40.220596,-74.769913,"New Jersey"
