"City, State",Classification,Definition,DRG,Hospital Referral Region Description,Provider City,Provider Id,Provider Name,Provider State,Provider Street Address,Provider Zip Code,Average Covered Charges ,Average Total Payments ,Number of Records,Reimbursement Rate,Total Discharges ,Total Payment
"DECATUR, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Huntsville,DECATUR,10085,DECATUR GENERAL HOSPITAL,AL,1201 7TH STREET SE,35609,"$5,329","$3,481",1,0.653224843,11,"38,294.00"
"HUNTSVILLE, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Huntsville,HUNTSVILLE,10039,HUNTSVILLE HOSPITAL,AL,101 SIVLEY RD,35801,"$22,834","$3,900",1,0.170821861,15,"58,507.00"
"HUNTSVILLE, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Huntsville,HUNTSVILLE,10131,CRESTWOOD MEDICAL CENTER,AL,ONE HOSPITAL DR SE,35801,"$19,644","$3,647",1,0.185663621,24,"87,530.00"
"MOBILE, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Mobile,MOBILE,10113,MOBILE INFIRMARY,AL,5 MOBILE INFIRMARY CIRCLE,36652,"$16,401","$3,497",1,0.213212797,22,"76,934"
"MONTGOMERY, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Montgomery,MONTGOMERY,10023,BAPTIST MEDICAL CENTER SOUTH,AL,2105 EAST SOUTH BOULEVARD,36116,"$17,288","$4,214",1,0.24373133,14,"58,992.00"
"WETUMPKA, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Montgomery,WETUMPKA,10097,ELMORE COMMUNITY HOSPITAL,AL,500 HOSPITAL DRIVE,36092,"$2,537","$4,228",1,1.666921382,276,"1,167,060.00"
"TUSCALOOSA, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Tuscaloosa,TUSCALOOSA,10092,D C H REGIONAL MEDICAL CENTER,AL,809 UNIVERSITY BOULEVARD EAST,35401,"$13,533","$3,937",1,0.290922092,34,"133,855.00"
"YORK, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,MS - Meridian,YORK,10138,HILL HOSPITAL OF SUMTER COUNTY,AL,751 DERBY DRIVE,36925,"$5,130","$4,195",1,0.817740524,92,"385,940"
"FORT SMITH, AR",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AR - Fort Smith,FORT SMITH,40055,SPARKS REGIONAL MEDICAL CENTER,AR,1001 TOWSON AVENUE,72901,"$9,179","$3,665",1,0.399322705,12,"43,983"
"JONESBORO, AR",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AR - Jonesboro,JONESBORO,40020,ST BERNARDS MEDICAL CTR,AR,225 E JACKSON,72401,"$5,586","$3,940",1,0.705360063,52,"204,881.00"
"LITTLE ROCK, AR",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AR - Little Rock,LITTLE ROCK,40007,ST VINCENT INFIRMARY MEDICAL CENTER,AR,TWO ST VINCENT CIRCLE,72205,"$15,041","$3,841",1,0.255330701,18,"69,129"
"LITTLE ROCK, AR",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AR - Little Rock,LITTLE ROCK,40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,AR,"9601 INTERSTATE 630, EXIT 7",72205,"$11,067","$3,788",1,0.342327168,25,"94,712"
"LITTLE ROCK, AR",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AR - Little Rock,LITTLE ROCK,40016,UAMS MEDICAL CENTER,AR,4301 WEST MARKHAM STREET MAIL SLOT 612,72205,"$15,071","$4,918",1,0.326363635,36,"177,065.00"
"FAYETTEVILLE, AR",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AR - Springdale,FAYETTEVILLE,40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,AR,3215 N NORTH HILLS BLVD,72703,"$17,009","$3,834",1,0.225405555,13,"49,841.00"
"SPRINGDALE, AR",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AR - Springdale,SPRINGDALE,40022,"NW ARKANSAS HOSPITALS, LLC",AR,609 WEST MAPLE AVENUE,72764,"$18,752","$3,752",1,0.200087326,32,"120,062"
"MOUNTAIN HOME, AR",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,MO - Springfield,MOUNTAIN HOME,40027,BAXTER REGIONAL MEDICAL CENTER,AR,624 HOSPITAL DRIVE,72653,"$5,863","$3,565",1,0.608045939,36,"128,336.00"
"MESA, AZ",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AZ - Mesa,MESA,30088,BANNER BAYWOOD MEDICAL CENTER,AZ,6644 EAST BAYWOOD AVENUE,85206,"$23,082","$3,857",1,0.167089668,12,"46,282.00"
"PHOENIX, AZ",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AZ - Phoenix,PHOENIX,30002,BANNER GOOD SAMARITAN MEDICAL CENTER,AZ,1111 EAST MCDOWELL ROAD,85006,"$15,791","$4,940",1,0.312824558,11,"54,337.00"
"GLENDALE, AZ",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AZ - Phoenix,GLENDALE,30089,BANNER THUNDERBIRD MEDICAL CENTER,AZ,5555 WEST THUNDERBIRD ROAD,85306,"$18,079","$4,417",1,0.244337885,13,"57,426.00"
"SUN CITY, AZ",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AZ - Sun City,SUN CITY,30061,BANNER BOSWELL MEDICAL CENTER,AZ,10401 WEST THUNDERBIRD BOULEVARD,85351,"$26,676","$3,798",1,0.142374269,12,"45,575.00"
"TUCSON, AZ",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AZ - Tucson,TUCSON,30011,CARONDELET ST JOSEPHS HOSPITAL,AZ,350 NORTH WILMOT ROAD,85711,"$18,488","$3,852",1,0.208367784,14,"53,931.00"
"TUCSON, AZ",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AZ - Tucson,TUCSON,30085,NORTHWEST MEDICAL CENTER,AZ,6200 NORTH LA CHOLLA BOULEVARD,85741,"$22,903","$3,904",1,0.170438073,15,"58,554"
"TUCSON, AZ",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AZ - Tucson,TUCSON,30006,TUCSON MEDICAL CENTER,AZ,5301 EAST GRANT ROAD,85712,"$17,662","$4,447",1,0.251797056,23,"102,285.00"
"BERKELEY, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Alameda County,BERKELEY,50305,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,CA,2450 ASHBY AVE,94705,"$45,583","$6,913",1,0.151665013,14,"96,787.00"
"CASTRO VALLEY, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Alameda County,CASTRO VALLEY,50488,EDEN MEDICAL CENTER,CA,20103 LAKE CHABOT ROAD,94546,"$43,431","$5,718",1,0.131652304,15,"85,767"
"OAKLAND, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Alameda County,OAKLAND,50320,ALAMEDA COUNTY MEDICAL CENTER,CA,1411 E 31ST ST,94602,"$18,093","$8,826",1,0.487815737,18,"158,865.00"
"BAKERSFIELD, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Bakersfield,BAKERSFIELD,50257,GOOD SAMARITAN HOSPITAL,CA,901 OLIVE DRIVE,93308,"$20,606","$6,737",1,0.326923497,20,"134,734"
"OROVILLE, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Chico,OROVILLE,50030,OROVILLE HOSPITAL,CA,2767 OLIVE HIGHWAY,95966,"$27,193","$4,981",1,0.183169333,12,"59,772"
"PARADISE, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Chico,PARADISE,50225,FEATHER RIVER HOSPITAL,CA,5974 PENTZ ROAD,95969,"$62,203","$4,537",1,0.072932101,12,"54,439.00"
"MARTINEZ, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Contra Costa County,MARTINEZ,50276,CONTRA COSTA REGIONAL MEDICAL CENTER,CA,2500 ALHAMBRA AVE,94553,"$41,988","$18,631",1,0.443723334,14,"260,833.00"
"WALNUT CREEK, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Contra Costa County,WALNUT CREEK,50180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,CA,1601 YGNACIO VALLEY RD,94598,"$73,413","$5,242",1,0.071397693,19,"99,589.00"
"FRESNO, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Fresno,FRESNO,50093,SAINT AGNES MEDICAL CENTER,CA,1303 E HERNDON AVE,93710,"$27,808","$4,779",1,0.171839039,14,"66,899"
"FRESNO, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Fresno,FRESNO,50060,COMMUNITY REGIONAL MEDICAL CENTER,CA,2823 FRESNO STREET,93715,"$25,741","$6,484",1,0.251877691,24,"155,605.00"
"COVINA, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,COVINA,50382,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,CA,210 W  SAN BERNARDINO ROAD,91723,"$17,921","$5,960",1,0.332570727,11,"65,560"
"LAKEWOOD, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,LAKEWOOD,50581,LAKEWOOD REGIONAL MEDICAL CENTER,CA,3700 E SOUTH ST,90712,"$30,555","$4,863",1,0.159157989,11,"53,493"
"LONG BEACH, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,LONG BEACH,50191,ST MARY MEDICAL CENTER,CA,1050 LINDEN AVE,90813,"$24,576","$6,405",1,0.260602429,11,"70,451.00"
"WEST COVINA, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,WEST COVINA,50096,"DOCTORS HOSPITAL OF WEST COVINA, INC",CA,725 S ORANGE AVE,91790,"$11,046","$5,345",1,0.483897782,11,"58,796.00"
"TORRANCE, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,TORRANCE,50353,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,CA,4101 TORRANCE BLVD,90503,"$32,213","$4,695",1,0.145739394,12,"56,336.00"
"ARCADIA, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,ARCADIA,50238,METHODIST HOSPITAL OF SOUTHERN CA,CA,300 W HUNTINGTON DR,91006,"$31,595","$4,984",1,0.157737892,13,"64,788.00"
"LANCASTER, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,LANCASTER,50056,ANTELOPE VALLEY HOSPITAL MED CENTER,CA,1600 W AVE J,93534,"$14,741","$5,649",1,0.383200785,13,"73,432.00"
"LONG BEACH, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,LONG BEACH,50485,LONG BEACH MEMORIAL MEDICAL CENTER,CA,2801 ATLANTIC AVE,90806,"$26,463","$5,129",1,0.193802596,13,"66,671.00"
"LOS ANGELES, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,LOS ANGELES,50663,LOS ANGELES COMMUNITY HOSPITAL,CA,4081 E OLYMPIC BLVD,90023,"$14,437","$6,599",1,0.457089423,14,"92,386"
"TORRANCE, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,TORRANCE,50351,TORRANCE MEMORIAL MEDICAL CENTER,CA,3330 LOMITA BLVD,90509,"$32,434","$4,404",1,0.135791659,15,"66,064.00"
"GLENDALE, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,GLENDALE,50239,GLENDALE ADVENTIST MEDICAL CENTER,CA,1509 E WILSON TERRACE,91206,"$26,111","$6,149",1,0.235479111,17,"104,528.00"
"LOS ANGELES, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,LOS ANGELES,50625,CEDARS-SINAI MEDICAL CENTER,CA,8700 BEVERLY BLVD,90048,"$64,097","$6,834",1,0.106621099,17,"116,180.00"
"PASADENA, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,PASADENA,50438,HUNTINGTON MEMORIAL HOSPITAL,CA,100 W  CALIFORNIA BLVD,91109,"$45,529","$5,178",1,0.113732252,44,"227,838.00"
"SAN PEDRO, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,SAN PEDRO,50078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,CA,1300 W 7TH ST,90732,"$20,655","$4,802",1,0.232497086,53,"254,522.00"
"PANORAMA CITY, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,PANORAMA CITY,50704,MISSION COMMUNITY HOSPITAL - PANORAMA,CA,14850 ROSCOE BLVD,91402,"$8,055","$6,106",1,0.757981275,117,"714,364.00"
"CULVER CITY, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Los Angeles,CULVER CITY,50752,BROTMAN MEDICAL CENTER,CA,3828 DELMAS TERRACE,90231,"$19,917","$4,986",1,0.250347883,510,"2,543,004.00"
"SAINT HELENA, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Napa,SAINT HELENA,50013,ST HELENA HOSPITAL,CA,10 WOODLAND ROAD,94574,"$30,623","$6,037",1,0.197138322,48,"289,775.00"
"NEWPORT BEACH, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Orange County,NEWPORT BEACH,50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,ONE HOAG DRIVE,92663,"$16,740","$4,229",1,0.252631869,13,"54,978.00"
"LOS ALAMITOS, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Orange County,LOS ALAMITOS,50551,LOS ALAMITOS MEDICAL CENTER,CA,3751 KATELLA AVENUE,90720,"$21,753","$4,536",1,0.208500662,14,"63,497"
"COSTA MESA, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Orange County,COSTA MESA,50543,COLLEGE HOSPITAL COSTA MESA,CA,301 VICTORIA STREET,92627,"$11,812","$6,950",1,0.58843124,84,"583,825.00"
"MISSION VIEJO, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Orange County,MISSION VIEJO,50567,MISSION HOSPITAL REGIONAL MED CENTER,CA,27700 MEDICAL CENTER RD,92691,"$26,168","$4,304",1,0.164472576,93,"400,270.00"
"PALM SPRINGS, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Palm Springs/Rancho M,PALM SPRINGS,50243,DESERT REGIONAL MEDICAL CENTER,CA,1150 NORTH INDIAN CANYON DRIVE,92262,"$50,578","$5,055",1,0.09995165,11,"55,609.00"
"RANCHO MIRAGE, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Palm Springs/Rancho M,RANCHO MIRAGE,50573,EISENHOWER MEDICAL CENTER,CA,39-000 BOB HOPE DRIVE,92270,"$56,790","$4,458",1,0.078496586,24,"106,987.00"
"CARMICHAEL, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Sacramento,CARMICHAEL,50516,MERCY SAN JUAN MEDICAL CENTER,CA,6501 COYLE AVE,95608,"$43,522","$5,322",1,0.122292616,11,"58,546.00"
"ROSEVILLE, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Sacramento,ROSEVILLE,50309,SUTTER ROSEVILLE MEDICAL CENTER,CA,ONE MEDICAL PLAZA,95661,"$47,824","$4,746",1,0.099237918,11,"52,205.00"
"FOLSOM, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Sacramento,FOLSOM,50414,MERCY HOSPITAL OF FOLSOM,CA,1650 CREEKSIDE DRIVE,95630,"$48,514","$5,301",1,0.109258883,15,"79,509"
"SACRAMENTO, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Sacramento,SACRAMENTO,50599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,CA,2315 STOCKTON BOULEVARD,95817,"$63,365","$8,632",1,0.136228288,28,"241,698.00"
"SALINAS, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Salinas,SALINAS,50248,NATIVIDAD MEDICAL CENTER,CA,1441 CONSTITUTION BOULEVARD,93906,"$47,974","$9,696",1,0.202112599,12,"116,354.00"
"MONTEREY, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - Salinas,MONTEREY,50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,CA,23625 W R HOLMAN HIGHWAY,93940,"$26,321","$5,179",1,0.196768933,26,"134,660.00"
"COLTON, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - San Bernardino,COLTON,50245,ARROWHEAD REGIONAL MEDICAL CENTER,CA,400 NORTH PEPPER AVENUE,92324,"$16,448","$7,241",1,0.440244516,11,"79,653.00"
"MORENO VALLEY, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - San Bernardino,MORENO VALLEY,50292,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,CA,26520 CACTUS AVENUE,92555,"$23,676","$6,145",1,0.25956089,11,"67,599.00"
"HEMET, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - San Bernardino,HEMET,50390,HEMET VALLEY MEDICAL CENTER,CA,1117 EAST DEVONSHIRE,92543,"$14,672","$4,814",1,0.328108043,13,"62,583.00"
"OCEANSIDE, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - San Diego,OCEANSIDE,50128,TRI-CITY MEDICAL CENTER,CA,4002 VISTA WAY,92056,"$17,960","$4,623",1,0.257387704,11,"50,849.00"
"SAN DIEGO, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - San Diego,SAN DIEGO,50025,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,CA,200 WEST ARBOR DRIVE,92103,"$22,540","$7,596",1,0.337008659,17,"129,137.00"
"SAN DIEGO, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - San Diego,SAN DIEGO,50100,SHARP MEMORIAL HOSPITAL,CA,7901 FROST ST,92123,"$35,314","$5,205",1,0.14739986,17,"88,489.00"
"SAN DIEGO, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - San Diego,SAN DIEGO,50077,SCRIPPS MERCY HOSPITAL,CA,4077 5TH AVE,92103,"$32,004","$5,790",1,0.180905053,24,"138,951"
"LA MESA, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - San Diego,LA MESA,50026,GROSSMONT HOSPITAL,CA,5555 GROSSMONT CENTER DRIVE BOX 58,91942,"$31,914","$4,778",1,0.14971087,31,"148,116.00"
"LA JOLLA, CA",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,CA - San Diego,LA JOLLA,50324,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,CA,9888 GENESEE AVENUE,92037,"$19,392","$4,108",1,0.211864885,32,"131,470"
