Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID
2/11/2018,2.35,1,PA,"Amazon Brand - Presto! Biobased Hand Soap, Lime Mint Scent, 12 fl oz",B074GBVT9T,SKIN_CLEANING_AGENT,R_037XK72IZBJyF69
2/11/2018,2.34,1,PA,"Amazon Brand - Presto! Biobased Hand Soap, Citrus Hibiscus Scent",B074G9FH13,SKIN_CLEANING_AGENT,R_037XK72IZBJyF69
2/11/2018,5.37,1,PA,"Aussie Total Miracle Collection Shampoo, 26.2 Fl Oz (Pack of 1)",B013SRDRBA,SHAMPOO,R_037XK72IZBJyF69
2/11/2018,7.47,1,PA,"Neutrogena Healthy Skin Boosters Facial Cleanser with Moisturizing Vitamin E and Antioxidant White Tea for Healthy Looking Skin, Oil-Free, 9 fl. oz",B0713WYWVF,BEAUTY,R_037XK72IZBJyF69
2/11/2018,4.88,1,PA,"Johnson's Baby Bedtime Bubble Bath and Wash, 15 Ounce",B01EMZ7QK0,BATHWATER_ADDITIVE,R_037XK72IZBJyF69
2/11/2018,11.5,1,PA,"Neutrogena Naturals Multi-Vitamin Moisturizing & Nourishing Night Face Cream with Antioxidant Bionutrients & Vitamins B, C & E, Non-Comedogenic & Sulfate-, Paraben-, Phthalate- & Dye-Free, 1.7 oz",B0182G6OAI,BEAUTY,R_037XK72IZBJyF69
2/11/2018,2.75,1,PA,"Food Should Taste Good Tortilla Chips, Multigrain, Gluten Free, 5.5 oz",B001B13THI,SNACK_CHIP_AND_CRISP,R_037XK72IZBJyF69
2/11/2018,1.92,1,PA,"Clorox Handi Wipes Heavy Duty Reusable Cloths, 3 Count",B00J0AYYBW,SURFACE_CLEANING_WIPE,R_037XK72IZBJyF69
2/11/2018,5.99,1,PA,"Kleenex Trusted Care Everyday Facial Tissues, Flat Box,",B00NAZ5RIC,FACIAL_TISSUE,R_037XK72IZBJyF69
2/11/2018,2.24,4,PA,"Jyoti Natural Foods Chhole, Chickpeas with Potatoes and Onions, 15 Ounce",B01BGN1GN4,SAUCE,R_037XK72IZBJyF69
2/11/2018,2,1,PA,"Suave Essentials Body Wash, Mango Mandarin, 15 oz",B00ULKSVQY,SKIN_CLEANING_AGENT,R_037XK72IZBJyF69
2/11/2018,3.33,1,PA,"Damage Repair - Aussie Paraben-Free Total Miracle 3 Minute Miracle Conditioner w/Apricot, 8.0 fl oz (Packaging May Vary)",B00NPNS9RU,CONDITIONER,R_037XK72IZBJyF69
2/11/2018,10.96,1,PA,"NUTRO NATURAL CHOICE Small Breed Senior Dry Dog Food, Chicken & Brown Rice Recipe Dog Kibble, 5 lb. Bag",B01MTCOI2A,PET_FOOD,R_037XK72IZBJyF69
2/11/2018,14.02,1,PA,"TASC Strategies, Practice & Review 2017-2018 with 2 Practice Tests: Online + Book (Kaplan Test Prep)",1625233000,ABIS_BOOK,R_037XK72IZBJyF69
2/14/2018,19.36,1,PA,GED Test Prep Plus 2018: 2 Practice Tests + Proven Strategies + Online (Kaplan Test Prep),1506223605,ABIS_BOOK,R_037XK72IZBJyF69
2/15/2018,20,1,PA,Amazon Brand - Daily Ritual Women's Skinny Stretch Jegging,B0716LBRPS,PANTS,R_037XK72IZBJyF69
2/28/2018,15,1,PA,,B00F3TBBRO,,R_037XK72IZBJyF69
2/28/2018,39.95,1,PA,"LDR INDUSTRIES 163 3000SN 3PC BATH ORGANIZER KIT SATIN NICKEL, NICKLE",B016C18EH6,PLUMBING_FIXTURE,R_037XK72IZBJyF69
2/28/2018,8.99,1,PA,"EVISTR Micro USB Cable Android Charger - 3 Pack 6FT Micro USB Charging Cable High Speed Sync Data Nylon Braided Cord Compatible with Samsung S7 S6 J7 Note 5 Kindle M3 Player, Micro USB Charger Devices",B073Z83BR4,ELECTRONIC_CABLE,R_037XK72IZBJyF69
3/4/2018,4.99,1,PA,"Headphone Splitter, 5-Jack 3.5 mm Audio Headphone Splitter Stereo Audio Headset Adapter, Audio Earbuds Earphones Plug 5 Way 1 Male to 4 Female Splitter with 3.5mm Stereo Cable",B00Y1YD8PK,ELECTRONIC_ADAPTER,R_037XK72IZBJyF69
3/4/2018,20.99,1,PA,"Monitor Stand Riser, 2 Tiers Wood Monitor Riser Stand with Storage Organizer, Desktop Ergonomic Monitor Stand Riser with Cellphone Holder and Cable Management, 16.5 Inch Shelf Black",B01M4S7ZGM,ITEM_STAND,R_037XK72IZBJyF69
4/2/2018,4.49,1,PA,"Burt's Bees Facial Cleansing Towelette Wipes for Sensitive Skin with Cotton Extract, 30 Count (Package May Vary)",B00TH7HTD8,SKIN_CLEANING_WIPE,R_037XK72IZBJyF69
4/2/2018,10.05,1,PA,Kiss My Face Patchouli Bath and Body Wash 32 OZ,B06X9NJBM4,BEAUTY,R_037XK72IZBJyF69
4/2/2018,4.94,1,PA,Aussie Moist Conditioner With Pump 29.2 Fluid Ounce,B007EGFQBQ,CONDITIONER,R_037XK72IZBJyF69
4/2/2018,5.16,1,PA,"Aussie Total Miracle Collection Shampoo, 26.2 Fl Oz (Pack of 1)",B013SRDRBA,SHAMPOO,R_037XK72IZBJyF69
4/2/2018,7.98,1,PA,,B00MY48VLU,,R_037XK72IZBJyF69
4/2/2018,14.96,2,PA,Large Cosmetic Bag With Big Clear Mirror Full Of Capacity For Organize All Of Your Makeups (Coffee),B00SSTF8LQ,COSMETIC_CASE,R_037XK72IZBJyF69
4/2/2018,6.49,1,PA,"carefresh Dust-Free Confetti Natural Paper Small Pet Bedding with Odor Control, 10L",B0142INY7G,PET_SUPPLIES,R_037XK72IZBJyF69
4/2/2018,12,1,PA,"[J.ESTINA BEAUTY] Jewel Tension Tinted Lip Balm (Black Cherry) - Nourishing, Hydrating and Moisturizing with Vivid Colors",B0749HQ8QV,LIP_BALM,R_037XK72IZBJyF69
4/2/2018,7.44,1,PA,Rimmel Professional Eyebrow Dark Brown,B0052Z82K8,EYEBROW_COLOR,R_037XK72IZBJyF69
4/2/2018,6.49,1,PA,,B010S9M3L6,,R_037XK72IZBJyF69
4/2/2018,19.99,1,PA,SAMSUNG (MB-ME64GA/AM) 64GB 100MB/s (U3) MicroSDXC EVO Select Memory Card with Full-Size Adapter,B06XX29S9Q,FLASH_MEMORY,R_037XK72IZBJyF69
4/2/2018,5.99,1,PA,TSA Approved Travel Combination Cable Luggage Locks for Suitcases & Backpacks - 1 Pack of Orange TSA Lock,B0186QMA4S,LOCK,R_037XK72IZBJyF69
4/19/2018,12.9,1,PA,"Small Led Grow Light, CFGROW Desk Clip LED Plant Grow Lamp 7W with 360° Flexible Gooseneck for Indoor Office Home Garden Greenhouse Plants Growing Lighting (7W)",B07BBFY3CH,LAMP,R_037XK72IZBJyF69
4/19/2018,6.95,1,PA,Sheer Guard Bird Cage Skirt-Made in USA - Medium Size (Aqua),B00856I3E6,FURNITURE_COVER,R_037XK72IZBJyF69
4/19/2018,7.95,1,PA,"Awakening at Midlife: A Guide to Reviving Your Spirit, Recreating Your Life, and Returning to Your Truest Self",1573226327,ABIS_BOOK,R_037XK72IZBJyF69
4/19/2018,10.99,1,PA,Mermaids in Wonderland: A Coloring and Puzzle-Solving Adventure for All Ages,0062465600,ABIS_BOOK,R_037XK72IZBJyF69
4/29/2018,12.99,1,PA,Simple Solution Hard Floor Pet Stain and Odor Remover | Dual Action Cleaner for Sealed Hardwood Floors | 32 Ounces,B000TZ1X4S,PET_SUPPLIES,R_037XK72IZBJyF69
4/29/2018,6.05,1,PA,,B01L5T9GBI,,R_037XK72IZBJyF69
5/2/2018,0.75,1,PA,TY Beanie Baby - GOATEE the Goat,B00000JQ4I,TOY_FIGURE,R_037XK72IZBJyF69
5/16/2018,13.25,1,PA,2018 Tarot Planner,1977537189,ABIS_BOOK,R_037XK72IZBJyF69
5/16/2018,14.88,1,PA,"ZEISS Pre-Moistened Lens Cleaning Wipes, 200 Count",B00GL64QG6,HEALTH_PERSONAL_CARE,R_037XK72IZBJyF69
5/16/2018,22.99,1,PA,"Whispers Feminine Care Set, Intimate Care, pH Balanced by R. Drew Naturals",B01N48TSVK,GUILD_BEAUTY_GROOMING,R_037XK72IZBJyF69
5/18/2018,10.99,1,PA,"Snappy Popcorn, White, 4 Pound",B00MHTGICQ,POPCORN,R_037XK72IZBJyF69
5/18/2018,5.47,1,PA,"Hidden Valley Buttermilk Ranch Salad Dressing & Topping, Gluten Free, Keto-Friendly - 36 Ounce Bottle (Package May Vary)",B01NC2Y1AB,SALAD_DRESSING,R_037XK72IZBJyF69
5/18/2018,5.99,1,PA,"365 Everyday Value, Chili Powder Blend, 7.62 oz",B074MGQ1R4,HERB,R_037XK72IZBJyF69
5/18/2018,2.93,1,PA,"Oregon Chai Original Chai Tea Latte Concentrate, 32 Fl Oz (Pack of 1)",B000QSHOPA,TEA,R_037XK72IZBJyF69
5/18/2018,2.69,3,PA,"Tasty Bite Indian Bombay Potatoes 10 Ounce, Fully Cooked Indian Entrée with Chickpeas and Potatoes with Spices in a Tomato Sauce, Vegan, Gluten Free, Microwaveable, Ready to Eat",B00OKEUVXI,GROCERY,R_037XK72IZBJyF69
5/18/2018,3.69,1,PA,"365 Everyday Value, Indian Basmati White Rice, 32 Ounce",B075N1QTTG,CEREAL,R_037XK72IZBJyF69
5/18/2018,2.19,1,PA,"365 Everyday Value, Wasabi Rice Crackers, 3.57 Ounce",B074MFQVSV,CRACKER,R_037XK72IZBJyF69
5/18/2018,2.99,1,PA,"Whole Paws, Small Dog Biscuits, Assorted Flavors, 10 Ounce",B074M992MC,PET_FOOD,R_037XK72IZBJyF69
5/18/2018,2.29,1,PA,"365 Everyday Value, Veggie Straws, 6 Ounce",B074MHFN47,GROCERY,R_037XK72IZBJyF69
5/18/2018,0.99,3,PA,,B074MGZ3TR,,R_037XK72IZBJyF69
5/18/2018,2.99,1,PA,"Whole Foods Market, Lavender Vanilla Fizzing Bath Bomb, 2.3 Ounce",B074MHN2KJ,GROCERY,R_037XK72IZBJyF69
5/18/2018,0.99,2,PA,"365 Everyday Value, Shells & Alfredo, 7.25 oz",B074MG12QS,GROCERY,R_037XK72IZBJyF69
5/18/2018,2.99,1,PA,"365 Everyday Value, Chocolate Sandwich Cremes, 20 Ounce",B074MGZFQC,COOKIE,R_037XK72IZBJyF69
5/18/2018,2.5,4,PA,"Pepsi, Bottles, 16.9 Fl Oz (Pack of 6)",B01GCT2F00,DRINK_FLAVORED,R_037XK72IZBJyF69
5/18/2018,4.99,1,PA,"365 Everyday Value, Organic Medium Salsa - Thick & Chunky, 38 Ounce",B074MH3FM1,SAUCE,R_037XK72IZBJyF69
5/18/2018,2.55,1,PA,"Colgate Extra Clean Full Head Toothbrush, Medium - 4 Count",B00UB6T2I4,TOOTHBRUSH,R_037XK72IZBJyF69
5/18/2018,5.38,1,PA,"Head and Shoulders Instant Oil Control Daily-Use Anti-Dandruff Shampoo, 12.8 fl oz",B013SRDJ40,SHAMPOO,R_037XK72IZBJyF69
5/18/2018,3.98,1,PA,TRESemmé Rich Moisture Conditioner for Dry Hair Formulated With Pro Style Technology 28 oz,B00UB6E4IM,CONDITIONER,R_037XK72IZBJyF69
5/18/2018,3.99,1,PA,,B00UB6OSAQ,,R_037XK72IZBJyF69
5/18/2018,4.75,1,PA,"Ziploc Freezer Bags with New Grip 'n Seal Technology, Gallon, 28 Count",B00I9JK8GU,FOOD_STORAGE_BAG,R_037XK72IZBJyF69
5/18/2018,3.57,1,PA,"Sparkle® Pick-A-Size Paper Towels, 2 Rolls = 3 Regular Rolls, 116 2-Ply Sheets Per Roll",B01MQQB5VN,PAPER_TOWEL,R_037XK72IZBJyF69
5/18/2018,0.99,2,PA,"365 Everyday Value, Macaroni & Cheese, 7.25 Ounce",B074MHFNH5,DAIRY_BASED_CHEESE,R_037XK72IZBJyF69
5/18/2018,4.67,1,PA,"Kodiak Cakes Power Bake, Non GMO, Protein Packed Muffin Mix, Double Dark Chocolate, 14 Ounce - No Preservatives",B06XB3ZS4T,BAKING_MIX,R_037XK72IZBJyF69
5/18/2018,2.99,1,PA,"365 Everyday Value, Saltine Crackers, 16 Ounce",B074MG5VVJ,CRACKER,R_037XK72IZBJyF69
5/18/2018,2.49,1,PA,GUM - 760RB Dual Action Tongue Cleaner Brush and Scraper (Colors May Vary),B00008CMPY,PROFESSIONAL_HEALTHCARE,R_037XK72IZBJyF69
5/18/2018,10.96,1,PA,"NUTRO NATURAL CHOICE Small Breed Senior Dry Dog Food, Chicken & Brown Rice Recipe Dog Kibble, 5 lb. Bag",B01MTCOI2A,PET_FOOD,R_037XK72IZBJyF69
5/18/2018,6.95,1,PA,CTS Air Plants Tillandsia Ionantha Assorted 3 Pack,B015OT4QD8,PLANT_SEED,R_037XK72IZBJyF69
6/3/2018,15.89,1,PA,"mainlead BTS Bangtan Boys Black Hoody Sweater Pullover (JUNG KOOK, XXL)",B01KNHWAT8,SWEATSHIRT,R_037XK72IZBJyF69
6/15/2018,38.78,1,PA,"Rachael Ray Nutrish Premium Natural Dry Dog Food, Real Chicken & Veggies Recipe, 40 Pounds (Packaging May Vary)",B00FBT7XAK,PET_FOOD,R_037XK72IZBJyF69
6/15/2018,10.96,1,PA,"NUTRO WHOLESOME ESSENTIALS Adult Natural Dry Dog Food Small Bites Farm-Raised Chicken, Brown Rice & Sweet Potato Recipe Dog Kibble, 5 lb. Bag",B01N4TQSJP,PET_FOOD,R_037XK72IZBJyF69
7/23/2018,10.96,1,PA,"NUTRO WHOLESOME ESSENTIALS Adult Natural Dry Dog Food Small Bites Farm-Raised Chicken, Brown Rice & Sweet Potato Recipe Dog Kibble, 5 lb. Bag",B01N4TQSJP,PET_FOOD,R_037XK72IZBJyF69
7/23/2018,10.99,1,PA,"Rescue Bundle Pack Reusable Fruit Fly Trap, 2-Pack with Non-Toxic Fruit Fly Trap Refill",B01HFIRVJM,PEST_CONTROL_DEVICE,R_037XK72IZBJyF69
8/14/2018,21,1,PA,"Otamatone [Japanese Edition Japanese Electronic Musical Instrument Synthesizer by Cube / Maywa Denki, Black",B002IGTP00,TOYS_AND_GAMES,R_037XK72IZBJyF69
10/11/2018,3.96,1,PA,"Hot Shot 100046114 No-Pest Strip, Pack of 1",B0019BK8AG,INSECT_REPELLENT,R_037XK72IZBJyF69
10/11/2018,14.99,1,PA,CYD 24W 12V 2A Powerfast Laptop Power Cord Compatible for Asus Charger Chromebook-C201 C201P C201PA Chromebook-Flip C100 C100P C100PA-DB02 ADP-24EW B Power-Cord Extra 8.2 ft AC-Adapter Cable,B071WGR9GG,CHARGING_ADAPTER,R_037XK72IZBJyF69
10/21/2018,11.08,1,PA,"NOW Supplements, Rhodiola 500 mg, Helps Body Adapt to Stress of Daily Life*, Adaptogenic Herb*, 60 Veg Capsules",B005P0U7TY,HERBAL_SUPPLEMENT,R_037XK72IZBJyF69
10/21/2018,6.97,1,PA,The living reed,B00005W9ZZ,ABIS_BOOK,R_037XK72IZBJyF69
10/21/2018,16.99,1,PA,HINDAWI Winter Hat Scarf Gloves Slouchy Beanie Snow Knit Skull Cap Touch Screen Mittens Circle Scarves for Women,B07882QJX9,HAT,R_037XK72IZBJyF69
10/21/2018,4.5,2,PA,No nonsense Women's Yoga Waistband Tights,B077SZS7NR,TIGHTS,R_037XK72IZBJyF69
10/25/2018,29.99,1,PA,CILKOO Womens Plus Size Fashion Ladies Fuzzy Winter Fall Open Front Long Sleeve Fluffy Hoodies Fleece Cardigan Sweater Jacket Coat Outwear Grey US18-20 XX-Large,B07HKGBLZ3,COAT,R_037XK72IZBJyF69
11/2/2018,159.95,1,PA,"Asus C300MA 13.3 inch Chromebook Laptop, Intel N2830 2.16GHz Dual-Core, 4GB DDR3L, 16GB Solid State Drive SSD, 802.11n, Bluetooth, USB 3.0, HDMI, Chrome OS (Renewed)",B01N5XH704,NOTEBOOK_COMPUTER,R_037XK72IZBJyF69
11/28/2018,8.99,2,PA,"THETIS Homes 2-PACK Detangler Brush, Detangling Hair Comb, No Pain Tangle Free Hair Brush for Adults and Kids - Pink & Black",B0749CCDM6,HAIR_BRUSH,R_037XK72IZBJyF69
11/28/2018,9.95,1,PA,"gonicc Dog & Cat Pets Nail Clippers and Trimmers - with Safety Guard to Avoid Over Cutting, Free Nail File, Razor Sharp Blade - Professional Grooming Tool for Pets",B075N83693,PET_SUPPLIES,R_037XK72IZBJyF69
11/28/2018,15.99,2,PA,No nonsense Women's Stretch Denim Legging,B01HIK9DU2,PANTS,R_037XK72IZBJyF69
11/28/2018,29,1,PA,Daily Ritual Women's 100% Cotton Relaxed-Fit Long-Sleeve V-Neck Sweater,B07DK7QHN8,SWEATER,R_037XK72IZBJyF69
11/28/2018,14.95,1,PA,"Eva Naturals Vitamin C Serum for Face Plus Hyaluronic Acid, Retinol, Niacinamide & Salicylic Acid, Anti Aging Serum, Reduce Fine Lines, Wrinkles & Dark Spots, Brightening Skin Serum for Glowing Skin, Acne Serum (1 oz)",B01BT02Q88,SKIN_SERUM,R_037XK72IZBJyF69
11/28/2018,17.52,1,PA,"NOW Foods, Certified Organic Better Stevia, Extract Powder, Zero-Calorie Sweetener, Certified Non-GMO, 4-Ounce",B005F9XFN0,SUGAR_SUBSTITUTE,R_037XK72IZBJyF69
11/28/2018,26.45,1,PA,Life-Flo Progesta-Care Estriol | Natural Progesterone USP & Estriol | Physician-Developed Body Cream for Optimal Balance | 4-oz Pump,B0084Y1M8I,NUTRITIONAL_SUPPLEMENT,R_037XK72IZBJyF69
12/2/2018,15.79,1,PA,Jonathan Livingston Seagull a Story,B001TMIR1C,ABIS_BOOK,R_037XK72IZBJyF69
12/15/2018,11.97,1,PA,Dungeons & Dragons Starter Set,0786965592,TOYS_AND_GAMES,R_037XK72IZBJyF69
12/22/2018,15.95,1,PA,"ZEISS Pre-Moistened Lens Cleaning Wipes, 200 Count",B00GL64QG6,HEALTH_PERSONAL_CARE,R_037XK72IZBJyF69
12/22/2018,99.99,1,PA,,B07K1YRHPH,,R_037XK72IZBJyF69
12/22/2018,38.4,1,PA,"Rocketbook Smart Reusable Notebook Set - Dot-Grid Eco-Friendly Notebook with 2 Pilot Frixion Pens & 2 Microfiber Cloths Included - Light Blue Covers, Executive (6"" x 8.8”) & Mini Size (3.5"" x 5.5"")",B07HMC4S1D,BLANK_BOOK,R_037XK72IZBJyF69
12/28/2018,5.19,1,PA,"Higgins Vita Seed Parakeet Food, Large",B00DF2UK4G,PET_FOOD,R_037XK72IZBJyF69
12/28/2018,20.8,1,PA,,B003LYDBCG,,R_037XK72IZBJyF69
12/28/2018,14.97,1,PA,Pet Grooming Brush Effectively Reduces Shedding by Up to 95% Professional Deshedding Tool for Dogs and Cats (Blue),B01M5DS0Z7,PET_SUPPLIES,R_037XK72IZBJyF69
12/28/2018,11.16,1,PA,"Neutrogena Naturals Multi-Vitamin Moisturizing & Nourishing Night Face Cream with Antioxidant Bionutrients & Vitamins B, C & E, Non-Comedogenic & Sulfate-, Paraben-, Phthalate- & Dye-Free, 1.7 oz",B0067H6KP4,SKIN_MOISTURIZER,R_037XK72IZBJyF69
12/28/2018,7.99,1,PA,Mary Engelbreit 2019 Deluxe Wall Calendar: Everyone Understands Kindness,1449489745,CALENDAR,R_037XK72IZBJyF69
12/28/2018,69.99,1,PA,Carhartt Men's Duck Bib Unlined Overall R01,B002GHC66Q,PANTS,R_037XK72IZBJyF69
12/28/2018,27.97,1,PA,"Panda Planner - Daily Planner, Calendar and Gratitude Journal to Increase Productivity, Time Management & Happiness - Hardcover, Undated Day - Quarter Year Planner - Guaranteed (Purple)",B075B295PS,PLANNER,R_037XK72IZBJyF69
12/28/2018,8.9,1,PA,Enchanted Dreams 2019 Wall Calendar,B079GZJF4K,OFFICE_PRODUCTS,R_037XK72IZBJyF69
1/2/2019,7.99,1,PA,"Amazon Brand - Presto! 308-Sheet Mega Roll Toilet Paper, Ultra-Soft, 6 Count",B074CTMZ3Y,TOILET_PAPER,R_037XK72IZBJyF69
1/2/2019,14.95,1,PA,"Carpe Antiperspirant Hand Lotion, A dermatologist-recommended, non-irritating, smooth lotion that helps stop hand sweat, Great for hyperhidrosis",B010BVZ1VU,BODY_DEODORANT,R_037XK72IZBJyF69
1/16/2019,8.45,1,PA,,B0119Q9FYU,,R_037XK72IZBJyF69
1/16/2019,9.98,1,PA,"rabbitgoo Window Privacy Film Stained Glass Window Film Mosaic Static Cling Decorative Window Vinyl, Removable Rainbow Window Tint, Non-Adhesive UV Blocking for Home Office, 17.5 x 78.7 inches",B01JFILPIS,WINDOW_FILM,R_037XK72IZBJyF69
1/16/2019,5.49,1,PA,"essie Nail Polish, Glossy Shine Finish, Go Ginza, 0.46 Ounces (Packaging May Vary) Soft Purple Cherry Blossom",B00K692TN6,NAIL_POLISH,R_037XK72IZBJyF69
1/16/2019,4.99,1,PA,"Clear Passage Nasal Strips Extra Strength, Tan, 26 Count | Works Instantly to Improve Sleep, Reduce Snoring, & Relieve Nasal Congestion Due to Colds & Allergies",B075JJH4KQ,MEDICATION,R_037XK72IZBJyF69
1/16/2019,10.96,1,PA,"NUTRO WHOLESOME ESSENTIALS Adult Natural Dry Dog Food Small Bites Farm-Raised Chicken, Brown Rice & Sweet Potato Recipe Dog Kibble, 5 lb. Bag",B01N4TQSJP,PET_FOOD,R_037XK72IZBJyF69
1/16/2019,5.95,1,PA,Peter Pauper Press Essentials Weekly Planner Stickers (Set Of 575 Stickers),1441324097,ABIS_BOOK,R_037XK72IZBJyF69
1/24/2019,5.27,1,PA,BrassCraft Mfg SH3465 Faucet FIT-All Metal Handles W/Adaptor Lever,B000BODSZY,HARDWARE_HANDLE,R_037XK72IZBJyF69
1/24/2019,27.99,1,PA,,B07KQ6FTGT,,R_037XK72IZBJyF69
1/24/2019,5.99,1,PA,"AUX Cord 2 Pack 4ft, JSAUX 3.5mm to 3.5 mm Male to Male Auxiliary Audio Braided Stereo Hi-Fi Sound Cable for Headphones, Car, Home Stereos, Speaker, iPhone, iPad, iPod, Echo & More - Grey",B079FLCYBH,ELECTRONIC_CABLE,R_037XK72IZBJyF69
2/9/2019,210.55,1,PA,"ASUS Chromebook C202 Laptop- 11.6"" Ruggedized and Spill Resistant Design with 180 Degree Hinge, Intel Celeron N3060, 4GB RAM, 16GB eMMC Storage, Chrome OS- C202SA-YS02 Dark Blue, Silver",B01DBGVB7K,NOTEBOOK_COMPUTER,R_037XK72IZBJyF69
2/13/2019,22.97,1,PA,"Angry Orange Pet Odor Eliminator for Home - 8oz Dog and Cat Urine Smell Remover for Carpet, Grass, Tile and Furniture - Citrus Concentrate, Makes 128oz of Liquid",B00OI20SXA,AREA_DEODORIZER,R_037XK72IZBJyF69
2/13/2019,20.99,1,PA,Hand Held Steamer for Clothes - Portable Clothes Steamer Handheld - Power Fabric Clothes Steamer - Little Hand Steamers for Home - Compact and Small Travel Steamer - 140ml Fast Heat Up Mini Steamer,B07JRBKQVX,GARMENT_STEAMER,R_037XK72IZBJyF69
2/13/2019,11.99,1,PA,"Black Light UV Flashlight,Vansky 2022 Upgraded 51 LED Blacklight Pet Urine Detector for Dog/Cat Urine,Dry Stains,Bed Bug, Matching with Pet Odor Eliminator（Batteries are Included）",B07DD7L7S7,FLASHLIGHT,R_037XK72IZBJyF69
2/24/2019,36.97,1,PA,Umien Spin Mop and Bucket Sytem – 360° Self Wringing Spinning Mop with Stackable Bucket On Wheels and 2 Machine Washable Microfiber Mop Heads – Easy to use and Store,B07D439MFV,MOP_BUCKET_SET,R_037XK72IZBJyF69
2/24/2019,13.99,1,PA,"Accmor Magic Gate, Portable Folding Pet Safety Gate Mesh Magic Gate for Dogs with Removable Hook, Pet Safety Enclosure Install Anywhere",B07L4DW1VT,TEMPORARY_GATE,R_037XK72IZBJyF69
2/24/2019,54,1,PA,"Best Price Mattress 14-Inch Metal Platform Beds w/ Heavy Duty Steel Slat Mattress Foundation (No Box Spring Needed), Black",B07CVQXC66,BED_FRAME,R_037XK72IZBJyF69
3/24/2019,16.73,1,PA,"365 Days of Hoodoo: Daily Rootwork, Mojo & Conjuration",073874784X,ABIS_BOOK,R_037XK72IZBJyF69
3/24/2019,32.99,1,PA,"Sleepavo Memory Foam Seat Cushion for Office Chair - Orthopedic Back & Butt Pillow for Sciatica Tailbone Coccyx Hip Pain Relief for Sitting, Gaming, Desk, Car & Airplane - Padded Lumbar Support Pillow",B07L1936ZQ,BODY_POSITIONER,R_037XK72IZBJyF69
4/3/2019,14.96,1,PA,"NUTRO WHOLESOME ESSENTIALS Adult Natural Dry Dog Food Small Bites Farm-Raised Chicken, Brown Rice & Sweet Potato Recipe Dog Kibble, 5 lb. Bag",B01N4TQSJP,PET_FOOD,R_037XK72IZBJyF69
4/7/2019,10.4,1,PA,"Satya Incense Set of 12 Nag Champa, Super Hit, Sacred Sandalwood, Pure Patchouli, Mystic Rose, Vanilla, Prana, Natural, French Lavender, Opium, Egyptian Jasmine, Champa, VarietyPack01",B01EIKB5CO,INCENSE,R_037XK72IZBJyF69
4/7/2019,16.95,1,PA,Dani's Choice Feel The Retro Mood Wide High Waist A-line Full Flared Swing Skater Midi Skirt,B07484MGHL,SKIRT,R_037XK72IZBJyF69
4/7/2019,14.99,1,PA,SheIn Women's Summer Short Sleeve Loose Casual Tee T-Shirt,B01JZ4KOFC,SHIRT,R_037XK72IZBJyF69
