Country Name,Indicator Name,Year,Value
Europe & Central Asia,Population density (people per sq. km of land area),1962,24.9704389504
Europe & Central Asia,"Services, etc., value added (% of GDP)",1962,
Europe & Central Asia (excluding high income),"Agriculture, value added (% of GDP)",1962,
Europe & Central Asia (excluding high income),CO2 emissions (metric tons per capita),1962,
Europe & Central Asia (excluding high income),Domestic credit provided by financial sector (% of GDP),1962,23.00124533
Europe & Central Asia (excluding high income),Electric power consumption (kWh per capita),1962,
Europe & Central Asia (excluding high income),Energy use (kg of oil equivalent per capita),1962,
Europe & Central Asia (excluding high income),Exports of goods and services (% of GDP),1962,
Europe & Central Asia (excluding high income),"Fertility rate, total (births per woman)",1962,3.0335410997500003
Europe & Central Asia (excluding high income),GDP growth (annual %),1962,
Europe & Central Asia (excluding high income),Imports of goods and services (% of GDP),1962,
Europe & Central Asia (excluding high income),"Industry, value added (% of GDP)",1962,
Europe & Central Asia (excluding high income),"Inflation, GDP deflator (annual %)",1962,
Europe & Central Asia (excluding high income),"Life expectancy at birth, total (years)",1962,64.3017848226
Europe & Central Asia (excluding high income),Population density (people per sq. km of land area),1962,12.534731168099999
Europe & Central Asia (excluding high income),"Services, etc., value added (% of GDP)",1962,
Europe & Central Asia (IDA & IBRD countries),"Agriculture, value added (% of GDP)",1962,
Europe & Central Asia (IDA & IBRD countries),CO2 emissions (metric tons per capita),1962,
Europe & Central Asia (IDA & IBRD countries),Domestic credit provided by financial sector (% of GDP),1962,23.00124533
Europe & Central Asia (IDA & IBRD countries),Electric power consumption (kWh per capita),1962,
Europe & Central Asia (IDA & IBRD countries),Energy use (kg of oil equivalent per capita),1962,
Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (% of GDP),1962,
Europe & Central Asia (IDA & IBRD countries),"Fertility rate, total (births per woman)",1962,2.99494440601
Europe & Central Asia (IDA & IBRD countries),GDP growth (annual %),1962,
Europe & Central Asia (IDA & IBRD countries),Imports of goods and services (% of GDP),1962,
Europe & Central Asia (IDA & IBRD countries),"Industry, value added (% of GDP)",1962,
Europe & Central Asia (IDA & IBRD countries),"Inflation, GDP deflator (annual %)",1962,
Europe & Central Asia (IDA & IBRD countries),"Life expectancy at birth, total (years)",1962,64.62170061350001
Europe & Central Asia (IDA & IBRD countries),Population density (people per sq. km of land area),1962,13.837717906300002
Europe & Central Asia (IDA & IBRD countries),"Services, etc., value added (% of GDP)",1962,
European Union,"Agriculture, value added (% of GDP)",1962,
European Union,CO2 emissions (metric tons per capita),1962,6.21118218358
European Union,Domestic credit provided by financial sector (% of GDP),1962,44.3390099357
European Union,Electric power consumption (kWh per capita),1962,1641.96634832
European Union,Energy use (kg of oil equivalent per capita),1962,1869.0381177000002
European Union,Exports of goods and services (% of GDP),1962,18.69929913
European Union,"Fertility rate, total (births per woman)",1962,2.59090419097
European Union,GDP growth (annual %),1962,5.03156629351
European Union,Imports of goods and services (% of GDP),1962,19.2606330094
European Union,"Industry, value added (% of GDP)",1962,
European Union,"Inflation, GDP deflator (annual %)",1962,
European Union,"Life expectancy at birth, total (years)",1962,69.5145683758
European Union,Population density (people per sq. km of land area),1962,98.9488025567
European Union,"Services, etc., value added (% of GDP)",1962,
Fragile and conflict affected situations,"Agriculture, value added (% of GDP)",1962,
Fragile and conflict affected situations,CO2 emissions (metric tons per capita),1962,0.28544791635899996
Fragile and conflict affected situations,Domestic credit provided by financial sector (% of GDP),1962,14.7629661812
Fragile and conflict affected situations,Electric power consumption (kWh per capita),1962,
Fragile and conflict affected situations,Energy use (kg of oil equivalent per capita),1962,
Fragile and conflict affected situations,Exports of goods and services (% of GDP),1962,
Fragile and conflict affected situations,"Fertility rate, total (births per woman)",1962,6.632275168
Fragile and conflict affected situations,GDP growth (annual %),1962,
Fragile and conflict affected situations,Imports of goods and services (% of GDP),1962,
Fragile and conflict affected situations,"Industry, value added (% of GDP)",1962,
Fragile and conflict affected situations,"Inflation, GDP deflator (annual %)",1962,
Fragile and conflict affected situations,"Life expectancy at birth, total (years)",1962,41.936078922600004
Fragile and conflict affected situations,Population density (people per sq. km of land area),1962,8.44095168403
Fragile and conflict affected situations,"Services, etc., value added (% of GDP)",1962,
Heavily indebted poor countries (HIPC),"Agriculture, value added (% of GDP)",1962,
Heavily indebted poor countries (HIPC),CO2 emissions (metric tons per capita),1962,0.123188012667
Heavily indebted poor countries (HIPC),Domestic credit provided by financial sector (% of GDP),1962,9.16389738515
Heavily indebted poor countries (HIPC),Electric power consumption (kWh per capita),1962,
Heavily indebted poor countries (HIPC),Energy use (kg of oil equivalent per capita),1962,
Heavily indebted poor countries (HIPC),Exports of goods and services (% of GDP),1962,18.188196258199998
Heavily indebted poor countries (HIPC),"Fertility rate, total (births per woman)",1962,6.74367372901
Heavily indebted poor countries (HIPC),GDP growth (annual %),1962,6.894541309380001
Heavily indebted poor countries (HIPC),Imports of goods and services (% of GDP),1962,21.0289126827
Heavily indebted poor countries (HIPC),"Industry, value added (% of GDP)",1962,
Heavily indebted poor countries (HIPC),"Inflation, GDP deflator (annual %)",1962,2.48595550992
Heavily indebted poor countries (HIPC),"Life expectancy at birth, total (years)",1962,40.4194539613
Heavily indebted poor countries (HIPC),Population density (people per sq. km of land area),1962,8.622484235349999
Heavily indebted poor countries (HIPC),"Services, etc., value added (% of GDP)",1962,
High income,"Agriculture, value added (% of GDP)",1962,
High income,CO2 emissions (metric tons per capita),1962,7.82997726503
High income,Domestic credit provided by financial sector (% of GDP),1962,82.8547064002
High income,Electric power consumption (kWh per capita),1962,2545.23146285
High income,Energy use (kg of oil equivalent per capita),1962,2913.42527159
High income,Exports of goods and services (% of GDP),1962,12.877313463
High income,"Fertility rate, total (births per woman)",1962,2.96349510726
High income,GDP growth (annual %),1962,5.87285481018
High income,Imports of goods and services (% of GDP),1962,13.252244035899999
High income,"Industry, value added (% of GDP)",1962,
High income,"Inflation, GDP deflator (annual %)",1962,
High income,"Life expectancy at birth, total (years)",1962,68.8475229673
High income,Population density (people per sq. km of land area),1962,22.297839823
High income,"Services, etc., value added (% of GDP)",1962,
IBRD only,"Agriculture, value added (% of GDP)",1962,34.6741376923
IBRD only,CO2 emissions (metric tons per capita),1962,1.1365271590600001
IBRD only,Domestic credit provided by financial sector (% of GDP),1962,
IBRD only,Electric power consumption (kWh per capita),1962,
IBRD only,Energy use (kg of oil equivalent per capita),1962,
IBRD only,Exports of goods and services (% of GDP),1962,8.338509162689999
IBRD only,"Fertility rate, total (births per woman)",1962,5.4944322563800005
IBRD only,GDP growth (annual %),1962,3.6555936509800007
IBRD only,Imports of goods and services (% of GDP),1962,8.19604234354
IBRD only,"Industry, value added (% of GDP)",1962,28.481684634
IBRD only,"Inflation, GDP deflator (annual %)",1962,
IBRD only,"Life expectancy at birth, total (years)",1962,49.40421599890001
IBRD only,Population density (people per sq. km of land area),1962,28.284280960100002
IBRD only,"Services, etc., value added (% of GDP)",1962,36.5780360872
IDA & IBRD total,"Agriculture, value added (% of GDP)",1962,35.211278121599996
IDA & IBRD total,CO2 emissions (metric tons per capita),1962,0.9659958411570001
IDA & IBRD total,Domestic credit provided by financial sector (% of GDP),1962,21.404794415599998
IDA & IBRD total,Electric power consumption (kWh per capita),1962,
IDA & IBRD total,Energy use (kg of oil equivalent per capita),1962,
IDA & IBRD total,Exports of goods and services (% of GDP),1962,8.71233811745
IDA & IBRD total,"Fertility rate, total (births per woman)",1962,5.702685923230001
IDA & IBRD total,GDP growth (annual %),1962,3.8733317462400003
IDA & IBRD total,Imports of goods and services (% of GDP),1962,8.72712903536
IDA & IBRD total,"Industry, value added (% of GDP)",1962,
IDA & IBRD total,"Inflation, GDP deflator (annual %)",1962,
IDA & IBRD total,"Life expectancy at birth, total (years)",1962,48.5301727589
IDA & IBRD total,Population density (people per sq. km of land area),1962,24.800808079499998
IDA & IBRD total,"Services, etc., value added (% of GDP)",1962,
IDA blend,"Agriculture, value added (% of GDP)",1962,
IDA blend,CO2 emissions (metric tons per capita),1962,0.380231077993
IDA blend,Domestic credit provided by financial sector (% of GDP),1962,19.6453330531
IDA blend,Electric power consumption (kWh per capita),1962,
IDA blend,Energy use (kg of oil equivalent per capita),1962,
IDA blend,Exports of goods and services (% of GDP),1962,
IDA blend,"Fertility rate, total (births per woman)",1962,6.34627388581
IDA blend,GDP growth (annual %),1962,4.12401453213
IDA blend,Imports of goods and services (% of GDP),1962,
IDA blend,"Industry, value added (% of GDP)",1962,
IDA blend,"Inflation, GDP deflator (annual %)",1962,0.469617819433
IDA blend,"Life expectancy at birth, total (years)",1962,48.9768436623
IDA blend,Population density (people per sq. km of land area),1962,25.059254169299997
IDA blend,"Services, etc., value added (% of GDP)",1962,
IDA only,"Agriculture, value added (% of GDP)",1962,
IDA only,CO2 emissions (metric tons per capita),1962,0.143113788976
IDA only,Domestic credit provided by financial sector (% of GDP),1962,
IDA only,Electric power consumption (kWh per capita),1962,
IDA only,Energy use (kg of oil equivalent per capita),1962,
IDA only,Exports of goods and services (% of GDP),1962,
IDA only,"Fertility rate, total (births per woman)",1962,6.73504404724
IDA only,GDP growth (annual %),1962,6.7825443948099995
IDA only,Imports of goods and services (% of GDP),1962,
IDA only,"Industry, value added (% of GDP)",1962,
IDA only,"Inflation, GDP deflator (annual %)",1962,
IDA only,"Life expectancy at birth, total (years)",1962,42.2791710945
IDA only,Population density (people per sq. km of land area),1962,13.416935075
IDA only,"Services, etc., value added (% of GDP)",1962,
IDA total,"Agriculture, value added (% of GDP)",1962,
IDA total,CO2 emissions (metric tons per capita),1962,0.237643137889
IDA total,Domestic credit provided by financial sector (% of GDP),1962,15.9164985203
IDA total,Electric power consumption (kWh per capita),1962,
IDA total,Energy use (kg of oil equivalent per capita),1962,
IDA total,Exports of goods and services (% of GDP),1962,
IDA total,"Fertility rate, total (births per woman)",1962,6.589375360569999
IDA total,GDP growth (annual %),1962,5.454590516180001
IDA total,Imports of goods and services (% of GDP),1962,
IDA total,"Industry, value added (% of GDP)",1962,
IDA total,"Inflation, GDP deflator (annual %)",1962,
IDA total,"Life expectancy at birth, total (years)",1962,44.820662595
IDA total,Population density (people per sq. km of land area),1962,16.2814472862
IDA total,"Services, etc., value added (% of GDP)",1962,
Late-demographic dividend,"Agriculture, value added (% of GDP)",1962,33.4837436161
Late-demographic dividend,CO2 emissions (metric tons per capita),1962,1.34297911486
Late-demographic dividend,Domestic credit provided by financial sector (% of GDP),1962,
Late-demographic dividend,Electric power consumption (kWh per capita),1962,
Late-demographic dividend,Energy use (kg of oil equivalent per capita),1962,
Late-demographic dividend,Exports of goods and services (% of GDP),1962,7.587388409189999
Late-demographic dividend,"Fertility rate, total (births per woman)",1962,5.321042724090001
Late-demographic dividend,GDP growth (annual %),1962,3.2814245382
Late-demographic dividend,Imports of goods and services (% of GDP),1962,7.4983921969
Late-demographic dividend,"Industry, value added (% of GDP)",1962,31.4626111132
Late-demographic dividend,"Inflation, GDP deflator (annual %)",1962,
Late-demographic dividend,"Life expectancy at birth, total (years)",1962,51.171937401899996
Late-demographic dividend,Population density (people per sq. km of land area),1962,25.0503071863
Late-demographic dividend,"Services, etc., value added (% of GDP)",1962,35.0477841021
Latin America & Caribbean,"Agriculture, value added (% of GDP)",1962,
Latin America & Caribbean,CO2 emissions (metric tons per capita),1962,1.35454450523
Latin America & Caribbean,Domestic credit provided by financial sector (% of GDP),1962,22.1865633579
Latin America & Caribbean,Electric power consumption (kWh per capita),1962,
Latin America & Caribbean,Energy use (kg of oil equivalent per capita),1962,
Latin America & Caribbean,Exports of goods and services (% of GDP),1962,10.0921648085
Latin America & Caribbean,"Fertility rate, total (births per woman)",1962,5.942396391390001
Latin America & Caribbean,GDP growth (annual %),1962,4.83300561552
Latin America & Caribbean,Imports of goods and services (% of GDP),1962,10.9175885343
Latin America & Caribbean,"Industry, value added (% of GDP)",1962,
Latin America & Caribbean,"Inflation, GDP deflator (annual %)",1962,3.0128553157200004
Latin America & Caribbean,"Life expectancy at birth, total (years)",1962,57.000082881800004
Latin America & Caribbean,Population density (people per sq. km of land area),1962,11.618291185899999
Latin America & Caribbean,"Services, etc., value added (% of GDP)",1962,
Latin America & Caribbean (excluding high income),"Agriculture, value added (% of GDP)",1962,
Latin America & Caribbean (excluding high income),CO2 emissions (metric tons per capita),1962,1.29091743828
Latin America & Caribbean (excluding high income),Domestic credit provided by financial sector (% of GDP),1962,21.864678260999998
Latin America & Caribbean (excluding high income),Electric power consumption (kWh per capita),1962,
Latin America & Caribbean (excluding high income),Energy use (kg of oil equivalent per capita),1962,
Latin America & Caribbean (excluding high income),Exports of goods and services (% of GDP),1962,9.23742039629
Latin America & Caribbean (excluding high income),"Fertility rate, total (births per woman)",1962,6.0435349572599995
Latin America & Caribbean (excluding high income),GDP growth (annual %),1962,4.86876099295
Latin America & Caribbean (excluding high income),Imports of goods and services (% of GDP),1962,9.77322768685
Latin America & Caribbean (excluding high income),"Industry, value added (% of GDP)",1962,
Latin America & Caribbean (excluding high income),"Inflation, GDP deflator (annual %)",1962,2.8353532692799996
Latin America & Caribbean (excluding high income),"Life expectancy at birth, total (years)",1962,56.632426295600006
Latin America & Caribbean (excluding high income),Population density (people per sq. km of land area),1962,11.4246191919
Latin America & Caribbean (excluding high income),"Services, etc., value added (% of GDP)",1962,
Latin America & the Caribbean (IDA & IBRD countries),"Agriculture, value added (% of GDP)",1962,
Latin America & the Caribbean (IDA & IBRD countries),CO2 emissions (metric tons per capita),1962,1.32912433646
Latin America & the Caribbean (IDA & IBRD countries),Domestic credit provided by financial sector (% of GDP),1962,22.1865633579
Latin America & the Caribbean (IDA & IBRD countries),Electric power consumption (kWh per capita),1962,
Latin America & the Caribbean (IDA & IBRD countries),Energy use (kg of oil equivalent per capita),1962,
Latin America & the Caribbean (IDA & IBRD countries),Exports of goods and services (% of GDP),1962,9.61786347044
Latin America & the Caribbean (IDA & IBRD countries),"Fertility rate, total (births per woman)",1962,6.01462187028
Latin America & the Caribbean (IDA & IBRD countries),GDP growth (annual %),1962,4.75330469964
Latin America & the Caribbean (IDA & IBRD countries),Imports of goods and services (% of GDP),1962,10.2092828943
Latin America & the Caribbean (IDA & IBRD countries),"Industry, value added (% of GDP)",1962,
Latin America & the Caribbean (IDA & IBRD countries),"Inflation, GDP deflator (annual %)",1962,3.0128553157200004
Latin America & the Caribbean (IDA & IBRD countries),"Life expectancy at birth, total (years)",1962,56.581993814499995
Latin America & the Caribbean (IDA & IBRD countries),Population density (people per sq. km of land area),1962,11.1668846634
Latin America & the Caribbean (IDA & IBRD countries),"Services, etc., value added (% of GDP)",1962,
Least developed countries: UN classification,"Agriculture, value added (% of GDP)",1962,
Least developed countries: UN classification,CO2 emissions (metric tons per capita),1962,0.10587183119799999
Least developed countries: UN classification,Domestic credit provided by financial sector (% of GDP),1962,
Least developed countries: UN classification,Electric power consumption (kWh per capita),1962,
Least developed countries: UN classification,Energy use (kg of oil equivalent per capita),1962,
Least developed countries: UN classification,Exports of goods and services (% of GDP),1962,
Least developed countries: UN classification,"Fertility rate, total (births per woman)",1962,6.69056719625
Least developed countries: UN classification,GDP growth (annual %),1962,
Least developed countries: UN classification,Imports of goods and services (% of GDP),1962,
Least developed countries: UN classification,"Industry, value added (% of GDP)",1962,
Least developed countries: UN classification,"Inflation, GDP deflator (annual %)",1962,
Least developed countries: UN classification,"Life expectancy at birth, total (years)",1962,41.1928855841
Least developed countries: UN classification,Population density (people per sq. km of land area),1962,12.5195029153
Least developed countries: UN classification,"Services, etc., value added (% of GDP)",1962,
Low & middle income,"Agriculture, value added (% of GDP)",1962,35.5772411533
Low & middle income,CO2 emissions (metric tons per capita),1962,0.84898678824
Low & middle income,Domestic credit provided by financial sector (% of GDP),1962,
Low & middle income,Electric power consumption (kWh per capita),1962,
Low & middle income,Energy use (kg of oil equivalent per capita),1962,
Low & middle income,Exports of goods and services (% of GDP),1962,8.59211573566
Low & middle income,"Fertility rate, total (births per woman)",1962,5.742035481619999
Low & middle income,GDP growth (annual %),1962,3.90212807046
Low & middle income,Imports of goods and services (% of GDP),1962,8.582516738130002
Low & middle income,"Industry, value added (% of GDP)",1962,27.7758560977
Low & middle income,"Inflation, GDP deflator (annual %)",1962,
Low & middle income,"Life expectancy at birth, total (years)",1962,48.2624022762
Low & middle income,Population density (people per sq. km of land area),1962,24.792960636799997
Low & middle income,"Services, etc., value added (% of GDP)",1962,36.507620883499996
Low income,"Agriculture, value added (% of GDP)",1962,
Low income,CO2 emissions (metric tons per capita),1962,
Low income,Domestic credit provided by financial sector (% of GDP),1962,7.69721054866
Low income,Electric power consumption (kWh per capita),1962,
Low income,Energy use (kg of oil equivalent per capita),1962,
Low income,Exports of goods and services (% of GDP),1962,
Low income,"Fertility rate, total (births per woman)",1962,6.48639086075
Low income,GDP growth (annual %),1962,
Low income,Imports of goods and services (% of GDP),1962,
Low income,"Industry, value added (% of GDP)",1962,
Low income,"Inflation, GDP deflator (annual %)",1962,2.01037156929
Low income,"Life expectancy at birth, total (years)",1962,39.8777345906
Low income,Population density (people per sq. km of land area),1962,12.0694599289
Low income,"Services, etc., value added (% of GDP)",1962,
Lower middle income,"Agriculture, value added (% of GDP)",1962,44.121268971199996
Lower middle income,CO2 emissions (metric tons per capita),1962,0.41537526094800004
Lower middle income,Domestic credit provided by financial sector (% of GDP),1962,22.1611220375
Lower middle income,Electric power consumption (kWh per capita),1962,
Lower middle income,Energy use (kg of oil equivalent per capita),1962,
Lower middle income,Exports of goods and services (% of GDP),1962,8.52330060872
Lower middle income,"Fertility rate, total (births per woman)",1962,5.93217502222
Lower middle income,GDP growth (annual %),1962,3.572485635369999
Lower middle income,Imports of goods and services (% of GDP),1962,10.165380385499999
Lower middle income,"Industry, value added (% of GDP)",1962,18.8420127005
Lower middle income,"Inflation, GDP deflator (annual %)",1962,
Lower middle income,"Life expectancy at birth, total (years)",1962,46.7459146339
Lower middle income,Population density (people per sq. km of land area),1962,45.45758707270001
Lower middle income,"Services, etc., value added (% of GDP)",1962,38.4224910867
Middle East & North Africa,"Agriculture, value added (% of GDP)",1962,
Middle East & North Africa,CO2 emissions (metric tons per capita),1962,1.0624464408399998
Middle East & North Africa,Domestic credit provided by financial sector (% of GDP),1962,19.8086681827
Middle East & North Africa,Electric power consumption (kWh per capita),1962,
Middle East & North Africa,Energy use (kg of oil equivalent per capita),1962,
Middle East & North Africa,Exports of goods and services (% of GDP),1962,
Middle East & North Africa,"Fertility rate, total (births per woman)",1962,6.8863571515799995
Middle East & North Africa,GDP growth (annual %),1962,
Middle East & North Africa,Imports of goods and services (% of GDP),1962,
Middle East & North Africa,"Industry, value added (% of GDP)",1962,
Middle East & North Africa,"Inflation, GDP deflator (annual %)",1962,
Middle East & North Africa,"Life expectancy at birth, total (years)",1962,48.388503440600005
Middle East & North Africa,Population density (people per sq. km of land area),1962,9.91124207548
Middle East & North Africa,"Services, etc., value added (% of GDP)",1962,
Middle East & North Africa (excluding high income),"Agriculture, value added (% of GDP)",1962,
Middle East & North Africa (excluding high income),CO2 emissions (metric tons per capita),1962,0.850534695618
Middle East & North Africa (excluding high income),Domestic credit provided by financial sector (% of GDP),1962,21.0961617263
Middle East & North Africa (excluding high income),Electric power consumption (kWh per capita),1962,
Middle East & North Africa (excluding high income),Energy use (kg of oil equivalent per capita),1962,
Middle East & North Africa (excluding high income),Exports of goods and services (% of GDP),1962,
