Unknown Number of Deaths,0 Deaths,1-50 Deaths,51-100 Deaths,101-1000 Deaths,>1001 Deaths,"Unknown Number of Deaths, lat","Unknown Number of Deaths, lon","0 Deaths, lat","0 Deaths, lon","1-50 Deaths, lat","1-50 Deaths, lon","51-100 Deaths, lat","51-100 Deaths, lon","101-1000 Deaths, lat","101-1000 Deaths, lon",">1001 Deaths, lat",">1001 Deaths, lon"
"Micronesia, Fed. States Of:  Caroline Islands, 1912",,"Peru:  Santaog De Chuco, Trujillo, Chimbote, 1987","China:  Gansu Province:  Wusban, 1850","China:  Shanxi Province, 1664","Pakistan:  Balakot, Patan, 1974",7,138,,,-8.143,-77.954,34.7,104.9,38.7,112.7,35.1,72.9
"California:  Terminal Island, 1955",,"Afghanistan:  Khorog, Jalalabad; Pakistan, 1984","Turkey:  Burdur, 1971","Peru:  Santa Catalina, 1739","Iran:  Qeshm Island, Larak Island, 1897",33.8,-118.2,,,34.616,70.484,37.6,29.8,-14.1,-73.2,26.95,56.26
"Guam; Northern Mariana Islands:  Saipan, 1990",,"Peru:  Huarmey, Casma, Huarax, Chimbote, 1986","Turkey:  Pasinler (Hasankale),Erzincan, 1952","China:  Hebei Province:  Dongguang, Cangxian, 1704","India:  Chamoli, Uttarkashi, New Delhi, Chandigarh, 1991",15.125,147.596,,,-9.505,-77.512,39.8,39.5,38,116.5,30.78,78.774
"New Zealand:  Off Coast North Island, 1947",,"Turkey:  Denizli, 1976","Mexico:  Acapulco,Mexico City, 1957","Taiwan:  Tainan, 1720","India:  Latur-Osmanabad, Killari, 1993",-38.85,178.87,,,37.7,28.89,16.5,-99.1,20.3,120.3,18.066,76.451
"Peru:  Northern:  Chimbote, Callao, 1996",,"Philippines:  Cebu Island, Mactan Island, 1922","China:  Sichuan Province, 1738","China:  Gansu Province, 1677","Pakistan:  Muzaffarabad, Uri, Anantnag, Baramula, 2005",-9.593,-79.587,,,10.2,124.1,33.2,104.2,33.4,104.8,34.539,73.588
"Russia:  Sea Of Okhotsk, 1902",,"Chile:  Catalina, Antofagasta, 1971","Greece:  Samos (Dodecanese), 1831","China:  Yunnan Province:  Fumin, 1927","China:  Guangdong Province:  Yangjiang County, 1969",50,148,,,-25.5,-69.2,37.8,27,25.2,102.5,22.317,111.8
"Italy:  Genoa, Carmagnole, 1703",,"Japan:  Honshu:  W Coast, 1964","Switzerland, 1839","Iran:  Khvoy (Khoy), 1843","Yemen:  Razih, 1941",44.4,8.917,,,38.65,139.2,45.9,6.1,38.6,44.9,16.4,43.5
"Russia:  Kuril-Japan:  Hokkaido, 1974",,"Dominican Republic:  Santo Domingo, 1984","Chile: Peru:  Tacna,Arica,Arequipa, 1831","China:  Qinghai Province, 1893","Nepal-India:  Kathmandu, Bihar, 1988",43.2,146.7,,,17.984,-69.338,-18.5,-71,36.6,101.8,26.755,86.616
"Mexico:  Near Coast Of Guerrero, 1911",,"Chile, 1956","China:  Qinghai Province, 1834","China:  Anhui Province, 1829","Taiwan:  Mialoi, 1935",17,-100.7,,,-19,-70,33,97,33.2,117.9,24.3,120.8
"Japan:  S Honshu:  Hiroshima, 1978",,"Philippines:  Pagadian,  Zamboanga, 1985","Greece:  Kyparissia (Messinia), 1875","China:  Yunnan Province, 1906","Iran:  Torbet-I-Kheydarly, 1932",35.1,132.6,,,7.758,123.544,37.3,21.8,26.6,104.1,36.6,53.4
"Taiwan, 1994",,"Papua New Guinea:  New Britain:  Rabaul, 1989","China:  Shanxi Province, 1862","China:  Yunnan Province, 1863","Yemen:  Dhamar, 1982",23.959,122.448,,,-4.346,152.797,35.5,111.5,26,100.1,14.701,44.379
"Indonesia:  Amurang Island, 1930",,"Kazakhstan:  Ust, Zaysan, 1990","China:  Anhui Province, 1868","China:  Hubei Province, 1856","Armenia:  Zangezur, Nakhitchevan, 1931",1.2,124.57,,,47.869,85.076,32.4,117.8,29.7,108.8,39.2,46
"Boston And Salem, Massachusetts, 1668",,"Taiwan:  Chia-I, Tainan, Hualien, Kao-Hsiung, 1998","Philippines:  Cotabato,N Coast Of Illana Bay, 1928","Taiwan:  Jiayi, Kagi, 1776","China:  Shaanxi Province:  Lintong, Xianyang, 1487",42.35,-71.05,,,23.407,120.736,7,124,23.5,120.6,34.4,108.9
"China:  Ganzhou Province:  Xunwu, 1987",,"Georgia:  Khekheti, 1991","Turkey:  Van,Nemrut, 1881","China: Sichuan Province, 1854","Iran:  Tabriz, 1727",24.924,115.608,,,42.565,43.349,38.5,43.3,29.1,107.1,38,46.3
"Russia:  Kuril Islands, 1978",,"Chile:  Arica; Peru:  Arequipa, Tacna, 1987","China:  Yunnan Province, 1878","Iran:  Tabriz, 1883","China:  Sichuan Province, 1816",44.026,149.002,,,-17.897,-70.931,27.7,100.8,38.1,46.3,31.4,100.7
"South Africa:  Mount Frere, Durban, 1986",,"Japan:  Tokkaido, Oshima, 1978","China:  Shanxi Province, 1937","Ecuador:  Gonzanama, San Pedro, Molleture, 1913","Israel:  Palestine; Syria, 1752",-30.546,28.737,,,34.809,139.259,37.8,112.5,-3.4,-79.6,31.2,34.2
"Papua New Guinea:  Admiralty Islands, 1977",,"Azerbaijan:  Agdas, Ucar, Agali, 1999","China:  Shanxi Province, 1827","Turkey:  Van,Bolgesi, 1945","Syria:  Coast; Israel, 1752",-1.081,146.23,,,40.802,47.448,34.9,111.1,38.5,43.3,35,36
"California:  Off Coast Northern, 2005",,"Taiwan:  Hualien, 1972","China:  Shanxi Province: Xugou, 1368","Turkey:  Aelana, Ceyhan, Adana, 1945","China:  Shaanxi Province:  Longxian, 1704",41.301,-125.97,,,23.6,121.6,37.6,112.5,37.4,35.8,34.9,106.8
"Peru:  Central, 2006",,"Mexico:  Nw, 1980","China:  S Xinjiang:  Wuqua-Shufu, 1985","China: Qinghai Province, 1819","China:  Hunan Province, 1631",-13.457,-76.677,,,32.22,-114.985,39.431,75.224,36.1,102.3,29.3,111.7
"Philippines:  Celebes Sea:  Moro Gulf, 2010",,"China:  Gansu Province:  Lintao, 1631","Iran:  St Thaddeus; Armenia:  Ararat, Sini, Ani, 1319","China:  Yunnan Province, 1926","Iran:  Mashhad, Neyshabur (Nishapur), 1673",6.486,123.467,,,35.3,104.3,39.1,44.5,25.6,100.3,36.3,59.3
"Samoa Islands, 2006",,"Iran, 1979","China:  Yunnan Province, 1517","Greece:  Lesbos, 1384","China:  Ningxia, 1143",-16.592,-172.033,,,33.962,59.726,24.1,102.6,39.3,26.3,38.5,106.3
"Peru:  Esquilaya, 1928",,"Papua New Guinea:  Ulawun, Rabaul, 1983","China:  Yunnan Province, 1511","Iraq:  Shahrizur, Sulaimaniya, Baghdad, 1310","Syria:  Dimashq (Damascus); Turkey:  Antakya, 844",-13,-69.5,,,-5.392,151.868,26.6,100,35.6,46,33.5,36.3
"Russia:  Kuril Islands, 1976",,"Indonesia: New Guinea:  Irian Jaya: Japen, 2010","China:  Sichuan Province:  Maowen, 1488","China:  Shanxi Province:  Yushe, 1351","Armenia:  Dvin, 851",44.915,149.123,,,-2.174,136.543,31.7,103.9,37.3,113,40,44.6
"Pennsylvania: Reading, Felt To Canada, 1994",,"Peru:  Coast, Lunahuana, Lima, Huancayo, 1982","Philippines:  Bohol, Cebu, Cagayan De Oro, Camiguin, 1990","Tajikistan:  Sharora, Gissar, 1989","Taiwan:  Tainan, 1862",40.33,-76.037,,,-12.69,-76.065,9.755,124.694,38.465,68.694,23.4,120
"New Zealand:  South Island:  Christchurch, 2010",,"California:  Superstition Hills, 1987","China:  Yunnan Province:  Jiangshui, 1539","China:  Yunnan Province, 1514","Iran-Iraq:  Dinavar,Baghdad, Tigris-Ktesiphon, 1007",-43.57,172.388,,,33.082,-115.775,23.6,102.8,25.1,99.1,33.2,44.2
"Bangladesh:  Narayanganj, 2010",,"Chile:  Antofagasta, Arica, 1987","Peru:  Rioja, Moyobamba, Nueva Cajamarca, 1991","Switzerland, 1512","Azerbaijan:  Shemakha (Semacha), 1669",23.407,90.648,,,-24.388,-70.161,-5.982,-77.094,46.4,9,40.6,48.6
"Sierra Leone, 1795",,"Japan:  Tokyo, Yokohama, 1980","Afghanistan:  Badakhstan Province, 1991","China:  Sichuan Province:  Yanyuan, 1478","Iran:  Hazanderan, Abegarm, 1957",9.3,-13.4,,,35.45,139.964,37.457,68.273,27.5,101.6,36.1,52.7
"Alaska:  Aleutian Islands:  Fox Islands, 1929",,"Guatemala:  S Palin, San Vicente Pacaya, 1988","Switzerland, 1622","Turkey:  Iznik, Izmit [Nicomedia], 358","China:  Yunnan Province:  S Of Xundian, 1713",51,-170,,,13.881,-90.45,46.8,10.3,40.77,29.9,25.4,103.2
"Argentina:  Mendoza, 2006",,"Myanmar (Burma);  India:  Gauhati, Sibsagar, Imphal, 1988","Switzerland:  Geneva-Yvoire, 1584","China:  Yunnan:  Weishan, 1520","Iran:   Buyin-Zara, 1962",-33.131,-68.707,,,25.149,95.127,46.2,7,25.3,100.3,35.63,49.87
"Peru:  Lima, 1840",,"Chile:  Off Central Coast, Las Cruces, 1981","India:  Southern:  Jabalpur, 1997","Turkey: Izmir, Aegean Islands, 177","Syria:  Al-Ladhiqiyah (Latakia), 1796",-12.3,-77.3,,,-33.134,-73.074,23.083,80.041,38.6,26.65,35.2,35.8
"Mongolia, 1930",,"Solomon Islands, 1977","Nepal-India, 1966","China:  Beijing, 294","Venezuela:  Cumana, Cariaco, 1797",-4.05,39.667,,,-9.828,160.323,29.554,80.854,40.3,116,10.6,-64.1
"Russia:  Kuril Islands, 1978",,"China:  Yunnan Province:  Xinping, 1927","Taiwan:  Yilan, 1897","China:  Shaanxi Province, 600","China:  Yunnan Province, 1680",44.14,149.029,,,24.1,102,24.7,121.8,34.3,108.9,25,101.5
"Vanuatu Islands, 2015",,"Chile:  Near Central Coast, Santiago-Valparaiso, 1985","China:  Northeastern: Shangyi-Zhangbei, Hebei, 1998","Afghanistan:  Badakhstan, Baghlan, Laghman, Nagarhar, 1991","China:  Shanxi Province, 1683",-16.431,168.148,,,-34.131,-71.618,41.083,114.5,35.993,70.423,38.7,112.7
"Puerto Rico:  Mona Passage:  Catano, 1988",,"Iran:  Nw, Zanjin, 1983","Turkey:   Dinar, Evciler, 1995","China:  Yunnan Province, 1560","Italy:  Siracusa (Syracuse), 1757",19.08,-67.256,,,36.948,49.18,38.063,30.134,24.2,102.7,37,15
"Russia:  Kuril Islands, 1978",,"Mexico:  Mexico City, Acapulco, 1989","Iran:  Bojnurd, Shirvan, Esfarayen, 1997","Turkey:  Kars, Digor, Ani (Armenia), 1003","China:  Gansu Province:  Wushan, Gangu, 1765",44.209,148.971,,,16.773,-99.328,37.661,57.291,40.5,43.3,34.8,105
"Australia:  Wollongong, Sydney, 1973",,"Peru:  Cuzco, 1986","Indonesia:  Sumatra:  Southern, 2007","Mexico:  Veracruz, Mexico City, 1973","Peru: Trujillo, Ancash, Lima, 1725",-34.13,150.27,,,-13.41,-71.785,-0.493,100.498,18.27,-96.6,-9,-79
"New Caledonia:  Loyalty Islands:  Tanna, Anatom, 1972",,"Philippines:  Luzon, 1970","Iraq:  Zurbatiyah, Badrah, Tursaq, Baghdad, 1864","China:  Gansu Province, 1590","China:  Guangxi Province, 1936",-20,168.8,,,15.78,121.71,33.38,45.98,35.4,103.9,22.5,109.4
"Congo:  Loango, 1820",,"Pakistan-Nw Afghanistan:  Hindu Kush: Chitral-Landi, 1984","India:  Chamoli, Rudraprayag, Tehri Garhwal, 1999","Switzerland, 1618","China:  Ningxia:  Kaicheng, 1306",-4.5,11.6,,,36.431,70.826,30.512,79.403,46.3,9.5,35.9,106.1
"Alaska:  Skagway, 1907",,"China:  Sichuan Province, 1943","Greece:  Xylokastron-Sykia (Corinthia), 1887","Philippines:  E Mindanao:  Agusan River Valley, 1894","Syria:  Dimashq (Damascus), 1343",59.5,-135.5,,,30.6,104.1,38.3,22.8,8.2,126.1,33.5,36.3
"Alaska:  Aleutian Islands:  Fox Islands, 1957",,"China:  Sichuan Province, 1327","Indonesia:  Java:  Pati, 1890","Iran:  Sangabad (Senjabad), 1896","Turkey, 1668",55,-165.2,,,30.1,102.7,-6.76,111.04,37.8,48.3,38.4,27.1
"Venezuela:  Barquisimeto, 1991",,"China:  Jiangsu Province:  Nanjing, 1372","Greece:  Aeghion (Achaia),Agrinion (Aetolia), 1889","China:  Fujian Province, 1906","China:  Beijing, 1057",10.045,-69.948,,,32,118.8,38.3,22,24.5,118.5,39.7,116.3
"Alaska:  Alaska Peninsula, 1917",,"Japan:  Kyushu:  Nobeoka, 1984","China: Guangdong Province, 1895","Turkey:  Erzincan, 1992","Iran:  Tabriz, 1042",54.79,-169.12,,,32.386,131.945,23.5,116.5,39.71,39.605,38.1,46.3
"Romania:  Kishinev, Cis, 1990",,"China:  Yunnan Province:  Baoshan, 1579","Peru:  Arequipa, Moquegua, Tacna, Ayacucho, 2001","Turkey:  Kars,Karakurt,Kagizman,Digor, 1900","Philippines:  Baguio,  Cabanatuan, Dagupan, 1990",45.811,26.769,,,25.1,99.9,-16.265,-73.641,40.3,43.1,15.679,121.172
"Samoa Islands, 1975",,"Russia:  Groznyy, Buynaksk, 1989","China:  Yunnan Province, 1938","China:  Yunnan Province, 1901","Greece:  Crete, 1303",-16.265,-172.467,,,43.522,45.362,21.7,99.5,26,100.1,34,26
"Italy:  Liguria, 1968",,"Balkans Nw: Serbia:  Kraljevo, 2010","China:  Gansu Province, 1885","Japan:  Hokkaido; Russia:  Southeast; South Korea, 1993","Russia:  Sakhalin Is:  Neftegorsk, Okha, Moskalvo, 1995",44.083,8,,,43.76,20.673,34.5,105.7,42.851,139.197,52.629,142.827
"Vanuatu Islands:  Espiritu Santo, 1990",,"Japan:  Honshu:  Central: Mt Ontake, 1984","Greece:  Volos-Agria (Magnesia), 1956","China:  Sichuan Province, 1904","China:  Ningxia, 1219",-15.355,167.464,,,35.789,137.488,39.5,23,31.2,100.9,36,106.2
"Papua New Guinea:  New Britain:  Kandrian, Arawe, 1988",,"Mexico:  Guererro, Orziba, Oaxaca, Guadalupe, 1982","Greece:  Neapolis-Anognia (Crete), 1935","Turkey:  Varginis,Cardahli,Mehkerek, 1903","China:  Shaanxi Province:  Fushan, 1209",-5.964,148.78,,,16.558,-98.358,35.8,25,40.9,42.7,36,111.8
"Russia:  Kuril Islands:  Iturup, Matua, Kunashir, 1995",,"China:  Yunnan Province, 1834","China:  Yunnan Province, 1941","Peru:  Ica, Pisco, Lima, 2007","Turkmenistan:  Gurgandzhe, 1208",44.663,149.3,,,24.9,103,22.7,99.9,-13.386,-76.603,42,60
"Afghanistan; Tajikistan:  Khorog, 1976",,"China:  Sichuan Province, 1905","China:  Sichuan Province, 1935","Iran:  Kirman, Chatrud, 1864","China:  Nei Mongol:  Ningcheng, 1290",36.51,71.04,,,29.3,104.8,28.7,103.6,30.6,57,41.5,119.3
"Montana:  Sheridan, 2007",,"Taiwan, 1972","China:  Yunnan Province:  Simao, 1942","Iran:  Karnaveh, Marev, 1970","Turkey:  Erzincan, 1268",45.394,-112.13,,,22.5,122.3,23.1,100.3,37.8,55.9,39.75,39.5
"Philippines:  Butuan, Camiguin Island, 1923",,"Peru:  Camana, Arequipa, 1999","China:  Nei Mongol:  Tongliao, 1942","Russia:  Dagestan, 1970","Iran:  Southeastern:  Bam, Baravat, 2003",9.3,125,,,-16.66,-72.662,43,122,43,47.1,28.995,58.311
"Alaska:  Andreanof Islands, 1970",,"Afghanistan:  Hindu Kush:  Sarsangi, Narin Counties, 1972","Azores:   Terceira, Angra Do Heroismo, 1980","Venezuela, 1967","China:  Shanxi Province:  Huairen, Datong, 1305",57.5,-153.9,,,36.2,69.7,38.815,-27.78,10.6,-67.3,39.8,113.1
"Alaska:  Alaska Peninsula, 1912",,"Taiwan:  Chia-I, 1999","Ethiopia:  Mesewa (Massaua), 1921","China:  Gansu Province, 1888","Turkey:  Varto, 1966",57.5,-155,,,23.445,120.506,15.6,39.6,37.1,104.2,39.2,41.6
"Mexico:  Guerrero, Atoyac, 2007",,"China:   Yunnan Province, 1885","China:  Yunnan Province, 1839","Turkey:  Adana, Ceyhan, 1998","Israel:  Palestine, -33",17.302,-100.198,,,25,104,26.1,99.9,36.878,35.307,31.2,34.2
"Philippines:  Manila, Cubi Point, 1987",,"China:  Qinghai Province, 1888","China:  Sichuan Province, 1913","China: Xinjiang, 1893","China:  Shandong Province, -70",16.066,120.301,,,36.5,102.2,28.4,102.3,41.2,80.3,36.3,119
"Peru:  Rioja, Neuva Cajamarca, 1991",,"Chile:  Southern, 1950","Greece:  Corinth-Isthmia (Corinthia), 1931","Iran:  Ab Garm-Abhar-Avaj-Shirin Su, 2002","China:  Sichuan Province, 2008",-6.038,-77.13,,,-53.5,-71.5,38,23,35.626,49.047,31.002,103.322
"Alaska:  Gulf Of Alaska:  Anchorage, 1988",,"Philippines, 1975","China:  Sichuan Province, 1932","China:  Gansu Province, 1881","Turkey:  Antakya (Antioch), 458",57.262,-142.747,,,12.54,125.993,30.1,101.8,33.6,104.6,36.2,36.1
"Turkmenistan:  Kum-Dag, 1983",,"Peru:  N, Rioja, Moyobamba, Iquitos, 1990","Turkey:  Susehri, 1929","India, 1967","Turkey:  Izmir, 688",39.042,48.714,,,-6.062,-77.136,40.2,37.9,17.7,73.9,38.4,27.2
"Gulf Of Alaska, 1854",,"Romania:  Bucharest, Braila, Brasov, 1990","China:  Yunnan Province:  Xundian, 1927","El Salvador:  Damage & Injuries In Every Dept., 2001","Turkey:  Antakya (Antioch), 587",57,-152,,,45.841,26.668,26,103,13.049,-88.66,36.25,36.1
"Italy:  Sciacca, 1727",,"Japan:  Hokkadio, Kushiro, Hachinohe, Honshu, 1993","Israel:  Palestine:  Jordan:  Al-Karak (Karak), 1458","Iran:  Qeshm I,Bandar-E-Laft,Saheli,Tonban,Direstan, 1884","Greece:  Schisma, Boetia, 551",37.5,13,,,43.3,143.691,31.2,34.2,26.81,55.91,38.4,22.3
"Uruguay:  Cologne, 1888",,"Philippines:  Mindanao:  Cotabato, Davao, 1989","Switzerland, 1504","Turkey:  Bingol, 1971","Turkey:  Antakya (Antioch), Samandag, 525",-34.5,-57.9,,,8.337,126.729,46.8,10.2,38.8,40.5,36.25,36.1
"Washington:  Mt St Helens, 1980",,"Philippines:  Culasi, Panay, 1990","Lebanon:  Tarabulus (Tripolis), 1339","Turkey:  Van, Ercis, 1941","Iran:  Qir,Karzin, Jahrom, Firuzabad, 1972",46.214,-122.194,,,11.76,121.899,34.3,35.5,39.5,43.3,28.4,52.8
"New Zealand:  W Of North Island, 1979",,"Turkey:  Igdir, 1962","China:  Yunnan Province:  Tonghai, 1571","China:  Yunnan Province, 1940","China:  Shanxi Province, 1626",-46.675,165.707,,,39.9,43.9,24.1,102.7,23.9,102.3,39.4,114.2
"Switzerland, 1769",,"Colombia:  Chaco, Buenaventura, Cali, 1991","Switzerland, 1295","China:  Heilongjiang Province, 1941","India:  Bombay, 1618",46.9,9.5,,,4.554,-77.442,46.9,9.5,47,127.2,18.9,72.9
"Panama: Panama City, 2009",,"Indonesia:  Bali, Lombok, 2004","China:  Yunnan Province, 1755","Colombia:  Sw, Popayan, 1983","Iran:  Tabriz, 1780",9.59,-78.966,,,-8.31,115.788,23.8,102.7,2.461,-76.686,38,46.2
"Taiwan:  Hua-Lien, 1990",,"Guatemala:  Guatemala City, Pachuta, Solola, 1991","China:  Hebei Province, 1628","China:  Gansu Province, 1936","China:  Yunnan Province:  Jianshui, 1606",23.722,121.627,,,14.646,-90.986,40.6,114.2,34.2,105.7,23.6,102.8
"Philippines:  Luzon Island, Mindor Island, 1939",,"Ecuador:  Cotopaxi, Pastaza, Tungurahua, Ambato, 1996","China:  Sichuan Province, 1630","China:  Sichuan Province, 1981","Iran:  Tabriz, Kurdistan, 1641",13.5,121.25,,,-1.036,-78.737,32.6,104.1,30.927,101.098,38,46.1
"Mexico:  Acapulco, 1950",,"Japan:  Honshu:  Kakiota,  Mito, Tokyo, 1974","Balkans Nw:  Slovenia:  Ljubljana, 1699","China:  Yunnan Province, 1948","China:  Yunnan Province:  Midu, 1652",16.48,-98.22,,,36,139.82,45.6,15.3,26.4,99.7,25.4,100.5
"Instanbul (Constantinople), 450",,"China: Sichuan Province, 1928","China:  Shanxi Province, 1642","Turkey:  Pasinler (Hasankale), Erzurum, 1952","Turkey:  Lice, 1975",40.4,28.4,,,31.5,120.5,35.1,111.1,39.9,41.7,38.474,40.723
"W. Solomon Sea, 1972",,"Turkey:  Ceyhan,Misis, 1952","China:  Yunnan Province:  Tonghai, Qujiang, 1588","Turkey:  Ustukran, 1946","China:  Yunnan Province:  Yiliang, 1500",-6,152.9,,,36.5,35.5,24,102.8,39.3,41.2,24.9,103.1
"Brazil, 1950",,"Chile-Argentina, 1950","China:  Ningxia, 1627","Philippines:  Mindanao:  Lanao,Ozamiz,Cotabato, 1955","Mexico:  Michoacan:  Mexico City, 1985",-8,-71,,,-23.5,-67.5,37.5,105.5,8.1,123.2,18.19,-102.533
"California:  Terminal Island, 1951",,"Peru:  Ayacucho,Pomabamba,Moyobamba,Huahuapuquio, 1959","Yemen:  Zabid,Sana,Adan, 1358","Indonesia:   Java:  Jogyakarta, 1943","Guatemala:  Chimaltenango, Guatemala City, 1976",33.5,-118.2,,,-13.5,-74,14.1,43.2,-9.5,110,15.324,-89.101
"Japan:  Oshima, 1856",,"Indonesia:  Java:  Gresik, 1950","China:  Henan Province:  Nanyang, 46","Argentina:  Mendoza, 1920","Portugal:  Lisbon, 1551",40.5,143.5,,,-6,113,33,112.5,-32.7,-68.4,38.7,-9.1
"California:  Northern, 1855",,"Iran:  Mussavieh, 1962","Switzerland, 1774","China:  Hebei:  Shexian, 1314","China:  Yunnan Province, 1799",40.75,-124.2,,,33.6,59,46.9,8.7,36.5,113.8,23.8,102.4
"Taiwan, 1972",,"Japan:  Kyushu, Shikoku, 1968","South Korea:  Kyongju, 780","Taiwan, 1916","China:  Shanxi Province, 1815",22.6,122.1,,,32.3,132.5,35.5,129.1,23.7,120.9,34.8,111.2
"California:  Southern, 1949",,"Portugal; Morocco:  Rabat, Sale; Spain:  Canary Is, 1969","China:  Gansu Province:  Gangu, 128","China:  Anhui Province:, 1917","Iran:  Bozqush, Ardabil, Gamrud, Tark, Manan, 1879",33.75,-118.25,,,36.017,-10.95,34.7,105.4,31.3,116.2,37.8,47.9
"Germany:  Emmendingen, Freiburg Im Breisgau, 2004",,"China:  Jiangsu Province, 1679","Albania:  Korce, 1931","Indonesia:  New Guinea:  Irian Jaya:  Jayawijaya, 1976","Tajikistan:   Karatag, 1907",48.115,8.077,,,31.4,119.5,40.6,20.8,-4.517,139.918,38.5,67.9
"Turkey:  Istanbul, 1556",,"Mexico:  Oaxaca, Guerrero, 1968","Spain:  Malaga, 1680","Chile:  Central Coast, San Antonio, Valparaiso, 1985","Guadeloupe:  Pointe-A-Pitre, 1843",41,29,,,16.5,-97.8,36.5,-4.4,-33.132,-71.708,16.5,-62.2
"Indonesia:  Padang, 2005",,"China:  Shanxi Province, 1898","Taiwan, 1946","Turkey:  Ardahan, 1925","China:  Yunnan Province, 1887",-1.644,99.607,,,39.1,113,23.1,120.3,41.2,42.8,23.7,102.5
"California:  Santa Barbara, 1806",,"Iran:  Maku,Shah Bandalu,Qurta Bolagh,Qondeqli, 1968","France:  Tarbes, Lourdes, 1750","Indonesia:  Timor:  Alor Island, 1896","Taiwan: Zhanghua, 1848",34.4,-119.7,,,39.2,44.3,43.2,0.8,-8.25,124.75,24.1,120.5
"India:  Little Nicobar Island, 2010",,"China:  Sichuan Province:  Fushun, 1896","Antigua; Saint Kitts And Nevis, 1690","China:  Fujian Province:  Zhangzhou, 1445","Turkey:  Burdur, Kilinc, Keciborlu, Isparta, 1914",7.881,91.936,,,29.2,104.9,17.5,-61.5,24.5,117.6,37.82,30.27
"Canada:  Queen Charlotte Islands:  Gracefield, 2010",,"China:  Shanxi Province, 1891","Philippines:  Panay, Iloilo City, Antique, 1948","China:  Yunnan Province:, 1481","Iran:  Khabushan (Nw Kuchan), 1852",45.88,-75.48,,,37.1,111.9,10.5,122,26.5,99.9,37.1,58.4
