DATE,Auckland,Christchurch,Dunedin,Hamilton,Wellington
2005-12,59.6,41.4,115.4,159,60.2
2006-01,79.2,32.8,73.6,127.4,36.6
2006-02,6.8,39.6,31.4,83.2,65.6
2006-03,64,52,67.2,108,90.6
2006-04,158.4,70,111.6,210.6,61.6
2006-05,191.2,98.6,29.8,125,58.8
2006-06,101.2,92.2,38.8,111.6,108.6
2006-07,68.6,52,29.4,103.2,205.6
2006-08,99.2,98.4,37.6,120,149.6
2006-09,44.4,3.8,11.8,27.8,25.1
2006-10,157.8,77,40.4,124.8,144
2006-11,89.3,64.7,71,83.5,131
2006-12,47,115,98.4,60.6,63
2007-01,59.8,22.4,44.2,113.1,75.2
2007-02,37.6,24.8,22.8,40,15.4
2007-03,132.6,27.8,28.4,105.3,28.7
2007-04,59,55.8,36,67.7,66.9
2007-05,12,18.4,8.4,27,63.4
2007-06,81.4,61,73.8,112,73
2007-07,167.8,65.6,121.6,188.8,141.8
2007-08,96.6,45,25.2,161.2,61
2007-09,60.8,36.8,48,53.8,48.5
2007-10,75.8,66.8,90.4,96.2,140.4
2007-11,44.4,31.4,21.6,55.6,16
2007-12,65.2,54,78.2,64.6,59.8
2008-01,15,12.6,44.6,6.8,17.4
2008-02,45.4,121.6,62.4,40,52.2
2008-03,31,20.4,74.6,32.2,99.6
2008-04,102.2,27.9,45,121.8,164.6
2008-05,113.6,49.8,68.4,76.8,55.4
2008-06,158.8,88.6,33.2,168.8,85.2
2008-07,215.2,164.6,143.8,199.6,192.8
2008-08,166.7,98.3,55,167.5,157.8
2008-09,38.6,34.2,60.6,73.8,78.4
2008-10,90.7,30.6,18.8,151.6,55.2
2008-11,46,10.4,34.4,40.4,52.6
2008-12,101.6,44.8,64,120.2,104
2009-01,31.6,25.6,53.6,33.4,14.6
2009-02,121.7,67.8,165,133.8,161.4
2009-03,35,15.2,59.4,27.2,19.8
2009-04,40.9,43.2,38.4,52.7,76.6
2009-05,152.2,144.8,168,90.8,144.6
2009-06,89.2,19.2,16.6,101.1,54.2
2009-07,113.2,36.8,57.8,110.6,52.4
2009-08,71.7,55.6,23.6,108.1,111.4
2009-09,81.2,33.2,46.4,133.6,51.8
2009-10,91,82.6,48.8,162.8,161
2009-11,22.2,25.2,18.8,53.2,55
2009-12,83,39.6,39.6,80.2,38.4
2010-01,44,32.6,69,191.6,72.8
2010-02,4.6,18.2,36.6,24.4,16.8
2010-03,7.6,22.4,22.6,20.2,34.2
2010-04,56,24,50.4,36.6,27.2
2010-05,162.8,163.8,159.8,120.4,171.4
2010-06,160.8,93.1,63.6,222.6,140.3
2010-07,87,67.6,26.6,65.8,92.4
2010-08,187.4,86.4,68.2,196.1,165.8
2010-09,112,42,51,180.8,151.6
2010-10,19.8,22,27.6,41.2,71.8
2010-11,22.3,53,32.8,16,21.4
2010-12,94.4,35.2,119.8,120.2,91
2011-01,184.1,58,65.4,225.4,65.6
2011-02,28.2,35.4,109.4,34.2,18.2
2011-03,139.6,54.2,71.6,193.4,77
2011-04,152.3,50.8,43.6,114.5,118.6
2011-05,150.4,52.6,95,135.6,106.4
2011-06,144.4,41,21.6,165.3,86.8
2011-07,103.8,29.4,20,169.2,71.8
2011-08,43.5,62.6,42,37.4,104.4
2011-09,86.2,21.4,26.2,60.8,55.6
2011-10,115.2,90.8,89.1,149.2,97.8
2011-11,50.2,63.6,67.5,38.4,57.6
2011-12,192.2,60.8,8.8,215.1,121.6
2012-01,56.2,50.6,62.4,104.8,81.4
2012-02,116.8,55,123,118.2,44.8
2012-03,145.2,39.4,65.4,90.4,111
2012-04,23.4,32.8,19.6,39,43.1
2012-05,82,11.2,36.8,107.2,66.6
2012-06,88,111.2,71.2,92,101.4
2012-07,141.2,92.1,47.4,223.8,78.8
2012-08,132.8,93.2,103.2,147,108
2012-09,107.6,32.4,52.6,89.9,46.2
2012-10,69.2,55,56.6,116.8,45.6
