City,State,Population,lat,lon,year
Kettering,Ohio,55870,39.6895036,-84.1688274,2014
Lincoln Park,Michigan,37313,42.2505943,-83.1785361,2014
Lake Havasu City,Arizona,52844,34.483901,-114.3224548,2014
North Little Rock,Arkansas,66075,34.769536,-92.2670941,2014
Reno,Nevada,233294,39.5296329,-119.8138027,2014
Littleton,Colorado,44275,39.613321,-105.0166498,2014
Prescott,Arizona,40590,34.5400242,-112.4685025,2014
Dublin,California,52105,37.7021521,-121.9357918,2014
Texarkana,Texas,37442,33.425125,-94.0476882,2014
Portland,Maine,66318,43.661471,-70.2553259,2014
Brooklyn Park,Minnesota,78373,45.0941315,-93.3563405,2014
West Haven,Connecticut,55046,41.2705484,-72.9469711,2014
El Centro,California,43363,32.792,-115.5630514,2014
The Colony,Texas,39458,33.0806083,-96.8928309,2014
Flint,Michigan,99763,43.0125274,-83.6874562,2014
Pittsburg,California,66695,38.0279762,-121.8846806,2014
Buckeye,Arizona,56683,33.3703197,-112.5837766,2014
Brea,California,40963,33.9166805,-117.9000604,2014
Indio,California,83539,33.7205771,-116.2155619,2014
Scottsdale,Arizona,226918,33.4941704,-111.9260519,2014
Columbus,Ohio,822553,39.9611755,-82.9987942,2014
Lancaster,Pennsylvania,59325,40.0378755,-76.3055144,2014
Lincoln,Nebraska,268738,40.8257625,-96.6851982,2014
Trenton,New Jersey,84349,40.2170534,-74.7429384,2014
Boston,Massachusetts,645966,42.3600825,-71.0588801,2014
Glendora,California,51074,34.1361187,-117.865339,2014
Rochester,Minnesota,110742,44.0121221,-92.4801989,2014
Florissant,Missouri,52363,38.789217,-90.322614,2014
Annapolis,Maryland,38722,38.9784453,-76.4921829,2014
Chapel Hill,North Carolina,59635,35.9131996,-79.0558445,2014
Lawrence,Indiana,47135,39.8386516,-86.0252612,2014
Calexico,California,39389,32.6789476,-115.4988834,2014
Calumet City,Illinois,37240,41.6155909,-87.5294871,2014
Missoula,Montana,69122,46.8787176,-113.996586,2014
Clovis,California,99769,36.8252277,-119.7029194,2014
Pearland,Texas,100065,29.5635666,-95.2860474,2014
Gilbert,Arizona,229972,33.3528264,-111.789027,2014
Wausau,Wisconsin,39309,44.9591352,-89.6301221,2014
Raleigh,North Carolina,431746,35.7795897,-78.6381787,2014
Orange,California,139969,33.7877944,-117.8531119,2014
Walnut Creek,California,66900,37.9100783,-122.0651819,2014
Bremerton,Washington,39056,47.5673202,-122.6329356,2014
Porterville,California,55174,36.06523,-119.0167679,2014
Marana,Arizona,38290,32.436381,-111.2224422,2014
Tallahassee,Florida,186411,30.4382559,-84.2807329,2014
Conroe,Texas,63032,30.3118769,-95.4560512,2014
Blacksburg,Virginia,43609,37.2295733,-80.4139393,2014
San Antonio,Texas,1409019,29.4241219,-98.4936282,2014
Hartford,Connecticut,125017,41.7637111,-72.6850932,2014
Waterloo,Iowa,68366,42.492786,-92.3425775,2014
Binghamton,New York,46444,42.0986867,-75.9179738,2014
Meridian,Idaho,83596,43.6121087,-116.3915131,2014
Fond du Lac,Wisconsin,42970,43.7730448,-88.4470508,2014
Baytown,Texas,75418,29.7355047,-94.9774274,2014
Cary,North Carolina,151088,35.79154,-78.7811169,2014
Weymouth Town,Massachusetts,55419,42.2180724,-70.9410356,2014
Tulsa,Oklahoma,398121,36.1539816,-95.992775,2014
Mission,Texas,81050,26.2159066,-98.3252932,2014
Cuyahoga Falls,Ohio,49267,41.1339449,-81.4845585,2014
Malden,Massachusetts,60509,42.4250964,-71.066163,2014
Allen,Texas,92020,33.1031744,-96.6705503,2014
Tucson,Arizona,526116,32.2217429,-110.926479,2014
Franklin,Tennessee,68886,35.9250637,-86.8688899,2014
Shakopee,Minnesota,39167,44.7973962,-93.5272861,2014
Jacksonville,Florida,842583,30.3321838,-81.655651,2014
Atlantic City,New Jersey,39551,39.3642834,-74.4229266,2014
Erie,Pennsylvania,100671,42.1292241,-80.085059,2014
Merced,California,81102,37.3021632,-120.4829677,2014
Abilene,Texas,120099,32.4487364,-99.7331439,2014
Yorba Linda,California,67032,33.8886259,-117.8131125,2014
Greenville,South Carolina,61397,34.8526176,-82.3940104,2014
Huntersville,North Carolina,50458,35.410694,-80.8428504,2014
St. Clair Shores,Michigan,60070,42.4974085,-82.8963604,2014
Harrisburg,Pennsylvania,49188,40.2731911,-76.8867008,2014
San Buenaventura (Ventura),California,108817,34.274646,-119.2290316,2014
Fremont,California,224922,37.5482697,-121.9885719,2014
Pueblo,Colorado,108249,38.2544472,-104.6091409,2014
Chelsea,Massachusetts,37670,42.3917638,-71.0328284,2014
Belleville,Illinois,42895,38.5200504,-89.9839935,2014
Minneapolis,Minnesota,400070,44.977753,-93.2650108,2014
Bartlett,Tennessee,58226,35.2045328,-89.8739753,2014
Wichita Falls,Texas,104898,33.9137085,-98.4933873,2014
Missouri City,Texas,70185,29.6185669,-95.5377215,2014
St. Louis,Missouri,318416,38.6270025,-90.1994042,2014
Pharr,Texas,73790,26.1947962,-98.1836216,2014
Albuquerque,New Mexico,556495,35.0853336,-106.6055534,2014
Athens-Clarke County,Georgia,119980,33.9519347,-83.357567,2014
South Jordan,Utah,59366,40.5621704,-111.929658,2014
North Las Vegas,Nevada,226877,36.1988592,-115.1175013,2014
Pomona,California,151348,34.055103,-117.7499909,2014
Eastvale,California,55191,33.952463,-117.5848025,2014
Grove City,Ohio,37490,39.8814519,-83.0929644,2014
Lawrence,Kansas,90811,38.9716689,-95.2352501,2014
Midland,Texas,123933,31.9973456,-102.0779146,2014
Oklahoma City,Oklahoma,610613,35.4675602,-97.5164276,2014
Oro Valley,Arizona,41627,32.3909071,-110.966488,2014
Mesa,Arizona,457587,33.4151843,-111.8314724,2014
Norwalk,Connecticut,87776,41.117744,-73.4081575,2014
Kentwood,Michigan,50233,42.8694731,-85.6447492,2014
Brookfield,Wisconsin,37999,43.0605671,-88.1064787,2014
Rockwall,Texas,40922,32.9312336,-96.4597089,2014
Mishawaka,Indiana,47989,41.6619927,-86.1586156,2014
Tustin,California,78327,33.7458511,-117.826166,2014
St. Cloud,Minnesota,66297,45.5579451,-94.1632404,2014
Passaic,New Jersey,70868,40.8567662,-74.1284764,2014
Escondido,California,148738,33.1192068,-117.086421,2014
San Bruno,California,42443,37.6304904,-122.4110835,2014
Berkeley,California,116768,37.8715926,-122.272747,2014
San Clemente,California,65040,33.4269728,-117.6119925,2014
Lawton,Oklahoma,97151,34.6035669,-98.3959291,2014
Eau Claire,Wisconsin,67545,44.811349,-91.4984941,2014
Maricopa,Arizona,45508,33.0581063,-112.0476423,2014
DeSoto,Texas,51483,32.5896998,-96.8570738,2014
Fort Wayne,Indiana,256496,41.079273,-85.1393513,2014
Shoreline,Washington,54790,47.7556531,-122.3415178,2014
Medford,Massachusetts,57170,42.4184296,-71.1061639,2014
La Habra,California,61653,33.9319578,-117.9461734,2014
Albany,New York,98424,42.6525793,-73.7562317,2014
Daly City,California,104739,37.6879241,-122.4702079,2014
Taylor,Michigan,61817,42.240872,-83.2696509,2014
Lynchburg,Virginia,78014,37.4137536,-79.1422464,2014
Bowie,Maryland,56759,39.0067768,-76.7791365,2014
Danbury,Connecticut,83684,41.394817,-73.4540111,2014
Charlottesville,Virginia,44349,38.0293059,-78.4766781,2014
Coral Gables,Florida,49631,25.72149,-80.2683838,2014
Coeur d'Alene,Idaho,46402,47.6776832,-116.7804664,2014
El Monte,California,115708,34.0686206,-118.0275667,2014
Crystal Lake,Illinois,40388,42.2411344,-88.3161965,2014
Danville,California,43341,37.8215929,-121.9999606,2014
Goodyear,Arizona,72864,33.4353394,-112.3576567,2014
Paterson,New Jersey,145948,40.9167654,-74.171811,2014
Salem,Oregon,160614,44.9428975,-123.0350963,2014
Kissimmee,Florida,65173,28.2919557,-81.407571,2014
Saginaw,Michigan,50303,43.4194699,-83.9508068,2014
Brownsville,Texas,181860,25.9017472,-97.4974838,2014
Flower Mound,Texas,68609,33.0145673,-97.0969552,2014
Grapevine,Texas,50195,32.9342919,-97.0780654,2014
Edina,Minnesota,49376,44.8896866,-93.3499489,2014
Detroit,Michigan,688701,42.331427,-83.0457538,2014
Fairfield,Ohio,42635,39.3454673,-84.5603187,2014
Mansfield,Texas,60872,32.5631924,-97.1416768,2014
Rochester,New York,210358,43.16103,-77.6109219,2014
Birmingham,Alabama,212113,33.5206608,-86.80249,2014
Austin,Texas,885400,30.267153,-97.7430608,2014
Santa Barbara,California,90412,34.4208305,-119.6981901,2014
Addison,Illinois,37385,41.931696,-87.9889556,2014
Rio Rancho,New Mexico,91956,35.2327544,-106.6630437,2014
Normal,Illinois,54664,40.5142026,-88.9906312,2014
Romeoville,Illinois,39650,41.6475306,-88.0895061,2014
Coon Rapids,Minnesota,62103,45.1732394,-93.3030063,2014
San Mateo,California,101128,37.5629917,-122.3255254,2014
Orlando,Florida,255483,28.5383355,-81.3792365,2014
Casper,Wyoming,59628,42.866632,-106.313081,2014
Bedford,Texas,48592,32.844017,-97.1430671,2014
Wilmington,North Carolina,112067,34.2257255,-77.9447102,2014
Pinellas Park,Florida,49998,27.8428025,-82.6995443,2014
North Miami Beach,Florida,43250,25.9331488,-80.1625463,2014
Kansas City,Kansas,148483,39.114053,-94.6274636,2014
Fitchburg,Massachusetts,40383,42.5834228,-71.8022955,2014
Wheeling,Illinois,38015,42.1391927,-87.9289591,2014
Newton,Massachusetts,87971,42.3370413,-71.2092214,2014
North Miami,Florida,61007,25.8900949,-80.1867138,2014
Norwich,Connecticut,40347,41.5242649,-72.0759105,2014
Newark,New Jersey,278427,40.735657,-74.1723667,2014
Alexandria,Louisiana,48426,31.3112936,-92.4451371,2014
Blaine,Minnesota,60407,45.1607987,-93.2349489,2014
Harlingen,Texas,65665,26.1906306,-97.6961026,2014
Lompoc,California,43509,34.6391501,-120.4579409,2014
Denton,Texas,123099,33.2148412,-97.1330683,2014
Galveston,Texas,48733,29.3013479,-94.7976958,2014
Greenwood,Indiana,53665,39.6136578,-86.1066526,2014
Salinas,California,155662,36.6777372,-121.6555013,2014
Miami Gardens,Florida,111378,25.9420377,-80.2456045,2014
Huntington,West Virginia,49177,38.4192496,-82.445154,2014
Laredo,Texas,248142,27.5305671,-99.4803241,2014
Melbourne,Florida,77508,28.0836269,-80.6081089,2014
Haltom City,Texas,43580,32.7995738,-97.2691817,2014
Palm Bay,Florida,104898,28.0344621,-80.5886646,2014
Wilson,North Carolina,49628,35.7212689,-77.9155395,2014
Bountiful,Utah,43023,40.8893895,-111.880771,2014
Ceres,California,46714,37.5949316,-120.9577098,2014
Parma,Ohio,80429,41.4047742,-81.7229086,2014
Rapid City,South Dakota,70812,44.0805434,-103.2310149,2014
Bell Gardens,California,42889,33.9652918,-118.1514588,2014
Commerce City,Colorado,49799,39.8083196,-104.9338675,2014
Springfield,Massachusetts,153703,42.1014831,-72.589811,2014
Fort Collins,Colorado,152061,40.5852602,-105.084423,2014
San Leandro,California,87965,37.7249296,-122.1560768,2014
Vista,California,96929,33.2000368,-117.2425355,2014
Yonkers,New York,199766,40.9312099,-73.8987469,2014
Cincinnati,Ohio,297517,39.1031182,-84.5120196,2014
Hagerstown,Maryland,40612,39.6417629,-77.7199932,2014
Sanford,Florida,56002,28.8028612,-81.269453,2014
Union City,New Jersey,68247,40.6975898,-74.2631635,2014
Toledo,Ohio,282313,41.6639383,-83.555212,2014
Sierra Vista,Arizona,45129,31.5455001,-110.2772856,2014
Newport News,Virginia,182020,37.0870821,-76.4730122,2014
Hammond,Indiana,78967,41.5833688,-87.5000412,2014
Buffalo Grove,Illinois,41778,42.1662831,-87.9631308,2014
Sugar Land,Texas,83860,29.6196787,-95.6349463,2014
Huntsville,Alabama,186254,34.7303688,-86.5861037,2014
Lodi,California,63338,38.1341477,-121.2722194,2014
Edmonds,Washington,40727,47.8106521,-122.3773552,2014
Duncanville,Texas,39605,32.6518004,-96.9083366,2014
Rocky Mount,North Carolina,56954,35.9382103,-77.7905339,2014
Pontiac,Michigan,59887,42.6389216,-83.2910468,2014
National City,California,59834,32.6781085,-117.0991967,2014
Hayward,California,151574,37.6688205,-122.0807964,2014
Niagara Falls,New York,49468,43.0962143,-79.0377388,2014
Sparks,Nevada,93282,39.5349112,-119.7526886,2014
Hanford,California,54686,36.3274502,-119.6456844,2014
Cypress,California,49087,33.8169599,-118.0372852,2014
Youngstown,Ohio,65184,41.0997803,-80.6495194,2014
Madison,Alabama,45799,34.6992579,-86.7483318,2014
Redlands,California,69999,34.0555693,-117.1825381,2014
Cape Girardeau,Missouri,38816,37.3058839,-89.5181476,2014
Nampa,Idaho,86518,43.5407172,-116.5634624,2014
Washington,District of Columbia,646449,38.9071923,-77.0368707,2014
Wheaton,Illinois,53648,41.8661403,-88.1070127,2014
Lancaster,Texas,38071,32.5920798,-96.7561082,2014
Rialto,California,101910,34.1064001,-117.3703235,2014
Fargo,North Dakota,113658,46.8771863,-96.7898034,2014
Peoria,Illinois,116513,40.6936488,-89.5889864,2014
Omaha,Nebraska,434353,41.2523634,-95.9979883,2014
Rancho Santa Margarita,California,49228,33.640855,-117.603104,2014
Manhattan,Kansas,56143,39.1836082,-96.5716694,2014
Palm Springs,California,46281,33.8302961,-116.5452921,2014
San Diego,California,1355896,32.715738,-117.1610838,2014
Santa Rosa,California,171990,38.440429,-122.7140548,2014
Lowell,Massachusetts,108861,42.6334247,-71.3161718,2014
Broken Arrow,Oklahoma,103500,36.060949,-95.7974526,2014
Kent,Washington,124435,47.3809335,-122.2348431,2014
Nashville,Tennessee,634464,36.1626638,-86.7816016,2014
Hackensack,New Jersey,44113,40.8859325,-74.0434736,2014
Broomfield,Colorado,59471,39.9205411,-105.0866504,2014
Durham,North Carolina,245475,35.9940329,-78.898619,2014
Wichita,Kansas,386552,37.688889,-97.336111,2014
Cathedral City,California,52977,33.7805388,-116.4668036,2014
Lakeville,Minnesota,58562,44.6496868,-93.24272,2014
Elmhurst,Illinois,45556,41.8994744,-87.9403418,2014
Weslaco,Texas,37093,26.1595194,-97.9908366,2014
Greenfield,Wisconsin,37159,42.9614039,-88.0125865,2014
Sunnyvale,California,147559,37.36883,-122.0363496,2014
Santa Cruz,California,62864,36.9741171,-122.0307963,2014
Kenosha,Wisconsin,99889,42.5847425,-87.8211854,2014
State College,Pennsylvania,41757,40.7933949,-77.8600012,2014
Mansfield,Ohio,46454,40.75839,-82.5154471,2014
Quincy,Illinois,40915,39.9356016,-91.4098726,2014
Pompano Beach,Florida,104410,26.2378597,-80.1247667,2014
San Angelo,Texas,97492,31.4637723,-100.4370375,2014
Bloomington,Illinois,78902,40.4842027,-88.9936873,2014
Tracy,California,84691,37.7396513,-121.4252227,2014
Spartanburg,South Carolina,37647,34.9495672,-81.9320482,2014
Nashua,New Hampshire,87137,42.7653662,-71.467566,2014
Macon,Georgia,89981,32.8406946,-83.6324022,2014
Hempstead,New York,55361,40.7062128,-73.6187397,2014
Camden,New Jersey,76903,39.9259463,-75.1196199,2014
Palm Desert,California,50508,33.7222445,-116.3744556,2014
Streamwood,Illinois,40351,42.0255827,-88.1784085,2014
Chesapeake,Virginia,230571,36.7682088,-76.2874927,2014
Dublin,Ohio,43607,40.0992294,-83.1140771,2014
Camarillo,California,66086,34.2163937,-119.0376023,2014
Muskegon,Michigan,37213,43.2341813,-86.2483921,2014
Elizabeth,New Jersey,127558,40.6639916,-74.2107006,2014
Anchorage,Alaska,300950,61.2180556,-149.9002778,2014
Minot,North Dakota,46321,48.2329668,-101.2922906,2014
Davie,Florida,96830,26.0764783,-80.2521157,2014
McAllen,Texas,136639,26.2034071,-98.2300124,2014
McKinney,Texas,148559,33.1972465,-96.6397822,2014
Killeen,Texas,137147,31.1171194,-97.7277959,2014
Findlay,Ohio,41512,41.04422,-83.6499321,2014
Oakland,California,406253,37.8043637,-122.2711137,2014
Mountain View,California,77846,37.3860517,-122.0838511,2014
Lake Elsinore,California,57525,33.6680772,-117.3272615,2014
Amarillo,Texas,196429,35.2219971,-101.8312969,2014
Provo,Utah,116288,40.2338438,-111.6585337,2014
Atlanta,Georgia,447841,33.7489954,-84.3879824,2014
Monterey Park,California,61085,34.0625106,-118.1228476,2014
Strongsville,Ohio,44730,41.3144966,-81.83569,2014
Madera,California,63105,36.9613356,-120.0607176,2014
Decatur,Illinois,74710,39.8403147,-88.9548001,2014
Woonsocket,Rhode Island,41026,42.0028761,-71.5147839,2014
Mobile,Alabama,194899,30.6953657,-88.0398912,2014
Vallejo,California,118837,38.1040864,-122.2566367,2014
Arcadia,California,57639,34.1397292,-118.0353449,2014
Collierville,Tennessee,47333,35.042036,-89.6645266,2014
Jefferson City,Missouri,43330,38.5767017,-92.1735164,2014
Longview,Texas,81443,32.5007037,-94.7404891,2014
Chandler,Arizona,249146,33.3061605,-111.8412502,2014
Arvada,Colorado,111707,39.8027644,-105.0874842,2014
Alhambra,California,84577,34.095287,-118.1270146,2014
Kokomo,Indiana,56895,40.486427,-86.1336033,2014
Oakland Park,Florida,43286,26.1723065,-80.1319893,2014
Indianapolis,Indiana,843393,39.768403,-86.158068,2014
Boynton Beach,Florida,71097,26.5317866,-80.0905465,2014
Apache Junction,Arizona,37130,33.4150485,-111.5495777,2014
Mount Prospect,Illinois,54771,42.0664167,-87.9372908,2014
Cranston,Rhode Island,80566,41.7798226,-71.4372796,2014
Lafayette,Indiana,70373,40.4167022,-86.8752869,2014
Olathe,Kansas,131885,38.8813958,-94.8191285,2014
Johns Creek,Georgia,82788,34.0289259,-84.198579,2014
Greensboro,North Carolina,279639,36.0726354,-79.7919754,2014
Kalamazoo,Michigan,75548,42.2917069,-85.5872286,2014
Tigard,Oregon,50444,45.4312294,-122.7714861,2014
Jacksonville,North Carolina,69079,34.7540524,-77.4302414,2014
Citrus Heights,California,85285,38.7071247,-121.2810611,2014
Tuscaloosa,Alabama,95334,33.2098407,-87.5691735,2014
Ankeny,Iowa,51567,41.7317884,-93.6001278,2014
Hawthorne,California,86199,33.9164032,-118.3525748,2014
Hoover,Alabama,84126,33.4053867,-86.8113781,2014
Delray Beach,Florida,64072,26.4614625,-80.0728201,2014
Wellington,Florida,60202,26.6617635,-80.2683571,2014
Bullhead City,Arizona,39383,35.1359386,-114.5285981,2014
Weston,Florida,68388,26.1003654,-80.3997748,2014
Troy,Michigan,82821,42.6064095,-83.1497751,2014
New Rochelle,New York,79446,40.9114882,-73.7823549,2014
Stockton,California,298118,37.9577016,-121.2907796,2014
Royal Oak,Michigan,58946,42.4894801,-83.1446485,2014
Titusville,Florida,44206,28.6122187,-80.8075537,2014
Laguna Niguel,California,64652,33.5225261,-117.7075526,2014
Spokane Valley,Washington,91113,47.6732281,-117.2393748,2014
Costa Mesa,California,112174,33.6411316,-117.9186689,2014
Grand Prairie,Texas,183372,32.7459645,-96.9977846,2014
Portsmouth,Virginia,96205,36.8354258,-76.2982742,2014
Lacey,Washington,44919,47.0342629,-122.8231915,2014
Apex,North Carolina,42214,35.732652,-78.8502856,2014
Sioux City,Iowa,82459,42.4999942,-96.4003069,2014
Encinitas,California,61588,33.0369867,-117.2919818,2014
Spanish Fork,Utah,36956,40.114955,-111.654923,2014
Huntington Park,California,58879,33.9816812,-118.2250725,2014
Eden Prairie,Minnesota,62603,44.8546856,-93.470786,2014
Peoria,Arizona,162592,33.5805955,-112.2373779,2014
Tempe,Arizona,168228,33.4255104,-111.9400054,2014
Wilmington,Delaware,71525,39.7390721,-75.5397878,2014
Taylorsville,Utah,60519,40.6677248,-111.9388258,2014
Westland,Michigan,82578,42.324204,-83.400211,2014
Mesquite,Texas,143484,32.7667955,-96.5991593,2014
Burlington,North Carolina,51510,36.0956918,-79.4377991,2014
Garland,Texas,234566,32.912624,-96.6388833,2014
Richmond,California,107571,37.9357576,-122.3477486,2014
Bismarck,North Dakota,67034,46.8083268,-100.7837392,2014
Carson City,Nevada,54080,39.1637984,-119.7674034,2014
Muskogee,Oklahoma,38863,35.7478769,-95.3696909,2014
Augusta-Richmond County,Georgia,197350,33.4734978,-82.0105148,2014
Fayetteville,North Carolina,204408,35.0526641,-78.8783585,2014
Albany,Georgia,76185,31.5785074,-84.155741,2014
Sayreville,New Jersey,44412,40.4594021,-74.360846,2014
Newark,California,44096,37.5296593,-122.0402399,2014
Diamond Bar,California,56449,34.0286226,-117.8103367,2014
Decatur,Alabama,55816,34.6059253,-86.9833417,2014
Chattanooga,Tennessee,173366,35.0456297,-85.3096801,2014
Jeffersonville,Indiana,45929,38.2775702,-85.7371847,2014
Bartlett,Illinois,41679,41.9950276,-88.1856301,2014
Baldwin Park,California,76635,34.0852868,-117.9608978,2014
Miami Beach,Florida,91026,25.790654,-80.1300455,2014
Jackson,Tennessee,67685,35.6145169,-88.8139469,2014
Port Arthur,Texas,54135,29.8849504,-93.939947,2014
San Luis Obispo,California,46377,35.2827524,-120.6596156,2014
Burleson,Texas,40714,32.5420821,-97.3208492,2014
Newport Beach,California,87273,33.6189101,-117.9289469,2014
Riverton,Utah,40921,40.521893,-111.9391023,2014
Yakima,Washington,93257,46.6020711,-120.5058987,2014
Dayton,Ohio,143355,39.7589478,-84.1916069,2014
Gulfport,Mississippi,71012,30.3674198,-89.0928155,2014
Long Beach,California,469428,33.7700504,-118.1937395,2014
Chico,California,88077,39.7284944,-121.8374777,2014
Hattiesburg,Mississippi,47556,31.3271189,-89.2903392,2014
Eugene,Oregon,159190,44.0520691,-123.0867536,2014
Colton,California,53243,34.0739016,-117.3136547,2014
Montebello,California,63495,34.0165053,-118.1137535,2014
Pleasanton,California,74110,37.6624312,-121.8746789,2014
Everett,Washington,105370,47.9789848,-122.2020794,2014
