u,v,w,x,y,z
-2.2267,-1.1247,-0.082124,94.23,17.5,3.427
-0.98438,-1.8257,-0.058951,95.833,17.5,3.427
1.1897,-2.5267,-0.047364,97.435,17.5,3.427
2.7426,-2.8772,-0.058951,99.038,17.5,3.427
2.432,-2.5267,-0.058951,100.64,17.5,3.427
2.7426,-0.77419,-0.082124,102.24,17.5,3.427
1.5003,0.27732,-0.14006,103.85,17.5,3.427
-1.295,-0.073181,-0.11688,105.45,17.5,3.427
-6.2642,-0.42369,-0.093711,107.05,17.5,3.427
-7.5065,-0.42369,-0.16323,108.66,17.5,3.427
-9.0594,-1.1247,-0.14006,110.26,17.5,3.427
-9.6806,-1.8257,-0.047364,111.86,17.5,3.427
-10.302,-2.8772,-0.012604,113.46,17.5,3.427
-9.6806,-3.5782,-0.024191,115.07,17.5,3.427
-9.6806,-3.5782,-0.047364,116.67,17.5,3.427
-9.0594,-3.5782,-0.012604,118.27,17.5,3.427
-8.4383,-4.6298,0.045329,119.87,17.5,3.427
-7.196,-5.3308,0.12644,121.48,17.5,3.427
-6.5748,-7.0833,0.23072,123.08,17.5,3.427
-5.6431,-8.4853,0.31182,124.68,17.5,3.427
-4.7113,-7.0833,0.27706,126.29,17.5,3.427
-3.1584,-2.5267,0.10326,127.89,17.5,3.427
-2.2267,0.27732,-0.047364,129.49,17.5,3.427
-0.98438,0.27732,-0.082124,131.09,17.5,3.427
0.25794,-1.8257,-0.058951,132.7,17.5,3.427
0.87909,-2.8772,0.18437,134.3,17.5,3.427
0.25793,0.27732,-0.39496,70.188,17.5,4.57
0.56851,0.97834,-0.1053,71.791,17.5,4.57
0.56851,1.3288,-0.093711,73.393,17.5,4.57
0.87909,1.6793,-0.093711,74.996,17.5,4.57
0.87909,1.6793,-0.082124,76.599,17.5,4.57
1.1897,1.6793,-0.070537,78.202,17.5,4.57
1.1897,1.3288,-0.070537,79.805,17.5,4.57
1.1897,0.62783,-0.093711,81.407,17.5,4.57
0.87909,-0.073181,-0.093711,83.01,17.5,4.57
0.56851,-0.42369,-0.082124,84.613,17.5,4.57
0.25793,-0.42369,-0.035777,86.216,17.5,4.57
-0.6738,-0.42369,-0.035777,87.819,17.5,4.57
-0.98438,-0.42369,-0.024191,89.421,17.5,4.57
-1.295,-0.073181,-0.058951,91.024,17.5,4.57
-2.2267,0.27732,-0.1053,92.627,17.5,4.57
-2.2267,0.27732,-0.093711,94.23,17.5,4.57
-1.6055,-0.073181,-0.058951,95.833,17.5,4.57
0.25793,-1.4752,-0.047364,97.435,17.5,4.57
1.5003,-1.8257,-0.070537,99.038,17.5,4.57
1.1897,-1.4752,-0.082124,100.64,17.5,4.57
1.1897,0.27732,-0.1053,102.24,17.5,4.57
0.56851,1.3288,-0.15164,103.85,17.5,4.57
-1.295,0.97834,-0.14006,105.45,17.5,4.57
-6.2642,0.97834,-0.14006,107.05,17.5,4.57
-8.4383,1.3288,-0.20958,108.66,17.5,4.57
-9.37,0.62783,-0.17482,110.26,17.5,4.57
-10.612,-1.4752,-0.058951,111.86,17.5,4.57
-10.612,-2.5267,-0.012604,113.46,17.5,4.57
-10.612,-3.2277,-0.035777,115.07,17.5,4.57
-10.302,-2.5267,-0.058951,116.67,17.5,4.57
-9.0594,-3.2277,-0.035777,118.27,17.5,4.57
-8.1277,-4.9803,0.045329,119.87,17.5,4.57
-6.8854,-7.0833,0.13802,121.48,17.5,4.57
-5.6431,-9.8873,0.25389,123.08,17.5,4.57
-4.4008,-12.691,0.35817,124.68,17.5,4.57
-2.5373,-11.64,0.32341,126.29,17.5,4.57
-0.36322,-6.7328,0.10326,127.89,17.5,4.57
0.56851,-2.1762,-0.082124,129.49,17.5,4.57
0.87909,-1.8257,-0.11688,131.09,17.5,4.57
1.5003,-4.2792,-0.1053,132.7,17.5,4.57
2.1214,-5.3308,0.20754,134.3,17.5,4.57
3.0531,0.97834,-0.49924,70.188,17.5,5.713
3.0531,1.3288,-0.12847,71.791,17.5,5.713
3.3637,2.0299,-0.11688,73.393,17.5,5.713
3.3637,2.3804,-0.1053,74.996,17.5,5.713
3.3637,2.7309,-0.082124,76.599,17.5,5.713
3.3637,2.3804,-0.082124,78.202,17.5,5.713
3.3637,1.6793,-0.070537,79.805,17.5,5.713
3.3637,0.97834,-0.1053,81.407,17.5,5.713
3.0531,0.27732,-0.1053,83.01,17.5,5.713
2.432,-0.073181,-0.093711,84.613,17.5,5.713
1.5003,-0.42369,-0.058951,86.216,17.5,5.713
0.87909,-0.42369,-0.047364,87.819,17.5,5.713
0.56851,-0.073181,-0.035777,89.421,17.5,5.713
-0.36322,0.27732,-0.070537,91.024,17.5,5.713
-0.98438,0.62783,-0.11688,92.627,17.5,5.713
-1.295,0.97834,-0.093711,94.23,17.5,5.713
-0.98438,0.62783,-0.058951,95.833,17.5,5.713
0.25794,-0.77419,-0.035777,97.435,17.5,5.713
1.1897,-0.77419,-0.070537,99.038,17.5,5.713
1.1897,-0.42369,-0.082124,100.64,17.5,5.713
0.87909,1.3288,-0.1053,102.24,17.5,5.713
0.56851,2.3804,-0.12847,103.85,17.5,5.713
-0.36322,1.6793,-0.12847,105.45,17.5,5.713
-4.7113,1.6793,-0.11688,107.05,17.5,5.713
-6.2642,2.3804,-0.20958,108.66,17.5,5.713
-7.196,1.6793,-0.1864,110.26,17.5,5.713
-8.1277,-1.4752,-0.047364,111.86,17.5,5.713
-8.1277,-2.8772,-0.012604,113.46,17.5,5.713
-7.5065,-3.5782,-0.047364,115.07,17.5,5.713
-6.8854,-2.8772,-0.093711,116.67,17.5,5.713
-6.2642,-2.8772,-0.058951,118.27,17.5,5.713
-5.6431,-4.9803,0.022156,119.87,17.5,5.713
-5.0219,-7.0833,0.13802,121.48,17.5,5.713
-4.4008,-10.238,0.27706,123.08,17.5,5.713
-2.5373,-13.392,0.39293,124.68,17.5,5.713
-0.6738,-12.691,0.335,126.29,17.5,5.713
2.1214,-7.4338,0.080089,127.89,17.5,5.713
3.0531,-2.8772,-0.14006,129.49,17.5,5.713
3.3637,-2.5267,-0.1864,131.09,17.5,5.713
3.6743,-4.6298,-0.15164,132.7,17.5,5.713
3.6743,-6.0318,0.23072,134.3,17.5,5.713
6.7801,1.6793,-0.58035,70.188,17.5,6.856
6.4695,2.3804,-0.14006,71.791,17.5,6.856
6.4695,3.0814,-0.12847,73.393,17.5,6.856
6.4695,3.4319,-0.1053,74.996,17.5,6.856
6.4695,3.4319,-0.082124,76.599,17.5,6.856
6.4695,3.0814,-0.070537,78.202,17.5,6.856
6.1589,2.3804,-0.070537,79.805,17.5,6.856
6.1589,1.6793,-0.1053,81.407,17.5,6.856
5.5378,0.97834,-0.11688,83.01,17.5,6.856
4.9166,0.62783,-0.1053,84.613,17.5,6.856
4.2955,0.27732,-0.070537,86.216,17.5,6.856
3.0531,0.27732,-0.058951,87.819,17.5,6.856
2.7426,0.62783,-0.047364,89.421,17.5,6.856
2.432,0.97834,-0.082124,91.024,17.5,6.856
1.1897,1.3288,-0.11688,92.627,17.5,6.856
0.87909,1.6793,-0.093711,94.23,17.5,6.856
0.87909,0.97834,-0.047364,95.833,17.5,6.856
2.1214,-0.073181,-0.024191,97.435,17.5,6.856
2.7426,0.27732,-0.058951,99.038,17.5,6.856
2.432,0.97834,-0.082124,100.64,17.5,6.856
1.5003,2.7309,-0.093711,102.24,17.5,6.856
1.5003,3.4319,-0.11688,103.85,17.5,6.856
2.1214,2.3804,-0.11688,105.45,17.5,6.856
-1.6055,2.3804,-0.12847,107.05,17.5,6.856
-3.1584,3.4319,-0.22116,108.66,17.5,6.856
-4.4008,2.0299,-0.19799,110.26,17.5,6.856
-5.0219,-1.8257,-0.058951,111.86,17.5,6.856
-4.7113,-3.9287,-0.012604,113.46,17.5,6.856
-3.7796,-4.6298,-0.070537,115.07,17.5,6.856
-3.469,-3.5782,-0.11688,116.67,17.5,6.856
-2.8479,-3.5782,-0.082124,118.27,17.5,6.856
-3.1584,-4.9803,0.010569,119.87,17.5,6.856
-2.8479,-7.4338,0.12644,121.48,17.5,6.856
-2.5373,-10.588,0.28865,123.08,17.5,6.856
-0.6738,-14.093,0.4161,124.68,17.5,6.856
1.5003,-12.691,0.35817,126.29,17.5,6.856
4.606,-6.3823,0.045329,127.89,17.5,6.856
6.1589,-1.8257,-0.20958,129.49,17.5,6.856
6.7801,-1.8257,-0.24434,131.09,17.5,6.856
7.4013,-3.5782,-0.22116,132.7,17.5,6.856
8.333,-5.3308,0.23072,134.3,17.5,6.856
10.507,2.7309,-0.63828,70.188,17.5,7.999
10.196,3.4319,-0.16323,71.791,17.5,7.999
9.5753,3.7824,-0.12847,73.393,17.5,7.999
9.5753,3.7824,-0.1053,74.996,17.5,7.999
9.2647,3.7824,-0.082124,76.599,17.5,7.999
9.2647,3.4319,-0.070537,78.202,17.5,7.999
9.2647,2.7309,-0.070537,79.805,17.5,7.999
8.9541,2.3804,-0.1053,81.407,17.5,7.999
8.333,1.6793,-0.11688,83.01,17.5,7.999
7.4013,1.3288,-0.1053,84.613,17.5,7.999
6.7801,0.97834,-0.082124,86.216,17.5,7.999
6.1589,0.97834,-0.070537,87.819,17.5,7.999
5.2272,1.3288,-0.058951,89.421,17.5,7.999
4.9166,1.3288,-0.093711,91.024,17.5,7.999
4.2955,1.6793,-0.11688,92.627,17.5,7.999
3.6743,2.0299,-0.082124,94.23,17.5,7.999
3.6743,1.6793,-0.024191,95.833,17.5,7.999
4.606,0.62783,-0.001017,97.435,17.5,7.999
4.9166,1.3288,-0.035777,99.038,17.5,7.999
4.606,2.3804,-0.058951,100.64,17.5,7.999
3.3637,4.1329,-0.082124,102.24,17.5,7.999
3.0531,4.8339,-0.093711,103.85,17.5,7.999
4.9166,3.4319,-0.11688,105.45,17.5,7.999
1.5003,3.0814,-0.14006,107.05,17.5,7.999
0.25794,4.1329,-0.23275,108.66,17.5,7.999
-0.98438,2.3804,-0.20958,110.26,17.5,7.999
-1.295,-2.1762,-0.058951,111.86,17.5,7.999
-0.98438,-4.9803,-0.024191,113.46,17.5,7.999
0.25794,-4.9803,-0.093711,115.07,17.5,7.999
0.56851,-3.9287,-0.16323,116.67,17.5,7.999
0.56851,-3.9287,-0.1053,118.27,17.5,7.999
0.25794,-5.3308,-0.012604,119.87,17.5,7.999
0.25794,-7.7843,0.12644,121.48,17.5,7.999
0.25794,-11.289,0.28865,123.08,17.5,7.999
1.5003,-14.794,0.45086,124.68,17.5,7.999
4.2955,-13.042,0.38134,126.29,17.5,7.999
7.0907,-6.0318,0.010569,127.89,17.5,7.999
8.9541,-1.1247,-0.2791,129.49,17.5,7.999
10.507,-0.77419,-0.32544,131.09,17.5,7.999
11.439,-2.5267,-0.2791,132.7,17.5,7.999
12.371,-4.6298,0.20754,134.3,17.5,7.999
14.234,3.7824,-0.69622,70.188,17.5,9.142
13.923,4.1329,-0.16323,71.791,17.5,9.142
13.302,4.1329,-0.12847,73.393,17.5,9.142
12.992,4.1329,-0.1053,74.996,17.5,9.142
12.681,4.1329,-0.070537,76.599,17.5,9.142
12.681,3.7824,-0.058951,78.202,17.5,9.142
12.371,3.0814,-0.058951,79.805,17.5,9.142
12.06,2.3804,-0.1053,81.407,17.5,9.142
11.439,2.0299,-0.11688,83.01,17.5,9.142
10.818,1.6793,-0.11688,84.613,17.5,9.142
9.5753,1.6793,-0.082124,86.216,17.5,9.142
8.9541,1.6793,-0.082124,87.819,17.5,9.142
8.6436,1.6793,-0.070537,89.421,17.5,9.142
8.333,1.6793,-0.093711,91.024,17.5,9.142
7.4013,2.0299,-0.11688,92.627,17.5,9.142
7.0907,2.0299,-0.082124,94.23,17.5,9.142
7.0907,1.6793,-0.001017,95.833,17.5,9.142
7.4013,0.97834,0.022156,97.435,17.5,9.142
7.0907,2.0299,-0.001017,99.038,17.5,9.142
6.7801,3.4319,-0.035777,100.64,17.5,9.142
5.2272,5.5349,-0.047364,102.24,17.5,9.142
5.2272,6.5864,-0.058951,103.85,17.5,9.142
7.4013,4.4834,-0.1053,105.45,17.5,9.142
4.9166,4.1329,-0.14006,107.05,17.5,9.142
3.6743,4.8339,-0.24434,108.66,17.5,9.142
2.7426,2.7309,-0.23275,110.26,17.5,9.142
2.432,-2.1762,-0.070537,111.86,17.5,9.142
2.7426,-5.3308,-0.035777,113.46,17.5,9.142
4.2955,-4.9803,-0.12847,115.07,17.5,9.142
4.606,-3.5782,-0.19799,116.67,17.5,9.142
4.606,-3.5782,-0.14006,118.27,17.5,9.142
3.6743,-5.6813,-0.024191,119.87,17.5,9.142
3.3637,-8.1348,0.11485,121.48,17.5,9.142
3.6743,-12.691,0.30024,123.08,17.5,9.142
5.2272,-16.196,0.47404,124.68,17.5,9.142
7.4013,-14.444,0.40452,126.29,17.5,9.142
10.196,-6.0318,-0.024191,127.89,17.5,9.142
12.371,-0.77419,-0.34862,129.49,17.5,9.142
13.923,-0.073181,-0.39496,131.09,17.5,9.142
14.855,-2.1762,-0.34862,132.7,17.5,9.142
16.097,-4.6298,0.17278,134.3,17.5,9.142
17.961,4.8339,-0.71939,70.188,17.5,10.285
17.029,5.1844,-0.17482,71.791,17.5,10.285
16.719,4.8339,-0.12847,73.393,17.5,10.285
16.408,4.4834,-0.093711,74.996,17.5,10.285
16.408,4.1329,-0.070537,76.599,17.5,10.285
16.408,3.7824,-0.058951,78.202,17.5,10.285
16.097,3.0814,-0.058951,79.805,17.5,10.285
16.097,2.7309,-0.093711,81.407,17.5,10.285
15.166,2.3804,-0.11688,83.01,17.5,10.285
14.545,2.3804,-0.1053,84.613,17.5,10.285
13.923,2.0299,-0.082124,86.216,17.5,10.285
12.681,2.0299,-0.093711,87.819,17.5,10.285
12.371,2.0299,-0.082124,89.421,17.5,10.285
12.06,2.0299,-0.1053,91.024,17.5,10.285
11.439,2.0299,-0.11688,92.627,17.5,10.285
10.818,2.0299,-0.070537,94.23,17.5,10.285
10.818,1.3288,0.022156,95.833,17.5,10.285
10.818,0.62783,0.056916,97.435,17.5,10.285
10.196,2.0299,0.033743,99.038,17.5,10.285
8.6436,3.7824,0.010569,100.64,17.5,10.285
6.7801,6.5864,-0.001017,102.24,17.5,10.285
6.7801,7.2874,-0.012604,103.85,17.5,10.285
10.196,4.8339,-0.082124,105.45,17.5,10.285
8.6436,4.8339,-0.14006,107.05,17.5,10.285
7.0907,6.2359,-0.25592,108.66,17.5,10.285
6.1589,3.4319,-0.24434,110.26,17.5,10.285
6.1589,-1.8257,-0.082124,111.86,17.5,10.285
6.7801,-4.6298,-0.047364,113.46,17.5,10.285
8.6436,-3.5782,-0.16323,115.07,17.5,10.285
8.9541,-1.4752,-0.23275,116.67,17.5,10.285
9.2647,-2.1762,-0.17482,118.27,17.5,10.285
8.6436,-4.6298,-0.047364,119.87,17.5,10.285
8.6436,-8.1348,0.10326,121.48,17.5,10.285
9.2647,-13.392,0.31182,123.08,17.5,10.285
11.128,-17.598,0.5088,124.68,17.5,10.285
14.234,-15.846,0.4161,126.29,17.5,10.285
17.029,-6.3823,-0.047364,127.89,17.5,10.285
18.893,0.62783,-0.41814,129.49,17.5,10.285
20.135,0.97834,-0.47607,131.09,17.5,10.285
20.446,-1.4752,-0.41814,132.7,17.5,10.285
20.756,-3.9287,0.10326,134.3,17.5,10.285
21.377,6.5864,-0.71939,70.188,17.5,11.428
21.067,6.2359,-0.17482,71.791,17.5,11.428
20.756,5.5349,-0.12847,73.393,17.5,11.428
20.446,4.8339,-0.093711,74.996,17.5,11.428
20.446,4.4834,-0.058951,76.599,17.5,11.428
20.446,4.1329,-0.047364,78.202,17.5,11.428
20.446,3.7824,-0.047364,79.805,17.5,11.428
20.446,3.4319,-0.082124,81.407,17.5,11.428
19.824,3.0814,-0.1053,83.01,17.5,11.428
18.893,2.7309,-0.1053,84.613,17.5,11.428
18.272,2.7309,-0.082124,86.216,17.5,11.428
17.029,2.7309,-0.093711,87.819,17.5,11.428
16.719,2.7309,-0.082124,89.421,17.5,11.428
16.408,2.3804,-0.1053,91.024,17.5,11.428
15.476,2.3804,-0.11688,92.627,17.5,11.428
15.166,2.0299,-0.058951,94.23,17.5,11.428
14.855,0.97834,0.033743,95.833,17.5,11.428
14.545,-0.073181,0.091676,97.435,17.5,11.428
12.681,1.6793,0.080089,99.038,17.5,11.428
10.818,3.4319,0.080089,100.64,17.5,11.428
8.9541,6.9369,0.080089,102.24,17.5,11.428
8.9541,7.6379,0.045329,103.85,17.5,11.428
12.681,5.5349,-0.047364,105.45,17.5,11.428
12.06,5.5349,-0.12847,107.05,17.5,11.428
10.818,7.2874,-0.25592,108.66,17.5,11.428
9.2647,4.4834,-0.25592,110.26,17.5,11.428
8.6436,-1.4752,-0.093711,111.86,17.5,11.428
9.5753,-4.2792,-0.070537,113.46,17.5,11.428
11.439,-2.1762,-0.1864,115.07,17.5,11.428
11.439,-0.073181,-0.25592,116.67,17.5,11.428
12.06,-0.77419,-0.1864,118.27,17.5,11.428
12.06,-3.9287,-0.058951,119.87,17.5,11.428
12.371,-7.4338,0.10326,121.48,17.5,11.428
12.992,-13.042,0.32341,123.08,17.5,11.428
15.476,-18.299,0.53197,124.68,17.5,11.428
19.203,-15.846,0.43928,126.29,17.5,11.428
22.62,-4.2792,-0.070537,127.89,17.5,11.428
24.173,3.7824,-0.47607,129.49,17.5,11.428
24.483,4.1329,-0.54559,131.09,17.5,11.428
24.483,0.97834,-0.47607,132.7,17.5,11.428
24.794,-2.1762,0.022156,134.3,17.5,11.428
24.483,7.6379,-0.68463,70.188,17.5,12.571
23.862,7.2874,-0.16323,71.791,17.5,12.571
23.862,6.2359,-0.11688,73.393,17.5,12.571
23.862,5.1844,-0.082124,74.996,17.5,12.571
23.862,4.8339,-0.047364,76.599,17.5,12.571
24.173,4.1329,-0.035777,78.202,17.5,12.571
24.173,3.7824,-0.035777,79.805,17.5,12.571
24.173,3.4319,-0.070537,81.407,17.5,12.571
23.241,3.4319,-0.093711,83.01,17.5,12.571
22.62,3.0814,-0.093711,84.613,17.5,12.571
21.998,3.0814,-0.082124,86.216,17.5,12.571
20.756,3.0814,-0.093711,87.819,17.5,12.571
20.135,3.0814,-0.093711,89.421,17.5,12.571
19.824,2.7309,-0.1053,91.024,17.5,12.571
18.893,2.3804,-0.11688,92.627,17.5,12.571
18.582,1.6793,-0.058951,94.23,17.5,12.571
17.961,-0.073181,0.045329,95.833,17.5,12.571
17.029,-1.4752,0.10326,97.435,17.5,12.571
15.166,0.27732,0.12644,99.038,17.5,12.571
12.371,2.3804,0.11485,100.64,17.5,12.571
10.507,6.5864,0.12644,102.24,17.5,12.571
10.818,7.6379,0.10326,103.85,17.5,12.571
14.855,5.5349,-0.012604,105.45,17.5,12.571
14.545,6.5864,-0.1053,107.05,17.5,12.571
13.302,8.339,-0.25592,108.66,17.5,12.571
12.06,5.5349,-0.25592,110.26,17.5,12.571
11.128,-0.77419,-0.093711,111.86,17.5,12.571
11.439,-3.5782,-0.082124,113.46,17.5,12.571
13.302,-1.4752,-0.19799,115.07,17.5,12.571
12.992,1.6793,-0.26751,116.67,17.5,12.571
13.923,0.62783,-0.19799,118.27,17.5,12.571
13.923,-2.5267,-0.070537,119.87,17.5,12.571
14.234,-7.4338,0.10326,121.48,17.5,12.571
15.166,-13.743,0.335,123.08,17.5,12.571
17.34,-19.702,0.55514,124.68,17.5,12.571
21.377,-16.547,0.45086,126.29,17.5,12.571
24.794,-2.5267,-0.082124,127.89,17.5,12.571
26.347,6.9369,-0.52242,129.49,17.5,12.571
26.347,7.6379,-0.60352,131.09,17.5,12.571
26.657,3.0814,-0.534,132.7,17.5,12.571
