DATE,DFF,CPIAUCSL,Real Fed Funds,USRECM
01/04/1964,3.47,1.54199,1.92801,
01/05/1964,3.5,1.54048,1.95952,
01/06/1964,3.5,1.30676,2.19324,
01/07/1964,3.42,1.07527,2.34473,
01/08/1964,3.5,0.97561,2.52439,
01/09/1964,3.45,1.17188,2.27812,
01/10/1964,3.36,1.20325,2.15675,
01/11/1964,3.52,1.39701,2.12299,
01/12/1964,3.85,1.19819,2.65181,
01/01/1965,3.9,1.0989,2.8011,
01/02/1965,3.98,1.19702,2.78298,
01/03/1965,4.05,1.19586,2.85414,
01/04/1965,4.09,1.38934,2.70066,
01/05/1965,4.1,1.61394,2.48606,
01/06/1965,4.05,1.93486,2.11514,
01/07/1965,4.09,1.80529,2.28471,
01/08/1965,4.12,1.61031,2.50969,
01/09/1965,4.02,1.73745,2.28255,
01/10/1965,4.08,1.70308,2.37692,
01/11/1965,4.1,1.73021,2.36979,
01/12/1965,4.32,1.92,2.4,
01/01/1966,4.42,1.91816,2.50184,
01/02/1966,4.6,2.55754,2.04246,
01/03/1966,4.66,2.77866,1.88134,
01/04/1966,4.67,2.86807,1.80193,
01/05/1966,4.9,2.76366,2.13634,
01/06/1966,5.17,2.43594,2.73406,
01/07/1966,5.3,2.75491,2.54509,
01/08/1966,5.53,3.48653,2.04347,
01/09/1966,5.4,3.57369,1.82631,
01/10/1966,5.53,3.79147,1.73853,
01/11/1966,5.76,3.55906,2.20094,
01/12/1966,5.4,3.3595,2.0405,
01/01/1967,4.94,3.1995,1.7405,
01/02/1967,5,2.86783,2.13217,
01/03/1967,4.53,2.54817,1.98183,
01/04/1967,4.05,2.54027,1.50973,
01/05/1967,3.94,2.31839,1.62161,
01/06/1967,3.98,2.84126,1.13874,
01/07/1967,3.79,2.92758,0.86242,
01/08/1967,3.9,2.60337,1.29663,
01/09/1967,3.99,2.59542,1.39458,
01/10/1967,3.88,2.58752,1.29248,
01/11/1967,4.13,3.10219,1.02781,
01/12/1967,4.51,3.28068,1.22932,
01/01/1968,4.61,3.64742,0.96258,
01/02/1968,4.71,3.63636,1.07364,
01/03/1968,5.05,3.93939,1.11061,
01/04/1968,5.76,3.92749,1.83251,
01/05/1968,6.12,4.22961,1.89039,
01/06/1968,6.07,4.2042,1.8658,
01/07/1968,6.03,4.49102,1.53898,
01/08/1968,6.03,4.47761,1.55239,
01/09/1968,5.78,4.46429,1.31571,
01/10/1968,5.91,4.74777,1.16223,
01/11/1968,5.82,4.42478,1.39522,
01/12/1968,6.02,4.70588,1.31412,
01/01/1969,6.3,4.69208,1.60792,
01/02/1969,6.61,4.67836,1.93164,
01/03/1969,6.79,5.24781,1.54219,
01/04/1969,7.41,5.52326,1.88674,
01/05/1969,8.67,5.50725,3.16275,
01/06/1969,8.9,5.4755,3.4245,
01/07/1969,8.61,5.44413,3.16587,
01/08/1969,9.19,5.42857,3.76143,
01/09/1969,9.15,5.69801,3.45199,
01/10/1969,9,5.66572,3.33428,
01/11/1969,8.85,5.9322,2.9178,
01/12/1969,8.97,5.89888,3.07112,
01/01/1970,8.98,6.16246,2.81754,
01/02/1970,8.98,6.42458,2.55542,
01/03/1970,7.76,6.09418,1.66582,
01/04/1970,8.1,6.06061,2.03939,
01/05/1970,7.95,6.04396,1.90604,
01/06/1970,7.61,6.01093,1.59907,
01/07/1970,7.21,5.70652,1.50348,
01/08/1970,6.62,5.69106,0.92894,
01/09/1970,6.29,5.66038,0.62962,
01/10/1970,6.2,5.63003,0.56997,
01/11/1970,5.6,5.6,0,
01/12/1970,4.9,5.57029,-0.67029,1
01/01/1971,4.14,5.27704,-1.13704,1
01/02/1971,3.72,4.72441,-1.00441,1
01/03/1971,3.71,4.43864,-0.72864,1
01/04/1971,4.16,4.15584,0.00416,1
01/05/1971,4.63,4.40415,0.22585,1
01/06/1971,4.91,4.38144,0.52856,1
01/07/1971,5.31,4.37018,0.93982,1
01/08/1971,5.57,4.35897,1.21103,1
01/09/1971,5.55,4.08163,1.46837,1
01/10/1971,5.2,3.80711,1.39289,1
01/11/1971,4.91,3.53535,1.37465,1
01/12/1971,4.14,3.26633,0.87367,
01/01/1972,3.51,3.25815,0.25185,
01/02/1972,3.3,3.7594,-0.4594,
01/03/1972,3.83,3.5,0.33,
01/04/1972,4.17,3.49127,0.67873,
01/05/1972,4.27,3.22581,1.04419,
01/06/1972,4.46,2.96296,1.49704,
01/07/1972,4.55,2.95567,1.59433,
01/08/1972,4.81,2.9484,1.8616,
01/09/1972,4.87,3.18627,1.68373,
01/10/1972,5.05,3.17848,1.87152,
01/11/1972,5.06,3.41463,1.64537,
01/12/1972,5.33,3.40633,1.92367,
01/01/1973,5.94,3.64078,2.29922,
01/02/1973,6.58,3.86473,2.71527,
01/03/1973,7.09,4.83092,2.25908,
01/04/1973,7.12,5.3012,1.8188,
01/05/1973,7.84,5.52885,2.31115,
01/06/1973,8.49,5.9952,2.4948,
01/07/1973,10.4,5.74163,4.65837,
01/08/1973,10.5,7.39857,3.10143,
01/09/1973,10.78,7.36342,3.41658,
01/10/1973,10.01,8.05687,1.95313,
01/11/1973,10.03,8.25472,1.77528,
01/12/1973,9.95,8.94118,1.00882,
01/01/1974,9.65,9.60187,0.04813,
01/02/1974,8.97,10,-1.03,
01/03/1974,9.35,10.13825,-0.78825,
01/04/1974,10.51,10.06865,0.44135,
01/05/1974,11.31,10.70615,0.60385,
01/06/1974,11.93,10.85973,1.07027,
01/07/1974,12.92,11.53846,1.38154,
01/08/1974,12.01,10.88889,1.12111,
01/09/1974,11.34,11.9469,-0.6069,
01/10/1974,10.06,11.84211,-1.78211,
01/11/1974,9.45,12.20044,-2.75044,0
01/12/1974,8.53,12.09503,-3.56503,0
01/01/1975,7.13,11.75214,-4.62214,0
01/02/1975,6.24,11.20507,-4.96507,0
01/03/1975,5.54,10.46025,-4.92025,0
01/04/1975,5.49,10.18711,-4.69711,1
01/05/1975,5.22,9.25926,-4.03926,1
01/06/1975,5.55,9.18367,-3.63367,1
01/07/1975,6.1,9.53347,-3.43347,1
01/08/1975,6.14,8.61723,-2.47723,1
01/09/1975,6.24,7.90514,-1.66514,1
01/10/1975,5.82,7.64706,-1.82706,1
01/11/1975,5.22,7.37864,-2.15864,1
01/12/1975,5.2,7.12909,-1.92909,1
01/01/1976,4.87,6.69216,-1.82216,1
01/02/1976,4.77,6.27376,-1.50376,1
01/03/1976,4.84,6.06061,-1.22061,1
01/04/1976,4.82,5.84906,-1.02906,
01/05/1976,5.29,6.21469,-0.92469,
01/06/1976,5.48,5.98131,-0.50131,
01/07/1976,5.31,5.55556,-0.24556,
01/08/1976,5.29,5.71956,-0.42956,
01/09/1976,5.25,5.49451,-0.24451,
01/10/1976,5.02,5.46448,-0.44448,
01/11/1976,4.95,5.06329,-0.11329,
01/12/1976,4.65,5.03597,-0.38597,
01/01/1977,4.61,5.19713,-0.58713,
01/02/1977,4.68,6.08229,-1.40229,
01/03/1977,4.69,6.42857,-1.73857,
01/04/1977,4.73,6.95187,-2.22187,
01/05/1977,5.35,6.73759,-1.38759,
01/06/1977,5.39,6.70194,-1.31194,
01/07/1977,5.42,6.66667,-1.24667,
01/08/1977,5.9,6.63176,-0.73176,
01/09/1977,6.14,6.42361,-0.28361,
01/10/1977,6.47,6.39033,0.07967,
01/11/1977,6.51,6.71256,-0.20256,
01/12/1977,6.56,6.67808,-0.11808,
01/01/1978,6.7,6.81431,-0.11431,
01/02/1978,6.78,6.23946,0.54054,
01/03/1978,6.79,6.37584,0.41416,
01/04/1978,6.89,6.5,0.39,
01/05/1978,7.36,7.14286,0.21714,
01/06/1978,7.6,7.43802,0.16198,
01/07/1978,7.81,7.73026,0.07974,
01/08/1978,8.04,7.85597,0.18403,
01/09/1978,8.45,8.48287,-0.03287,
01/10/1978,8.96,8.92857,0.03143,
01/11/1978,9.76,8.87097,0.88903,
01/12/1978,10.03,8.98876,1.04124,
01/01/1979,10.07,9.2504,0.8196,
01/02/1979,10.06,9.84127,0.21873,
01/03/1979,10.09,10.25237,-0.16237,
01/04/1979,10.01,10.48513,-0.47513,
01/05/1979,10.24,10.69767,-0.45767,
01/06/1979,10.29,11.07692,-0.78692,
01/07/1979,10.47,11.45038,-0.98038,
01/08/1979,10.94,11.83612,-0.89612,
01/09/1979,11.43,11.8797,-0.4497,
01/10/1979,13.77,12.07154,1.69846,
01/11/1979,13.18,12.59259,0.58741,
01/12/1979,13.78,13.25479,0.52521,
01/01/1980,13.82,13.86861,-0.04861,
01/02/1980,14.13,14.16185,-0.03185,
01/03/1980,17.19,14.59227,2.59773,
01/04/1980,17.61,14.58924,3.02076,
01/05/1980,10.98,14.42577,-3.44577,
01/06/1980,9.47,14.26593,-4.79593,
01/07/1980,9.03,13.15068,-4.12068,
01/08/1980,9.61,12.89009,-3.28009,
01/09/1980,10.87,12.76882,-1.89882,
01/10/1980,12.81,12.63298,0.17702,
01/11/1980,15.85,12.63158,3.21842,
01/12/1980,18.9,12.35371,6.54629,
01/01/1981,19.08,11.79487,7.28513,1
01/02/1981,15.93,11.39241,4.53759,1
01/03/1981,14.7,10.61174,4.08826,1
01/04/1981,15.72,10.13597,5.58403,1
01/05/1981,18.52,9.79192,8.72808,1
01/06/1981,19.1,9.69697,9.40303,1
01/07/1981,19.04,10.77482,8.26518,0
01/08/1981,17.82,10.81731,7.00269,
01/09/1981,15.87,10.96544,4.90456,
01/10/1981,15.08,10.27155,4.80845,
01/11/1981,13.31,9.57944,3.73056,
01/12/1981,12.37,8.91204,3.45796,
01/01/1982,13.22,8.25688,4.96312,
01/02/1982,14.78,7.61364,7.16636,
01/03/1982,14.68,6.88488,7.79512,
01/04/1982,14.94,6.62177,8.31823,
01/05/1982,14.45,6.91193,7.53807,
01/06/1982,14.15,7.18232,6.96768,
01/07/1982,12.59,6.55738,6.03262,0
01/08/1982,10.12,5.96529,4.15471,0
01/09/1982,10.31,4.94092,5.36908,0
01/10/1982,9.71,5.03212,4.67788,0
01/11/1982,9.2,4.47761,4.72239,0
01/12/1982,8.95,3.82572,5.12428,1
01/01/1983,8.68,3.70763,4.97237,1
01/02/1983,8.51,3.48469,5.02531,1
01/03/1983,8.77,3.59029,5.17971,1
01/04/1983,8.8,4,4.8,1
01/05/1983,8.63,3.44108,5.18892,1
01/06/1983,8.98,2.47423,6.50577,1
01/07/1983,9.37,2.35897,7.01103,1
01/08/1983,9.56,2.4565,7.1035,1
01/09/1983,9.45,2.76356,6.68644,1
01/10/1983,9.48,2.75229,6.72771,1
01/11/1983,9.34,3.16327,6.17673,1
01/12/1983,9.47,3.7871,5.6829,
01/01/1984,9.56,4.29009,5.26991,
01/02/1984,9.59,4.69388,4.89612,
01/03/1984,9.91,4.89297,5.01703,
01/04/1984,10.29,4.55466,5.73534,
01/05/1984,10.32,4.33468,5.98532,
01/06/1984,11.06,4.32596,6.73404,
01/07/1984,11.23,4.30862,6.92138,
01/08/1984,11.64,4.2957,7.3443,
01/09/1984,11.3,4.28287,7.01713,
01/10/1984,9.99,4.26587,5.72413,
01/11/1984,9.43,4.1543,5.2757,
01/12/1984,8.38,4.04339,4.33661,
01/01/1985,8.35,3.52595,4.82405,
01/02/1985,8.5,3.60624,4.89376,
01/03/1985,8.58,3.79009,4.78991,
01/04/1985,8.27,3.5818,4.6882,
01/05/1985,7.97,3.57488,4.39512,
01/06/1985,7.53,3.66442,3.86558,
01/07/1985,7.88,3.45821,4.42179,
01/08/1985,7.9,3.35249,4.54751,
01/09/1985,7.92,3.24737,4.67263,
01/10/1985,7.99,3.23501,4.75499,
01/11/1985,8.05,3.51377,4.53623,
01/12/1985,8.27,3.79147,4.47853,
01/01/1986,8.14,3.97351,4.16649,
01/02/1986,7.86,3.19849,4.66151,
01/03/1986,7.48,2.15356,5.32644,
01/04/1986,6.99,1.58879,5.40121,
01/05/1986,6.85,1.6791,5.1709,
01/06/1986,6.92,1.76744,5.15256,
01/07/1986,6.56,1.67131,4.88869,
01/08/1986,6.17,1.57553,4.59447,
01/09/1986,5.89,1.75763,4.13237,
01/10/1986,5.85,1.56682,4.28318,
01/11/1986,6.04,1.2844,4.7556,
01/12/1986,6.91,1.18721,5.72279,
01/01/1987,6.43,1.36488,5.06512,
01/02/1987,6.1,1.91431,4.18569,
01/03/1987,6.13,2.84143,3.28857,
01/04/1987,6.37,3.67985,2.69015,
01/05/1987,6.85,3.66972,3.18028,
01/06/1987,6.73,3.74771,2.98229,
01/07/1987,6.58,3.92694,2.65306,
01/08/1987,6.73,4.28832,2.44168,
01/09/1987,7.22,4.27273,2.94727,
01/10/1987,7.29,4.35572,2.93428,
01/11/1987,6.69,4.52899,2.16101,
01/12/1987,6.77,4.33213,2.43787,
01/01/1988,6.83,4.12926,2.70074,
01/02/1988,6.58,3.9356,2.6444,
01/03/1988,6.58,3.83244,2.74756,
01/04/1988,6.87,3.9929,2.8771,
01/05/1988,7.09,3.9823,3.1077,
01/06/1988,7.51,3.96476,3.54524,
01/07/1988,7.75,4.13005,3.61995,
01/08/1988,8.01,4.11199,3.89801,
01/09/1988,8.19,4.18483,4.00517,
01/10/1988,8.3,4.26087,4.03913,
01/11/1988,8.35,4.2461,4.1039,
01/12/1988,8.76,4.41176,4.34824,
01/01/1989,9.12,4.48276,4.63724,
01/02/1989,9.36,4.64716,4.71284,
01/03/1989,9.85,4.8927,4.9573,
01/04/1989,9.84,5.03413,4.80587,
01/05/1989,9.81,5.2766,4.5334,
01/06/1989,9.53,5.16949,4.36051,
01/07/1989,9.24,5.06329,4.17671,
01/08/1989,8.99,4.62185,4.36815,
01/09/1989,9.02,4.43515,4.58485,
01/10/1989,8.84,4.58716,4.25284,
01/11/1989,8.55,4.65503,3.89497,
01/12/1989,8.45,4.6396,3.8104,
01/01/1990,8.23,5.19802,3.03198,
01/02/1990,8.24,5.26316,2.97684,
01/03/1990,8.28,5.23732,3.04268,
01/04/1990,8.26,4.71162,3.54838,
01/05/1990,8.18,4.3654,3.8146,
01/06/1990,8.29,4.67365,3.61635,
01/07/1990,8.15,4.81928,3.33072,
01/08/1990,8.13,5.70281,2.42719,
01/09/1990,8.2,6.16987,2.03013,
01/10/1990,8.11,6.37959,1.73041,
01/11/1990,7.81,6.19539,1.61461,
01/12/1990,7.31,6.25495,1.05505,
01/01/1991,6.91,5.64706,1.26294,
01/02/1991,6.25,5.3125,0.9375,
01/03/1991,6.12,4.82115,1.29885,
01/04/1991,5.91,4.80993,1.10007,
01/05/1991,5.78,5.03486,0.74514,
01/06/1991,5.9,4.69592,1.20408,
01/07/1991,5.82,4.36782,1.45218,1
01/08/1991,5.66,3.79939,1.86061,1
01/09/1991,5.45,3.39623,2.05377,1
01/10/1991,5.21,2.84858,2.36142,1
01/11/1991,4.81,3.06657,1.74343,1
01/12/1991,4.43,2.98063,1.44937,1
01/01/1992,4.03,2.67261,1.35739,1
01/02/1992,4.06,2.81899,1.24101,1
01/03/1992,3.98,3.18991,0.79009,1
01/04/1992,3.73,3.18283,0.54717,
01/05/1992,3.82,3.0236,0.7964,
01/06/1992,3.76,3.01471,0.74529,
01/07/1992,3.25,3.15712,0.09288,
01/08/1992,3.3,3.07467,0.22533,
01/09/1992,3.22,2.9927,0.2273,
01/10/1992,3.1,3.27988,-0.17988,
01/11/1992,3.09,3.12046,-0.03046,
01/12/1992,2.92,2.96671,-0.04671,
01/01/1993,3.02,3.2538,-0.2338,
01/02/1993,3.03,3.24675,-0.21675,
01/03/1993,3.07,3.01941,0.05059,
01/04/1993,2.96,3.15638,-0.19638,
01/05/1993,3,3.22119,-0.22119,
01/06/1993,3.04,2.99786,0.04214,
01/07/1993,3.06,2.84698,0.21302,
01/08/1993,3.03,2.84091,0.18909,
01/09/1993,3.09,2.764,0.326,
01/10/1993,2.99,2.75229,0.23771,
01/11/1993,3.02,2.74455,0.27545,
01/12/1993,2.96,2.81096,0.14904,
01/01/1994,3.05,2.45098,0.59902,
01/02/1994,3.25,2.51572,0.73428,
01/03/1994,3.34,2.65178,0.68822,
01/04/1994,3.56,2.36439,1.19561,
01/05/1994,4.01,2.28849,1.72151,
01/06/1994,4.25,2.4948,1.7552,
01/07/1994,4.26,2.69896,1.56104,
01/08/1994,4.47,2.90055,1.56945,
01/09/1994,4.73,2.96552,1.76448,
01/10/1994,4.76,2.60989,2.15011,
01/11/1994,5.29,2.60274,2.68726,
01/12/1994,5.45,2.5974,2.8526,
01/01/1995,5.53,2.87081,2.65919,
01/02/1995,5.92,2.86299,3.05701,
01/03/1995,5.98,2.78722,3.19278,
01/04/1995,6.05,3.125,2.925,
01/05/1995,6.01,3.11864,2.89136,
01/06/1995,6,3.0426,2.9574,
01/07/1995,5.85,2.83019,3.01981,
01/08/1995,5.74,2.61745,3.12255,
01/09/1995,5.8,2.54521,3.25479,
01/10/1995,5.76,2.74431,3.01569,
01/11/1995,5.8,2.60347,3.19653,
01/12/1995,5.6,2.53165,3.06835,
01/01/1996,5.56,2.7907,2.7693,
01/02/1996,5.22,2.71703,2.50297,
01/03/1996,5.31,2.84392,2.46608,
01/04/1996,5.22,2.83267,2.38733,
01/05/1996,5.24,2.82709,2.41291,
01/06/1996,5.27,2.82152,2.44848,
01/07/1996,5.4,2.88336,2.51664,
01/08/1996,5.22,2.8123,2.4077,
01/09/1996,5.3,3.00457,2.29543,
01/10/1996,5.24,3.06189,2.17811,
01/11/1996,5.31,3.25309,2.05691,
01/12/1996,5.29,3.37882,1.91118,
01/01/1997,5.25,3.03814,2.21186,
01/02/1997,5.19,3.03226,2.15774,
01/03/1997,5.39,2.76527,2.62473,
01/04/1997,5.51,2.43434,3.07566,
01/05/1997,5.5,2.23785,3.26215,
01/06/1997,5.56,2.23357,3.32643,
01/07/1997,5.52,2.16561,3.35439,
01/08/1997,5.54,2.29008,3.24992,
01/09/1997,5.54,2.2194,3.3206,
01/10/1997,5.5,2.08597,3.41403,
01/11/1997,5.52,1.89036,3.62964,
01/12/1997,5.5,1.69705,3.80295,
01/01/1998,5.56,1.63112,3.92888,
01/02/1998,5.51,1.4402,4.0698,
01/03/1998,5.49,1.37672,4.11328,
01/04/1998,5.45,1.4384,4.0116,
01/05/1998,5.49,1.68856,3.80144,
01/06/1998,5.56,1.62297,3.93703,
01/07/1998,5.54,1.74564,3.79436,
01/08/1998,5.55,1.61692,3.93308,
01/09/1998,5.51,1.4268,4.0832,
01/10/1998,5.07,1.48607,3.58393,
01/11/1998,4.83,1.48423,3.34577,
01/12/1998,4.68,1.60692,3.07308,
01/01/1999,4.63,1.66667,2.96333,
01/02/1999,4.76,1.66667,3.09333,
01/03/1999,4.81,1.7284,3.0816,
01/04/1999,4.74,2.28113,2.45887,
01/05/1999,4.74,2.09102,2.64898,
01/06/1999,4.76,1.9656,2.7944,
01/07/1999,4.99,2.14461,2.84539,
01/08/1999,5.07,2.26438,2.80562,
01/09/1999,5.22,2.62997,2.59003,
01/10/1999,5.2,2.56254,2.63746,
01/11/1999,5.42,2.62035,2.79965,
01/12/1999,5.3,2.6764,2.6236,
01/01/2000,5.45,2.79296,2.65704,
01/02/2000,5.73,3.21797,2.51203,
01/03/2000,5.85,3.76214,2.08786,
01/04/2000,6.02,3.01386,3.00614,
01/05/2000,6.27,3.13253,3.13747,
01/06/2000,6.53,3.73494,2.79506,
01/07/2000,6.54,3.59928,2.94072,
01/08/2000,6.5,3.35129,3.14871,
01/09/2000,6.52,3.4565,3.0635,
01/10/2000,6.51,3.45033,3.05967,
01/11/2000,6.51,3.44418,3.06582,
01/12/2000,6.4,3.43602,2.96398,
01/01/2001,5.98,3.7212,2.2588,
01/02/2001,5.49,3.52941,1.96059,
01/03/2001,5.31,2.98246,2.32754,
01/04/2001,4.8,3.21826,1.58174,
01/05/2001,4.21,3.56308,0.64692,
01/06/2001,3.97,3.19396,0.77604,
01/07/2001,3.77,2.72148,1.04852,
01/08/2001,3.65,2.72148,0.92852,
01/09/2001,3.07,2.59217,0.47783,
01/10/2001,2.49,2.12766,0.36234,
01/11/2001,2.09,1.89437,0.19563,
01/12/2001,1.82,1.60367,0.21633,
01/01/2002,1.73,1.1959,0.5341,
01/02/2002,1.74,1.13636,0.60364,
01/03/2002,1.73,1.36286,0.36714,1
01/04/2002,1.75,1.64399,0.10601,1
01/05/2002,1.75,1.24083,0.50917,1
01/06/2002,1.75,1.06922,0.68078,1
01/07/2002,1.73,1.46561,0.26439,1
01/08/2002,1.74,1.74746,-0.00746,1
01/09/2002,1.75,1.516,0.234,1
01/10/2002,1.75,2.02703,-0.27703,1
01/11/2002,1.34,2.25352,-0.91352,1
01/12/2002,1.24,2.48027,-1.24027,
01/01/2003,1.24,2.75746,-1.51746,
01/02/2003,1.26,3.14607,-1.88607,
01/03/2003,1.25,3.02521,-1.77521,
01/04/2003,1.26,2.17513,-0.91513,
01/05/2003,1.26,1.89415,-0.63415,
01/06/2003,1.22,1.94878,-0.72878,
01/07/2003,1.01,2.05556,-1.04556,
01/08/2003,1.03,2.21607,-1.18607,
01/09/2003,1.01,2.37832,-1.36832,
01/10/2003,1.01,2.04194,-1.03194,
01/11/2003,1,1.92837,-0.92837,
01/12/2003,0.98,2.0352,-1.0552,
01/01/2004,1,2.02629,-1.02629,
01/02/2004,1.01,1.68845,-0.67845,
01/03/2004,1,1.74008,-0.74008,
01/04/2004,1,2.29258,-1.29258,
01/05/2004,1,2.89776,-1.89776,
01/06/2004,1.03,3.16767,-2.13767,
01/07/2004,1.26,2.93958,-1.67958,
01/08/2004,1.43,2.54743,-1.11743,
01/09/2004,1.61,2.53917,-0.92917,
01/10/2004,1.76,3.19091,-1.43091,
01/11/2004,1.93,3.62162,-1.69162,
01/12/2004,2.16,3.34232,-1.18232,
01/01/2005,2.28,2.84487,-0.56487,
01/02/2005,2.5,3.05303,-0.55303,
01/03/2005,2.63,3.20684,-0.57684,
01/04/2005,2.79,3.36179,-0.57179,
01/05/2005,3,2.86929,0.13071,
01/06/2005,3.04,2.54103,0.49897,
01/07/2005,3.26,3.06716,0.19284,
01/08/2005,3.5,3.64693,-0.14693,
01/09/2005,3.62,4.74183,-1.12183,
01/10/2005,3.78,4.3501,-0.5701,
01/11/2005,4,3.33855,0.66145,
01/12/2005,4.16,3.33855,0.82145,
01/01/2006,4.29,4.01879,0.27121,
01/02/2006,4.49,3.63825,0.85175,
01/03/2006,4.59,3.41792,1.17208,
01/04/2006,4.79,3.61384,1.17616,
01/05/2006,4.94,3.97727,0.96273,
01/06/2006,4.99,4.18172,0.80828,
01/07/2006,5.24,4.10467,1.13533,
