DATE,USREC
01/03/2011,0
01/04/2011,0
01/05/2011,0
01/06/2011,0
01/07/2011,0
01/08/2011,0
01/09/2011,0
01/10/2011,0
01/11/2011,0
01/12/2011,0
01/01/2012,0
01/02/2012,0
01/03/2012,0
01/04/2012,0
01/05/2012,0
01/06/2012,0
01/07/2012,0
01/08/2012,0
01/09/2012,0
01/10/2012,0
01/11/2012,0
01/12/2012,0
01/01/2013,0
01/02/2013,0
01/03/2013,0
01/04/2013,0
01/05/2013,0
01/06/2013,0
01/07/2013,0
01/08/2013,0
01/09/2013,0
01/10/2013,0
01/11/2013,0
01/12/2013,0
01/01/2014,0
01/02/2014,0
01/03/2014,0
01/04/2014,0
01/05/2014,0
01/06/2014,0
01/07/2014,0
01/08/2014,0
