mauna loa co2,date,south pole co2,heat content,date,+2σ heat content,-2σ heat content,date,-2σ temperature anomaly,temperature anomaly,+2σ temperature anomaly
319.68,03/01/62,317.44,0,0,0,0,0,0,0,0
320.63,04/01/62,317.47,0,0,0,0,0,0,0,0
321.01,05/01/62,317.5,0,0,0,0,0,0,0,0
320.55,06/01/62,317.53,0,0,0,0,0,0,0,0
319.58,07/01/62,317.57,0,0,0,0,0,0,0,0
317.4,08/01/62,317.61,0,0,0,0,0,0,0,0
316.26,09/01/62,317.67,0,0,0,0,0,0,0,0
315.42,10/01/62,317.75,0,0,0,0,0,0,0,0
316.69,11/01/62,317.83,0,0,0,0,0,0,0,0
317.69,12/01/62,317.92,0,0,0,0,0,0,0,0
318.74,01/01/63,318.01,0,0,0,0,0,0,0,0
319.08,02/01/63,318.09,0,0,0,0,0,0,0,0
319.86,03/01/63,318.16,0,0,0,0,0,0,0,0
321.39,04/01/63,318.21,0,0,0,0,0,0,0,0
322.25,05/01/63,318.27,0,0,0,0,0,0,0,0
321.47,06/01/63,318.31,0,0,0,0,0,0,0,0
319.74,07/01/63,318.35,0,0,0,0,0,0,0,0
317.77,08/01/63,318.37,0,0,0,0,0,0,0,0
316.21,09/01/63,318.4,0,0,0,0,0,0,0,0
315.99,10/01/63,318.41,0,0,0,0,0,0,0,0
317.12,11/01/63,318.43,0,0,0,0,0,0,0,0
318.31,12/01/63,318.44,0,0,0,0,0,0,0,0
319.57,01/01/64,318.46,0,0,0,0,0,0,0,0
320.07,02/01/64,318.47,0,0,0,0,0,0,0,0
320.73,03/01/64,318.48,0,0,0,0,0,0,0,0
321.77,04/01/64,318.5,0,0,0,0,0,0,0,0
322.25,05/01/64,318.52,0,0,0,0,0,0,0,0
321.89,06/01/64,318.54,0,0,0,0,0,0,0,0
320.44,07/01/64,318.56,0,0,0,0,0,0,0,0
318.7,08/01/64,318.6,0,0,0,0,0,0,0,0
316.7,09/01/64,318.63,0,0,0,0,0,0,0,0
316.79,10/01/64,318.68,0,0,0,0,0,0,0,0
317.79,11/01/64,318.73,0,0,0,0,0,0,0,0
318.71,12/01/64,318.8,0,0,0,0,0,0,0,0
319.44,01/01/65,318.87,0,0,0,0,0,0,0,0
320.44,02/01/65,318.96,0,0,0,0,0,0,0,0
320.89,03/01/65,319.06,0,0,0,0,0,0,0,0
322.13,04/01/65,319.16,0,0,0,0,0,0,0,0
322.16,05/01/65,319.29,0,0,0,0,0,0,0,0
321.87,06/01/65,319.42,0,0,0,0,0,0,0,0
321.39,07/01/65,319.57,0,0,0,0,0,0,0,0
318.81,08/01/65,319.72,0,0,0,0,0,0,0,0
317.81,09/01/65,319.89,0,0,0,0,0,0,0,0
317.3,10/01/65,320.04,0,0,0,0,0,0,0,0
318.87,11/01/65,320.18,0,0,0,0,0,0,0,0
319.42,12/01/65,320.31,0,0,0,0,0,0,0,0
320.62,01/01/66,320.41,0,0,0,0,0,0,0,0
321.59,02/01/66,320.5,0,0,0,0,0,0,0,0
322.39,03/01/66,320.57,0,0,0,0,0,0,0,0
323.87,04/01/66,320.64,0,0,0,0,0,0,0,0
324.01,05/01/66,320.7,0,0,0,0,0,0,0,0
323.75,06/01/66,320.76,0,0,0,0,0,0,0,0
322.39,07/01/66,320.81,0,0,0,0,0,0,0,0
320.37,08/01/66,320.85,0,0,0,0,0,0,0,0
318.64,09/01/66,320.89,0,0,0,0,0,0,0,0
318.1,10/01/66,320.93,0,0,0,0,0,0,0,0
319.79,11/01/66,320.97,0,0,0,0,0,0,0,0
321.08,12/01/66,321.01,0,0,0,0,0,0,0,0
322.07,01/01/67,321.05,0,0,0,0,0,0,0,0
322.5,02/01/67,321.09,0,0,0,0,0,0,0,0
323.04,03/01/67,321.14,0,0,0,0,0,0,0,0
324.42,04/01/67,321.17,0,0,0,0,0,0,0,0
325,05/01/67,321.22,0,0,0,0,0,0,0,0
324.09,06/01/67,321.26,0,0,0,0,0,0,0,0
322.55,07/01/67,321.31,0,0,0,0,0,0,0,0
320.92,08/01/67,321.37,0,0,0,0,0,0,0,0
319.31,09/01/67,321.43,0,0,0,0,0,0,0,0
319.31,10/01/67,321.5,0,0,0,0,0,0,0,0
320.72,11/01/67,321.57,0,0,0,0,0,0,0,0
321.96,12/01/67,321.65,0,0,0,0,0,0,0,0
322.57,01/01/68,321.73,0,0,0,0,0,0,0,0
323.15,02/01/68,321.8,0,0,0,0,0,0,0,0
323.89,03/01/68,321.86,0,0,0,0,0,0,0,0
325.02,04/01/68,321.89,0,0,0,0,0,0,0,0
325.57,05/01/68,321.92,0,0,0,0,0,0,0,0
325.36,06/01/68,321.94,0,0,0,0,0,0,0,0
324.14,07/01/68,321.97,0,0,0,0,0,0,0,0
322.03,08/01/68,322,0,0,0,0,0,0,0,0
320.41,09/01/68,322.04,0,0,0,0,0,0,0,0
320.25,10/01/68,322.1,0,0,0,0,0,0,0,0
321.31,11/01/68,322.18,0,0,0,0,0,0,0,0
322.84,12/01/68,322.27,0,0,0,0,0,0,0,0
324,01/01/69,322.36,0,0,0,0,0,0,0,0
324.42,02/01/69,322.47,0,0,0,0,0,0,0,0
325.64,03/01/69,322.59,0,0,0,0,0,0,0,0
326.66,04/01/69,322.7,0,0,0,0,0,0,0,0
327.34,05/01/69,322.83,0,0,0,0,0,0,0,0
326.76,06/01/69,322.96,0,0,0,0,0,0,0,0
325.88,07/01/69,323.09,0,0,0,0,0,0,0,0
323.67,08/01/69,323.22,0,0,0,0,0,0,0,0
322.38,09/01/69,323.35,0,0,0,0,0,0,0,0
321.78,10/01/69,323.49,0,0,0,0,0,0,0,0
322.85,11/01/69,323.61,0,0,0,0,0,0,0,0
324.11,12/01/69,323.72,0,0,0,0,0,0,0,0
325.03,01/01/70,323.83,0,0,0,0,0,0,0,0
325.99,02/01/70,323.92,0,0,0,0,0,0,0,0
326.87,03/01/70,324.01,0,0,0,0,0,0,0,0
328.13,04/01/70,324.09,0,0,0,0,0,0,0,0
328.07,05/01/70,324.17,0,0,0,0,0,0,0,0
327.66,06/01/70,324.25,0,0,0,0,0,0,0,0
326.35,07/01/70,324.34,0,0,0,0,0,0,0,0
324.69,08/01/70,324.42,0,0,0,0,0,0,0,0
323.1,09/01/70,324.5,0,0,0,0,0,0,0,0
323.16,10/01/70,324.58,0,0,0,0,0,0,0,0
323.98,11/01/70,324.66,0,0,0,0,0,0,0,0
325.13,12/01/70,324.74,0,0,0,0,0,0,0,0
326.17,01/01/71,324.81,0,0,0,0,0,0,0,0
326.68,02/01/71,324.89,0,0,0,0,0,0,0,0
327.18,03/01/71,324.98,0,0,0,0,0,0,0,0
327.78,04/01/71,325.06,0,0,0,0,0,0,0,0
328.92,05/01/71,325.16,0,0,0,0,0,0,0,0
328.57,06/01/71,325.27,0,0,0,0,0,0,0,0
327.34,07/01/71,325.38,0,0,0,0,0,0,0,0
325.46,08/01/71,325.49,0,0,0,0,0,0,0,0
323.36,09/01/71,325.61,0,0,0,0,0,0,0,0
323.57,10/01/71,325.72,0,0,0,0,0,0,0,0
324.8,11/01/71,325.81,0,0,0,0,0,0,0,0
326.01,12/01/71,325.88,0,0,0,0,0,0,0,0
326.77,01/01/72,325.91,0,0,0,0,0,0,0,0
327.63,02/01/72,325.92,0,0,0,0,0,0,0,0
327.75,03/01/72,325.92,0,0,0,0,0,0,0,0
329.72,04/01/72,325.91,0,0,0,0,0,0,0,0
330.07,05/01/72,325.91,0,0,0,0,0,0,0,0
329.09,06/01/72,325.92,0,0,0,0,0,0,0,0
328.05,07/01/72,325.94,0,0,0,0,0,0,0,0
326.32,08/01/72,325.97,0,0,0,0,0,0,0,0
324.93,09/01/72,326.03,0,0,0,0,0,0,0,0
325.06,10/01/72,326.12,0,0,0,0,0,0,0,0
326.5,11/01/72,326.22,0,0,0,0,0,0,0,0
327.55,12/01/72,326.35,0,0,0,0,0,0,0,0
328.54,01/01/73,326.5,0,0,0,0,0,0,0,0
329.56,02/01/73,326.67,0,0,0,0,0,0,0,0
330.3,03/01/73,326.84,0,0,0,0,0,0,0,0
331.5,04/01/73,327.01,0,0,0,0,0,0,0,0
332.48,05/01/73,327.2,0,0,0,0,0,0,0,0
332.07,06/01/73,327.37,0,0,0,0,0,0,0,0
330.87,07/01/73,327.55,0,0,0,0,0,0,0,0
329.31,08/01/73,327.71,0,0,0,0,0,0,0,0
327.51,09/01/73,327.85,0,0,0,0,0,0,0,0
327.18,10/01/73,327.98,0,0,0,0,0,0,0,0
328.16,11/01/73,328.09,0,0,0,0,0,0,0,0
328.64,12/01/73,328.17,0,0,0,0,0,0,0,0
329.35,01/01/74,328.24,0,0,0,0,0,0,0,0
330.71,02/01/74,328.3,0,0,0,0,0,0,0,0
331.48,03/01/74,328.34,0,0,0,0,0,0,0,0
332.65,04/01/74,328.37,0,0,0,0,0,0,0,0
333.19,05/01/74,328.39,0,0,0,0,0,0,0,0
332.12,06/01/74,328.41,0,0,0,0,0,0,0,0
330.99,07/01/74,328.44,0,0,0,0,0,0,0,0
329.17,08/01/74,328.48,0,0,0,0,0,0,0,0
327.41,09/01/74,328.53,0,0,0,0,0,0,0,0
327.21,10/01/74,328.59,0,0,0,0,0,0,0,0
328.34,11/01/74,328.66,0,0,0,0,0,0,0,0
329.5,12/01/74,328.75,0,0,0,0,0,0,0,0
330.68,01/01/75,328.85,0,0,0,0,0,0,0,0
331.41,02/01/75,328.95,0,0,0,0,0,0,0,0
331.85,03/01/75,329.05,0,0,0,0,0,0,0,0
333.29,04/01/75,329.14,0,0,0,0,0,0,0,0
333.91,05/01/75,329.24,0,0,0,0,0,0,0,0
333.4,06/01/75,329.34,0,0,0,0,0,0,0,0
331.74,07/01/75,329.44,0,0,0,0,0,0,0,0
329.88,08/01/75,329.53,0,0,0,0,0,0,0,0
328.57,09/01/75,329.64,0,0,0,0,0,0,0,0
328.36,10/01/75,329.75,0,0,0,0,0,0,0,0
329.33,11/01/75,329.85,0,0,0,0,0,0,0,0
330.59,12/01/75,329.95,0,0,0,0,0,0,0,0
331.66,01/01/76,330.04,0,0,0,0,0,0,0,0
332.75,02/01/76,330.12,0,0,0,0,0,0,0,0
333.46,03/01/76,330.2,0,0,0,0,0,0,0,0
334.78,04/01/76,330.27,0,0,0,0,0,0,0,0
334.78,05/01/76,330.35,0,0,0,0,0,0,0,0
334.06,06/01/76,330.42,0,0,0,0,0,0,0,0
332.95,07/01/76,330.51,0,0,0,0,0,0,0,0
330.64,08/01/76,330.61,0,0,0,0,0,0,0,0
328.96,09/01/76,330.72,0,0,0,0,0,0,0,0
328.77,10/01/76,330.83,0,0,0,0,0,0,0,0
330.18,11/01/76,330.95,0,0,0,0,0,0,0,0
331.65,12/01/76,331.07,0,0,0,0,0,0,0,0
332.69,01/01/77,331.18,0,0,0,0,0,0,0,0
333.23,02/01/77,331.3,0,0,0,0,0,0,0,0
334.97,03/01/77,331.42,0,0,0,0,0,0,0,0
336.03,04/01/77,331.53,0,0,0,0,0,0,0,0
336.82,05/01/77,331.66,0,0,0,0,0,0,0,0
336.1,06/01/77,331.79,0,0,0,0,0,0,0,0
334.79,07/01/77,331.94,0,0,0,0,0,0,0,0
332.53,08/01/77,332.08,0,0,0,0,0,0,0,0
331.19,09/01/77,332.24,0,0,0,0,0,0,0,0
331.21,10/01/77,332.39,0,0,0,0,0,0,0,0
332.35,11/01/77,332.55,0,0,0,0,0,0,0,0
333.47,12/01/77,332.71,0,0,0,0,0,0,0,0
335.1,01/01/78,332.86,0,0,0,0,0,0,0,0
335.26,02/01/78,333.01,0,0,0,0,0,0,0,0
336.61,03/01/78,333.15,0,0,0,0,0,0,0,0
337.77,04/01/78,333.28,0,0,0,0,0,0,0,0
338.01,05/01/78,333.41,0,0,0,0,0,0,0,0
337.98,06/01/78,333.54,0,0,0,0,0,0,0,0
336.48,07/01/78,333.66,0,0,0,0,0,0,0,0
334.37,08/01/78,333.77,0,0,0,0,0,0,0,0
332.33,09/01/78,333.88,0,0,0,0,0,0,0,0
332.41,10/01/78,333.97,0,0,0,0,0,0,0,0
333.76,11/01/78,334.06,0,0,0,0,0,0,0,0
334.83,12/01/78,334.14,0,0,0,0,0,0,0,0
336.21,01/01/79,334.23,0,0,0,0,0,0,0,0
336.65,02/01/79,334.32,0,0,0,0,0,0,0,0
338.13,03/01/79,334.42,0,0,0,0,0,0,0,0
338.94,04/01/79,334.52,0,0,0,0,0,0,0,0
339,05/01/79,334.64,0,0,0,0,0,0,0,0
339.2,06/01/79,334.77,0,0,0,0,0,0,0,0
337.6,07/01/79,334.92,0,0,0,0,0,0,0,0
335.56,08/01/79,335.07,0,0,0,0,0,0,0,0
333.93,09/01/79,335.24,0,0,0,0,0,0,0,0
334.12,10/01/79,335.41,0,0,0,0,0,0,0,0
335.26,11/01/79,335.58,0,0,0,0,0,0,0,0
336.78,12/01/79,335.75,0,0,0,0,0,0,0,0
337.8,01/01/80,335.93,0,0,0,0,0,0,0,0
338.28,02/01/80,336.11,0,0,0,0,0,0,0,0
340.04,03/01/80,336.28,0,0,0,0,0,0,0,0
340.86,04/01/80,336.45,0,0,0,0,0,0,0,0
341.47,05/01/80,336.62,0,0,0,0,0,0,0,0
341.26,06/01/80,336.78,0,0,0,0,0,0,0,0
339.34,07/01/80,336.94,0,0,0,0,0,0,0,0
337.45,08/01/80,337.09,0,0,0,0,0,0,0,0
336.1,09/01/80,337.23,0,0,0,0,0,0,0,0
336.05,10/01/80,337.36,0,0,0,0,0,0,0,0
337.21,11/01/80,337.48,0,0,0,0,0,0,0,0
338.29,12/01/80,337.59,0,0,0,0,0,0,0,0
339.36,01/01/81,337.7,0,0,0,0,0,0,0,0
340.51,02/01/81,337.8,0,0,0,0,0,0,0,0
341.57,03/01/81,337.89,0,0,0,0,0,0,0,0
342.56,04/01/81,337.98,0,0,0,0,0,0,0,0
343.01,05/01/81,338.06,0,0,0,0,0,0,0,0
342.49,06/01/81,338.14,0,0,0,0,0,0,0,0
340.68,07/01/81,338.23,0,0,0,0,0,0,0,0
338.49,08/01/81,338.3,0,0,0,0,0,0,0,0
336.92,09/01/81,338.38,0,0,0,0,0,0,0,0
337.12,10/01/81,338.46,0,0,0,0,0,0,0,0
338.59,11/01/81,338.55,0,0,0,0,0,0,0,0
339.9,12/01/81,338.63,0,0,0,0,0,0,0,0
340.92,01/01/82,338.73,0,0,0,0,0,0,0,0
341.69,02/01/82,338.82,0,0,0,0,0,0,0,0
342.85,03/01/82,338.92,0,0,0,0,0,0,0,0
343.92,04/01/82,339.02,0,0,0,0,0,0,0,0
344.67,05/01/82,339.12,0,0,0,0,0,0,0,0
343.78,06/01/82,339.22,0,0,0,0,0,0,0,0
342.23,07/01/82,339.33,0,0,0,0,0,0,0,0
340.11,08/01/82,339.43,0,0,0,0,0,0,0,0
338.32,09/01/82,339.54,0,0,0,0,0,0,0,0
338.39,10/01/82,339.65,0,0,0,0,0,0,0,0
339.48,11/01/82,339.76,0,0,0,0,0,0,0,0
340.88,12/01/82,339.89,0,0,0,0,0,0,0,0
341.64,01/01/83,340.03,0,0,0,0,0,0,0,0
342.87,02/01/83,340.19,0,0,0,0,0,0,0,0
343.59,03/01/83,340.36,0,0,0,0,0,0,0,0
345.25,04/01/83,340.53,0,0,0,0,0,0,0,0
345.96,05/01/83,340.73,0,0,0,0,0,0,0,0
345.52,06/01/83,340.92,0,0,0,0,0,0,0,0
344.15,07/01/83,341.11,0,0,0,0,0,0,0,0
342.25,08/01/83,341.29,0,0,0,0,0,0,0,0
340.17,09/01/83,341.46,0,0,0,0,0,0,0,0
340.3,10/01/83,341.62,0,0,0,0,0,0,0,0
341.53,11/01/83,341.77,0,0,0,0,0,0,0,0
343.07,12/01/83,341.9,0,0,0,0,0,0,0,0
344.05,01/01/84,342.01,0,0,0,0,0,0,0,0
344.77,02/01/84,342.12,0,0,0,0,0,0,0,0
345.46,03/01/84,342.21,0,0,0,0,0,0,0,0
346.77,04/01/84,342.29,0,0,0,0,0,0,0,0
347.55,05/01/84,342.38,0,0,0,0,0,0,0,0
346.98,06/01/84,342.46,0,0,0,0,0,0,0,0
345.55,07/01/84,342.54,0,0,0,0,0,0,0,0
343.2,08/01/84,342.63,0,0,0,0,0,0,0,0
341.35,09/01/84,342.71,0,0,0,0,0,0,0,0
341.68,10/01/84,342.79,0,0,0,0,0,0,0,0
343.06,11/01/84,342.87,0,0,0,0,0,0,0,0
344.54,12/01/84,342.95,0,0,0,0,0,0,0,0
345.25,01/01/85,343.04,0,0,0,0,0,0,0,0
346.06,02/01/85,343.13,0,0,0,0,0,0,0,0
347.66,03/01/85,343.24,0,0,0,0,0,0,0,0
348.2,04/01/85,343.34,0,0,0,0,0,0,0,0
348.92,05/01/85,343.46,0,0,0,0,0,0,0,0
348.4,06/01/85,343.59,0,0,0,0,0,0,0,0
346.66,07/01/85,343.73,0,0,0,0,0,0,0,0
344.85,08/01/85,343.87,0,0,0,0,0,0,0,0
343.2,09/01/85,344.02,0,0,0,0,0,0,0,0
343.08,10/01/85,344.16,0,0,0,0,0,0,0,0
344.4,11/01/85,344.3,0,0,0,0,0,0,0,0
345.82,12/01/85,344.44,0,0,0,0,0,0,0,0
346.54,01/01/86,344.57,0,0,0,0,0,0,0,0
347.13,02/01/86,344.7,0,0,0,0,0,0,0,0
348.05,03/01/86,344.83,0,0,0,0,0,0,0,0
349.77,04/01/86,344.94,0,0,0,0,0,0,0,0
350.53,05/01/86,345.05,0,0,0,0,0,0,0,0
349.9,06/01/86,345.16,0,0,0,0,0,0,0,0
348.11,07/01/86,345.27,0,0,0,0,0,0,0,0
346.09,08/01/86,345.38,0,0,0,0,0,0,0,0
345.01,09/01/86,345.49,0,0,0,0,0,0,0,0
344.47,10/01/86,345.59,0,0,0,0,0,0,0,0
345.86,11/01/86,345.7,0,0,0,0,0,0,0,0
347.15,12/01/86,345.82,0,0,0,0,0,0,0,0
348.38,01/01/87,345.94,0,0,0,0,0,0,0,0
348.7,02/01/87,346.07,0,0,0,0,0,0,0,0
349.72,03/01/87,346.22,0,0,0,0,0,0,0,0
351.32,04/01/87,346.36,0,0,0,0,0,0,0,0
352.14,05/01/87,346.53,0,0,0,0,0,0,0,0
351.61,06/01/87,346.7,0,0,0,0,0,0,0,0
349.91,07/01/87,346.89,0,0,0,0,0,0,0,0
347.84,08/01/87,347.07,0,0,0,0,0,0,0,0
346.52,09/01/87,347.26,0,0,0,0,0,0,0,0
346.65,10/01/87,347.45,0,0,0,0,0,0,0,0
347.96,11/01/87,347.63,0,0,0,0,0,0,0,0
349.18,12/01/87,347.81,0,0,0,0,0,0,0,0
350.38,01/01/88,347.98,0,0,0,0,0,0,0,0
351.68,02/01/88,348.16,0,0,0,0,0,0,0,0
352.24,03/01/88,348.32,0,0,0,0,0,0,0,0
353.66,04/01/88,348.46,0,0,0,0,0,0,0,0
354.18,05/01/88,348.61,0,0,0,0,0,0,0,0
353.68,06/01/88,348.75,0,0,0,0,0,0,0,0
352.58,07/01/88,348.89,0,0,0,0,0,0,0,0
350.66,08/01/88,349.02,0,0,0,0,0,0,0,0
349.03,09/01/88,349.16,0,0,0,0,0,0,0,0
349.08,10/01/88,349.29,0,0,0,0,0,0,0,0
350.15,11/01/88,349.43,0,0,0,0,0,0,0,0
351.44,12/01/88,349.56,0,0,0,0,0,0,0,0
352.89,01/01/89,349.7,0,0,0,0,0,0,0,0
353.24,02/01/89,349.83,0,0,0,0,0,0,0,0
353.8,03/01/89,349.97,0,0,0,0,0,0,0,0
355.59,04/01/89,350.08,0,0,0,0,0,0,0,0
355.89,05/01/89,350.2,0,0,0,0,0,0,0,0
355.3,06/01/89,350.31,0,0,0,0,0,0,0,0
353.98,07/01/89,350.42,0,0,0,0,0,0,0,0
351.53,08/01/89,350.51,0,0,0,0,0,0,0,0
350.02,09/01/89,350.61,0,0,0,0,0,0,0,0
350.29,10/01/89,350.7,0,0,0,0,0,0,0,0
351.44,11/01/89,350.78,0,0,0,0,0,0,0,0
352.84,12/01/89,350.87,0,0,0,0,0,0,0,0
353.79,01/01/90,350.96,0,0,0,0,0,0,0,0
354.88,02/01/90,351.07,0,0,0,0,0,0,0,0
355.65,03/01/90,351.19,0,0,0,0,0,0,0,0
356.27,04/01/90,351.3,0,0,0,0,0,0,0,0
357.29,05/01/90,351.44,0,0,0,0,0,0,0,0
356.32,06/01/90,351.58,0,0,0,0,0,0,0,0
354.88,07/01/90,351.72,0,0,0,0,0,0,0,0
352.89,08/01/90,351.86,0,0,0,0,0,0,0,0
351.28,09/01/90,352,0,0,0,0,0,0,0,0
351.59,10/01/90,352.12,0,0,0,0,0,0,0,0
353.05,11/01/90,352.24,0,0,0,0,0,0,0,0
354.27,12/01/90,352.36,0,0,0,0,0,0,0,0
354.87,01/01/91,352.48,0,0,0,0,0,0,0,0
355.68,02/01/91,352.59,0,0,0,0,0,0,0,0
357.06,03/01/91,352.7,0,0,0,0,0,0,0,0
358.51,04/01/91,352.8,0,0,0,0,0,0,0,0
359.09,05/01/91,352.9,0,0,0,0,0,0,0,0
358.1,06/01/91,353,0,0,0,0,0,0,0,0
356.12,07/01/91,353.1,0,0,0,0,0,0,0,0
353.89,08/01/91,353.18,0,0,0,0,0,0,0,0
352.3,09/01/91,353.27,0,0,0,0,0,0,0,0
352.32,10/01/91,353.35,0,0,0,0,0,0,0,0
353.79,11/01/91,353.43,0,0,0,0,0,0,0,0
355.07,12/01/91,353.5,0,0,0,0,0,0,0,0
356.17,01/01/92,353.58,0,0,0,0,0,0,0,0
356.93,02/01/92,353.67,0,0,0,0,0,0,0,0
357.82,03/01/92,353.76,0,0,0,0,0,0,0,0
359,04/01/92,353.86,0,0,0,0,0,0,0,0
359.55,05/01/92,353.97,0,0,0,0,0,0,0,0
359.32,06/01/92,354.09,0,0,0,0,0,0,0,0
356.85,07/01/92,354.21,0,0,0,0,0,0,0,0
354.91,08/01/92,354.32,0,0,0,0,0,0,0,0
352.93,09/01/92,354.43,0,0,0,0,0,0,0,0
353.31,10/01/92,354.53,0,0,0,0,0,0,0,0
