mission,company,location,date,time,rocket,price,successful
Starlink V1 L18,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-02-04,6:19:00,Falcon 9 Block 5,1640000,True
10-Kilometer Test Flight,SpaceX,"Suborbital Pad B, Starbase, Texas, USA",2021-02-02,20:25:00,Starship Prototype,7750000,False
Transporter 1,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-01-24,15:00:00,Falcon 9 Block 5,8190000,True
Starlink V1 L16,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-01-20,13:02:00,Falcon 9 Block 5,2870000,True
Another One Leaves The Crust,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021-01-20,7:26:00,Electron/Curie,20640000,True
Türksat 5A,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-01-08,2:15:00,Falcon 9 Block 5,6220000,True
CSO-2,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2020-12-29,16:42:00,Soyuz ST-A/Fregat-M,16200000,True
NROL-108,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-12-19,14:00:00,Falcon 9 Block 5,11360000,True
CMS-01,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2020-12-17,10:09:00,PSLV-XL,22970000,True
Rocket 3.2,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2020-12-15,20:55:00,Rocket 3,3750000,False
The Owl’s Night Begins,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2020-12-15,10:09:00,Electron/Curie,6050000,True
SXM-7,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020-12-13,17:30:00,Falcon 9 Block 5,12090000,True
12.5-Kilometer Test Flight,SpaceX,"Suborbital Pad A, Starbase, Texas, USA",2020-12-09,22:45:00,Starship Prototype,2600000,False
CRS SpX-21,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-12-06,16:17:00,Falcon 9 Block 5,22030000,True
Falcon Eye 2,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2020-12-02,1:33:00,Soyuz ST-A/Fregat-M,6810000,True
Starlink V1 L15,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020-11-25,2:13:00,Falcon 9 Block 5,2220000,True
Sentinel-6A Michael Freilich,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2020-11-21,17:17:00,Falcon 9 Block 5,13840000,True
Return To Sender,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2020-11-20,2:20:00,Electron/Curie,6370000,True
Taranis & Seosat,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2020-11-17,1:52:00,Vega,6400000,False
SpaceX Crew-1,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-11-16,0:27:00,Falcon 9 Block 5,5980000,True
EOS-01 & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2020-11-07,9:41:00,PSLV-DL,12820000,True
GPS III-4,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020-11-05,23:24:00,Falcon 9 Block 5,4540000,True
In Focus,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2020-10-28,21:21:00,Electron/Curie,20900000,True
Starlink V1 L14,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020-10-24,15:31:00,Falcon 9 Block 5,1400000,True
Starlink V1 L13,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-10-18,12:25:00,Falcon 9 Block 5,9900000,True
Soyuz MS-17,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-10-14,5:45:00,Soyuz 2.1a,14470000,True
Starlink V1 L12,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-10-06,11:29:00,Falcon 9 Block 5,3210000,True
CRS NG-14,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2020-10-03,1:16:00,Antares 230+,8430000,True
Rocket 3.1,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2020-09-12,3:19:00,Rocket 3,4940000,False
Starlink V1 L11,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-09-03,12:46:00,Falcon 9 Block 5,3510000,True
SSMS n°1 PoC,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2020-09-03,1:51:00,Vega,1200000,True
I Can’t Believe It’s Not Optical,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2020-08-31,3:05:00,Electron/Photon,22300000,True
SAOCOM 1B & Rideshares,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020-08-30,23:18:00,Falcon 9 Block 5,13510000,True
Starlink V1 L10 & SkySat 19 to 21,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020-08-18,14:31:00,Falcon 9 Block 5,3810000,True
"BSat 4b & Galaxy 30, MEV-2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020-08-15,22:04:00,Ariane 5 ECA,9170000,True
Starlink V1 L9 & BlackSky,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-08-07,5:12:00,Falcon 9 Block 5,24140000,True
150 Meter Hop,SpaceX,"Pad A, Boca Chica, Texas, USA",2020-08-04,23:57:00,Starship Prototype,16110000,True
Ekspress-80 & Ekspress-103,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2020-07-30,21:25:00,Proton-M/Briz-M,6430000,True
Progress MS-15,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-07-23,14:26:00,Soyuz 2.1a,15570000,True
ANASIS-II,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-07-20,21:30:00,Falcon 9 Block 5,16260000,True
NROL-129,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2020-07-15,13:46:00,Minotaur IV,3100000,True
Pics Or It Didn't Happen,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-07-04,21:19:00,Electron/Curie,19030000,False
GPS III SV03,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-30,20:10:00,Falcon 9 Block 5,18810000,True
Starlink V1 L8 & SkySat 16 to 18,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-13,9:21:00,Falcon 9 Block 5,4590000,True
Don't stop me now!,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-06-13,5:12:00,Electron/Curie,12180000,True
Starlink V1 L7,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-06-04,1:25:00,Falcon 9 Block 5,17890000,True
SpaceX Demo-2,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-05-30,19:22:00,Falcon 9 Block 5,4080000,True
Progress MS-14,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-04-25,1:51:00,Soyuz 2.1a,13820000,True
Starlink V1 L6,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-04-22,19:30:00,Falcon 9 Block 5,4180000,True
Soyuz MS-16,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-04-09,8:05:00,Soyuz 2.1a,4850000,True
OneWeb #3,Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-03-21,17:06:00,Soyuz 2.1b/Fregat,7680000,True
Starlink V1 L5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-03-18,12:16:00,Falcon 9 Block 5,16280000,True
CRS-20,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-03-07,4:50:00,Falcon 9 Block 5,22300000,True
JCSAT-17 & GEO-KOMPSAT 2B,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020-02-18,22:18:00,Ariane 5 ECA,6050000,True
Starlink V1 L4,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-02-17,15:05:00,Falcon 9 Block 5,8380000,True
CRS NG-13,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2020-02-15,20:21:00,Antares 230+,22880000,True
OneWeb #2,Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-02-06,21:42:00,Soyuz 2.1b/Fregat,3030000,True
Birds of a Feather / NROL-151,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020-01-31,2:56:00,Electron/Curie,19740000,True
Starlink V1 L3,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-01-29,14:06:00,Falcon 9 Block 5,12200000,True
Crew Dragon Inflight Abort Test,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-01-19,15:30:00,Falcon 9 Block 5,14620000,True
Eutelsat Konnect BB4A & GSAT-30,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020-01-16,21:05:00,Ariane 5 ECA,17850000,True
Starlink V1 L2,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2020-01-07,2:19:00,Falcon 9 Block 5,12050000,True
Elektro-L n†­3,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019-12-24,12:03:00,Proton-M/DM-3,15470000,True
"CSG-1, CHEOPS & Others",Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019-12-18,8:54:00,Soyuz ST-A/Fregat-M,6750000,True
JCSAT-18 / Kacific-1,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-12-17,0:10:00,Falcon 9 Block 5,15340000,True
RISAT 2BR1,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2019-12-11,9:55:00,PSLV-QL,18310000,True
Progress MS-13 (74P),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-12-06,9:34:00,Soyuz 2.1a,16490000,True
Running Out Of Fingers,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-12-06,8:18:00,Electron/Curie,22350000,True
CRS-19,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-12-05,17:29:00,Falcon 9 Block 5,24610000,True
Cartosat-3 & Rideshares,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2019-11-27,3:58:00,PSLV-XL,12610000,True
Inmarsat 5 F5 & TIBA-1,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019-11-26,21:23:00,Ariane 5 ECA,17420000,True
Starlink V1 L1,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-11-11,14:56:00,Falcon 9 Block 5,9210000,True
CRS NG-12,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2019-11-02,13:59:00,Antares 230+,21070000,True
As The Crow Flies,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-10-17,1:22:00,Electron/Curie,3460000,True
ICON,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",2019-10-11,1:59:00,Pegasus XL,18550000,True
Eutelsat 5 West B & MEV-1,ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2019-10-09,10:17:00,Proton-M/Briz-M,22140000,True
Soyuz MS-15 (61S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2019-09-25,13:57:00,Soyuz FG,23680000,True
Soyuz MS-14 (60S),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-08-22,3:38:00,Soyuz 2.1a,8790000,True
"Look Ma, No Hands!",Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2019-08-19,12:12:00,Electron/Curie,17680000,True
AMOS-17,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-08-06,23:23:00,Falcon 9 Block 5,18220000,True
EDRS-C/HYLAS 3 & Intelsat 39,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019-08-06,19:30:00,Ariane 5 ECA,19710000,True
Cosmos 2539,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019-08-05,21:56:00,Proton-M/Briz-M,5730000,True
Progress MS-12,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019-07-31,12:10:00,Soyuz 2.1a,19390000,True
CRS-18,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2019-07-25,22:01:00,Falcon 9 Block 5,17720000,True
